trial_num,trial_type,protocol_day,new_suffix
1,spatial,1,_s_1
2,spatial,1,_s_2
3,spatial,1,_s_3
4,spatial,1,_s_4
5,spatial,1,_s_5
6,spatial,1,_s_6
7,spatial,2,_s_7
8,spatial,2,_s_8
9,spatial,2,_s_9
10,spatial,2,_s_10
11,spatial,2,_s_11
12,spatial,2,_s_12
13,spatial,3,_s_13
14,spatial,3,_s_14
15,spatial,3,_s_15
16,spatial,3,_s_16
17,spatial,3,_s_17
18,spatial,3,_s_18
19,spatial,4,_s_19
20,spatial,4,_s_20
21,spatial,4,_s_21
22,spatial,4,_s_22
23,spatial,4,_s_23
24,spatial,4,_s_24
25,probe,4,_p_1
26,visible,5,_c_1
27,visible,5,_c_2
28,visible,5,_c_3
29,visible,5,_c_4
30,visible,5,_c_5
31,visible,5,_c_6
32,visible,6,_c_7
33,visible,6,_c_8
34,visible,6,_c_9
35,visible,6,_c_10
36,visible,6,_c_11
37,visible,6,_c_12
