Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,AQ D4: TTR to End of test; Duration (s),Base; Duration (s),AQ D4: TTR to End of test; Distance (m),Base; Distance (m),AQ D4: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),AQ D4: TTR to End of test; Path efficiency,Base; Path efficiency,AQ D4: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ D4: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ D4: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),AQ D4: TTR to End of test; Avg speed: AQ D4 (m/s),Base; Avg speed: AQ D4 (m/s)
73,10328.0,19,2/2/2017,9:39,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 73.szv,3.8,3.8,1.1,1.1,0.29,0.29,0.94,0.94,0.59,0.59,2.24,2.24,,,0.32,0.2683,0.2678
74,10328.0,20,2/2/2017,9:39,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 74.szv,0.4,1.4,0.093,0.288,0.245,0.209,0.966,0.955,0.053,0.158,0.02,0.22,0.886,0.945,0.04,0.2683,0.2678
75,10329.0,19,2/2/2017,9:39,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 75.szv,1.6,5.4,0.306,1.432,0.191,0.265,0.877,0.823,0.184,0.552,0.29,2.98,,,0.38,0.279,0.3018
76,10329.0,20,2/2/2017,9:40,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 76.szv,3.3,3.3,1.092,1.092,0.331,0.331,0.919,0.919,0.581,0.581,1.92,1.92,,,0.29,0.279,0.3018
77,10330.0,19,2/2/2017,9:40,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 77.szv,11.3,13.0,3.164,3.463,0.28,0.266,0.103,0.169,0.384,0.378,4.34,4.92,0.052,0.125,4.54,0.2388,0.2487
78,10330.0,20,2/2/2017,9:41,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 78.szv,34.0,38.5,8.428,9.738,0.248,0.253,0.035,0.115,0.571,0.6,19.43,23.1,,,20.5,0.2388,0.2487
79,10331.0,19,2/2/2017,9:42,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 79.szv,6.6,9.6,1.764,2.456,0.267,0.256,0.437,0.388,0.572,0.635,3.7,6.02,0.357,0.327,4.73,0.2597,0.2642
80,10331.0,20,2/2/2017,9:42,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 80.szv,38.1,40.5,10.317,11.025,0.271,0.272,0.046,0.067,0.475,0.475,18.11,19.23,0.03,0.058,18.44,0.2597,0.2642
81,10328.0,21,2/2/2017,10:29,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 81.szv,4.2,7.5,0.961,2.104,0.229,0.281,0.371,0.435,0.158,0.295,0.66,2.21,,,0.74,0.2683,0.2678
82,10328.0,22,2/2/2017,10:29,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 82.szv,2.4,4.5,0.489,1.078,0.204,0.24,0.504,0.639,0.152,0.263,0.35,1.15,0.401,0.53,0.46,0.2683,0.2678
83,10329.0,21,2/2/2017,10:30,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 83.szv,6.0,7.4,1.806,2.175,0.301,0.294,0.216,0.273,0.332,0.338,1.99,2.5,,,2.15,0.279,0.3018
84,10329.0,22,2/2/2017,10:30,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 84.szv,14.3,16.0,4.66,5.142,0.327,0.322,0.071,0.115,0.436,0.437,6.22,6.99,,,6.54,0.279,0.3018
85,10330.0,21,2/2/2017,10:31,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 85.szv,35.5,39.1,9.135,10.193,0.257,0.261,0.113,0.103,0.57,0.612,20.22,23.92,,,22.36,0.2388,0.2487
86,10330.0,22,2/2/2017,10:31,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 86.szv,5.3,10.2,1.357,2.603,0.258,0.256,0.451,0.515,0.186,0.574,0.96,5.76,0.87,0.683,2.82,0.2388,0.2487
87,10331.0,21,2/2/2017,10:32,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 87.szv,0.8,2.1,0.178,0.552,0.229,0.266,0.835,0.851,0.055,0.176,0.04,0.37,,,0.13,0.2597,0.2642
88,10331.0,22,2/2/2017,10:32,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 88.szv,9.4,13.6,2.561,3.666,0.272,0.27,0.345,0.341,0.527,0.593,4.9,7.99,0.305,0.304,5.66,0.2597,0.2642
89,10328.0,23,2/2/2017,11:15,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 89.szv,4.2,7.3,1.226,2.183,0.292,0.299,0.156,0.425,0.371,0.401,1.51,2.88,0.182,0.388,1.64,0.2683,0.2678
90,10328.0,24,2/2/2017,11:16,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 90.szv,1.1,2.7,0.374,0.769,0.35,0.288,0.897,0.696,0.148,0.29,0.16,0.77,0.832,0.578,0.42,0.2683,0.2678
91,10329.0,23,2/2/2017,11:16,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 91.szv,1.9,4.6,0.526,1.43,0.277,0.311,0.883,0.633,0.206,0.544,0.39,2.5,,,1.36,0.279,0.3018
92,10329.0,24,2/2/2017,11:16,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 92.szv,0.8,3.9,0.198,1.122,0.247,0.288,0.93,0.958,0.023,0.476,0.01,1.75,0.512,0.907,0.16,0.279,0.3018
93,10330.0,23,2/2/2017,11:17,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 93.szv,1.7,2.8,0.31,0.543,0.184,0.195,0.764,0.783,0.059,0.125,0.1,0.35,,,0.13,0.2388,0.2487
