AnyMaze_#,Barnes_ID,Tail_Marking,Experiment,Cohort,Strain,Genotype,Sex,Date_Birth,Date_Received,Date_Start_SpatialWatermaze,Age_mo,Weight_g,Housing,Subsequent_Measures,AnyMaze_File,Notes
1,10552,1 Black,Cognitive Aptitude Study,15,F344,WT,M,7/1/2017,1/24/2018,2/5/2018,7.3,351,single,y,CAS_15_Black_02052018.szd,N/A
2,10553,2 Black,Cognitive Aptitude Study,15,F344,WT,M,7/1/2017,1/24/2018,2/5/2018,7.3,375,single,y,CAS_15_Black_02052018.szd,N/A
3,10554,3 Black,Cognitive Aptitude Study,15,F344,WT,M,7/1/2017,1/24/2018,2/5/2018,7.3,365,single,y,CAS_15_Black_02052018.szd,N/A
4,10555,4 Black,Cognitive Aptitude Study,15,F344,WT,M,7/1/2017,1/24/2018,2/5/2018,7.3,355,single,y,CAS_15_Black_02052018.szd,N/A
5,10556,5 Black,Cognitive Aptitude Study,15,F344,WT,M,7/1/2017,1/24/2018,2/5/2018,7.3,353,single,y,CAS_15_Black_02052018.szd,N/A
6,10557,6 Black,Cognitive Aptitude Study,15,F344,WT,M,7/1/2017,1/24/2018,2/5/2018,7.3,387,single,y,CAS_15_Black_02052018.szd,N/A
7,10558,7 Black,Cognitive Aptitude Study,15,F344,WT,M,7/1/2017,1/24/2018,2/5/2018,7.3,366,single,y,CAS_15_Black_02052018.szd,N/A
8,10559,8 Black,Cognitive Aptitude Study,15,F344,WT,M,7/1/2017,1/24/2018,2/5/2018,7.3,389,single,y,CAS_15_Black_02052018.szd,N/A
9,10560,9 Black,Cognitive Aptitude Study,15,F344,WT,M,7/1/2017,1/24/2018,2/5/2018,7.3,381,single,y,CAS_15_Black_02052018.szd,N/A
10,10561,10 Black,Cognitive Aptitude Study,15,F344,WT,M,7/1/2017,1/24/2018,2/5/2018,7.3,324,single,y,CAS_15_Black_02052018.szd,N/A
11,10562,11 Black,Cognitive Aptitude Study,15,F344,WT,M,7/1/2017,1/24/2018,2/5/2018,7.3,369,single,y,CAS_15_Black_02052018.szd,N/A
12,10563,12 Black,Cognitive Aptitude Study,15,F344,WT,M,7/1/2017,1/24/2018,2/5/2018,7.3,373,single,y,CAS_15_Black_02052018.szd,N/A
13,10564,13 Black,Cognitive Aptitude Study,15,F344,WT,M,7/1/2017,1/24/2018,2/5/2018,7.3,348,single,y,CAS_15_Black_02052018.szd,N/A
14,10565,14 Black,Cognitive Aptitude Study,15,F344,WT,M,7/1/2017,1/24/2018,2/5/2018,7.3,381,single,y,CAS_15_Black_02052018.szd,N/A
15,10566,15 Black,Cognitive Aptitude Study,15,F344,WT,M,7/1/2017,1/24/2018,2/5/2018,7.3,336,single,y,CAS_15_Black_02052018.szd,N/A
