Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,Probe: TTR to 30s; Duration (s),Base; Duration (s),Probe: TTR to 30s; Distance (m),Base; Distance (m),Probe: TTR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe: TTR to 30s; Path efficiency,Base; Path efficiency,Probe: TTR to 30s; Q1 : time (s),Base; Q1 : time (s),Probe: TTR to 30s; Q2 : time (s),Base; Q2 : time (s),Probe: TTR to 30s; Q3 : time (s),Base; Q3 : time (s),Probe: TTR to 30s; Q4 : time (s),Base; Q4 : time (s),Probe: TTR to 30s; Platform : entries,Base; Platform : entries,Probe: TTR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe: TTR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe: TTR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),Probe: TTR to 30s; % time in Goal Quadrant 30s,Base; % time in Goal Quadrant 30s,Probe: TTR to 30s; % time in Goal Quadrant 60s,Base; % time in Goal Quadrant 60s
241,10382.0,1,3/30/2017,11:34,am,"mzempare, ncarey",CAS_11_Young_03.27.17 videos\Test 241.szv,25.9,60,7.793,16.172,0.301,0.27,0.02,0.053,12.6,34.7,3.3,7.6,5.9,7.5,2.8,8.0,3,5,0.431,0.354,10.57,20.44,0.999,0.721,18.08,42,116,6,13
242,10383.0,1,3/30/2017,11:35,am,"mzempare, ncarey",CAS_11_Young_03.27.17 videos\Test 242.szv,25.7,60,7.091,15.739,0.276,0.262,0.06,0.08,10.4,18.3,4.2,19.2,7.7,14.0,3.1,7.0,1,2,0.548,0.553,13.97,32.33,0.806,0.541,29.83,35,61,7,32
243,10384.0,1,3/30/2017,11:37,am,"mzempare, ncarey",CAS_11_Young_03.27.17 videos\Test 243.szv,25.2,60,6.253,13.895,0.248,0.232,0.086,0.09,13.8,30.4,3.2,15.0,3.8,5.8,3.0,4.8,2,5,0.346,0.37,8.27,20.68,0.613,0.616,17.95,46,101,5,25
244,10385.0,1,3/30/2017,11:38,am,"mzempare, ncarey",CAS_11_Young_03.27.17 videos\Test 244.szv,26.3,60,7.738,19.581,0.294,0.326,0.065,0.065,11.5,26.6,2.8,11.1,3.9,9.0,7.1,11.8,1,2,0.495,0.496,12.56,28.99,0.047,0.138,26.79,38,89,5,19
245,10386.0,1,3/30/2017,11:39,am,"mzempare, ncarey",CAS_11_Young_03.27.17 videos\Test 245.szv,25.3,60,6.541,13.533,0.259,0.226,0.033,0.052,11.6,30.9,6.6,14.5,5.0,7.2,0.0,3.6,3,5,0.429,0.353,9.95,19.84,0.468,0.505,17.27,39,103,11,24
246,10387.0,1,3/30/2017,11:41,am,"mzempare, ncarey",CAS_11_Young_03.27.17 videos\Test 246.szv,25.7,60,7.167,15.24,0.279,0.254,0.097,0.059,10.5,29.5,3.5,7.4,4.4,7.6,6.9,13.8,1,3,0.526,0.407,13.27,23.77,0.146,0.389,21.37,35,98,6,12
247,10388.0,1,3/30/2017,11:42,am,"mzempare, ncarey",CAS_11_Young_03.27.17 videos\Test 247.szv,25.9,60,7.081,16.578,0.273,0.276,0.129,0.048,10.2,19.1,8.3,19.5,2.6,11.5,4.4,9.0,1,2,0.396,0.505,10.07,29.81,0.199,0.302,27.47,34,64,14,33
248,10389.0,1,3/30/2017,11:43,am,"mzempare, ncarey",CAS_11_Young_03.27.17 videos\Test 248.szv,26.5,60,8.472,18.172,0.32,0.303,0.042,0.072,7.7,15.4,12.2,28.5,4.7,8.3,1.8,7.6,1,1,0.611,0.612,16.11,36.62,0.271,0.332,34.68,26,51,20,48
249,10390.0,1,3/30/2017,11:44,am,"mzempare, ncarey",CAS_11_Young_03.27.17 videos\Test 249.szv,25.6,60,6.744,14.472,0.263,0.241,0.086,0.086,11.4,27.1,7.8,22.0,5.0,8.1,0.0,1.4,3,3,0.429,0.401,10.36,23.46,0.712,0.795,21.03,38,90,13,37
250,10391.0,1,3/30/2017,11:46,am,"mzempare, ncarey",CAS_11_Young_03.27.17 videos\Test 250.szv,25.3,60,6.19,14.439,0.245,0.241,0.17,0.097,16.0,29.7,2.3,7.2,3.9,6.4,1.2,13.2,3,5,0.311,0.381,7.27,21.48,0.37,0.574,18.72,53,99,4,12
