Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,Probe: TTR to 30s; Duration (s),Base; Duration (s),Probe: TTR to 30s; Distance (m),Base; Distance (m),Probe: TTR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe: TTR to 30s; Path efficiency,Base; Path efficiency,Probe: TTR to 30s; Q1 : time (s),Base; Q1 : time (s),Probe: TTR to 30s; Q2 : time (s),Base; Q2 : time (s),Probe: TTR to 30s; Q3 : time (s),Base; Q3 : time (s),Probe: TTR to 30s; Q4 : time (s),Base; Q4 : time (s),Probe: TTR to 30s; Platform : entries,Base; Platform : entries,Probe: TTR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe: TTR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe: TTR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),Probe: TTR to 30s; % time in Goal Quadrant 30s,Base; % time in Goal Quadrant 60s
289,9825.0,1,6/25/2015,15:17,pm,"mzempare, ncarey",CAS_June22-2015_YoungMiddle videos\Test 289.szv,28.6,60,8.195,16.6,0.287,0.277,0.139,0.058,14.7,32.3,0.5,2.9,4.4,6.8,8.3,16.9,2,3,0.364,0.377,10.17,22.18,0.266,0.301,19.65,49,54
290,9826.0,1,6/25/2015,15:19,pm,"mzempare, ncarey",CAS_June22-2015_YoungMiddle videos\Test 290.szv,28.2,60,8.82,16.998,0.313,0.283,0.052,0.068,11.8,21.9,4.3,11.0,5.3,10.4,6.8,16.7,0,0,0.488,0.496,13.76,29.76,,,27.27,39,37
291,9827.0,1,6/25/2015,15:20,pm,"mzempare, ncarey",CAS_June22-2015_YoungMiddle videos\Test 291.szv,28.1,60,9.225,18.428,0.328,0.307,0.131,0.055,9.5,25.4,6.9,12.2,4.1,14.4,7.3,7.3,1,2,0.559,0.584,15.52,34.63,0.663,0.547,32.26,32,42
292,9828.0,1,6/25/2015,15:22,pm,"mzempare, ncarey",CAS_June22-2015_YoungMiddle videos\Test 292.szv,28.4,60,9.808,20.079,0.345,0.335,0.06,0.002,12.0,22.3,5.9,9.3,2.2,9.3,7.4,17.7,2,4,0.443,0.54,12.17,31.6,0.175,0.231,29.62,40,37
293,9829.0,1,6/25/2015,15:23,pm,"mzempare, ncarey",CAS_June22-2015_YoungMiddle videos\Test 293.szv,28.4,60,7.655,16.742,0.27,0.279,0.179,0.033,14.1,26.4,7.9,13.9,3.5,9.7,1.6,8.1,2,3,0.323,0.437,8.76,25.39,0.414,0.402,23.02,47,44
294,9830.0,1,6/25/2015,15:25,pm,"mzempare, ncarey",CAS_June22-2015_YoungMiddle videos\Test 294.szv,28.7,60,7.562,15.521,0.263,0.259,0.135,0.062,19.9,35.7,3.4,14.8,1.6,2.9,3.4,4.9,1,4,0.257,0.333,7.27,19.46,0.198,0.219,16.78,66,60
295,9831.0,1,6/25/2015,15:27,pm,"mzempare, ncarey",CAS_June22-2015_YoungMiddle videos\Test 295.szv,26.3,60,5.862,13.507,0.223,0.225,0.278,0.08,4.2,9.2,1.2,5.9,6.5,18.3,14.4,26.5,0,0,0.775,0.828,20.38,49.68,,,46.69,14,15
296,9832.0,1,6/25/2015,15:28,pm,"mzempare, ncarey",CAS_June22-2015_YoungMiddle videos\Test 296.szv,28.2,60,6.893,13.647,0.244,0.227,0.12,0.108,11.8,27.3,7.0,15.1,2.6,4.4,6.0,11.4,1,2,0.388,0.409,10.61,23.78,0.353,0.35,20.82,39,46
297,9833.0,1,6/25/2015,15:30,pm,"mzempare, ncarey",CAS_June22-2015_YoungMiddle videos\Test 297.szv,26.9,60,6.611,14.242,0.246,0.237,0.005,0.085,5.7,12.0,4.5,16.6,3.2,12.1,13.6,19.3,0,0,0.69,0.744,18.56,44.62,,,41.6,19,20
298,9834.0,1,6/25/2015,15:31,pm,"mzempare, ncarey",CAS_June22-2015_YoungMiddle videos\Test 298.szv,26.5,60,6.731,13.777,0.254,0.23,0.23,0.12,7.6,11.9,5.2,13.1,5.9,20.1,7.5,14.5,1,1,0.721,0.797,18.87,47.52,0.165,0.165,44.46,25,20
299,9835.0,1,6/25/2015,15:33,pm,"mzempare, ncarey",CAS_June22-2015_YoungMiddle videos\Test 299.szv,27.9,60,7.424,15.363,0.266,0.256,0.062,0.035,6.9,17.6,13.1,21.8,5.5,11.7,1.2,7.3,2,3,0.482,0.531,12.84,30.99,0.839,0.64,28.28,23,29
300,9836.0,1,6/25/2015,15:34,pm,"mzempare, ncarey",CAS_June22-2015_YoungMiddle videos\Test 300.szv,27.7,60,6.628,12.149,0.239,0.203,0.098,0.096,5.7,23.6,8.7,19.4,7.3,9.6,5.7,5.7,1,3,0.55,0.46,15.04,26.79,0.293,0.405,23.28,19,39
