Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D6: TTR to End of test; Duration (s),Base; Duration (s),V D6: TTR to End of test; Distance (m),Base; Distance (m),V D6: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D6: TTR to End of test; Path efficiency,Base; Path efficiency,V D6: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D6: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D6: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D6: TTR to End of test; Avg speed: V D6 (m/s),Base; Avg speed: V D6 (m/s)
321,9887,8,8/29/2015,9:56,am,"mzempare, ncarey",CAS2_August24-2015-Young videos\Test 321.szv,0.2,3,0.066,0.87,0.369,0.292,1,0.962,0.012,0.394,0,1.12,,0.915,0.12,0.2797,0.2712
322,9888,8,8/29/2015,9:56,am,"mzempare, ncarey",CAS2_August24-2015-Young videos\Test 322.szv,3.9,3.9,1.212,1.212,0.311,0.311,0.918,0.918,0.564,0.564,2.19,2.19,0.896,0.896,0.26,0.2397,0.2685
323,9889,8,8/29/2015,9:57,am,"mzempare, ncarey",CAS2_August24-2015-Young videos\Test 323.szv,1.8,5,0.519,1.478,0.295,0.298,0.991,0.67,0.213,0.611,0.29,2.8,0.977,0.643,1.4,0.2272,0.2818
324,9890,8,8/29/2015,9:57,am,"mzempare, ncarey",CAS2_August24-2015-Young videos\Test 324.szv,0.3,1.7,0.048,0.423,0.161,0.249,1,0.82,0.078,0.263,0.02,0.45,,,0.1,0.196,0.2765
325,9891,8,8/29/2015,10:01,am,"mzempare, ncarey",CAS2_August24-2015-Young videos\Test 325.szv,0.7,4.8,0.122,1.336,0.175,0.278,0.969,0.851,0.053,0.617,0.04,2.96,,,0.85,0.2337,0.265
326,9892,8,8/29/2015,10:02,am,"mzempare, ncarey",CAS2_August24-2015-Young videos\Test 326.szv,1.6,5.6,0.56,1.396,0.357,0.251,0.998,0.822,0.226,0.736,0.31,3.95,0.953,0.813,1.47,0.2585,0.2762
327,9893,8,8/29/2015,10:02,am,"mzempare, ncarey",CAS2_August24-2015-Young videos\Test 327.szv,0.4,1.5,0.097,0.37,0.243,0.247,0.849,0.983,0.029,0.181,0.01,0.23,0.843,0.972,0.01,0.2468,0.294
328,9894,8,8/29/2015,10:02,am,"mzempare, ncarey",CAS2_August24-2015-Young videos\Test 328.szv,3.5,3.5,1.056,1.056,0.304,0.304,0.977,0.977,0.567,0.567,1.82,1.82,0.979,0.979,0.24,0.2583,0.2545
329,9895,8,8/29/2015,10:03,am,"mzempare, ncarey",CAS2_August24-2015-Young videos\Test 329.szv,0.1,1.6,0.04,0.449,0.404,0.28,1,0.964,0.034,0.241,0,0.37,,0.957,0.04,0.2652,0.287
330,9896,8,8/29/2015,10:03,am,"mzempare, ncarey",CAS2_August24-2015-Young videos\Test 330.szv,3.5,3.5,1.063,1.063,0.305,0.305,0.962,0.962,0.501,0.501,1.67,1.67,0.935,0.935,0.15,0.2332,0.2545
