Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,Probe: TTR to 30s; Duration (s),Base; Duration (s),Probe: TTR to 30s; Distance (m),Base; Distance (m),Probe: TTR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe: TTR to 30s; Path efficiency,Base; Path efficiency,Probe: TTR to 30s; Q1 : time (s),Base; Q1 : time (s),Probe: TTR to 30s; Q2 : time (s),Base; Q2 : time (s),Probe: TTR to 30s; Q3 : time (s),Base; Q3 : time (s),Probe: TTR to 30s; Q4 : time (s),Base; Q4 : time (s),Probe: TTR to 30s; Platform : entries,Base; Platform : entries,Probe: TTR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe: TTR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe: TTR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),Probe: TTR to 30s; % time in Goal Quadrant 30s,Base; % time in Goal Quadrant 30s,Probe: TTR to 30s; % time in Goal Quadrant 60s,Base; % time in Goal Quadrant 60s
241,9897,1,8/27/2015,15:48,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 241.szv,25.3,60,6.865,14.616,0.271,0.244,0.042,0.102,5.6,17.3,7.6,17.8,10.1,21.2,2.1,3.1,0,1,0.664,0.662,16.81,39.32,,0.087,36.55,19,58,9,29
242,9898,1,8/27/2015,15:50,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 242.szv,25.5,60,6.751,15.415,0.265,0.257,0.078,0.058,6.1,12.3,6.3,11.7,4.5,17.7,7.4,17.1,2,2,0.577,0.713,14.05,41.95,0.907,0.643,39.33,20,41,10,21
243,9899,1,8/27/2015,15:51,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 243.szv,26.4,60,6.722,15.369,0.255,0.256,0.221,0.08,11.7,21.6,4.4,11,1.2,12.9,8.6,12.9,1,3,0.454,0.508,11.76,29.71,0.054,0.153,28.04,39,72,19,36
244,9900,1,8/27/2015,15:52,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 244.szv,25.8,60,6.348,15.153,0.246,0.253,0.078,0.042,8.5,20.7,5.6,11.1,9.3,15,2,11.5,1,3,0.445,0.444,11.27,25.92,0.031,0.249,23.63,28,69,14,35
245,9901,1,8/27/2015,15:53,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 245.szv,26,60,7.613,16.366,0.293,0.273,0.007,0.005,8.3,15.9,7.2,13.1,6.5,12.4,3.4,17.5,1,2,0.595,0.568,15.12,33.48,0.06,0.131,31.34,28,53,14,27
246,9902,1,8/27/2015,15:55,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 246.szv,25.5,60,6.16,15.454,0.242,0.258,0.037,0.082,13.5,22.4,8,17.9,1.7,11.5,0.7,6.7,5,5,0.264,0.471,6.32,27.51,0.138,0.432,24.8,45,75,23,37
247,9903,1,8/27/2015,15:56,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 247.szv,26.3,60,7.567,16.912,0.288,0.282,0.05,0.047,8.9,16.6,11.7,21.3,0,12.2,4.8,8.6,2,3,0.486,0.563,12.38,33.11,0.247,0.333,31.12,30,55,15,28
248,9904,1,8/27/2015,15:57,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 248.szv,25.4,60,7.22,16.283,0.284,0.271,0.069,0.097,7.7,16.5,5.7,11.9,3.2,11.3,8.2,19.8,1,1,0.493,0.559,12.25,33.2,0.976,0.645,30.26,26,55,13,28
249,9905,1,8/27/2015,15:59,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 249.szv,25,60,6.176,13.824,0.247,0.23,0.047,0.108,10.8,33.5,2.7,5.7,3.9,6.1,7,13.4,1,4,0.39,0.329,9.53,19.26,0.023,0.155,16.35,36,112,18,56
250,9906,1,8/27/2015,16:00,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 250.szv,26,60,7.395,15.441,0.284,0.257,0.016,0.066,6.5,16.3,1.3,7,8.2,16.4,9.1,19.3,2,2,0.546,0.624,13.7,36.88,0.986,0.586,34.8,22,54,11,27
