Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,AQ D4: TTR to End of test; Duration (s),Base; Duration (s),AQ D4: TTR to End of test; Distance (m),Base; Distance (m),AQ D4: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),AQ D4: TTR to End of test; Path efficiency,Base; Path efficiency,AQ D4: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ D4: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ D4: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),AQ D4: TTR to End of test; Avg speed: AQ D4 (m/s),Base; Avg speed: AQ D4 (m/s)
181,9897,19,8/27/2015,9:21,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 181.szv,36.4,39.8,9.493,10.613,0.261,0.267,0.131,0.091,0.52,0.565,18.91,22.47,,,20.92,0.2503,0.2613
182,9897,20,8/27/2015,9:22,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 182.szv,35.4,39.4,7.638,8.65,0.216,0.22,0.084,0.127,0.622,0.641,22.01,25.23,0.081,0.121,22.67,0.2503,0.2613
183,9898,19,8/27/2015,9:23,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 183.szv,33.2,36.6,9.334,10.41,0.281,0.285,0.144,0.097,0.728,0.752,24.15,27.52,0.127,0.084,26.13,0.261,0.2583
184,9898,20,8/27/2015,9:24,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 184.szv,14.3,17.3,3.503,4.003,0.245,0.232,0.19,0.235,0.473,0.504,6.74,8.71,,,7.39,0.261,0.2583
185,9899,19,8/27/2015,9:25,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 185.szv,9.1,11.1,2.398,2.987,0.264,0.27,0.365,0.239,0.78,0.753,6.98,8.24,0.334,0.189,7.62,0.3017,0.2852
186,9899,20,8/27/2015,9:25,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 186.szv,28.3,29.7,6.382,6.704,0.226,0.226,0.034,0.079,0.454,0.445,12.83,13.22,0.014,0.058,12.86,0.3017,0.2852
187,9900,19,8/27/2015,9:27,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 187.szv,3.2,3.2,1.059,1.059,0.331,0.331,0.923,0.923,0.495,0.495,1.58,1.58,,,0.22,0.2568,0.2842
188,9900,20,8/27/2015,9:27,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 188.szv,9.1,10.8,2.697,3.186,0.296,0.295,0.349,0.212,0.578,0.582,5.26,6.28,,,5.86,0.2568,0.2842
189,9901,19,8/27/2015,9:28,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 189.szv,20.9,24.5,5.685,6.751,0.272,0.276,0.183,0.153,0.676,0.732,14.12,17.94,,,16.08,0.3208,0.2752
190,9901,20,8/27/2015,9:28,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 190.szv,0.1,3,0.048,0.834,0.535,0.279,1,0.992,0.01,0.421,0,1.26,,0.988,0.1,0.3208,0.2752
