Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D5: TTR to End of test; Duration (s),Base; Duration (s),V D5: TTR to End of test; Distance (m),Base; Distance (m),V D5: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D5: TTR to End of test; Path efficiency,Base; Path efficiency,V D5: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D5: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D5: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D5: TTR to End of test; Avg speed: V D5 (m/s),Base; Avg speed: V D5 (m/s)
291,9897,5,8/28/2015,13:45,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 291.szv,5.1,8.4,0.911,1.883,0.179,0.225,0.715,0.516,0.236,0.443,1.14,3.6,0.707,0.461,1.95,0.2362,0.257
292,9898,5,8/28/2015,13:46,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 292.szv,3.5,6,0.768,1.332,0.22,0.222,0.799,0.552,0.224,0.384,0.7,2.16,0.71,0.46,1.36,0.2072,0.2388
293,9899,5,8/28/2015,13:46,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 293.szv,2.9,6.1,0.683,1.506,0.235,0.247,0.938,0.591,0.277,0.553,0.71,3.18,0.909,0.541,1.89,0.2142,0.2535
294,9900,5,8/28/2015,13:46,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 294.szv,4.5,8.2,0.824,1.866,0.185,0.229,0.786,0.529,0.22,0.54,0.98,4.41,,,2.56,0.2033,0.2467
295,9901,5,8/28/2015,13:47,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 295.szv,12.2,16.4,3.462,4.672,0.284,0.285,0.028,0.245,0.507,0.541,6.01,8.68,0.026,0.23,6.66,0.2295,0.2568
296,9902,5,8/28/2015,13:49,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 296.szv,1.1,3.1,0.103,0.72,0.094,0.232,0.936,0.804,0.048,0.223,0.04,0.65,0.751,0.659,0.18,0.1972,0.2365
297,9903,5,8/28/2015,13:49,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 297.szv,3.9,7.4,1.086,2.233,0.278,0.302,0.706,0.461,0.318,0.617,1.03,4.16,0.671,0.432,2.75,0.2423,0.268
298,9904,5,8/28/2015,13:49,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 298.szv,1,2.6,0.112,0.569,0.112,0.219,0.924,0.866,0.036,0.174,0.03,0.4,0.625,0.767,0.02,0.2238,0.257
299,9905,5,8/28/2015,13:50,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 299.szv,1.8,6.3,0.281,1.674,0.156,0.266,0.941,0.691,0.089,0.616,0.12,3.59,0.977,0.691,1.3,0.2182,0.2462
300,9906,5,8/28/2015,13:50,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 300.szv,2.8,7.1,0.744,1.993,0.266,0.281,0.987,0.592,0.301,0.792,0.7,5.26,0.988,0.573,3.08,0.2242,0.2585
