Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D6: TTR to End of test; Duration (s),Base; Duration (s),V D6: TTR to End of test; Distance (m),Base; Distance (m),V D6: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D6: TTR to End of test; Path efficiency,Base; Path efficiency,V D6: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D6: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D6: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D6: TTR to End of test; Avg speed: V D6 (m/s),Base; Avg speed: V D6 (m/s)
321,9975,8,10/17/2015,9:17,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 321.szv,1.2,4.8,0.243,1.301,0.202,0.271,1.054,0.668,0.099,0.548,0.1,2.53,0.906,0.657,1.2,0.1917,0.237
322,9976,8,10/17/2015,9:17,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 322.szv,0.3,2.7,0.055,0.752,0.185,0.279,0.925,0.967,0.042,0.333,0.01,0.9,,,-0.02,0.2377,0.2877
323,9977,8,10/17/2015,9:18,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 323.szv,3.6,5.8,1.031,1.787,0.289,0.31,0.753,0.447,0.318,0.475,1.03,2.58,0.653,0.368,1.89,0.281,0.2915
324,9978,8,10/17/2015,9:18,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 324.szv,2.3,6.3,0.467,1.558,0.206,0.249,0.947,0.656,0.181,0.596,0.41,3.73,,,1.5,0.2402,0.2625
325,9979,8,10/17/2015,9:18,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 325.szv,0.1,2.9,0.017,0.826,0.17,0.285,1,0.991,0.012,0.392,0,1.12,,0.926,0.05,0.2592,0.274
326,9980,8,10/17/2015,9:19,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 326.szv,6.5,9.6,1.906,2.85,0.293,0.297,0.437,0.331,0.701,0.77,4.4,7.22,0.426,0.309,5.91,0.2737,0.2847
327,9981,8,10/17/2015,9:19,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 327.szv,4.6,4.6,1.283,1.283,0.279,0.279,0.951,0.951,0.629,0.629,2.7,2.7,0.947,0.947,0.23,0.2567,0.2537
328,9982,8,10/17/2015,9:20,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 328.szv,1.5,5.4,0.388,1.514,0.259,0.28,0.996,0.699,0.172,0.674,0.25,3.62,0.986,0.695,1.58,0.2153,0.2697
329,9983,8,10/17/2015,9:20,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 329.szv,4.8,4.8,1.34,1.34,0.28,0.28,0.877,0.877,0.606,0.606,2.73,2.73,0.881,0.881,0.39,0.207,0.2397
330,9984,8,10/17/2015,9:20,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 330.szv,0.7,3.4,0.091,0.874,0.135,0.259,0.913,0.858,0.029,0.373,0.02,1.24,0.741,0.854,0.19,0.2243,0.2683
