Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,AQ D2: TTR to End of test; Duration (s),Base; Duration (s),AQ D2: TTR to End of test; Distance (m),Base; Distance (m),AQ D2: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),AQ D2: TTR to End of test; Path efficiency,Base; Path efficiency,AQ D2: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ D2: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ D2: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),AQ D2: TTR to End of test; Avg speed: AQ D2 (m/s),Base; Avg speed: AQ D2 (m/s)
61,10484,7,7/11/2017,10:18,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 61.szv,54.8,60.0,11.766,12.898,0.215,0.215,0.138,0.09,0.738,0.746,40.45,44.75,,,42.04,0.1998,0.2007
62,10484,8,7/11/2017,10:21,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 62.szv,55.6,60.0,11.325,12.306,0.204,0.205,0.044,0.106,0.641,0.669,35.64,40.14,,,38.29,0.1998,0.2007
63,10485,7,7/11/2017,10:23,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 63.szv,58.1,60.0,12.547,12.915,0.216,0.215,0.031,0.055,0.761,0.748,44.18,44.84,,,44.45,0.2045,0.2097
64,10485,8,7/11/2017,10:25,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 64.szv,54.5,60.0,9.052,10.247,0.166,0.171,0.045,0.098,0.686,0.693,37.4,41.59,,,37.72,0.2045,0.2097
65,10486,7,7/11/2017,10:27,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 65.szv,56.0,60.0,10.79,11.868,0.193,0.198,0.143,0.066,0.776,0.755,43.43,45.31,,,43.75,0.1942,0.196
66,10486,8,7/11/2017,10:29,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 66.szv,24.9,29.3,5.438,6.281,0.218,0.214,0.214,0.163,0.884,0.906,22.02,26.55,,,24.77,0.1942,0.196
67,10487,7,7/11/2017,10:30,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 67.szv,55.3,60.0,10.866,11.495,0.197,0.192,0.079,0.099,0.771,0.791,42.64,47.46,,,44.55,0.2055,0.2197
68,10487,8,7/11/2017,10:32,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 68.szv,58.0,60.0,12.849,13.135,0.222,0.219,0.061,0.05,0.684,0.676,39.67,40.57,,,40.09,0.2055,0.2197
69,10488,7,7/11/2017,10:34,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 69.szv,7.7,12.6,2.059,3.329,0.268,0.265,0.585,0.356,0.816,0.912,6.26,11.46,0.587,0.354,8.77,0.2363,0.24
70,10488,8,7/11/2017,10:34,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 70.szv,57.9,60.0,16.37,16.929,0.283,0.282,0.027,0.024,0.724,0.72,41.89,43.2,,,42.9,0.2363,0.24
