Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,Probe: TTR to 30s; Duration (s),Base; Duration (s),Probe: TTR to 30s; Distance (m),Base; Distance (m),Probe: TTR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe: TTR to 30s; Path efficiency,Base; Path efficiency,Probe: TTR to 30s; Q1 : time (s),Base; Q1 : time (s),Probe: TTR to 30s; Q2 : time (s),Base; Q2 : time (s),Probe: TTR to 30s; Q3 : time (s),Base; Q3 : time (s),Probe: TTR to 30s; Q4 : time (s),Base; Q4 : time (s),Probe: TTR to 30s; Platform : entries,Base; Platform : entries,Probe: TTR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe: TTR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe: TTR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),Probe: TTR to 30s; % time in Goal Quadrant 30s,Base; % time in Goal Quadrant 30s,Probe: TTR to 30s; % time in Goal Quadrant 60s,Base; % time in Goal Quadrant 60s
241,10484,1,7/13/2017,12:27,pm,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 241.szv,25.1,60,6.219,14.349,0.248,0.239,0.02,0.049,6.7,16.1,7.0,17.7,4.8,13.9,6.0,10.9,1,2,0.515,0.614,12.62,36.01,0.06,0.212,33.05,22,54,12,30
242,10485,1,7/13/2017,12:28,pm,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 242.szv,26.3,60,6.224,13.163,0.237,0.219,0.097,0.046,8.7,13.6,6.6,15.4,6.5,18.2,4.5,12.7,0,0,0.561,0.639,14.77,38.34,,,36.82,29,45,11,26
243,10486,1,7/13/2017,12:30,pm,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 243.szv,25.8,60,4.979,9.078,0.193,0.151,0.336,0.069,5.3,11.9,7.0,10.2,7.7,8.7,5.9,29.3,0,0,0.771,0.707,19.89,42.41,,,41.05,18,40,12,17
244,10487,1,7/13/2017,12:32,pm,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 244.szv,25.2,60,6.035,14.284,0.239,0.238,0.111,0.074,3.2,10.2,9.3,16.3,8.6,18.3,4.1,14.5,0,1,0.707,0.687,17.83,40.69,,0.132,37.92,11,34,16,27
245,10488,1,7/13/2017,12:34,pm,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 245.szv,25.5,60,6.059,13.599,0.238,0.227,0.086,0.022,2.6,12.2,10.6,22.9,9.3,17.1,3.0,7.7,0,0,0.723,0.672,18.44,40.31,,,37.94,9,41,18,38
246,10489,1,7/13/2017,12:36,pm,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 246.szv,25.9,60,6.663,14.93,0.257,0.249,0.173,0.078,7.7,13.6,3.7,16.8,6.8,14.4,7.0,14.0,1,2,0.611,0.604,15.42,35.5,0.999,0.69,33.37,26,45,6,28
247,10490,1,7/13/2017,12:38,pm,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 247.szv,25.4,60,6.019,12.178,0.237,0.203,0.143,0.039,7.4,29.8,4.9,9.6,5.6,7.1,7.5,12.1,0,2,0.696,0.495,17.68,29.0,,0.115,26.85,25,99,8,16
248,10491,1,7/13/2017,12:40,pm,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 248.szv,25.4,60,6.562,14.43,0.258,0.241,0.165,0.025,5.3,16.0,8.8,17.3,6.9,15.9,4.5,9.5,0,2,0.623,0.554,15.82,32.53,,0.116,29.98,18,53,15,29
249,10492,1,7/13/2017,12:42,pm,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 249.szv,28.7,60,7.223,14.581,0.252,0.243,0.138,0.059,5.3,11.0,6.6,13.5,6.4,17.9,9.7,16.8,1,1,0.623,0.707,17.44,41.89,0.03,0.056,41.68,18,37,11,23
250,10493,1,7/13/2017,12:44,pm,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 250.szv,25.4,60,5.491,12.473,0.216,0.208,0.073,0.042,13.4,20.6,2.5,8.7,3.0,13.7,5.7,15.8,1,2,0.39,0.556,9.57,32.64,0.054,0.967,30.39,45,69,4,14
