Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D5: TTR to End of test; Duration (s),Base; Duration (s),V D5: TTR to End of test; Distance (m),Base; Distance (m),V D5: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D5: TTR to End of test; Path efficiency,Base; Path efficiency,V D5: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D5: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D5: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D5: TTR to End of test; Avg speed: V D5 (m/s),Base; Avg speed: V D5 (m/s)
251,10484,1,7/14/2017,9:27,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 251.szv,8.3,11.3,1.261,1.83,0.153,0.163,0.557,0.337,0.288,0.357,2.37,4.01,0.509,0.266,3.27,0.0815,0.1637
252,10485,1,7/14/2017,9:28,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 252.szv,5.0,8.2,2.646,3.565,0.53,0.435,0.258,0.428,0.283,0.506,0.91,3.26,0.904,0.499,2.67,0.2607,0.2537
253,10486,1,7/14/2017,9:28,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 253.szv,56.3,60.0,8.445,8.722,0.15,0.145,0.025,0.034,0.478,0.478,26.91,28.69,,,27.68,0.15,0.145
254,10487,1,7/14/2017,9:32,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 254.szv,2.6,7.5,1.193,2.146,0.463,0.287,0.117,0.477,0.081,0.319,0.12,2.03,0.947,0.918,0.12,0.1468,0.1928
255,10488,1,7/14/2017,9:32,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 255.szv,4.4,8.2,0.394,1.434,0.09,0.176,0.766,0.763,0.05,0.428,0.1,2.45,0.718,0.747,0.39,0.3073,0.2468
256,10489,1,7/14/2017,9:33,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 256.szv,2.2,7.0,0.226,1.441,0.103,0.206,0.918,0.847,0.041,0.509,0.03,2.81,0.822,0.837,0.16,0.1843,0.2252
257,10490,1,7/14/2017,9:33,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 257.szv,4.4,7.4,0.776,1.763,0.178,0.239,0.901,0.461,0.245,0.511,0.54,2.65,0.923,0.443,1.79,0.1765,0.2372
258,10491,1,7/14/2017,9:34,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 258.szv,8.6,14.0,1.096,2.183,0.127,0.156,0.713,0.544,0.383,0.566,3.29,7.93,,,4.13,0.1508,0.1983
259,10492,1,7/14/2017,9:34,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 259.szv,30.8,34.2,8.429,9.45,0.274,0.276,0.112,0.103,0.594,0.614,18.28,20.98,,,19.94,0.1835,0.221
260,10493,1,7/14/2017,9:35,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 260.szv,10.5,12.9,2.072,2.563,0.197,0.199,0.326,0.225,0.38,0.408,3.7,4.95,0.291,0.194,4.35,0.1672,0.1998
