AnyMaze_#,Barnes_ID,Tail_Marking,Experiment,Cohort,Strain,Genotype,Sex,Date_Birth,Date_Received,Date_Start_SpatialWatermaze,Age_mo,Weight_g,Housing,Subsequent_Measures,AnyMaze_File,Notes
1,10484,1 Purple,Cognitive Aptitude Study,13,F344,WT,M,7/1/2015,6/28/2017,7/10/2017,24.7,423,single,y,CAS13_Old_Purple_07.10.17.szd,Slight wheezing
2,10485,2 Purple,Cognitive Aptitude Study,13,F344,WT,M,7/1/2015,6/28/2017,7/10/2017,24.7,407,single,y,CAS13_Old_Purple_07.10.17.szd,N/A
3,10486,3 Purple,Cognitive Aptitude Study,13,F344,WT,M,7/1/2015,6/28/2017,7/10/2017,24.7,428,single,y,CAS13_Old_Purple_07.10.17.szd,Slight wheezing. Only completed Visible trials 1 and 2.
4,10487,4 Purple,Cognitive Aptitude Study,13,F344,WT,M,7/1/2015,6/28/2017,7/10/2017,24.7,400,single,y,CAS13_Old_Purple_07.10.17.szd,N/A
5,10488,5 Purple,Cognitive Aptitude Study,13,F344,WT,M,7/1/2015,6/28/2017,7/10/2017,24.7,419,single,y,CAS13_Old_Purple_07.10.17.szd,N/A
6,10489,6 Purple,Cognitive Aptitude Study,13,F344,WT,M,7/1/2015,6/28/2017,7/10/2017,24.7,392,single,y,CAS13_Old_Purple_07.10.17.szd,N/A
7,10490,7 Purple,Cognitive Aptitude Study,13,F344,WT,M,7/1/2015,6/28/2017,7/10/2017,24.7,337,single,y,CAS13_Old_Purple_07.10.17.szd,Pale skin
8,10491,8 Purple,Cognitive Aptitude Study,13,F344,WT,M,7/1/2015,6/28/2017,7/10/2017,24.7,400,single,y,CAS13_Old_Purple_07.10.17.szd,N/A
9,10492,9 Purple,Cognitive Aptitude Study,13,F344,WT,M,7/1/2015,6/28/2017,7/10/2017,24.7,400,single,y,CAS13_Old_Purple_07.10.17.szd,N/A
10,10493,10 Purple,Cognitive Aptitude Study,13,F344,WT,M,7/1/2015,6/28/2017,7/10/2017,24.7,407,single,y,CAS13_Old_Purple_07.10.17.szd,N/A
