trial_num,trial_name,trial_type,protocol_day,new_suffix
1,swim01,spatial,1,_s_1
2,swim02,spatial,1,_s_2
3,swim03,spatial,1,_s_3
4,swim01,spatial,2,_s_4
5,swim02,spatial,2,_s_5
6,swim03,probe,2,_p_1
7,swim01,spatial,3,_s_6
8,swim02,spatial,3,_s_7
9,swim03,spatial,3,_s_8
10,swim01,spatial,4,_s_9
11,swim02,spatial,4,_s_10
12,swim03,probe,4,_p_2
13,swim01,spatial,5,_s_11
14,swim02,spatial,5,_s_12
15,swim03,spatial,5,_s_13
16,swim01,spatial,6,_s_14
17,swim02,spatial,6,_s_15
18,swim03,probe,6,_p_3
19,swim01,spatial,7,_s_16
20,swim02,spatial,7,_s_17
21,swim03,spatial,7,_s_18
22,swim01,spatial,8,_s_19
23,swim02,spatial,8,_s_20
24,swim03,probe,8,_p_4
25,swim01,visible,9,_c_1
26,swim02,visible,9,_c_2
27,swim03,visible,9,_c_3
28,swim04,visible,9,_c_4
29,swim05,visible,9,_c_5
30,swim06,visible,9,_c_6
