TRIALISx,TXPNAMEx,RUNDATEx,RUNTIMEx,STARTPTx,SUBJECTx,DESCRIPT,MAXTIMsc,LATENTsc,PATHISmt,SPEEDmts,xTIMEFLT,HEADGdeg,THGTIMEx,THGPATHx,SLICEISx,SLCxONsc,SLCxGOsc,QUAD1xsc,QUAD2xsc,QUAD3xsc,QUAD4xsc,QUAD1xmt,QUAD2xmt,QUAD3xmt,QUAD4xmt,PROXIMmt,PROXmt01,PROXmt02,PROXmt03,PROXmt04,GALCUMms,CUMUms01,CUMUms02,CUMUms03,CUMUms04
001CW10262,BurkeCW102,10/26/2023,9:51:18,N,1806,swim01,90,31.2,8.78,0.28,2.4,-70.3,38.1,33.9,ok,0,90,43.9,21.4,9.6,25,38.2,25.5,13.3,22.8,0.94,0.94,0.73,0.91,1.04,29.34,29.34,22.66,28.47,32.35
002CW10262,BurkeCW102,10/26/2023,9:53:30,E,1806,swim02,90,45.2,11.71,0.26,0.7,-88,24.1,18.4,ok,0,90,17.2,39.8,32,10.8,16.2,37.5,34,12.1,1.04,1.1,1.04,0.53,0.6,46.81,49.64,46.81,24.11,27.15
003CW10262,BurkeCW102,10/26/2023,9:55:06,SW,1806,swim03,90,3.1,0.55,0.18,22.4,0.9,32.3,40.7,ok,0,90,0,0,100,0,0,0,100,0,0.13,1.17,1.44,0.52,0.13,0.41,3.63,4.47,1.63,0.41
004CW10262,BurkeCW102,10/26/2023,9:58:00,N,1807,swim01,90,9.3,2.38,0.26,2,-69.8,11.8,6.8,ok,0,90,17.2,0,31.1,51.6,20,0,25.4,54.4,0.52,0.52,1.03,0.95,0.79,4.88,4.88,9.58,8.85,7.38
005CW10262,BurkeCW102,10/26/2023,9:59:54,E,1807,swim02,90,10.4,2.53,0.24,0.8,-109.7,67.3,54.8,ok,0,90,33.6,66.3,0,0,31.7,68.2,0,0,0.67,1.45,0.67,0.63,1.03,6.96,15.12,6.96,6.52,10.73
006CW10262,BurkeCW102,10/26/2023,10:01:11,SW,1807,swim03,90,2.8,0.54,0.19,10.6,-7.3,21.4,27,ok,0,90,0,0,100,0,0,0,99.9,0,0.11,1.14,1.39,0.49,0.11,0.3,3.18,3.89,1.36,0.3
007CW10262,BurkeCW102,10/26/2023,10:03:17,N,1808,swim01,90,17.3,5.29,0.31,0.4,-30,32.9,29.5,ok,0,90,33.5,30,6.3,30,30.5,29,9.1,31.2,0.96,0.96,0.8,0.78,0.94,16.67,16.67,13.77,13.56,16.24
008CW10262,BurkeCW102,10/26/2023,10:06:20,E,1808,swim02,90,12.1,3.75,0.31,2.3,-43.5,28.9,19.9,ok,0,90,41.3,31.4,27.2,0,35.4,37.6,26.8,0,0.77,1.24,0.77,0.59,0.76,9.35,15.05,9.35,7.17,9.17
009CW10262,BurkeCW102,10/26/2023,10:07:41,SW,1808,swim03,90,2,0.4,0.2,4.9,-12,35,40.4,ok,0,90,0,0,100,0,0,0,100,0,0.14,1.16,1.47,0.57,0.14,0.27,2.31,2.94,1.14,0.27
010CW10262,BurkeCW102,10/26/2023,10:10:09,N,1809,swim01,90,12.8,4.56,0.36,2.2,-111.3,65.6,61.5,ok,0,90,19.5,32,29.6,18.7,23.1,31,30.4,15.3,1.08,1.08,1.14,0.81,0.82,13.84,13.84,14.59,10.34,10.45
011CW10262,BurkeCW102,10/26/2023,10:12:24,E,1809,swim02,90,8.3,1.86,0.22,4.7,-93.8,53,38.5,ok,0,90,67.4,32.5,0,0,61.1,38.8,0,0,0.38,1.24,0.38,0.88,1.19,3.18,10.32,3.18,7.31,9.9
012CW10262,BurkeCW102,10/26/2023,10:14:21,SW,1809,swim03,90,32.1,10.88,0.34,11.7,36.6,38.9,34.2,ok,0,90,10.9,41.7,37.6,9.6,11.5,50.6,26.5,11.1,0.65,1.18,1.06,0.6,0.65,20.96,37.81,33.97,19.24,20.96
013CW10262,BurkeCW102,10/26/2023,10:19:17,N,1810,swim01,90,51.3,17.53,0.34,0.6,-106.6,47.2,40.6,ok,0,90,9.7,40.3,31.1,18.7,14.5,37.2,29.3,18.8,1.08,1.08,1.12,0.67,0.72,55.3,55.3,57.35,34.59,36.88
014CW10262,BurkeCW102,10/26/2023,10:20:50,E,1810,swim02,90,14.5,4.28,0.3,3.3,-93.2,33.8,30.9,ok,0,90,33.7,15.8,31.7,18.6,25.3,18.5,32.9,23.1,0.92,0.98,0.92,0.76,0.77,13.29,14.21,13.29,11.06,11.09
015CW10262,BurkeCW102,10/26/2023,10:22:23,SW,1810,swim03,90,1.8,0.3,0.17,16.5,-76.6,0,0,ok,0,90,0,0,100,0,0,0,100,0,0.12,1.04,1.4,0.57,0.12,0.22,1.87,2.52,1.03,0.22
016CW10262,BurkeCW102,10/26/2023,10:24:30,N,1811,swim01,90,15.3,4.31,0.28,0.5,-118.4,31.4,26.7,ok,0,90,20.9,34.6,18.3,26.1,25.8,32.3,22,19.6,0.89,0.89,1.02,0.74,0.78,13.59,13.59,15.68,11.26,12.01
017CW10262,BurkeCW102,10/26/2023,10:25:45,E,1811,swim02,90,10.2,2.96,0.29,1.8,-45.8,11.8,4.6,ok,0,90,54.9,0.9,16.6,27.4,53.5,1.4,16.9,28,0.6,0.83,0.6,0.85,0.95,6.07,8.51,6.07,8.71,9.67
018CW10262,BurkeCW102,10/26/2023,10:27:16,SW,1811,swim03,90,0.1,0,0,99.9,0,100,0,ok,0,90,100,0,0,0,0,0,0,0,1.25,1.46,0.43,0.86,1.25,0.12,0.15,0.04,0.09,0.12
019CW10262,BurkeCW102,10/26/2023,10:29:17,N,1838,swim01,90,29.7,9.5,0.32,1.5,-125.8,45.5,44.9,ok,0,90,16.1,34.3,24.9,24.5,18.3,35.2,27.6,18.7,1.01,1.01,1.04,0.77,0.8,30.12,30.12,30.95,22.85,23.87
020CW10262,BurkeCW102,10/26/2023,10:30:38,E,1838,swim02,90,8.1,2.2,0.27,2.3,-119.4,28.4,24.3,ok,0,90,49.3,50.6,0,0,39.5,60.4,0,0,0.53,1.33,0.53,0.71,1.07,4.26,10.76,4.26,5.72,8.64
021CW10262,BurkeCW102,10/26/2023,10:32:07,SW,1838,swim03,90,8.9,2.69,0.3,1,25.9,23.6,21.5,ok,0,90,0,56.1,43.8,0,0,64.4,35.5,0,0.49,1.27,1.1,0.39,0.49,4.33,11.27,9.76,3.44,4.33
022CW10262,BurkeCW102,10/26/2023,10:34:22,N,1839,swim01,90,3.4,0.73,0.22,2.8,9.6,94.1,94.9,ok,0,90,0,0,0,100,0,0,0,100,0.18,0.18,1.18,1.36,1.21,0.61,0.61,4,4.61,4.11
023CW10262,BurkeCW102,10/26/2023,10:35:53,E,1839,swim02,90,2.2,0.51,0.23,4.4,-16.9,68.2,76.6,ok,0,90,100,0,0,0,99.9,0,0,0,0.18,1.31,0.18,1.02,1.34,0.39,2.88,0.39,2.24,2.94
024CW10262,BurkeCW102,10/26/2023,10:37:42,SW,1839,swim03,90,2.2,0.53,0.24,4.4,-3.9,45.5,49.8,ok,0,90,0,0,100,0,0,0,100,0,0.17,1.21,1.51,0.58,0.17,0.37,2.66,3.31,1.27,0.37
025CW10262,BurkeCW102,10/26/2023,10:39:17,N,1840,swim01,90,15.6,3.85,0.25,2.4,-116.7,46.2,39.9,ok,0,90,57.6,21.1,0,21.1,53.3,25.3,0,21.3,0.96,0.96,0.56,0.97,1.17,14.9,14.9,8.67,15.19,18.18
026CW10262,BurkeCW102,10/26/2023,10:40:41,E,1840,swim02,90,14.8,4.34,0.29,0.5,-122,27,20.4,ok,0,90,22.2,40.5,37.1,0,14.9,43.8,41.2,0,0.85,1.12,0.85,0.64,0.77,12.57,16.59,12.57,9.47,11.43
027CW10262,BurkeCW102,10/26/2023,10:42:09,SW,1840,swim03,90,4.6,1.31,0.28,2,-82.7,34.8,34.3,ok,0,90,0,0,100,0,0,0,99.9,0,0.37,0.9,1.41,0.73,0.37,1.71,4.13,6.49,3.37,1.71
028CW10262,BurkeCW102,10/26/2023,10:44:18,N,1841,swim01,90,11,4.23,0.38,2.6,-102.6,69.1,63.7,ok,0,90,21.8,27.2,26.3,24.5,24,28.1,29.4,18.3,0.94,0.94,1.12,0.83,0.81,10.31,10.31,12.27,9.12,8.96
029CW10262,BurkeCW102,10/26/2023,10:45:36,E,1841,swim02,90,2.1,0.51,0.25,9.4,0,52.4,46.9,ok,0,90,100,0,0,0,99.9,0,0,0,0.16,1.27,0.16,0.99,1.3,0.34,2.67,0.34,2.07,2.73
030CW10262,BurkeCW102,10/26/2023,10:47:24,SW,1841,swim03,90,11,3.48,0.32,1.7,-67.1,30.9,28,ok,0,90,10,44.5,37.2,8.1,11.8,42.7,33,12.4,0.56,1.18,1.11,0.51,0.56,6.21,12.97,12.24,5.6,6.21
031CW10262,BurkeCW102,10/26/2023,10:58:38,SE,1806,swim04,90,61.4,15.57,0.25,0.7,-38.8,25.4,17.2,ok,0,90,7,54.5,28,10.4,6.7,52.7,28.1,12.3,0.98,1.17,0.98,0.49,0.66,60.44,71.86,60.44,29.89,40.42
032CW10262,BurkeCW102,10/26/2023,11:00:36,NW,1806,swim05,90,10.4,2.17,0.21,5.6,-11.5,2.9,2.3,ok,0,90,37.5,17.3,6.7,38.4,32.2,14,11,42.5,0.69,0.72,0.82,0.69,0.75,7.13,7.44,8.51,7.13,7.8
033CW10262,BurkeCW102,10/26/2023,11:01:48,S,1806,swim06,90,6.1,1.71,0.28,4.8,32.5,21.3,10,ok,0,90,0,50.8,1.6,47.5,0,51.6,2.1,46.2,0.81,0.81,1.06,0.6,0.67,4.94,4.94,6.44,3.66,4.12
034CW10262,BurkeCW102,10/26/2023,11:03:29,SE,1807,swim04,90,9.5,2.79,0.29,0.9,-94.3,12.6,7.2,ok,0,90,31.5,15.7,32.6,20,28.1,12.8,34.1,24.8,0.88,0.93,0.88,0.72,0.71,8.36,8.87,8.36,6.85,6.77
035CW10262,BurkeCW102,10/26/2023,11:04:49,NW,1807,swim05,90,5.6,1.76,0.31,1.6,15.3,3.6,1.7,ok,0,90,0,19.6,48.2,32.1,0,11,53.7,35.1,0.61,0.83,1.22,0.61,0.46,3.42,4.65,6.85,3.42,2.56
036CW10262,BurkeCW102,10/26/2023,11:06:13,S,1807,swim06,90,22.4,7.89,0.35,2.1,100.2,54.5,39.1,ok,0,90,13.3,42.4,27.6,16.5,11.2,34.9,31.4,22.3,1.15,1.15,1.14,0.66,0.73,25.84,25.84,25.45,14.74,16.31
