TRIALISx,TXPNAMEx,RUNDATEx,RUNTIMEx,STARTPTx,SUBJECTx,DESCRIPT,MAXTIMsc,LATENTsc,PATHISmt,SPEEDmts,xTIMEFLT,HEADGdeg,THGTIMEx,THGPATHx,SLICEISx,SLCxONsc,SLCxGOsc,QUAD1xsc,QUAD2xsc,QUAD3xsc,QUAD4xsc,QUAD1xmt,QUAD2xmt,QUAD3xmt,QUAD4xmt,PROXIMmt,PROXmt01,PROXmt02,PROXmt03,PROXmt04,GALCUMms,CUMUms01,CUMUms02,CUMUms03,CUMUms04
001CW10192,BurkeCW101,10/19/2023,10:01:41,N,1806,swim03,90,90,17.95,0.2,9.4,41.5,35.8,31.5,ok,0,90,12.1,21,30.7,36.1,13.3,21,34.3,31.2,-1,0.85,1.1,0.82,0.75,-1,76.43,99.11,73.68,67.11
002CW10192,BurkeCW101,10/19/2023,10:07:48,W,1807,swim01,90,38.3,10.36,0.27,6.6,-108.1,53.8,43.7,ok,0,90,30.5,9.3,11.7,48.3,32.2,10,10.1,47.6,1,0.72,0.97,1.03,1,38.29,27.54,37.07,39.64,38.29
003CW10192,BurkeCW101,10/19/2023,10:09:27,SE,1807,swim02,90,18.5,5.07,0.27,0.9,106.1,55.1,51.5,ok,0,90,7.5,36.2,38.9,17.2,5.1,39.1,35.4,20.2,0.71,1.21,1.09,0.63,0.71,13.07,22.42,20.25,11.72,13.07
004CW10192,BurkeCW101,10/19/2023,10:12:29,N,1807,swim03,90,90,21.7,0.24,0.6,-65.6,57.3,50.5,ok,0,90,16.4,33.1,37.2,13.2,17.1,29.7,39.1,13.8,-1,1.08,1.1,0.75,0.76,-1,97.21,99.21,67.34,68.29
005CW10192,BurkeCW101,10/19/2023,10:16:15,W,1808,swim01,90,90,20.84,0.23,4.7,-44,96.3,93,ok,0,90,27.3,32.7,19.1,20.7,23.9,28,22.1,25.8,1.02,1.21,1.04,0.92,1.02,91.39,108.88,93.85,82.97,91.39
006CW10192,BurkeCW101,10/19/2023,10:18:31,SE,1808,swim02,90,90,19.06,0.21,2,119.5,92.6,90.9,ok,0,90,23.5,31.7,22.4,22.2,24,29.5,23,23.2,0.97,1.15,1.1,0.92,0.97,87.68,103.48,99.01,82.61,87.68
007CW10192,BurkeCW101,10/19/2023,10:21:49,N,1808,swim03,90,90,17.71,0.2,4.4,-21,85.2,82.4,ok,0,90,12.6,30.4,30.8,26,14.4,26.7,32.9,25.8,-1,1.08,1.22,0.89,0.88,-1,97.08,109.93,79.95,78.98
008CW10192,BurkeCW101,10/19/2023,10:24:26,W,1809,swim01,90,16.9,4.68,0.28,2.8,-127.6,69.2,67.4,ok,0,90,35.5,5.3,31.3,27.8,37.4,8.1,23.3,30.9,0.94,0.86,0.96,1,0.94,15.91,14.59,16.2,16.97,15.91
009CW10192,BurkeCW101,10/19/2023,10:25:38,SE,1809,swim02,90,26.4,7.64,0.29,2.5,-36.9,50.4,47.5,ok,0,90,12.1,23.8,48.1,15.9,13.2,23.4,45.4,17.8,0.6,1.05,1.23,0.69,0.6,15.74,27.81,32.39,18.3,15.74
010CW10192,BurkeCW101,10/19/2023,10:28:12,N,1809,swim03,90,90,18,0.2,0.5,56.8,15,11.6,ok,0,90,6.7,9,59,25.2,7.3,8.4,58.3,25.7,-1,0.8,1.15,0.75,0.59,-1,71.79,103.72,67.91,53.08
011CW10192,BurkeCW101,10/19/2023,10:30:58,W,1810,swim01,90,90,24.67,0.27,2.6,-44.2,66.1,59.3,ok,0,90,34.1,26,13,26.8,33.6,26,13.1,27.1,1.04,1.03,0.87,0.93,1.04,94.04,92.78,77.92,83.98,94.04
