study,pi_name,treatment,animal,protocol_id,age_category,months,age_mo,sex,strain,genotype,housing,light_on,light_off,tracking_system,rat_source,pool_diam,duration_c_1,duration_c_2,duration_c_3,duration_c_4,duration_c_5,cum_dist_c_1,cum_dist_c_2,cum_dist_c_3,cum_dist_c_4,cum_dist_c_5,duration_s_1,duration_s_2,duration_s_3,duration_s_4,duration_s_5,duration_s_6,cum_dist_s_1,cum_dist_s_2,cum_dist_s_3,cum_dist_s_4,cum_dist_s_5,cum_dist_s_6,timegoal_p_1,timeopp_p_1,di_p_1,timegoal_p_2,timeopp_p_2,di_p_2
Guidi 2014,Foster,Control,963.TF,Foster_WM_1,Mid Aged,14-Oct,12,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,18.62974033,36.59214733,14.45890233,2.780557667,11.01101,441.3902929,682.0410869,285.7341881,80.38643092,224.0969317,45.37871133,35.20186767,31.75397567,32.36569833,17.85118367,25.30308,1025.337065,793.1047241,694.8693435,834.1422959,430.2198135,601.8331475,26.69336,32.81058667,-0.102803713,28.63975167,29.47391667,-0.014354024
Guidi 2014,Foster,Control,1272.TF,Foster_WM_1,Mid Aged,14-Oct,12,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,52.552552,30.919808,15.79357067,11.845178,6.673339333,652.2751045,647.5106575,374.9807748,214.273032,122.0238067,41.541541,60.226893,26.08163667,29.251473,15.62673733,22.57813267,716.9884684,952.7325612,374.1110334,495.0285561,306.7422782,423.3956428,14.45890333,16.961405,-0.079645993,1.390278333,59.22589333,-0.954128468
Guidi 2014,Foster,Control,1170.TF,Foster_WM_1,Mid Aged,14-Oct,12,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,45.545545,23.85718967,15.79357067,9.342675333,26.359692,787.3244996,467.5768656,413.8013916,250.5209476,629.8870536,23.35668933,18.685351,25.35869133,23.634745,17.35068333,8.452896667,520.5988011,448.3406329,536.4662103,545.266149,340.470374,154.5447118,27.52752667,26.69336167,0.015384569,24.74697,32.81059,-0.140096627
Guidi 2014,Foster,Control,1168.TF,Foster_WM_1,Mid Aged,14-Oct,12,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,37.259481,28.80658333,47.71438033,18.18485067,8.063618667,776.9486433,590.8327771,981.4126307,386.9734444,180.6200489,42.598153,46.43532367,35.86920167,22.578133,17.68435033,8.842174667,914.2860621,1145.11445,904.5099573,587.724125,448.9259509,201.4464527,31.14225,30.03003,0.018181765,18.07363,27.52752667,-0.207317037
Guidi 2014,Foster,Control,956.TF,Foster_WM_1,Mid Aged,14-Oct,12,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,16.29407133,33.922811,22.80057767,23.18985567,25.80358067,309.2608325,603.2682521,446.7638141,469.6090813,601.506842,56.38972233,50.66177233,19.85318567,27.52752667,13.17984567,18.51851767,1234.120844,1102.10817,358.3080574,568.5329286,330.6829916,390.2927122,30.30808667,27.24947167,0.05314011,18.907795,49.49393833,-0.447154507
Guidi 2014,Foster,Control,1270.TF,Foster_WM_1,Mid Aged,14-Oct,12,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,27.41630433,28.13924967,25.02502433,13.12423467,11.567122,506.885047,487.1135022,609.9531446,176.148434,267.3244137,60.226893,54.554554,18.685351,29.08463967,53.49794167,24.913802,1280.440178,1264.20325,405.3692341,621.5948987,1160.18385,539.6111528,25.58113667,20.85418833,0.101796387,25.58113667,24.19085667,0.027932978
Guidi 2014,Foster,Control,1268.TF,Foster_WM_1,Mid Aged,14-Oct,12,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,40.206873,47.936825,18.46290633,20.46490867,15.68234833,814.298588,891.5586936,545.9745846,457.4446269,346.2681151,41.652763,34.979423,31.865198,32.47692067,35.42431233,21.35468733,885.7525219,782.1503006,813.2761945,763.9940331,868.5674372,490.8677538,28.36169333,22.80057833,0.108695623,33.08864333,22.52252333,0.18999997
Guidi 2014,Foster,Control,962.TF,Foster_WM_1,Mid Aged,14-Oct,12,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,25.52552467,14.570125,11.06662133,11.177844,8.286063333,533.6237781,333.8029189,293.142225,327.5490979,288.1909361,60.226893,41.930819,27.249471,23.85719,15.960404,21.52152067,1358.321243,996.3593435,639.6499466,528.6783227,395.3983838,543.1142166,30.58614167,21.96641,0.164021182,10.84417667,67.01145667,-0.721428593
Guidi 2014,Foster,Control,1174.TF,Foster_WM_1,Mid Aged,14-Oct,12,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,39.261483,22.80057767,37.982426,16.46090467,25.46991367,697.7253813,489.4393255,832.2826573,378.0118955,570.3407703,44.65576633,27.52752667,52.552552,31.03103033,26.86019267,41.43031867,1036.231796,603.9894391,1248.221807,732.7586257,672.1332163,921.4431423,32.532535,21.68835333,0.200000074,25.58113667,25.581135,3.26E-08
Guidi 2014,Foster,Control,1166.TF,Foster_WM_1,Mid Aged,14-Oct,12,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,28.75097267,30.30808533,18.85218467,30.08564067,28.75097233,583.9595286,631.7716636,446.176228,613.0564852,712.2923311,19.241463,16.12723767,11.73395533,14.959403,29.362695,23.69035633,476.5866436,405.6577295,304.9559077,364.6953269,718.2141118,580.3572894,34.20086667,18.351685,0.301587291,33.088645,17.51751667,0.307692341
Guidi 2014,Foster,Control,839.TF,Foster_WM_1,Mid Aged,14-Oct,12,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,28.80658367,60.226893,49.38271533,30.586141,9.731953667,586.1430581,1049.724807,836.1693498,576.3419832,239.5721621,43.37670933,44.655766,32.08764233,25.52552467,13.06862333,6.284061333,754.2058987,948.4793291,706.8869334,524.0344317,245.0710817,140.1146101,47.82560333,25.58113667,0.303030303,14.73695833,38.09365,-0.442105295
Guidi 2014,Foster,Control,1265.TF,Foster_WM_1,Mid Aged,14-Oct,12,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,25.636747,18.12923967,10.39928733,10.12123167,13.68034633,476.8699384,336.0856105,255.2270143,211.6476004,349.1912604,41.48592967,60.226893,35.924813,31.531531,8.063618667,13.56912367,899.5164456,1325.437573,881.3995675,835.7063536,175.9474972,304.9273728,37.25948167,18.62974,0.333333353,32.53253167,19.46390833,0.251336886
Guidi 2014,Foster,Control,1178.TF,Foster_WM_1,Mid Aged,14-Oct,12,M ,F344,WT,single,7:00,19:00,Ethovision,NIA,1.83,42.87620867,32.36569833,36.75898033,18.07362833,9.954398,686.7892327,550.6694553,689.8053227,340.0548067,190.3332953,31.80958667,19.57513,35.257479,10.566121,15.34868133,41.37470733,720.3699809,307.2150404,756.8518335,232.0050178,349.3239716,858.6701128,47.26949167,23.35669,0.338582677,30.58614,27.805585,0.047618991
