trial_num,trial_type,protocol_day,new_suffix,new_suffix2,protocol_time
1,spatial,1,_s_1,_1,0
2,spatial,1,_s_2,_2,60
3,spatial,1,_s_3,_3,120
4,spatial,2,_s_4,_4,86520
5,spatial,2,_s_5,_5,86580
6,probe,2,_p_1,_6,86640
7,spatial,3,_s_6,_7,173040
8,spatial,3,_s_7,_8,173100
9,spatial,3,_s_8,_9,173160
10,spatial,4,_s_9,_10,259560
11,spatial,4,_s_10,_11,259620
12,probe,4,_p_2,_12,259680
13,spatial,5,_s_11,_13,346080
14,spatial,5,_s_12,_14,346140
15,spatial,5,_s_13,_15,346200
16,spatial,6,_s_14,_16,432600
17,spatial,6,_s_15,_17,432660
18,probe,6,_p_3,_18,432720
19,spatial,7,_s_16,_19,519120
20,spatial,7,_s_17,_20,519180
21,spatial,7,_s_18,_21,519240
22,spatial,8,_s_19,_22,605640
23,spatial,8,_s_20,_23,605700
24,probe,8,_p_4,_24,605760
25,visible,9,_c_1,_25,692160
26,visible,9,_c_2,_26,692220
27,visible,9,_c_3,_27,692280
28,visible,9,_c_4,_28,692340
29,visible,9,_c_5,_29,692400
30,visible,9,_c_6,_30,692460
