AGE,MULT08B1,MULT10B1,MULT20B1,MULT30B1,GROUP,NUMBER,SLGROUP,YEAR,TAV08B1,TAV10B1,TAV20B1,TAV30B1,TAV08AB1,TAV10AB1,TAV20AB1,TAV30AB1,MULT08B2,MULT10B2,MULT20B2,MULT30B2,TAV08B2,TAV10B2,TAV20B2,TAV30B2,TAV08AB2,TAV10AB2,TAV20AB2,TAV30AB2,MULT08B3,MULT10B3,MULT20B3,MULT30B3,TAV08B3,TAV10B3,TAV20B3,TAV30B3,TAV08AB3,TAV10AB3,TAV20AB3,TAV30AB3,MULT08B4,MULT10B4,MULT20B4,MULT30B4,TAV08B4,TAV10B4,TAV20B4,TAV30B4,TAV08AB4,TAV10AB4,TAV20AB4,TAV30AB4,IDX08B1,IDX08B2,IDX08B3,IDX08B4,IDX10B1,IDX10B2,IDX10B3,IDX10B4,IDX20B1,IDX20B2,IDX20B3,IDX20B4,IDX30B1,IDX30B2,IDX30B3,IDX30B4,IDX08AB1,IDX08AB2,IDX08AB3,IDX08AB4,IDX10AB1,IDX10AB2,IDX10AB3,IDX10AB4,IDX20AB1,IDX20AB2,IDX20AB3,IDX20AB4,IDX30AB1,IDX30AB2,IDX30AB3,IDX30AB4,IDX08_4,IDX10_4,IDX20_4,IDX30_4,IDX08_3,IDX10_3,IDX20_3,IDX30_3,IDX08A_4,IDX10A_4,IDX20A_4,IDX30A_4,IDX08A_3,IDX10A_3,IDX20A_3,IDX30A_3
O,1.00,1.00,1.00,1.00,902,6,,2009,45.2875,112.88,105.37,87.343333333,45.2875,112.88,104.18666667,83.028,1.22,1.23,1.34,1.26,48.55,104.2,100.66,84.48,48.55,104.2,105.13333333,86.2,1.47,1.42,1.57,1.43,26.425,54.63,71.41,68.403333333,26.425,54.63,67.52,65.468,1.52,1.42,1.57,1.43,49.0375,100.93,81.055,71.803333333,49.083333333,100.93,84.627777778,73.439285714,45.2875,59.147692287,38.96920685,74.690798304,112.88,127.87125295,77.822312281,143.77825331,105.37,135.11893457,112.45502848,127.64378005,87.343333333,106.40331328,97.703972447,102.56036599,45.2875,59.147692287,38.96920685,74.760608719,112.88,127.87125295,77.822312281,143.77825331,104.18666667,141.12362396,106.32913489,133.27011847,83.028,108.56966861,93.511286022,104.89708028,218.09519744,462.35181854,480.5877431,394.01098505,172.80769744,349.47181854,375.2177431,306.66765171,218.16500786,462.35181854,484.90954399,390.00603491,172.87750786,349.47181854,380.72287732,306.97803491
O,1.00,1.00,1.00,1.00,902,30,,2009,39.9625,65.67,66.92,64.916666667,37.383333333,65.67,55.0625,57.311538462,1.22,1.23,1.34,1.26,35.5375,66.59,84.315,69.416666667,35.5375,66.59,86.65,69.853571429,1.47,1.42,1.57,1.43,17.9125,28.5,40.705,49.306666667,17.9125,28.5,26.18125,41.692307692,1.52,1.42,1.57,1.43,28.6875,34.02,35.835,36.95,28.6,34.02,33.205555556,35.339285714,39.9625,43.294770641,26.415739554,43.694973772,65.67,81.717339095,40.599229361,48.462659048,66.92,113.17855125,64.101413445,56.432235617,64.916666667,87.430910629,70.427228714,52.777571004,37.383333333,43.294770641,26.415739554,43.561699342,65.67,81.717339095,40.599229361,48.462659048,55.0625,116.31289172,41.229704723,52.291439512,57.311538462,87.981196072,59.551251138,50.476905576,153.36798397,236.4492275,300.63220031,275.55237701,113.40548397,170.7792275,233.71220031,210.63571035,150.65554287,236.4492275,264.89653596,255.32089125,113.27220954,170.7792275,209.83403596,198.00935279
O,1.00,1.00,1.00,1.00,902,39,,2009,46.525,90.84,79.305,72.956666667,46.525,90.84,73.735294118,68.744444444,1.22,1.23,1.34,1.26,26.55,30.15,37.295,56.2,26.55,30.15,36.755555556,57.203571429,1.47,1.42,1.57,1.43,32.5,60.24,57.705,57.86,30.283333333,60.24,49.00625,52.530769231,1.52,1.42,1.57,1.43,51.1375,110.03,82.52,95.683333333,53.783333333,110.03,86.888888889,99.432142857,46.525,32.345442435,47.928068974,77.889384619,90.84,36.999215704,85.81395006,156.74151602,79.305,50.062196155,90.872670749,129.95083251,72.956666667,70.784401114,82.644391294,136.66938887,46.525,32.345442435,44.659128885,81.91934952,90.84,36.999215704,85.81395006,156.74151602,73.735294118,49.338083711,77.174054604,136.83087067,68.744444444,72.048408277,75.032378971,142.02400486,204.68789603,370.39468178,350.19069942,363.05484795,158.16289603,279.55468178,270.88569942,290.09818128,205.44892084,370.39468178,337.0783031,357.84923656,158.92392084,279.55468178,263.34300898,289.10479211
O,1.00,1.00,1.00,1.00,902,55,,2009,40.775,47.33,58.455,63.84,36.875,47.33,44.825,56.280769231,1.22,1.23,1.34,1.26,31.8375,37.24,43.195,42.113333333,31.8375,37.24,40.35,40.207142857,1.47,1.42,1.57,1.43,24.3625,33.39,51.535,42.626666667,24.3625,33.39,34.713333333,30.752,1.52,1.42,1.57,1.43,46.725,123.57,90.72,83.183333333,41.033333333,123.57,93.711111111,84.567857143,40.775,38.78711953,35.927617858,71.168545516,47.33,45.699860458,47.565202399,176.0297113,58.455,57.981942965,81.156279127,142.86402721,63.84,53.042118842,60.885843753,118.81500085,36.875,38.78711953,35.927617858,62.499361177,47.33,45.699860458,47.565202399,176.0297113,44.825,54.163014207,54.665857562,147.57436869,56.280769231,50.64125494,43.924651245,120.79258687,186.6582829,316.62477416,340.45724931,296.58296344,145.8832829,269.29477416,282.00224931,232.74296344,174.08909856,316.62477416,301.22824046,271.63926229,137.21409856,269.29477416,256.40324046,215.35849306
O,1.00,1.00,1.00,1.00,902,59,,2009,35.3375,63.89,61.4,65.156666667,33.242857143,63.89,52.83125,60.461538462,1.22,1.23,1.34,1.26,19.375,41.1,35.29,36.166666667,19.375,41.1,34.063157895,35.393103448,1.47,1.42,1.57,1.43,19.1875,27.27,38.805,44.253333333,19.1875,27.27,30.825,40.180769231,1.52,1.42,1.57,1.43,18.3125,28.22,49.345,54.176666667,18.3125,28.22,49.110526316,54.189655172,35.3375,23.604254131,28.295994567,27.892434238,63.89,50.436741805,38.847052094,40.200359739,61.4,47.370824569,61.109331746,77.707511275,65.156666667,45.552239151,63.209294781,77.383298289,33.242857143,23.604254131,28.295994567,27.892434238,63.89,50.436741805,38.847052094,40.200359739,52.83125,45.723997645,48.542588612,77.338266844,60.461538462,44.57792938,57.392243602,77.401850435,115.13018294,193.37415364,247.58766759,251.30149889,79.792682936,129.48415364,186.18766759,186.14483222,113.03554008,193.37415364,224.4361031,239.83356188,79.792682936,129.48415364,171.6048531,179.37202342
O,1.00,1.00,1.00,1.00,902,62,,2009,31.85,53.53,54.73,52.86,31.85,53.53,48.7375,48.884615385,1.22,1.23,1.34,1.26,27.8875,41.94,42.925,57.066666667,27.8875,41.94,42.347368421,57.175862069,1.47,1.42,1.57,1.43,30.7375,32.44,41.94,43.106666667,30.7375,32.44,32.3,37.353846154,1.52,1.42,1.57,1.43,25.9125,80.24,66.23,54.616666667,25.9125,80.24,67.310526316,54.924137931,31.85,33.974897398,45.328892926,39.468270427,53.53,51.467565725,46.211894753,114.30463733,54.73,57.619513874,66.046266549,104.2976689,52.86,71.875975508,61.571452253,78.011772747,31.85,33.974897398,45.328892926,39.468270427,53.53,51.467565725,46.211894753,114.30463733,48.7375,56.844141695,50.865388878,105.99925996,48.884615385,72.013508091,53.354405079,78.450949648,150.62206075,265.51409781,282.69344932,264.31920051,118.77206075,211.98409781,227.96344932,211.45920051,150.62206075,265.51409781,262.44629053,252.7034782,118.77206075,211.98409781,213.70879053,203.81886282
O,1.00,1.00,1.00,1.00,902,72,,2009,43.0125,115.78,105.37,88.296666667,43.0125,115.78,99.8875,82.296153846,1.22,1.23,1.34,1.26,45,56.94,59.595,69.986666667,45,56.94,60.322222222,71.196428571,1.47,1.42,1.57,1.43,26.1625,34.23,67.39,53.036666667,26.1625,34.23,50.466666667,40.012,1.52,1.42,1.57,1.43,31.5625,37.84,40.375,49.843333333,31.5625,37.84,38.727777778,49.460714286,43.0125,54.822783788,38.582095524,48.073990751,115.78,69.875135727,48.761811264,53.904380317,105.37,79.99615444,106.12441351,63.581736097,88.296666667,88.148830711,75.754978101,71.193777107,43.0125,54.822783788,38.582095524,48.073990751,115.78,69.875135727,48.761811264,53.904380317,99.8875,80.972326622,79.47388933,60.987723747,82.296153846,89.672536617,57.151181895,70.647262791,184.49137006,288.32132731,355.07230405,323.39425259,141.47887006,172.54132731,249.70230405,235.09758592,184.49137006,288.32132731,321.3214397,299.76713515,141.47887006,172.54132731,221.4339397,217.4709813
O,1.00,1.00,1.00,1.00,902,80,,2009,66.6625,114.01,104.67,92.58,66.6625,114.01,102.32666667,88.756,1.22,1.23,1.34,1.26,47,71.33,79.76,80.716666667,47,71.33,82.638888889,82.635714286,1.47,1.42,1.57,1.43,25.45,44.38,55.59,45.216666667,25.45,44.38,45.426666667,37.044,1.52,1.42,1.57,1.43,19.2375,69.12,47.26,47.55,19.2375,69.12,47.066666667,47.446428571,66.6625,57.259351956,37.531364781,29.301335353,114.01,87.534131215,63.220835054,98.463815208,104.67,107.06423824,87.542011384,74.424095305,92.58,101.66336139,64.585272952,67.91809205,66.6625,57.259351956,37.531364781,29.301335353,114.01,87.534131215,63.220835054,98.463815208,102.32666667,110.92865707,71.536998929,74.119637869,88.756,104.08041897,52.911836002,67.770155692,190.75455209,363.22878148,373.70034493,326.74672639,124.09205209,249.21878148,269.03034493,234.16672639,190.75455209,363.22878148,358.91196054,313.51841067,124.09205209,249.21878148,256.58529387,224.76241067
O,1.00,1.00,1.00,1.00,902,87,,2009,43.7875,45.58,72.655,73.286666667,43.7875,45.58,51.838461538,61.713043478,1.22,1.23,1.34,1.26,42.25,66.06,55.49,58.403333333,39.95,66.06,57.0875,59.834615385,1.47,1.42,1.57,1.43,44.425,87.95,101.685,85.676666667,44.425,87.95,98.26,80.42,1.52,1.42,1.57,1.43,35.0625,50.05,68.49,61.713333333,35.0625,50.05,68.894444444,61.489285714,43.7875,51.472502557,65.513983513,53.404967943,45.58,81.066938288,125.28779727,71.297944896,72.655,74.485889921,160.13148817,107.85667134,73.286666667,73.559519094,122.37635611,88.148303976,43.7875,48.670449163,65.513983513,53.404967943,45.58,81.066938288,125.28779727,71.297944896,51.838461538,76.630262045,154.73786722,108.4935823,61.713043478,75.362231599,114.8679908,87.828285326,214.17895401,323.23268046,415.12904943,357.37084585,170.39145401,277.65268046,342.47404943,284.08417918,211.37690062,323.23268046,391.7001731,339.77155121,167.58940062,277.65268046,339.86171156,278.05850773
Y,1.00,1.00,1.00,1.00,902,8,,2009,48.9125,82.66,79.705,75.22,48.9125,82.66,71.888235294,69.8,1.22,1.23,1.34,1.26,11.425,25.3,43.755,35.393333333,11.425,25.3,42.589473684,34.34137931,1.47,1.42,1.57,1.43,19.4375,25.51,40.225,57.116666667,19.4375,25.51,27.4625,51.861538462,1.52,1.42,1.57,1.43,18.9875,84.54,55.295,47.83,16.471428571,84.54,55.568421053,47.751724138,48.9125,13.918895662,28.664672021,28.920551268,82.66,31.047434736,36.339871614,120.43013509,79.705,58.733647747,63.345519121,87.077451331,75.22,44.578218922,81.582650352,68.318030342,48.9125,13.918895662,28.664672021,25.088231439,82.66,31.047434736,36.339871614,120.43013509,71.888235294,57.169126845,43.247391395,87.508029293,69.8,43.25327345,74.076482504,68.206224933,120.41661895,270.47744144,288.8616182,269.69889962,71.50411895,187.81744144,209.1566182,194.47889962,116.58429912,270.47744144,259.81278283,255.33598089,67.671799122,187.81744144,187.92454753,185.53598089
