TMQUADB,TMQUADD,TIMEINN,TIMEMID,TIMEOUT,ANCROSB,ANCROSD,GROUP,NUMBER,COND,AGE,SLGROUP,YEAR,BLOCK,BSPEED,BSPEEDTT,BSPEEDFS,TTCUMDS,TTCUMDSO,TTAVDS,TTAVDSO,TTPATH,TTLAT,TAVDS08,TAVDS10,TAVDS20,TAVDS30,TAVDSO30,TAVDS08A,TAVDS10A,TAVDS20A,TAVDS30A
23,32,6,21,73,1,1,904,12,TT,O,,2009,0,20.076716107,20.076716107,20.076716107,7642.8,7466.8,86.85,84.85,2163,90.1,57.575,74.42,72.26,87.52,69.260714286,54.85,74.42,72.983333333,89.075
27,25,7,18,75,0,0,904,19,TT,O,,2009,0,19.739624055,19.739624055,19.739624055,7274.2,7764.9,82.661363636,88.2375,2130,90.1,47.675,116.12,83.06,77.513333333,91.310714286,47.675,116.12,85.7,78.814285714
31,25,8,13,79,0,0,904,21,TT,O,,2009,0,22.727862828,22.727862828,22.727862828,7392,8073.3,83.056179775,90.711235955,2336,90.1,58.1,66.97,86.64,97.633333333,78.786206897,58.1,66.97,87.568421053,98.620689655
36,24,13,10,77,1,1,904,24,TT,O,,2009,0,26.076262352,26.076262352,26.076262352,2388.5,2724.7,79.616666667,90.823333333,957,32,56.525,83.13,71.855,80.113333333,91.279310345,55.871428571,83.13,72.421052632,80.768965517
18,24,4,13,83,0,0,904,26,TT,O,,2009,0,23.748181896,23.748181896,23.748181896,8147.7,7749.7,91.547191011,87.075280899,2069,90.1,62.675,71.99,86.705,95.283333333,89.348275862,62.675,71.99,87.936842105,96.386206897
26,34,0,9,91,0,0,904,30,TT,O,,2009,0,20.97891232,20.97891232,20.97891232,8269.9,7488.7,93.976136364,85.098863636,1996,90.1,61.1125,118.75,108.695,95.203333333,83.564285714,61.1125,118.75,114.31666667,97.853571429
31,22,4,9,87,0,0,904,31,TT,O,,2009,0,27.283018868,27.283018868,27.283018868,7429,8608.6,83.471910112,96.725842697,2549,90.1,70.6375,79.01,92.83,95.6,91.310344828,70.6375,79.01,94.542105263,96.817241379
26,25,0,4,96,0,0,904,33,TT,O,,2009,0,24.587720568,24.587720568,24.587720568,8020.7,8366.5,90.120224719,94.005617978,2657,90.1,70.1875,78.72,88.28,92.713333333,89.206896552,70.1875,78.72,89.521052632,93.679310345
30,30,1,9,90,0,0,904,34,TT,O,,2009,0,23.394820927,23.394820927,23.394820927,7856.9,8023.1,88.279775281,90.147191011,2467,90.1,63.525,73.97,82.09,92.323333333,84.096551724,63.525,73.97,83.378947368,93.520689655
27,30,3,5,92,0,0,904,42,TT,O,,2009,0,22.345436461,22.345436461,22.345436461,7928.2,8146.3,89.080898876,91.531460674,2356,90.1,62.9125,75.71,89.215,98.816666667,83.179310345,62.9125,75.71,90.789473684,100.17931034
24,34,8,19,73,0,3,904,51,TT,O,,2009,0,18.297537271,18.297537271,18.297537271,7711.6,7090.2,87.631818182,80.570454545,1669,90.1,55.7,93.6,85.665,83.57,91.153571429,55.7,93.6,88.438888889,85.203571429
27,22,0,7,93,0,0,904,54,TT,O,,2009,0,24.46759016,24.46759016,24.46759016,7785.5,8637.6,87.47752809,97.051685393,2214,90.1,59.1,82.84,71.56,71.676666667,114.85862069,58.985714286,82.84,72.173684211,72.082758621
14,28,19,20,61,1,0,904,62,TT,O,,2009,0,23.441426364,23.441426364,23.441426364,4150,3648.9,88.29787234,77.636170213,1200,48.6,58.725,76.01,91.995,85.64,80.489655172,58.725,76.01,93.910526316,86.675862069
25,29,2,10,88,1,0,904,66,TT,O,,2009,0,23.059956155,23.059956155,23.059956155,3066.7,2941.9,92.93030303,89.148484848,1056,34.6,66.675,77.68,94.93,99.26,85.003448276,66.675,77.68,96.473684211,100.42068966
26,26,6,14,80,0,0,904,69,TT,O,,2009,0,22.150774133,22.150774133,22.150774133,7673.2,8045.5,86.215730337,90.398876404,2048,90.1,64.95,121.87,103.945,91.606666667,80.424137931,64.95,121.87,106.42105263,92.803448276
27,31,12,22,66,0,2,904,70,TT,O,,2009,0,24.403625247,24.403625247,24.403625247,7249.1,7599.8,81.450561798,85.391011236,2120,90.1,50.1625,68.08,87.22,93.703333333,72.006896552,50.1625,68.08,88.431578947,94.720689655
25,21,0,16,84,0,0,904,88,TT,O,,2009,0,23.520657427,23.520657427,23.520657427,6630.7,7232.4,86.112987013,93.927272727,2069,78.4,64.2375,101.78,88.465,84.24,97.45862069,64.2375,101.78,90.036842105,85.124137931
19,29,12,26,62,0,1,904,94,TT,O,,2009,0,22.846306037,22.846306037,22.846306037,7373.7,7506,82.850561798,84.337078652,2130,90.1,62.85,100.71,91.895,84.296666667,77.606896552,62.85,100.71,93.521052632,85.1
21,33,18,27,55,0,1,904,99,TT,O,,2009,0,24.860852966,24.860852966,24.860852966,7642.9,6895,85.875280899,77.471910112,2200,90.1,47.275,57.89,65.99,75.18,73.051724138,47.275,57.89,66.394736842,75.762068966
21,18,21,48,31,0,0,904,12,TT,O,,2009,1,20.396174098,20.076716107,21.993464052,6213.9,6245.84,84.811354596,83.857413293,1540.6,77.36,45.3375,100.88,83.645,79.136666667,76.784615385,43.083333333,100.88,79.20625,75.711538462
15,58,8,13,79,0,0,904,19,TT,O,,2009,1,19.658155768,19.739624055,19.250814332,6868.66,5816.86,91.355516248,77.884171123,1557.2,78.36,50.2,103.98,112.805,97.55,73.6,50.2,103.98,111.2,93.536
16,39,16,41,43,0,1,904,21,TT,O,,2009,1,22.703502248,22.727862828,22.581699346,5729.6,6105.06,69.93340119,84.993116986,1686.6,73.28,43.2,100.06,79.44,88.09,70.496153846,29.8,100.06,75.925,87.257692308
