TMQUADB,TMQUADD,TIMEINN,TIMEMID,TIMEOUT,ANCROSB,ANCROSD,GROUP,NUMBER,COND,AGE,SLGROUP,YEAR,BLOCK,BSPEED,BSPEEDTT,BSPEEDFS,TTCUMDS,TTCUMDSO,TTAVDS,TTAVDSO,TTPATH,TTLAT,TAVDS08,TAVDS10,TAVDS20,TAVDS30,TAVDSO30,TAVDS08A,TAVDS10A,TAVDS20A,TAVDS30A
16,37,8,17,75,0,2,a05,4,TT,O,,2010,0,24.64675498,24.64675498,24.64675498,7974.1,7175.1,92.72209302,83.43139535,2309,90.1,62.5625,82.14,96.725,96.91666667,91.55769231,62.5625,82.14,89.0375,92.21538462
0,65,7,23,70,0,1,a05,10,TT,O,,2010,0,21.4934775,21.4934775,21.4934775,9991.8,4500.9,116.1837209,52.33604651,1305,90.1,85.6625,127.49,110.01,102.77,67.27692308,72.925,127.49,112.01875,102.8923077
25,35,9,28,63,0,3,a05,12,TT,O,,2010,0,22.51562309,22.51562309,22.51562309,7403.4,7369.6,86.08604651,85.69302326,2061,90.1,41.6375,50.28,83.385,96.69,89.75,41.6375,50.28,72.29375,91.91153846
19,27,13,14,73,0,1,a05,19,TT,O,,2010,0,16.84042303,16.84042303,16.84042303,7514.4,7647,89.45714286,91.03571429,1917,90.1,49.9125,58.42,76.35,93.51333333,96.64583333,49.9125,58.42,65.72142857,91.60416667
30,11,10,31,59,0,0,a05,22,TT,O,,2010,0,19.73933081,19.73933081,19.73933081,6740,8171.9,79.29411765,96.14,1641,90.1,45.9875,53,78.02,82.71,87.78,45.9875,53,63.68666667,75.048
21,29,0,10,90,0,0,a05,32,TT,O,,2010,0,21.92551061,21.92551061,21.92551061,8358.1,7828.2,97.1872093,91.0255814,2377,90.1,60.4875,117.1,97.76,88.76,99.72307692,53.875,117.1,95.79375,86.16538462
26,35,7,23,70,0,0,a05,37,TT,O,,2010,0,11.65149834,11.65149834,11.65149834,6802.6,7289.3,83.98271605,89.99135803,1358,90.1,37.925,110.2,120.655,94.91333333,95.88571429,37.925,110.2,112.2090909,79.45714286
19,32,14,19,67,0,2,a05,38,TT,O,,2010,0,22.11222608,22.11222608,22.11222608,7594.9,7353.1,88.3127907,85.50116279,2004,90.1,51.6125,66.79,95.43,96.54,54.83461539,51.6125,66.79,87.56875,91.87307692
28,39,5,13,82,0,1,a05,63,TT,O,,2010,0,23.59838291,23.59838291,23.59838291,8028.6,7554.9,93.35581395,87.84767442,2387,90.1,61.9,69.72,93.65,101.9933333,86.36538462,61.9,69.72,90.58125,101.3884615
26,33,11,16,73,0,1,a05,67,TT,O,,2010,0,19.24403063,19.24403063,19.24403063,7551.8,7382.1,88.84470588,86.84823529,1845,90.1,41.6625,91.32,78.955,80.49333333,86.952,41.46,91.32,74.7,78.248
24,36,3,3,94,1,0,a05,72,TT,O,,2010,0,22.92154348,22.92154348,22.92154348,2758.2,2729.3,95.11034483,94.1137931,642,33.5,66.175,115.55,120.755,106.4833333,91.31923077,66.175,115.55,119.2875,103.3846154
16,33,21,26,53,0,2,a05,83,TT,O,,2010,0,20.22043344,20.22043344,20.22043344,7540.9,6452.7,88.71647059,75.91411765,2199,90.1,43.5375,51.91,87.225,96.19,67.54,43.5375,51.91,76.73333333,91.688
32,21,33,35,32,0,3,a05,87,TT,O,,2010,0,23.13369799,23.13369799,23.13369799,2802.2,3104.7,70.055,77.6175,1041,44.6,41.9125,52.69,74.525,81.34,61.61538462,41.9125,52.69,63.6,75.66538462
24,36,8,20,72,1,1,a05,92,TT,O,,2010,0,24.54344555,24.54344555,24.54344555,7778.5,7394,90.44767442,85.97674419,2573,90.1,62.925,99.86,103.795,101.64,74.56923077,62.925,99.86,98.1875,97.85769231
30,26,10,13,77,0,0,a05,93,TT,O,,2010,0,21.23834929,21.23834929,21.23834929,7362.1,8053.1,85.60581395,93.64069767,2037,90.1,56.15,82.74,96.74,87.27333333,89.59230769,56.15,82.74,89.55,81.39230769
45,17,43,32,25,0,1,a05,4,TT,O,,2010,1,24.06292762,24.64675498,21.14379085,6235,6137.74,83.85770876,81.67144475,1892.6,76.34,25.3625,46.51,46.67,61.90666667,83.66153846,20.1,46.51,38.20625,59.04230769
16,25,31,41,28,0,1,a05,10,TT,O,,2010,1,20.21307707,21.4934775,13.81107492,4780.68,3628.3,81.81256964,78.11404988,1050.6,54.1,50.8375,93.61,91.2,78.40666667,71.95652174,50.8375,93.61,88.61538462,73.05217391
33,20,31,21,48,2,1,a05,12,TT,O,,2010,1,23.04873353,22.51562309,25.71428571,6717.66,7709.64,79.9278777,91.77461258,1972.6,87,30.9125,35.11,50,69.62666667,87.4037037,30.9125,35.11,42.23529412,66.91851852
17,8,9,25,66,0,0,a05,19,TT,O,,2010,1,17.16139149,16.84042303,18.76623377,6260.06,6715.34,86.56032468,91.94354978,1355.4,76.24,56.925,66.74,81.735,80.32,104.192,56.925,66.74,72.05333333,74.228
24,39,0,68,32,0,0,a05,21,TT,O,,2010,1,25.47993231,25.10397157,27.35973597,5258.28,5725.66,88.83012256,85.55996242,1678.6,66.2,55.275,93.12,92.74,83.58333333,83.28888889,55.275,93.12,87.37058824,79.18518519
13,25,37,8,55,0,0,a05,22,TT,O,,2010,1,18.97685462,19.73933081,15.16447368,5687.18,6485.14,78.62726659,91.39068443,1470,75.64,39.575,59.27,58.9,81.53333333,83.13478261,38.95,59.27,56.3,86.95217391
19,16,24,49,27,3,0,a05,32,TT,O,,2010,1,22.74806574,21.92551061,26.86084142,6655.7,6423.58,90.83398062,85.23270754,1640.4,75.56,55.6875,61.71,77.185,76.91666667,86.3962963,55.6875,61.71,68.4,71.35555556
19,4,6,35,59,0,0,a05,37,TT,O,,2010,1,11.45275135,11.65149834,10.45901639,6724.58,8644.4,81.20746196,103.972696,1049.8,90.1,54.6,59.22,78.375,81.50666667,112.725,46.9,59.22,59.22,73.495
36,23,21,27,52,0,0,a05,38,TT,O,,2010,1,22.51726901,22.11222608,24.54248366,4316.88,4959.7,63.07564645,83.39415503,1289.4,58.5,38.4125,72.55,67.08,71.67333333,97.44615385,32.275,72.55,57.8875,66.72307692
27,26,24,31,45,0,2,a05,57,TT,O,,2010,1,19.72740103,19.01490078,23.28990228,2125.3,1978.74,57.65352092,88.1206734,565,28.34,53.1375,75.15,77.045,77.26666667,92.65,53.1375,75.15,70.725,73.41153846
34,14,33,41,26,2,1,a05,63,TT,O,,2010,1,23.79669803,23.59838291,24.78827362,5291.84,5314.4,71.76039584,90.59310737,1683.8,64.56,29.6125,64.99,67.595,66.15666667,89.91923077,29.6125,64.99,59.19375,60.76538462
41,2,17,55,28,1,0,a05,67,TT,O,,2010,1,20.01063356,19.24403063,23.84364821,4356.2,5451,70.45601239,97.16491904,1133.6,61.64,34.85,89.17,67.88,61.71,97.07307692,32.14,89.17,67.8,60.71153846
14,39,0,3,97,0,0,a05,72,TT,O,,2010,1,23.14037418,22.92154348,24.23452769,5808.34,5624.94,91.96832149,89.09165993,1604.6,66.92,64.475,119.33,98.075,105.9866667,80.60384615,51.375,119.33,95.825,105.8192308
18,34,8,25,67,0,1,a05,83,TT,O,,2010,1,20.31441349,20.22043344,20.78431373,6372.38,5596.84,83.95256761,85.97783957,1586,73.98,53.65,84.86,85.525,94.61666667,86.396,53,84.86,76.02666667,90.736
0,30,23,44,33,0,0,a05,87,TT,O,,2010,1,22.76042161,23.13369799,20.89403974,3857.96,4747.36,69.22046092,89.30410279,1244.2,56.08,93.6875,94.58,98.105,100.67,64.456,93.6875,94.58,100.4133333,102.568
21,34,0,25,75,0,0,a05,92,TT,O,,2010,1,23.38860114,24.54344555,17.61437909,6566.78,6805.42,85.75809135,91.43900779,1855.2,77.48,45.2125,68.54,75.36,93.41666667,84.2375,45.2125,68.54,65.71428571,92.30416667
20,40,27,43,30,0,0,a05,93,TT,O,,2010,1,21.08129984,21.23834929,20.29605263,5725.04,6796.5,76.2580948,92.55660735,1575.4,75.5,38.1625,47.21,81.02,88.88,69.864,38.1625,47.21,68.85333333,83.152
29,29,24,60,16,1,1,a05,4,TT,O,,2010,2,21.28500826,21.02567005,22.58169935,2945.86,4030.08,60.06745052,87.04751983,1048,48.78,41.8,69.57,77.75,72.23333333,81.61923077,41.8,69.57,69.2625,66.16153846
