AGE,MULT08B1,MULT10B1,MULT20B1,MULT30B1,GROUP,NUMBER,SLGROUP,YEAR,TAV08B1,TAV10B1,TAV20B1,TAV30B1,TAV08AB1,TAV10AB1,TAV20AB1,TAV30AB1,MULT08B2,MULT10B2,MULT20B2,MULT30B2,TAV08B2,TAV10B2,TAV20B2,TAV30B2,TAV08AB2,TAV10AB2,TAV20AB2,TAV30AB2,MULT08B3,MULT10B3,MULT20B3,MULT30B3,TAV08B3,TAV10B3,TAV20B3,TAV30B3,TAV08AB3,TAV10AB3,TAV20AB3,TAV30AB3,MULT08B4,MULT10B4,MULT20B4,MULT30B4,TAV08B4,TAV10B4,TAV20B4,TAV30B4,TAV08AB4,TAV10AB4,TAV20AB4,TAV30AB4,IDX08B1,IDX08B2,IDX08B3,IDX08B4,IDX10B1,IDX10B2,IDX10B3,IDX10B4,IDX20B1,IDX20B2,IDX20B3,IDX20B4,IDX30B1,IDX30B2,IDX30B3,IDX30B4,IDX08AB1,IDX08AB2,IDX08AB3,IDX08AB4,IDX10AB1,IDX10AB2,IDX10AB3,IDX10AB4,IDX20AB1,IDX20AB2,IDX20AB3,IDX20AB4,IDX30AB1,IDX30AB2,IDX30AB3,IDX30AB4,IDX08_4,IDX10_4,IDX20_4,IDX30_4,IDX08_3,IDX10_3,IDX20_3,IDX30_3,IDX08A_4,IDX10A_4,IDX20A_4,IDX30A_4,IDX08A_3,IDX10A_3,IDX20A_3,IDX30A_3
O,1,1,1,1,a08,1,,2010,15.575,21.92,38.47,34.68666667,15.575,21.92,35.82777778,32.71785714,1.22,1.23,1.34,1.26,22.3875,93.02,81.155,62.84333333,22.3875,93.02,76.40666667,56.332,1.47,1.42,1.57,1.43,43.4375,76.76,64.34,70.03,37.1,76.76,64.21111111,70.35357143,1.52,1.42,1.57,1.43,44.4,54.08,60.73,75.72666667,44.4,54.08,61.73888889,77.44642857,15.575,27.27433494,64.05770757,67.62725352,21.92,114.1514774,109.3472578,77.03881838,38.47,108.9367886,101.321335,95.63637977,34.68666667,79.15173868,100.0274235,108.1642633,15.575,27.27433494,54.71173412,67.62725352,21.92,114.1514774,109.3472578,77.03881838,35.82777778,102.5629584,101.1183634,97.22515765,32.71785714,70.95065629,100.4895971,110.620687,174.534296,322.4575536,344.3645033,322.0300921,158.959296,300.5375536,305.8945033,287.3434254,165.1883226,322.4575536,336.7342572,314.7787975,149.6133226,300.5375536,300.9064794,282.0609403
O,1,1,1,1,a08,5,,2010,63.375,76.12,88.095,97.21333333,63.375,76.12,89.5631579,98.48965517,1.22,1.23,1.34,1.26,27.925,33.41,51.07,54.01333333,27.925,33.41,37.40625,46.05769231,1.47,1.42,1.57,1.43,43.0625,78.44,64.65,58.79666667,36.85,78.44,64.58888889,58.33928571,1.52,1.42,1.57,1.43,33.2375,52.33,44.85,41.93333333,31.88333333,52.33,45.35,42.04642857,63.375,34.02058305,63.50469139,50.62524412,76.12,40.99979425,111.7404755,74.54588324,88.095,68.55279146,101.8095168,70.62887589,97.21333333,68.03027495,83.9822801,59.89552036,63.375,34.02058305,54.34305667,48.56266366,76.12,40.99979425,111.7404755,74.54588324,89.5631579,50.21153036,101.7132802,71.41626581,98.48965517,58.01007414,83.32897954,60.05706007,211.5255186,303.406153,329.0861841,309.1214088,148.1505186,227.286153,240.9911841,211.9080754,200.3013034,303.406153,312.9042343,299.8857689,136.9263034,227.286153,223.3410764,201.3961138
O,1,1,1,1,a08,8,,2010,40.3375,56.5,58.285,70.84,40.3375,56.5,58.23684211,71.24137931,1.22,1.23,1.34,1.26,33.2875,68.01,70.84,78.27333333,33.2875,68.01,62.69411765,73.97037037,1.47,1.42,1.57,1.43,38,88.89,68.79,78.45666667,38,88.89,68.98421053,78.91724138,1.52,1.42,1.57,1.43,16.7375,79.6,57.825,62.58666667,16.7375,79.6,57.48947368,62.53103448,40.3375,40.55363145,56.03897295,25.4934945,56.5,83.45992239,126.6268596,113.3929353,58.285,95.09065493,108.3291053,91.06164433,70.84,98.58596127,112.0636616,89.39573055,40.3375,40.55363145,56.03897295,25.4934945,56.5,83.45992239,126.6268596,113.3929353,58.23684211,84.15619293,108.6349441,90.53326425,71.24137931,93.16634105,112.721524,89.31626827,162.4235989,379.9797173,352.7664046,370.8853534,122.0860989,323.4797173,294.4814046,300.0453534,162.4235989,379.9797173,341.5612434,366.4455126,122.0860989,323.4797173,283.3244013,295.2041333
O,1,1,1,1,a08,10,,2010,41.9375,66.53,56.495,57.24666667,41.08571429,66.53,56.00526316,56.95172414,1.22,1.23,1.34,1.26,44.125,49.13,58.955,80.16333333,44.125,49.13,50.41764706,77.14444444,1.47,1.42,1.57,1.43,18.7625,44.22,45.745,39.33666667,18.7625,44.22,44.66842105,38.41034483,1.52,1.42,1.57,1.43,17.4,77.51,51.435,48.27,14.34285714,77.51,51.48421053,48.19310345,41.9375,53.75678521,27.6692429,26.50257233,66.53,60.29092761,62.99290956,110.4156585,56.495,79.13706326,72.03830385,80.99880114,57.24666667,100.9664331,56.18656883,68.9465048,41.08571429,53.75678521,27.6692429,21.84612694,66.53,60.29092761,62.99290956,110.4156585,56.00526316,67.67711856,70.34292902,81.07629689,56.95172414,97.16411565,54.86345606,68.83666953,149.8661004,300.2294957,288.6691683,283.3461734,107.9286004,233.6994957,232.1741683,226.0995067,144.3578693,300.2294957,275.1016076,277.8159654,103.2721551,233.6994957,219.0963445,220.8642412
O,1,1,1,1,a08,16,,2010,44.9125,62.9,87.795,81.08666667,44.9125,62.9,89.08421053,81.7,1.22,1.23,1.34,1.26,36.6,106.89,89.96,74.42666667,36.6,106.89,88.4125,71.08461539,1.47,1.42,1.57,1.43,40.3375,44.63,46,63.44666667,40.3375,44.63,44.95789474,63.36551724,1.52,1.42,1.57,1.43,13.7875,21.91,20.74,23.02,13.53333333,21.91,18.3,21.61428571,44.9125,44.58919748,59.48610715,21.0002423,62.9,131.1723438,63.57696865,31.21154791,87.795,120.7560039,72.43987271,32.66093391,81.08666667,93.7410503,90.62411245,32.88064099,44.9125,44.58919748,59.48610715,20.61311181,62.9,131.1723438,63.57696865,31.21154791,89.08421053,118.6787483,70.79878634,28.8184711,81.7,89.53170691,90.50820258,30.87278752,169.9880469,288.8608604,313.6518105,298.3324704,125.0755469,225.9608604,225.8568105,217.2458037,169.6009164,288.8608604,307.3802163,292.612697,124.6884164,225.9608604,218.2960057,210.912697
O,1,1,1,1,a08,21,,2010,44.0375,47.85,55.185,58.37333333,44.0375,47.85,54.50526316,58.03793103,1.22,1.23,1.34,1.26,44.7625,72.78,75.305,77.68666667,44.7625,72.78,65.6875,72.13461539,1.47,1.42,1.57,1.43,27.1875,29.11,35.095,36.90666667,27.1875,29.11,33.36842105,35.83793103,1.52,1.42,1.57,1.43,28.6875,32.38,47.455,49.67666667,28.6875,32.38,47.26842105,49.63103448,44.0375,54.53344132,40.09367308,43.69497377,47.85,89.31352965,41.46819532,46.12642269,55.185,101.0841582,55.26689854,74.73117738,58.37333333,97.84704937,52.71567579,70.9557186,44.0375,54.53344132,40.09367308,43.69497377,47.85,89.31352965,41.46819532,46.12642269,54.50526316,88.17429977,52.54791681,74.43735661,58.03793103,90.85419127,51.18914614,70.89053982,182.3595882,224.7581477,286.2672342,279.8917771,138.3220882,176.9081477,231.0822342,221.5184438,182.3595882,224.7581477,269.6648364,270.9718083,138.3220882,176.9081477,215.1595732,212.9338772
O,1,1,1,1,a08,28,,2010,49.8125,63.95,81.05,80.82,49.8125,63.95,81.90526316,81.37241379,1.22,1.23,1.34,1.26,27.6625,41.91,54.13,53.68,27.6625,41.91,40.4625,45.2,1.47,1.42,1.57,1.43,36.6,53.64,56.52,68.40333333,36.6,53.64,55.69444444,68.72142857,1.52,1.42,1.57,1.43,18.7625,21.43,29.94,37.15,18.7625,21.43,27.23333333,35.925,49.8125,33.70078348,53.97437921,28.57784559,63.95,51.43075059,76.41202326,30.52777141,81.05,72.66032117,89.00655664,47.14890845,80.82,67.61043864,97.70397245,53.06324121,49.8125,33.70078348,53.97437921,28.57784559,63.95,51.43075059,76.41202326,30.52777141,81.90526316,54.31402633,87.70648839,42.88650435,81.37241379,56.92980303,98.15832411,51.31351119,166.0655083,222.3205453,289.8657863,299.1976523,116.2530083,158.3705453,208.8157863,218.3776523,166.0655083,222.3205453,266.8122822,287.7740521,116.2530083,158.3705453,184.9070191,206.4016383
O,1,1,1,1,a08,35,,2010,46.2,,46.2,46.2,,,,,1.22,1.23,1.34,1.26,59.7,,59.7,59.7,,,,,1.47,1.42,1.57,1.43,8.3,,8.3,8.3,,,,,1.52,1.42,1.57,1.43,68.9,,68.9,68.9,,,,,46.2,72.73155983,12.24009146,104.9440939,,,,,46.2,80.13709909,13.07067268,108.5023311,46.2,75.19268232,11.85531365,98.4133868,,,,,,,,,,,,,,,,,236.1157452,,247.9101028,231.6613828,189.9157452,,201.7101028,185.4613828,,,,,,,,
O,1,1,1,1,a08,44,,2010,57.575,69.79,78.43,88.82,57.575,69.79,79.20526316,89.6862069,1.22,1.23,1.34,1.26,52.6625,76.92,84.685,98.34,52.6625,76.92,77.09375,95.76923077,1.47,1.42,1.57,1.43,30.6125,35.04,54.09,69.41,30.6125,35.04,53.48421053,69.54137931,1.52,1.42,1.57,1.43,31.9125,46.47,43.29,46.69,31.9125,46.47,42.07894737,46.0137931,57.575,64.15788558,45.1445542,48.60708847,69.79,94.39401897,49.9156841,66.19811187,78.43,113.6752133,85.17984162,68.17221934,88.82,123.8601069,99.14184583,66.68971015,57.575,64.15788558,45.1445542,48.60708847,69.79,94.39401897,49.9156841,66.19811187,79.20526316,103.485251,84.22585657,66.26507806,89.6862069,120.6222001,99.3295016,65.72384933,215.4845283,280.2978149,345.4572743,378.5116628,157.9095283,210.5078149,267.0272743,289.6916628,215.4845283,280.2978149,333.1814488,375.3617579,157.9095283,210.5078149,253.9761856,285.675551
O,1,1,1,1,a08,47,,2010,31.9,55.59,54.14,47.36,31.9,55.59,53.22777778,46.28928571,1.22,1.23,1.34,1.26,18.775,42.38,48.19,47.36,18.775,42.38,36.4875,40.03076923,1.47,1.42,1.57,1.43,33.85,49.31,52.655,49.28333333,33.85,49.31,52.03684211,48.76206897,1.52,1.42,1.57,1.43,24.3,28.7,40.15,37.52333333,24.3,28.7,39.05789474,36.71724138,31.9,22.87328368,49.91892722,37.01221308,55.59,52.00752111,70.24378947,40.88413623,54.14,64.68688116,82.92003255,63.22741063,47.36,59.65034229,70.39390052,53.59649227,31.9,22.87328368,49.91892722,37.01221308,55.59,52.00752111,70.24378947,40.88413623,53.22777778,48.97826471,81.94656996,61.50758528,46.28928571,50.41911079,69.64935202,52.44510999,141.704424,218.7254468,264.9743243,231.0007351,109.804424,163.1354468,210.8343243,183.6407351,141.704424,218.7254468,245.6601977,218.8028585,109.804424,163.1354468,192.4324199,172.5135728
