TMQUADB,TMQUADD,TIMEINN,TIMEMID,TIMEOUT,ANCROSB,ANCROSD,GROUP,NUMBER,COND,AGE,SLGROUP,YEAR,BLOCK,BSPEED,BSPEEDTT,BSPEEDFS,TTCUMDS,TTCUMDSO,TTAVDS,TTAVDSO,TTPATH,TTLAT,TAVDS08,TAVDS10,TAVDS20,TAVDS30,TAVDSO30,TAVDS08A,TAVDS10A,TAVDS20A,TAVDS30A
22,27,22,22,56,0,2,b02,1,TT,O,,2011,0,21.638242871,21.638242871,21.638242871,7112.8,7215.8,82.706976744,83.904651163,2264,90.1,44.6625,89.1,108.325,89.71,74.065384615,44.6625,89.1,104.24375,84.334615385
18,46,15,19,66,2,2,b02,3,TT,O,,2011,0,20.736958935,20.736958935,20.736958935,8068.1,6135.4,94.918823529,72.181176471,1863,90.1,47.5375,58.13,94.025,97.853333333,67.82,47.5375,58.13,81.953333333,91.376
18,42,18,21,61,0,3,b02,7,TT,O,,2011,0,21.94720902,21.94720902,21.94720902,7971.1,6482.5,92.687209302,75.377906977,2558,90.1,67.775,74.46,85.845,97.646666667,84.365384615,66.2,74.46,76.55,93.742307692
15,51,13,23,64,0,2,b02,9,TT,O,,2011,0,19.997535867,19.997535867,19.997535867,8555.7,5790,100.65529412,68.117647059,1700,90.1,53.1375,77,81.835,91.343333333,64.592,47.15,77,67.913333333,84.892
25,26,6,23,71,0,0,b02,11,TT,O,,2011,0,19.369933146,19.369933146,19.369933146,7515.8,7604.3,88.421176471,89.462352941,1929,90.1,56.9125,67.87,83.17,92.22,85.692,56.9125,67.87,69.593333333,85.884
28,28,3,6,91,0,0,b02,15,TT,O,,2011,0,17.800221976,17.800221976,17.800221976,7639,8300.8,89.870588235,97.656470588,2272,90.1,50.725,64.84,95.655,87.9,97.592,50.725,64.84,85.726666667,80.392
24,18,28,19,53,4,2,b02,18,TT,O,,2011,0,20.120842197,20.120842197,20.120842197,6712.8,7193.2,78.974117647,84.625882353,2246,90.1,57.7375,76.17,85.4,93.356666667,84.992,57.7375,76.17,76.853333333,89.82
25,30,9,23,68,0,1,b02,22,TT,O,,2011,0,20.218636031,20.218636031,20.218636031,7106.3,7864.7,83.603529412,92.525882353,1950,90.1,40.275,54.17,89.15,76.916666667,85.516,40.275,54.17,75.966666667,66.56
36,37,11,18,71,3,3,b02,26,TT,O,,2011,0,19.491357262,19.491357262,19.491357262,4866,5110,82.474576271,86.610169492,1265,64.3,42.0125,49.7,83.685,91.216666667,82.352,42.0125,49.7,68.113333333,83.38
23,24,8,24,68,0,2,b02,27,TT,O,,2011,0,25.948677327,25.948677327,25.948677327,7770,7885.1,89.310344828,90.633333333,2664,90.1,63.6625,98.71,87.725,85.93,101.65925926,63.6625,98.71,90.417647059,87.425925926
18,29,3,19,78,0,0,b02,31,TT,O,,2011,0,21.625320481,21.625320481,21.625320481,7894.3,7771.2,91.794186047,90.362790698,2090,90.1,76.2125,104.6,103.535,98.366666667,97.569230769,76.2125,104.6,99.26875,94.946153846
21,30,0,4,96,0,0,b02,36,TT,O,,2011,0,21.895077299,21.895077299,21.895077299,8216.8,8239.2,95.544186047,95.804651163,2361,90.1,61.3125,104.05,113.55,97.883333333,95.519230769,61.3125,104.05,109,92.673076923
11,27,1,11,88,0,0,b02,44,TT,O,,2011,0,21.855495627,21.855495627,21.855495627,9072.8,7378.3,105.49767442,85.794186047,1841,90.1,59.9625,99.42,91.91,98.783333333,88.296153846,59.9625,99.42,90,98.665384615
24,19,6,10,84,1,0,b02,45,TT,O,,2011,0,30.943975934,30.943975934,30.943975934,3836.1,4185.8,89.211627907,97.344186047,1691,46.2,67.1,95.31,88.665,85.736666667,102.91851852,67.1,95.31,87.429411765,84.633333333
22,20,5,12,83,0,1,b02,62,TT,O,,2011,0,23.058823529,23.058823529,23.058823529,7707.4,8436.8,89.620930233,98.102325581,2013,90.1,54.4125,68.39,79.965,80.456666667,102.72692308,54.4125,68.39,70.45,74.676923077
21,28,6,17,77,0,0,b02,67,TT,O,,2011,0,25.18185454,25.18185454,25.18185454,8009.1,7581.4,93.129069767,88.155813953,2640,90.1,62.7,117.16,99.06,89.806666667,88.646153846,50.6,117.16,94.4375,85.538461538
13,46,1,22,77,0,0,b02,78,TT,O,,2011,0,20.278579356,20.278579356,20.278579356,8893.8,6543.7,104.63294118,76.984705882,1866,90.1,50.5875,93.46,92.65,91.9,94.356,50.5875,93.46,82.446666667,85.628
21,36,3,12,85,0,1,b02,84,TT,O,,2011,0,23.684498705,23.684498705,23.684498705,8308,7547.5,96.604651163,87.761627907,2587,90.1,60.1125,99.11,100.045,99.21,88.003846154,60.1125,99.11,91.80625,94.011538462
20,26,6,14,80,0,1,b02,88,TT,O,,2011,0,25.375163173,25.375163173,25.375163173,7902.7,8177.8,91.891860465,95.090697674,2829,90.1,63.0875,77.57,96.215,88.093333333,96.984615385,63.0875,77.57,93.26875,85.030769231
10,49,5,25,70,0,1,b02,89,TT,O,,2011,0,21.915160032,21.915160032,21.915160032,9207.7,5892.8,107.06627907,68.520930233,1865,90.1,108.275,121.39,118.33,116.49,62.407692308,106.125,121.39,118.99375,116.61538462
25,39,5,14,81,2,1,b02,90,TT,O,,2011,0,23.96591924,23.96591924,23.96591924,8232.5,7338.2,95.726744186,85.327906977,2273,90.1,67.725,93.2,99.98,104.78666667,87.073076923,67.725,93.2,100.73125,105.98846154
25,26,14,22,64,0,2,b02,91,TT,O,,2011,0,26.02236612,26.02236612,26.02236612,7227.3,8050.5,83.072413793,92.534482759,2060,90.1,59.9125,120.27,100.825,87.966666667,102.86296296,54.84,120.27,100.23529412,86.166666667
14,36,12,11,77,0,4,b02,98,TT,O,,2011,0,22.958934517,22.958934517,22.958934517,8221.3,7101,95.596511628,82.569767442,2453,90.1,66.975,101.3,104.31,95.683333333,103.83846154,66.975,101.3,96.69375,89.669230769
38,14,40,51,9,1,0,b02,1,TT,O,,2011,1,22.128189405,21.638242871,24.577922078,4166.16,4241.66,79.873740437,73.104515981,1265.2,55.92,39.2875,62.53,56.185,60.456666667,78.410344828,36.957142857,62.53,56.215789474,60.624137931
56,1,17,45,38,1,0,b02,3,TT,O,,2011,1,20.658136846,20.736958935,20.264026403,7094.6,7411.82,82.317572193,85.872812834,1868.4,90.1,29.6,53.2,65.65,55.93,104.73571429,29.6,53.2,66.655555556,55.882142857
16,33,42,44,14,0,3,b02,7,TT,O,,2011,1,22.895597592,21.94720902,27.637540453,4690.42,4386.46,60.696802326,86.660813953,1488.4,57.36,59.2375,58.02,68.93,76.993333333,62.713793103,59.2375,58.02,69.489473684,77.637931034
70,3,29,29,42,2,0,b02,9,TT,O,,2011,1,20.230630539,19.997535867,21.396103896,4569.64,4518.38,75.641666872,93.054267893,1185.2,57.92,31.2,40.85,44.585,43.976666667,108.12857143,31.2,40.85,43.566666667,43.278571429
40,26,29,29,42,1,1,b02,11,TT,O,,2011,1,19.963543637,19.369933146,22.931596091,5802.68,7538.06,74.361527629,102.41538503,1477.6,78.02,40.0625,54.11,50.77,66.193333333,86.982758621,40.0625,54.11,50.568421053,66.593103448
