AGE,MULT08B1,MULT10B1,MULT20B1,MULT30B1,GROUP,NUMBER,SLGROUP,YEAR,TAV08B1,TAV10B1,TAV20B1,TAV30B1,TAV08AB1,TAV10AB1,TAV20AB1,TAV30AB1,MULT08B2,MULT10B2,MULT20B2,MULT30B2,TAV08B2,TAV10B2,TAV20B2,TAV30B2,TAV08AB2,TAV10AB2,TAV20AB2,TAV30AB2,MULT08B3,MULT10B3,MULT20B3,MULT30B3,TAV08B3,TAV10B3,TAV20B3,TAV30B3,TAV08AB3,TAV10AB3,TAV20AB3,TAV30AB3,MULT08B4,MULT10B4,MULT20B4,MULT30B4,TAV08B4,TAV10B4,TAV20B4,TAV30B4,TAV08AB4,TAV10AB4,TAV20AB4,TAV30AB4,IDX08B1,IDX08B2,IDX08B3,IDX08B4,IDX10B1,IDX10B2,IDX10B3,IDX10B4,IDX20B1,IDX20B2,IDX20B3,IDX20B4,IDX30B1,IDX30B2,IDX30B3,IDX30B4,IDX08AB1,IDX08AB2,IDX08AB3,IDX08AB4,IDX10AB1,IDX10AB2,IDX10AB3,IDX10AB4,IDX20AB1,IDX20AB2,IDX20AB3,IDX20AB4,IDX30AB1,IDX30AB2,IDX30AB3,IDX30AB4,IDX08_4,IDX10_4,IDX20_4,IDX30_4,IDX08_3,IDX10_3,IDX20_3,IDX30_3,IDX08A_4,IDX10A_4,IDX20A_4,IDX30A_4,IDX08A_3,IDX10A_3,IDX20A_3,IDX30A_3
O,1.00,1.00,1.00,1.00,b06,88,,2011,54.85,114.77,93.335,83.686666667,46.18,114.77,89.19375,79.653846154,1.22,1.23,1.34,1.26,31.375,81.85,58.895,69.15,31.271428571,81.85,58.668421053,69.355172414,1.47,1.42,1.57,1.43,63.0125,68.08,76.065,83.703333333,63.0125,68.08,70.370588235,80.966666667,1.52,1.42,1.57,1.43,38.15,63.27,55.765,59.186666667,22.15,63.27,52.18125,57.507692308,54.85,38.223663141,92.925152191,58.107651395,114.77,100.44397364,96.98229947,90.130289182,93.335,79.056523462,119.78562864,87.817597857,83.686666667,87.095041584,119.55774339,84.53933701,46.18,38.097483718,92.925152191,33.737469945,114.77,100.44397364,96.98229947,90.130289182,89.19375,78.752379751,110.81818378,82.1739806,79.653846154,87.353458069,115.64882271,82.141172234,244.10646673,402.3265623,379.99474996,374.87878865,189.25646673,287.5565623,286.65974996,291.19212198,210.94010585,402.3265623,360.93829413,364.79729916,164.76010585,287.5565623,271.74454413,285.14345301
O,1.00,1.00,1.00,1.00,b07,5,,2011,59.875,91.92,89.185,87.203333333,59.875,91.92,82.975,83.076923077,1.22,1.23,1.34,1.26,42.5875,55.96,61.465,56.906666667,42.5875,55.96,60.752631579,56.282758621,1.47,1.42,1.57,1.43,42.225,64.94,69.86,60.98,42.225,64.94,58.05625,52.35,1.52,1.42,1.57,1.43,36.3875,46.21,60.31,62.936666667,36.3875,46.21,53.425,59.103846154,59.875,51.883673435,62.26962192,55.423123595,91.92,68.67250782,92.509261569,65.82773294,89.185,82.50631148,110.01411972,94.974972236,87.203333333,71.674454082,87.100846545,89.895653417,59.875,51.883673435,62.26962192,55.423123595,91.92,68.67250782,92.509261569,65.82773294,82.975,81.550078,91.425812168,84.132613028,83.076923077,70.888636335,74.774177052,84.421040244,229.45141895,318.92950233,376.68040344,335.87428738,169.57641895,227.00950233,287.49540344,248.67095404,229.45141895,318.92950233,340.0835032,313.16077671,169.57641895,227.00950233,257.1085032,230.08385363
O,1.00,1.00,1.00,1.00,b07,22,,2011,44.725,102.26,82.525,71.983333333,41.34,102.26,79.75,68.653846154,1.22,1.23,1.34,1.26,45.675,53.69,70.75,82.243333333,45.675,53.69,71.688888889,83.667857143,1.47,1.42,1.57,1.43,54.525,59.66,80.64,92.976666667,54.525,59.66,71.63125,89.330769231,1.52,1.42,1.57,1.43,43.1625,64.12,80.305,68.903333333,43.1625,64.12,74.206666667,62.964,44.725,55.645125545,80.40855264,65.742372303,102.26,65.886828893,84.987720129,91.341143391,82.525,94.969845232,126.99024641,126.46269517,71.983333333,103.58621167,132.80331872,98.418147968,41.34,55.645125545,80.40855264,65.742372303,102.26,65.886828893,84.987720129,91.341143391,79.75,96.230143924,112.80344852,116.85916277,68.653846154,105.38041211,127.59569732,89.934695012,246.52105049,344.47569241,430.94778681,406.79101169,201.79605049,242.21569241,348.42278681,334.80767835,243.13605049,344.47569241,405.64275521,391.56465059,201.79605049,242.21569241,325.89275521,322.91080444
O,1.00,1.00,1.00,1.00,b07,39,,2011,38.625,56.89,71.525,64.81,38.625,56.89,60.6875,57.107692308,1.22,1.23,1.34,1.26,31.6375,48.78,44.22,45.936666667,24.083333333,48.78,43.1,45.339285714,1.47,1.42,1.57,1.43,22.6125,36.51,55.44,52.796666667,22.6125,36.51,36.157142857,40.8875,1.52,1.42,1.57,1.43,29.025,33.29,50.23,70.346666667,29.025,33.29,37.346666667,66.64,38.625,38.543462713,33.346875682,44.209032287,56.89,59.861417646,52.009749613,47.422748963,71.525,59.357831183,87.305794408,79.101191434,64.81,57.857641266,75.412173851,100.47973464,38.625,29.340341694,33.346875682,44.209032287,56.89,59.861417646,52.009749613,47.422748963,60.6875,57.854421618,56.939539695,58.812777811,57.107692308,57.10523463,58.401703232,95.185313443,154.72437068,216.18391622,297.28981703,298.55954976,116.09937068,159.29391622,225.76481703,233.74954976,145.52124966,216.18391622,234.29423912,267.79994361,106.89624966,159.29391622,173.60673912,210.69225131
O,1.00,1.00,1.00,1.00,b07,57,,2011,56.4125,63.69,80.17,93.086666667,56.4125,63.69,72.45,90.323076923,1.22,1.23,1.34,1.26,39.375,55.5,54.545,52.636666667,39.375,55.5,53.789473684,52.075862069,1.47,1.42,1.57,1.43,20.0625,24.4,47.045,44.616666667,20.0625,24.4,29.48125,33.434615385,1.52,1.42,1.57,1.43,26.3,32.98,44.02,38.526666667,26.3,32.98,34.0375,31.538461538,56.4125,47.969935815,29.586365655,40.058485759,63.69,68.108009007,34.758638471,46.98114331,80.17,73.217388102,74.08551764,69.321808619,93.086666667,66.296351008,63.728262327,55.029604481,56.4125,47.969935815,29.586365655,40.058485759,63.69,68.108009007,34.758638471,46.98114331,72.45,72.203222486,46.4264782,53.601568852,90.323076923,65.590012617,47.756367726,45.047994403,174.02728723,213.53779079,296.79471436,278.14088448,117.61478723,149.84779079,216.62471436,185.05421781,174.02728723,213.53779079,244.68126954,248.71745167,117.61478723,149.84779079,172.23126954,158.39437475
O,1.00,1.00,1.00,1.00,b07,74,,2011,48.4625,103.02,86.155,95.16,45.54,103.02,81.91875,93.938461538,1.22,1.23,1.34,1.26,30.3375,86.83,77.885,64.056666667,30.3375,86.83,78.810526316,64.186206897,1.47,1.42,1.57,1.43,29.7625,67.84,58.53,54.706666667,19.74,67.84,50.55,49.207692308,1.52,1.42,1.57,1.43,41.275,89.4,70.005,61.583333333,30.94,89.4,69.464705882,60.307407407,48.4625,36.959693404,43.891050856,62.86745246,103.02,106.55528688,96.640411223,127.3533721,86.155,104.54736955,92.171864118,110.2424628,95.16,80.679942836,78.140324341,87.96261834,45.54,36.959693404,29.11077174,47.125838379,103.02,106.55528688,96.640411223,127.3533721,81.91875,105.78973126,79.605120984,109.39161851,93.938461538,80.84309991,70.285858585,86.140148214,192.18069672,433.56907021,393.11669647,341.94288552,143.71819672,330.54907021,306.96169647,246.78288552,158.73630352,433.56907021,376.70522076,331.20756825,113.19630352,330.54907021,294.78647076,237.26910671
O,1.00,1.00,1.00,1.00,b07,85,,2011,48.525,109.1,89.18,79.916666667,48.525,109.1,84.505882353,75.944444444,1.22,1.23,1.34,1.26,31.1125,43.38,44.445,47.416666667,31.1125,43.38,42.926315789,46.524137931,1.47,1.42,1.57,1.43,24.075,65.34,63.54,55.736666667,24.075,65.34,52.9625,48.026923077,1.52,1.42,1.57,1.43,33.8,53.49,50.095,52.063333333,21.1,53.49,43.2625,48.161538462,48.525,37.903863569,35.503638786,51.482008313,109.1,53.234692445,93.079075314,76.198343106,89.18,59.659855425,100.06151112,78.888596156,79.916666667,59.721714463,79.611525914,74.36471642,48.525,37.903863569,35.503638786,32.138176787,109.1,53.234692445,93.079075314,76.198343106,84.505882353,57.621280098,83.404277351,68.128912889,75.944444444,58.597566562,68.599305624,68.791583649,173.41451067,331.61211087,327.7899627,293.61462346,124.88951067,222.51211087,238.6099627,213.6979568,154.07067914,331.61211087,293.66035269,271.93290028,105.54567914,222.51211087,209.15447034,195.98845583
O,1.00,1.00,1.00,1.00,b07,88,,2011,45.4125,90.49,76.92,94.126666667,17.3,90.49,75.242857143,97.45,1.22,1.23,1.34,1.26,35.4375,37.07,49.545,55.883333333,35.4375,37.07,48.515789474,55.427586207,1.47,1.42,1.57,1.43,28.8625,50.17,63.855,60.113333333,28.8625,50.17,54.394117647,53.740740741,1.52,1.42,1.57,1.43,29.85,41.96,43.885,41.816666667,27.416666667,41.96,36.50625,36.957692308,45.4125,43.172942233,42.563812023,45.465619768,90.49,45.491241331,71.468889019,59.773461894,76.92,66.505738262,100.55756677,69.109213341,94.126666667,70.385556624,85.862942308,59.728879409,17.3,43.172942233,42.563812023,41.759321339,90.49,45.491241331,71.468889019,59.773461894,75.242857143,65.124198129,85.658759962,57.489306586,97.45,69.811539054,76.760643038,52.78855832,176.61487402,267.22359224,313.09251838,310.10404501,131.20237402,176.73359224,236.17251838,215.97737834,144.7960756,267.22359224,283.51512182,296.81074041,127.4960756,176.73359224,208.27226468,199.36074041
O,1.00,1.00,1.00,1.00,b07,89,,2011,57.3125,90.65,87.475,83.086666667,57.3125,90.65,82.158823529,79.251851852,1.22,1.23,1.34,1.26,59.3,85.34,100.22,98.406666667,59.3,85.34,101.72631579,99.331034483,1.47,1.42,1.57,1.43,48.85,52.56,85.52,91.066666667,48.85,52.56,73.34375,84.426923077,1.52,1.42,1.57,1.43,33.1,47.84,67.86,59.65,33.1,47.84,62.4375,55.05,57.3125,72.244246192,72.039574442,50.415812875,90.65,104.7268016,74.873526148,68.149723952,87.475,134.52830939,134.67517204,106.86456004,83.086666667,123.94407412,130.07516823,85.201139659,57.3125,72.244246192,72.039574442,50.415812875,90.65,104.7268016,74.873526148,68.149723952,82.158823529,136.55028221,115.50025899,98.325316349,79.251851852,125.10832363,120.59128356,78.630724866,252.01213351,338.4000517,463.54304146,422.30704868,194.69963351,247.7500517,376.06804146,339.22038201,252.01213351,338.4000517,432.53468108,403.5821839,194.69963351,247.7500517,350.37585756,324.33033205
Y,1.00,1.00,1.00,1.00,b07,1,,2011,36.4,44.86,56.845,61.246666667,36.4,44.86,51.261111111,57.971428571,1.22,1.23,1.34,1.26,28.3125,42.04,37.975,49.573333333,28.3125,42.04,36.994736842,49.331034483,1.47,1.42,1.57,1.43,23.025,53.23,50.115,44.12,22.742857143,53.23,40.676470588,37.511111111,1.52,1.42,1.57,1.43,33.125,43.61,53.815,57.87,33.125,43.61,44.194117647,52.262962963,36.4,34.492668133,33.955193481,50.453891284,44.86,51.590282858,75.827964172,62.123943594,56.845,50.974980533,78.920091753,84.746777166,61.246666667,62.43805536,63.018847976,82.658674804,36.4,34.492668133,33.53911464,50.453891284,44.86,51.590282858,75.827964172,62.123943594,51.261111111,49.659143919,64.056485902,69.59600558,57.971428571,62.132877797,53.579034644,74.649857609,155.3017529,234.40219062,271.48684945,269.36224481,118.9017529,189.54219062,214.64184945,208.11557814,154.88567406,234.40219062,234.57274651,248.33319862,118.48567406,189.54219062,183.3116354,190.36177005
