TMQUADB,TMQUADD,TIMEINN,TIMEMID,TIMEOUT,ANCROSB,ANCROSD,GROUP,NUMBER,COND,AGE,SLGROUP,YEAR,BLOCK,BSPEED,BSPEEDTT,BSPEEDFS,TTCUMDS,TTCUMDSO,TTAVDS,TTAVDSO,TTPATH,TTLAT,TAVDS08,TAVDS10,TAVDS20,TAVDS30,TAVDSO30,TAVDS08A,TAVDS10A,TAVDS20A,TAVDS30A
30,37,11,26,63,0,3,c08,1,TT,O,,2012,0,23.21692011,23.21692011,23.21692011,7606.5,7501.7,85.466292135,84.288764045,2288,90.1,38.0625,111.21,78.165,80.436666667,88.54137931,38.0625,111.21,78.8,80.931034483
28,15,7,12,81,0,0,c08,22,TT,O,,2012,0,21.70063818,21.70063818,21.70063818,7133.9,8824.9,81.067045455,100.28295455,1859,90.1,66.0875,93.84,86.065,82.666666667,99.403571429,66.0875,93.84,88.494444444,83.985714286
28,18,8,35,57,0,3,c08,27,TT,O,,2012,0,18.669787485,18.669787485,18.669787485,7191.8,8403.9,81.725,95.498863636,1803,90.1,64.5375,68.91,81.165,80.143333333,93.682142857,64.5375,68.91,80.15,79.417857143
18,28,6,28,66,0,1,c08,30,TT,O,,2012,0,26.704321969,26.704321969,26.704321969,7831.7,7924.6,87.996629213,89.040449438,2228,90.1,58.8625,102.42,84.975,79.526666667,94.089655172,58.8625,102.42,85.894736842,79.94137931
34,39,23,26,51,0,2,c08,49,TT,O,,2012,0,24.082952147,24.082952147,24.082952147,7172.3,6825.1,80.587640449,76.686516854,2130,90.1,36.4875,94.05,68.875,72.513333333,78.672413793,36.4875,94.05,68.942105263,72.682758621
24,29,22,15,63,0,1,c08,76,TT,O,,2012,0,12.195900851,12.195900851,12.195900851,7209.2,7475.6,83.827906977,86.925581395,1664,90.1,62.7375,79.82,74.815,72.3,86.492307692,62.7375,79.82,77.48125,73.553846154
32,14,19,25,56,0,2,c08,91,TT,O,,2012,0,23.807990721,23.807990721,23.807990721,6584.1,8348.8,73.978651685,93.806741573,2126,90.1,57.0125,70.68,68.08,83.066666667,86.520689655,55.914285714,70.68,68.257894737,83.7
39,15,69,24,7,2,2,c08,1,TT,O,,2012,1,23.651161495,23.21692011,25.822368421,3331.42,3757.44,60.600595408,92.639357916,1199.2,46.04,22.8625,29.48,65.83,58.313333333,68.577777778,22.8625,29.48,59.470588235,53.474074074
42,22,9,20,71,0,1,c08,22,TT,O,,2012,1,21.705127608,21.70063818,21.727574751,7167.26,7640.78,87.64343722,93.596182589,1830.6,84.88,43.075,109.84,91.42,76.016666667,99.396153846,43.075,109.84,93.9,75.173076923
45,19,25,41,34,2,0,c08,27,TT,O,,2012,1,18.798287817,18.669787485,19.440789474,5513.78,6118.76,72.477168387,88.949741686,1225.6,70.48,40.775,45.18,56.025,68.046666667,101.64,38.82,45.18,43.06,62.672
54,11,66,33,1,3,0,c08,30,TT,O,,2012,1,26.650531465,26.704321969,26.381578947,4289.6,4808.98,60.586059173,71.568348336,1424.4,56.36,27.9375,44.11,45.105,41.51,87.833333333,27.9375,44.11,41.694117647,38.962962963
25,31,8,15,77,0,2,c08,49,TT,O,,2012,1,24.75628968,24.082952147,28.122977346,6276.26,6379.28,80.618133982,89.34796577,1861,75.54,58.775,83.01,86.205,91.32,92.959259259,58.775,83.01,79.176470588,87.462962963
0,19,0,0,100,0,0,c08,76,TT,O,,2012,1,11.243294569,12.195900851,6.4802631579,7284.48,7956.56,86.68871042,94.398533316,1098.6,90.08,120.725,121.71,123.16,122.45333333,71.884615385,120.725,121.56666667,121.56666667,121.16153846
