AGE,MULT08B1,MULT10B1,MULT20B1,MULT30B1,GROUP,NUMBER,SLGROUP,YEAR,TAV08B1,TAV10B1,TAV20B1,TAV30B1,TAV08AB1,TAV10AB1,TAV20AB1,TAV30AB1,MULT08B2,MULT10B2,MULT20B2,MULT30B2,TAV08B2,TAV10B2,TAV20B2,TAV30B2,TAV08AB2,TAV10AB2,TAV20AB2,TAV30AB2,MULT08B3,MULT10B3,MULT20B3,MULT30B3,TAV08B3,TAV10B3,TAV20B3,TAV30B3,TAV08AB3,TAV10AB3,TAV20AB3,TAV30AB3,MULT08B4,MULT10B4,MULT20B4,MULT30B4,TAV08B4,TAV10B4,TAV20B4,TAV30B4,TAV08AB4,TAV10AB4,TAV20AB4,TAV30AB4,IDX08B1,IDX08B2,IDX08B3,IDX08B4,IDX10B1,IDX10B2,IDX10B3,IDX10B4,IDX20B1,IDX20B2,IDX20B3,IDX20B4,IDX30B1,IDX30B2,IDX30B3,IDX30B4,IDX08AB1,IDX08AB2,IDX08AB3,IDX08AB4,IDX10AB1,IDX10AB2,IDX10AB3,IDX10AB4,IDX20AB1,IDX20AB2,IDX20AB3,IDX20AB4,IDX30AB1,IDX30AB2,IDX30AB3,IDX30AB4,IDX08_4,IDX10_4,IDX20_4,IDX30_4,IDX08_3,IDX10_3,IDX20_3,IDX30_3,IDX08A_4,IDX10A_4,IDX20A_4,IDX30A_4,IDX08A_3,IDX10A_3,IDX20A_3,IDX30A_3
O,1.00,1.00,1.00,1.00,c10,1,,2012,45.225,84.54,71.635,68.71,43.342857143,84.54,72.331578947,69.065517241,1.22,1.23,1.34,1.26,41.6625,54.02,56.39,75.45,33.275,54.02,47.5625,72.95,1.47,1.42,1.57,1.43,41.325,75.57,65.375,63.04,40.857142857,75.57,61.276470588,60.2,1.52,1.42,1.57,1.43,30.2,39.73,42.85,46.336666667,30.2,39.73,41.994736842,45.896551724,45.225,50.756760657,60.942383087,45.998717487,84.54,66.291795433,107.65206185,56.596750264,71.635,75.693986892,102.95123213,67.479316205,68.71,95.029947759,90.043249692,66.185026119,43.342857143,40.538402901,60.252429567,45.998717487,84.54,66.291795433,107.65206185,56.596750264,72.331578947,63.8445691,96.496950636,66.132465025,69.065517241,91.881175467,85.986732732,65.556387482,202.92286123,315.08060755,317.75953523,319.96822357,157.69786123,230.54060755,246.12453523,251.25822357,190.1324071,315.08060755,298.80556371,312.48981292,146.78954996,230.54060755,226.47398476,243.42429568
O,1.00,1.00,1.00,1.00,c10,6,,2012,53.1875,82.03,69.05,67.71,53.1875,82.03,69.378947368,67.879310345,1.22,1.23,1.34,1.26,37.0375,48.73,56.59,59.546666667,37.0375,48.73,48.923529412,55.048148148,1.47,1.42,1.57,1.43,63.775,68.79,93.41,87.596666667,63.775,68.79,87.370588235,83.148148148,1.52,1.42,1.57,1.43,41.1625,51.29,61.975,57.016666667,41.1625,51.29,61.236842105,56.362068966,53.1875,45.122196768,94.049618425,62.696099621,82.03,59.800059079,97.993718868,73.064367506,69.05,75.962452886,147.10018499,97.596980672,67.71,74.999557622,125.11879011,81.439815248,53.1875,45.122196768,94.049618425,62.696099621,82.03,59.800059079,97.993718868,73.064367506,69.378947368,65.671519667,137.58944109,96.434544499,67.879310345,69.333633436,118.76474405,80.50481994,255.05541481,312.88814545,389.70961854,349.26816298,201.86791481,230.85814545,320.65961854,281.55816298,255.05541481,312.88814545,369.07445262,336.48250777,201.86791481,230.85814545,299.69550525,268.60319743
O,1.00,1.00,1.00,1.00,c10,15,,2012,46.725,117.08,84.36,73.696666667,46.342857143,117.08,85.536842105,74.1,1.22,1.23,1.34,1.26,36.2625,54.58,66.235,73.043333333,36.2625,54.58,52.793333333,66.34,1.47,1.42,1.57,1.43,28.8,30.55,40.45,45.61,28.8,30.55,30.3,40.552,1.52,1.42,1.57,1.43,16.4375,42.52,33,38.136666667,11.85,42.52,30.927777778,37.171428571,46.725,44.178026603,42.47164266,25.036553599,117.08,66.97901138,43.519524806,60.571201138,84.36,88.909225427,63.699844585,51.967734767,73.696666667,91.998729633,65.147091028,54.472547574,46.342857143,44.178026603,42.47164266,18.049165637,117.08,66.97901138,43.519524806,60.571201138,85.536842105,70.866073441,47.715829195,48.704440984,74.1,83.555821529,57.922491458,53.093848735,158.41122286,288.14973732,288.93680478,285.3150349,111.68622286,171.06973732,204.57680478,211.61836824,151.04169204,288.14973732,252.82318573,268.67216172,104.6988349,171.06973732,167.28634362,194.57216172
O,1.00,1.00,1.00,1.00,c10,38,,2012,24.1375,71.35,70.52,59.866666667,24.1375,71.35,70.921052632,59.762068966,1.22,1.23,1.34,1.26,52.425,76.38,71.125,71.176666667,47.666666667,76.38,65.452941176,67.611111111,1.47,1.42,1.57,1.43,49.8,84.61,87.92,76.486666667,49.8,84.61,83.470588235,72.414814815,1.52,1.42,1.57,1.43,58.9,65.55,80.09,78.27,58.9,65.55,80.736842105,78.631034483,24.1375,63.868543113,73.440548766,89.712730463,71.35,93.731346449,120.5298525,93.378227531,70.52,95.47321897,138.45464366,126.1241175,59.866666667,89.647646322,109.24981004,111.79703606,24.1375,58.071541346,73.440548766,89.712730463,71.35,93.731346449,120.5298525,93.378227531,70.921052632,87.859444431,131.4477997,127.14275141,59.762068966,85.156797307,103.4337762,112.31272004,251.15932234,378.98942648,430.57198013,370.56115909,227.02182234,307.63942648,360.05198013,310.69449242,245.36232058,378.98942648,417.37104817,360.66536252,221.22482058,307.63942648,346.44999554,300.90329355
O,1.00,1.00,1.00,1.00,c10,43,,2012,48.7,82.29,75.835,75.696666667,48.7,82.29,76.547368421,76.15862069,1.22,1.23,1.34,1.26,44.725,72.59,70.43,68.276666667,44.725,72.59,61.317647059,62.3,1.47,1.42,1.57,1.43,32.925,48.54,53.17,60.396666667,32.925,48.54,44.552941176,55.774074074,1.52,1.42,1.57,1.43,19.5625,54.69,40.745,42.953333333,19.5625,54.69,39.6,42.279310345,48.7,54.487755665,48.554820645,29.796354664,82.29,89.080367096,69.146898007,77.907784342,75.835,94.540299642,83.731044168,64.164404639,75.696666667,85.995070464,86.26764177,61.352438427,48.7,54.487755665,48.554820645,29.796354664,82.29,89.080367096,69.146898007,77.907784342,76.547368421,82.308515211,70.161073641,62.36128172,76.15862069,78.467405505,79.664956824,60.389696989,181.53893097,318.42504944,318.27074845,309.31181733,132.83893097,236.13504944,242.43574845,233.61515066,181.53893097,318.42504944,291.37823899,294.68068001,132.83893097,236.13504944,214.83087057,218.52205932
O,1.00,1.00,1.00,1.00,c10,48,,2012,51.7125,72.43,63.84,63.023333333,51.7125,72.43,63.894736842,63.031034483,1.22,1.23,1.34,1.26,30.15,34.39,48.65,55.133333333,30.15,34.39,39.141176471,49.866666667,1.47,1.42,1.57,1.43,35.675,82.53,67.215,56.17,33.4,82.53,62.811764706,52.17037037,1.52,1.42,1.57,1.43,30.4375,42.11,39.855,42.933333333,27.6,42.11,38.805263158,42.351724138,51.7125,36.731265138,52.610272635,46.360462368,72.43,42.202422158,117.56682102,59.987142049,63.84,65.304352941,105.84882704,62.76285058,63.023333333,69.440924936,80.230478033,61.323871406,51.7125,36.731265138,49.255307807,42.038563001,72.43,42.202422158,117.56682102,59.987142049,63.894736842,52.540374157,98.914700863,61.109746162,63.031034483,62.807511309,74.517602883,60.493129306,187.41450014,292.18638523,297.75603056,274.01860771,135.70200014,219.75638523,233.91603056,210.99527437,179.73763595,292.18638523,276.45955802,260.84927798,128.02513595,219.75638523,212.56482118,197.8182435
O,1.00,1.00,1.00,1.00,c10,54,,2012,47.325,87.76,78.085,71.72,47.325,87.76,78.863157895,72.010344828,1.22,1.23,1.34,1.26,54.5625,84.06,89.32,88.526666667,54.5625,84.06,87.288235294,87.159259259,1.47,1.42,1.57,1.43,22.0625,25.64,52.08,54.053333333,22.0625,25.64,43.070588235,48.6,1.52,1.42,1.57,1.43,19.1875,19.49,38.065,43.083333333,19.1875,19.49,36.947368421,42.524137931,47.325,66.472625343,32.535785284,29.225178536,87.76,103.15602229,36.525061081,27.764174746,78.085,119.89691274,82.014534141,59.943994664,71.72,111.50012603,77.207134994,61.538124062,47.325,66.472625343,32.535785284,29.225178536,87.76,103.15602229,36.525061081,27.764174746,78.863157895,117.16961408,67.826694111,58.183970983,72.010344828,109.7778642,69.417860644,60.739396727,175.55858916,255.20525812,339.94044154,321.96538508,128.23358916,167.44525812,261.85544154,250.24538508,175.55858916,255.20525812,322.04343707,311.9454664,128.23358916,167.44525812,243.18027918,239.93512157
O,1.00,1.00,1.00,1.00,c10,57,,2012,22.8,67.35,64.805,56.926666667,22.8,67.35,64.905263158,56.720689655,1.22,1.23,1.34,1.26,56.85,66.44,72.925,70.256666667,56.85,66.44,68.923529412,67.440740741,1.47,1.42,1.57,1.43,34.6125,36.45,52.84,64.736666667,34.6125,36.45,41.65625,59.684615385,1.52,1.42,1.57,1.43,49.275,54.14,57.76,74.946666667,49.275,54.14,57.447368421,75.334482759,22.8,69.259450186,51.043393457,75.052543185,67.35,81.533263395,51.924277551,77.124290442,64.805,97.889412912,83.211366821,90.95928364,56.926666667,88.488898119,92.466685293,107.05014943,22.8,69.259450186,51.043393457,75.052543185,67.35,81.533263395,51.924277551,77.124290442,64.905263158,92.518119026,65.599422769,90.466957732,56.720689655,84.942214306,85.25058258,107.60408695,218.15538683,277.93183139,336.86506337,344.93239951,195.35538683,210.58183139,272.06006337,288.00573284,218.15538683,277.93183139,313.48976268,334.51757349,195.35538683,210.58183139,248.58449953,277.79688384
O,1.00,1.00,1.00,1.00,c10,64,,2012,35.2125,46.14,45.22,42.026666667,35.183333333,46.14,42.094117647,39.703703704,1.22,1.23,1.34,1.26,35.325,40.74,52.22,59.48,18.466666667,40.74,38.5,52.7,1.47,1.42,1.57,1.43,20.925,46.26,55.095,44.843333333,20.925,46.26,43.273333333,35.7,1.52,1.42,1.57,1.43,26.175,62.47,50.665,44.16,26.175,62.47,50.833333333,43.803571429,35.2125,43.035885274,30.85830287,39.868093716,46.14,49.994960125,65.898959658,88.990661691,45.22,70.096470926,86.762495363,79.786220665,42.026666667,74.915590361,64.052021896,63.075982017,35.183333333,22.497646088,30.85830287,39.868093716,46.14,49.994960125,65.898959658,88.990661691,42.094117647,51.679703766,68.145973004,80.051308605,39.703703704,66.376119906,50.992132202,62.566876896,148.97478186,251.02458147,281.86518695,244.07026094,113.76228186,204.88458147,236.64518695,202.04359427,128.40737601,251.02458147,241.97110302,219.63883271,93.224042674,204.88458147,199.87698538,179.935129
O,1.00,1.00,1.00,1.00,c10,74,,2012,31.5625,44.28,71.72,76.11,31.5625,44.28,71.661111111,76.385714286,1.22,1.23,1.34,1.26,32.9625,66.1,69.51,68.186666667,32.9625,66.1,58.01875,60.911538462,1.47,1.42,1.57,1.43,50.725,95.03,79.91,84.76,43.66,95.03,75.85,83.007692308,1.52,1.42,1.57,1.43,37.25,56.79,56.35,52.473333333,37.25,56.79,56.172222222,52.082142857,31.5625,40.157689125,74.804655344,56.736828689,44.28,81.116025141,135.37350057,80.899306506,71.72,93.305356072,125.84065713,88.738844064,76.11,85.881714661,121.06703433,74.950340347,31.5625,40.157689125,64.385830504,56.736828689,44.28,81.116025141,135.37350057,80.899306506,71.661111111,77.880306828,119.44705097,88.458883203,76.385714286,76.718625817,118.56412381,74.391583023,203.26167316,341.66883222,379.60485726,358.00908933,171.69917316,297.38883222,307.88485726,281.89908933,192.84284832,341.66883222,357.44735211,346.06004693,161.28034832,297.38883222,285.786241,269.67433265
