AGE,MULT08B1,MULT10B1,MULT20B1,MULT30B1,GROUP,NUMBER,SLGROUP,YEAR,TAV08B1,TAV10B1,TAV20B1,TAV30B1,TAV08AB1,TAV10AB1,TAV20AB1,TAV30AB1,MULT08B2,MULT10B2,MULT20B2,MULT30B2,TAV08B2,TAV10B2,TAV20B2,TAV30B2,TAV08AB2,TAV10AB2,TAV20AB2,TAV30AB2,MULT08B3,MULT10B3,MULT20B3,MULT30B3,TAV08B3,TAV10B3,TAV20B3,TAV30B3,TAV08AB3,TAV10AB3,TAV20AB3,TAV30AB3,MULT08B4,MULT10B4,MULT20B4,MULT30B4,TAV08B4,TAV10B4,TAV20B4,TAV30B4,TAV08AB4,TAV10AB4,TAV20AB4,TAV30AB4,IDX08B1,IDX08B2,IDX08B3,IDX08B4,IDX10B1,IDX10B2,IDX10B3,IDX10B4,IDX20B1,IDX20B2,IDX20B3,IDX20B4,IDX30B1,IDX30B2,IDX30B3,IDX30B4,IDX08AB1,IDX08AB2,IDX08AB3,IDX08AB4,IDX10AB1,IDX10AB2,IDX10AB3,IDX10AB4,IDX20AB1,IDX20AB2,IDX20AB3,IDX20AB4,IDX30AB1,IDX30AB2,IDX30AB3,IDX30AB4,IDX08_4,IDX10_4,IDX20_4,IDX30_4,IDX08_3,IDX10_3,IDX20_3,IDX30_3,IDX08A_4,IDX10A_4,IDX20A_4,IDX30A_4,IDX08A_3,IDX10A_3,IDX20A_3,IDX30A_3
O,1,1,1,1,1305,16,,2013,42.0625,62.7,67.975,72.26,42.0625,62.7,67.64444444,72.35357143,1.22,1.23,1.34,1.26,37.05,47.47,61.785,56.14,35.15,47.47,44.32,44.532,1.47,1.42,1.57,1.43,16.25,33.55,39.875,52.75666667,16.25,33.55,37.90555556,52.41071429,1.52,1.42,1.57,1.43,81.475,97.2,104.815,97.07,81.475,97.2,99.3,91.59565217,42.0625,45.13742532,23.96403449,124.0975334,62.7,58.2538232,47.7931279,138.4647401,67.975,82.93585707,62.79434618,165.0605491,72.26,70.70883058,75.35503981,138.6500357,42.0625,42.82268556,23.96403449,124.0975334,62.7,58.2538232,47.7931279,138.4647401,67.64444444,59.49206418,59.69290477,156.3756383,72.35357143,56.08845108,74.86089837,130.8307452,235.2614932,307.2116912,378.7657523,356.973906,193.1989932,244.5116912,310.7907523,284.713906,232.9467534,307.2116912,343.2050516,334.1336661,190.8842534,244.5116912,275.5606072,261.7800947
O,1,1,1,1,1305,19,,2013,36.9375,53.18,52.23,68.01333333,36.9375,53.18,51.45263158,68.04827586,1.22,1.23,1.34,1.26,56.2875,60.37,77.73,78.35333333,56.2875,60.37,71.68235294,74.61481482,1.47,1.42,1.57,1.43,37.8,41.15,48.28,64.63666667,37.8,41.15,48.00526316,65.02068966,1.52,1.42,1.57,1.43,48.8875,48.02,58.48,74.8,48.88,48.02,52.00588235,72.53703704,36.9375,68.57416539,55.74403099,74.46232785,53.18,74.0843334,58.61958906,68.40614014,52.23,104.3393084,76.03037074,92.09312513,68.01333333,98.68672198,92.32385019,106.840658,36.9375,68.57416539,55.74403099,74.45090433,53.18,74.0843334,58.61958906,68.40614014,51.45263158,96.22137053,75.5977207,81.89781517,68.04827586,93.97802457,92.87236983,103.6083524,235.7180242,254.2900626,324.6928043,365.8645635,198.7805242,201.1100626,272.4628043,297.8512301,235.7066007,254.2900626,305.169538,358.5070227,198.7691007,201.1100626,253.7169064,290.4587468
O,1,1,1,1,1305,21,,2013,57.3,72.37,73.315,83.02333333,57.3,72.37,74.51111111,84.48571429,1.22,1.23,1.34,1.26,37.425,51.32,64.65,58.59333333,31.6,51.32,45.68571429,46.01666667,1.47,1.42,1.57,1.43,43.875,91.53,69.425,64.89666667,42.12,91.53,71.7,65.82592593,1.52,1.42,1.57,1.43,27.3625,38.97,54.3,47.99666667,27.3625,38.97,39.20769231,37.54782609,57.3,45.59428185,64.70289312,41.67681812,72.37,62.97843283,130.3876303,55.51410415,73.315,86.78163243,109.3290905,85.51054539,83.02333333,73.79882579,92.69522146,68.55608885,57.3,38.49777706,62.11477739,41.67681812,72.37,62.97843283,130.3876303,55.51410415,74.51111111,61.32530339,112.9117146,61.74348348,84.48571429,57.95840198,94.02252989,53.63147652,209.2739931,321.2501673,354.9362683,318.0734694,151.9739931,248.8801673,281.6212683,235.0501361,199.5893726,321.2501673,310.4916126,290.0981227,142.2893726,248.8801673,235.9805015,205.6124084
O,1,1,1,1,1305,23,,2013,43.825,48.95,58.675,59.88,43.825,48.95,58.47894737,59.79310345,1.22,1.23,1.34,1.26,36.775,75.18,67.565,68.56,36.775,75.18,62.14444444,65.14642857,1.47,1.42,1.57,1.43,18.6875,19.51,34.645,36.65333333,18.6875,19.51,33.00526316,35.64827586,1.52,1.42,1.57,1.43,27.15,49.27,46.95,43.67333333,22.3,49.27,40.78235294,39.42592593,43.825,44.8023972,27.55863966,41.35315165,48.95,92.25874085,27.79266543,70.18680809,58.675,90.69452428,54.55824761,73.93591356,59.88,86.35193132,52.35382686,62.38085118,43.825,44.8023972,27.55863966,33.9659404,48.95,92.25874085,27.79266543,70.18680809,58.47894737,83.41835012,51.97602308,64.2232273,59.79310345,82.05250767,50.91825198,56.31406238,157.5391885,239.1882144,277.8636854,260.9666094,113.7141885,190.2382144,219.1886854,201.0866094,150.1519773,239.1882144,258.0965479,249.0779255,106.3269773,190.2382144,199.6176005,189.284822
O,1,1,1,1,1305,24,,2013,47.975,81.72,89.14,83.13666667,47.975,81.72,92.85555556,85.09642857,1.22,1.23,1.34,1.26,49.825,80.8,75.18,68.38666667,42.7,80.8,68.7,63.55185185,1.47,1.42,1.57,1.43,34.7375,48.43,51.36,61.68,34.7375,48.43,51.64736842,62.22413793,1.52,1.42,1.57,1.43,34.6625,61.19,60.955,52.98666667,34.6625,61.19,55.99411765,48.97777778,47.975,60.70100449,51.22773218,52.79571341,81.72,99.15544374,68.99019923,87.16725771,89.14,100.916367,80.88069266,95.99070523,83.13666667,86.13361645,88.10069227,75.68356055,47.975,52.02073039,51.22773218,52.79571341,81.72,99.15544374,68.99019923,87.16725771,92.85555556,92.2180688,81.33323465,88.17840771,85.09642857,80.04412408,88.87791226,69.95745993,212.6994501,337.0329007,366.9277649,333.0545359,164.7244501,255.3129007,277.7877649,249.9178693,204.019176,337.0329007,354.5852667,323.9759248,156.044176,255.3129007,261.7297112,238.8794963
O,1,1,1,1,1305,27,,2013,29.8625,43.54,43.29,64.59666667,29.8625,43.54,42.04210526,64.5137931,1.22,1.23,1.34,1.26,41.8125,93.35,77.26,68.39,40.31428571,93.35,71.51176471,63.78518519,1.47,1.42,1.57,1.43,29.025,79.4,58.07,59.85666667,29.025,79.4,57.99473684,59.86896552,1.52,1.42,1.57,1.43,32.975,48.34,54.88,49.90666667,32.975,48.34,44.65294118,42.91481482,29.8625,50.93950327,42.80345237,50.22542083,43.54,114.556444,113.1080285,68.86199113,43.29,103.7084133,91.44746539,86.4239177,64.59666667,86.13781481,85.49633221,71.28423934,29.8625,49.11425265,42.80345237,50.22542083,43.54,114.556444,113.1080285,68.86199113,42.04210526,95.99238483,91.32894249,70.31855163,64.5137931,80.33800949,85.51389928,61.29742046,173.8308765,340.0664636,324.8697964,307.515053,143.9683765,296.5264636,281.5797964,242.9183864,172.0056259,340.0664636,299.6819842,291.6631223,142.1431259,296.5264636,257.6398789,227.1493292
O,1,1,1,1,1305,28,,2013,55.225,73.75,82.785,79.16333333,55.225,73.75,83.47894737,79.49310345,1.22,1.23,1.34,1.26,38.55,46.18,60.39,54.27666667,38.55,46.18,49.26875,46.49230769,1.47,1.42,1.57,1.43,25.1,39.12,35.98,43.00333333,21.14285714,39.12,35.09473684,42.66551724,1.52,1.42,1.57,1.43,31.15,43.74,51.27,46.06666667,31.15,43.74,40.7,38.76153846,55.225,46.96485145,37.01521635,47.44569701,73.75,56.67077218,55.7277843,62.30913306,82.785,81.06330676,56.66057869,80.73896247,79.16333333,68.36194563,61.42385598,65.79937134,55.225,46.96485145,31.17957894,47.44569701,73.75,56.67077218,55.7277843,62.30913306,83.47894737,66.13491961,55.26648412,64.09353955,79.49310345,58.55747609,60.94133601,55.36508385,186.6507648,248.4576895,301.2478479,274.7485063,131.4257648,174.7076895,218.4628479,195.585173,180.8151274,248.4576895,268.9738906,254.3569994,125.5901274,174.7076895,185.4949433,174.863896
O,1,1,1,1,1305,29,,2013,48.4625,114.36,95.45,81.24666667,48.4625,114.36,97.29473684,81.96551724,1.22,1.23,1.34,1.26,24.775,28.25,56.95,60.32,24.775,28.25,42.0625,51.67692308,1.47,1.42,1.57,1.43,35.6,46.62,70.975,67.84,35.6,46.62,71.42222222,67.90357143,1.52,1.42,1.57,1.43,23.75,39.33,46.165,42.37666667,18.175,39.33,32.34,33.324,48.4625,30.18298819,52.4996694,36.17448809,114.36,34.66759017,66.41179203,56.02693652,95.45,76.44569167,111.7699992,72.69971138,81.24666667,75.97357785,96.89933469,60.52875599,48.4625,30.18298819,52.4996694,27.68300299,114.36,34.66759017,66.41179203,56.02693652,97.29473684,56.46175428,112.4742758,50.92838007,81.96551724,65.0875454,96.99013701,47.59837013,167.3196457,271.4663187,356.3654023,314.6483352,118.8571457,157.1063187,260.9154023,233.4016685,158.8281606,271.4663187,317.159147,291.6415698,110.3656606,157.1063187,219.8644101,209.6760525
O,1,1,1,1,1305,32,,2013,47.5,100.22,84.84,75.28333333,47.5,100.22,85.93157895,75.66896552,1.22,1.23,1.34,1.26,36.4125,54.76,64.775,64.50666667,36.4125,54.76,51.53125,56.31538462,1.47,1.42,1.57,1.43,39.5,68.29,55.595,75.53,39.5,68.29,55.41578947,76.1,1.52,1.42,1.57,1.43,37.2375,60.74,59.785,56.82333333,28.625,60.74,51.7,51.39230769,47.5,44.36076922,58.25103768,56.71778948,100.22,67.19990222,97.28145169,86.52621724,84.84,86.94942367,87.54988528,94.14821282,75.28333333,81.24672185,107.8833542,81.16366738,47.5,44.36076922,58.25103768,43.59977775,100.22,67.19990222,97.28145169,86.52621724,85.93157895,69.17194116,87.26766816,81.4161178,75.66896552,70.92972907,108.6975143,73.40625625,206.8295964,351.2275712,353.4875218,345.5770768,159.3295964,251.0075712,268.6475218,270.2937434,193.7115846,351.2275712,323.7873061,328.7024651,146.2115846,251.0075712,237.8557271,253.0334996
O,1,1,1,1,1305,34,,2013,39.2375,91.46,68.07,66.25666667,38.7,91.46,68.28421053,66.33448276,1.22,1.23,1.34,1.26,43.6375,78.19,71.67,73.36666667,41.9,78.19,66.05294118,70.01851852,1.47,1.42,1.57,1.43,29.5625,34.41,57.06,58.39333333,29.5625,34.41,56.39473684,58.00344828,1.52,1.42,1.57,1.43,23.9875,28.48,43.435,38.89333333,23.9875,28.48,30.85625,30.45384615,39.2375,53.16287172,43.59610889,36.53623297,91.46,95.95252656,49.01822745,40.57073867,68.07,96.2047888,89.85693775,68.40056241,66.25666667,92.40597085,83.40617852,55.5533332,38.7,51.04610313,43.59610889,36.53623297,91.46,95.95252656,49.01822745,40.57073867,68.28421053,88.66484241,88.80929474,48.59180048,66.33448276,88.1889484,82.84928579,43.49878289,172.5327136,277.0014927,322.532289,297.6221492,133.2952136,185.5414927,254.462289,231.3654826,169.878445,277.0014927,294.3501482,280.8714998,131.178445,185.5414927,226.0659376,214.5370171
