TMQUADB,TMQUADD,TIMEINN,TIMEMID,TIMEOUT,ANCROSB,ANCROSD,GROUP,NUMBER,COND,AGE,SLGROUP,YEAR,BLOCK,BSPEED,BSPEEDTT,BSPEEDFS,TTCUMDS,TTCUMDSO,TTAVDS,TTAVDSO,TTPATH,TTLAT,TAVDS08,TAVDS10,TAVDS20,TAVDS30,TAVDSO30,TAVDS08A,TAVDS10A,TAVDS20A,TAVDS30A
8,37,11,22,67,0,1,1306,23,TT,O,,2013,0,22.924866091,22.924866091,22.924866091,8127.5,6181.9,94.505813953,71.88255814,1919,90.1,59.3625,85.72,98.235,88.776666667,66.076923077,59.3625,85.72,93.21875,84.234615385
24,44,45,11,44,3,1,1306,35,TT,O,,2013,0,22.977996753,22.977996753,22.977996753,1968.5,2069.3,67.879310345,71.355172414,807,33.7,55.0875,59.93,84.56,78.92,70.138461538,55.0875,59.93,77.0625,73.438461538
25,23,19,36,45,0,3,1306,37,TT,O,,2013,0,18.972253052,18.972253052,18.972253052,6088.8,7106.6,71.632941176,83.607058824,1767,90.1,84.3,93.87,100.64,101.26666667,61.364,84.3,93.87,99.993333333,101.004
24,34,14,23,63,0,3,1306,69,TT,O,,2013,0,20.384590117,20.384590117,20.384590117,6937.8,6904.4,81.621176471,81.228235294,1970,90.1,55.1375,99.91,87.8,84.696666667,85.548,47.28,99.91,82.366666667,80.816
20,33,5,12,83,1,1,1306,70,TT,O,,2013,0,27.690914416,27.690914416,27.690914416,7808,7359.5,89.747126437,84.591954023,2765,90.1,66.175,89.67,84.25,91.046666667,81.007407407,57.94,89.67,83.188235294,91.133333333
17,41,8,24,68,1,0,1306,71,TT,O,,2013,0,25.104064485,25.104064485,25.104064485,5821.7,4585.2,92.407936508,72.780952381,1625,67.9,66.9125,75.63,97.56,105.49666667,67.423076923,66.9125,75.63,91.85625,103.20769231
21,37,9,29,62,0,0,1306,81,TT,O,,2013,0,22.213135943,22.213135943,22.213135943,7677.7,6489.1,89.275581395,75.454651163,1869,90.1,55.725,65.88,91.365,96.02,62.488461538,55.725,65.88,84.775,92.680769231
31,20,15,21,64,0,0,1306,23,TT,O,,2013,1,23.136841961,22.924866091,24.196721311,6093.62,6149.74,82.838683042,82.63970757,1701.4,77.6,40.3625,103.33,79.485,75.953333333,90.838461538,29.55,103.33,77.55625,74.223076923
25,18,9,25,66,1,0,1306,35,TT,O,,2013,1,22.935215873,22.977996753,22.721311475,6576.58,6202.82,84.213092275,80.457825703,1800.2,78.82,37.9,89.54,73.93,82.983333333,88.265384615,32.125,89.54,69.71875,81.784615385
21,20,0,28,72,0,0,1306,37,TT,O,,2013,1,19.351194483,18.972253052,21.245901639,6716.36,7023.22,77.859371658,81.426013369,1709.4,90.1,54.2,84.95,79.44,86.446666667,91.223076923,54.2,84.95,74.73125,84.626923077
29,17,81,13,6,2,0,1306,69,TT,O,,2013,1,19.846635555,20.384590117,17.156862745,4437.34,4313.96,68.162704757,72.155638897,1242.6,63.48,18.5,31.52,50.615,51.163333333,59.504166667,18.5,31.52,37.778571429,43.8125
