TMQUADB,TMQUADD,TIMEINN,TIMEMID,TIMEOUT,ANCROSB,ANCROSD,GROUP,NUMBER,COND,AGE,SLGROUP,YEAR,BLOCK,BSPEED,BSPEEDTT,BSPEEDFS,TTCUMDS,TTCUMDSO,TTAVDS,TTAVDSO,TTPATH,TTLAT,TAVDS08,TAVDS10,TAVDS20,TAVDS30,TAVDSO30,TAVDS08A,TAVDS10A,TAVDS20A,TAVDS30A
28,21,6,16,78,1,1,1402,2,TT,O,,2014,0,24.28390731,24.28390731,24.28390731,7433,7889.2,83.51685393,88.64269663,2394,90.1,39.7875,75.09,62.195,71.69666667,96.9862069,37.55714286,75.09,62.55263158,72.25862069
31,21,8,22,70,0,1,1402,15,TT,O,,2014,0,24.07646774,24.07646774,24.07646774,7015,8190.5,78.82022472,92.02808989,2571,90.1,42.45,87.88,67.415,80.88,83.76551724,42.3,87.88,68.0631579,81.76896552
25,26,7,23,70,0,1,1402,21,TT,O,,2014,0,21.22118015,21.22118015,21.22118015,7162.2,7861.9,81.38863636,89.33977273,2218,90.1,50.15,112.58,83.185,78.41333333,94.45,49.18333333,112.58,86.53333333,80.225
24,24,13,28,59,1,2,1402,33,TT,O,,2014,0,24.26547954,24.26547954,24.26547954,6839.5,7862.6,76.84831461,88.34382023,2350,90.1,37.625,45.33,57.695,62.92333333,92.36206897,37.625,45.33,57.71052632,63.1137931
48,16,14,22,64,0,0,1402,34,TT,O,,2014,0,22.69965584,22.69965584,22.69965584,6109.9,8451.2,68.6505618,94.95730337,1667,90.1,45.2625,89.45,69.085,82.21666667,66.8137931,43.55714286,89.45,69.71052632,83.07931035
26,22,11,21,68,1,1,1402,39,TT,O,,2014,0,25.26925638,25.26925638,25.26925638,7243.1,7586.9,81.38314607,85.24606742,2438,90.1,64.8125,74.9,75.83,86.49666667,78.24137931,64.8125,74.9,76.67368421,87.41724138
27,30,8,23,69,0,1,1402,40,TT,O,,2014,0,21.46189612,21.46189612,21.46189612,7429.4,7324.4,84.425,83.23181818,2258,90.1,40.6875,105.56,75.455,75.78333333,86.16428571,38.65,105.56,77.78888889,77.30714286
38,28,6,36,58,1,0,1402,42,TT,O,,2014,0,20.82894018,20.82894018,20.82894018,6699.7,7753.6,76.13295455,88.10909091,1543,90.1,44.2,50.92,49.135,69.80333333,88.09285714,43.4,50.92,48.16666667,70.65714286
26,25,9,21,70,0,1,1402,45,TT,O,,2014,0,24.68838389,24.68838389,24.68838389,7136.3,7853.8,80.18314607,88.24494382,2202,90.1,63.1375,66.39,78.385,79.85,76.6862069,63.1375,66.39,79.54210526,80.65862069
24,54,26,33,41,1,2,1402,51,TT,O,,2014,0,19.64685431,19.64685431,19.64685431,6886.8,4964,83.98536585,60.53658537,1713,84.1,46.725,92.43,75.175,83.05333333,61.94285714,43.9,92.43,77.39444444,85.04285714
14,33,13,24,63,0,2,1402,53,TT,O,,2014,0,20.6799852,20.6799852,20.6799852,7700.9,6786,87.51022727,77.11363636,1924,90.1,42.4,71.76,69.6,71.31333333,88.55357143,42.4,71.76,70.68333333,72.13214286
28,22,14,24,62,0,1,1402,85,TT,O,,2014,0,20.79467259,20.79467259,20.79467259,7188.3,7408.6,81.68522727,84.18863636,2081,90.1,36.8625,82.18,61.06,70.96,78.675,36.01666667,82.18,62.31111111,72.47142857
27,38,6,26,68,0,0,1402,98,TT,O,,2014,0,22.31094514,22.31094514,22.31094514,7758.3,7154.9,87.17191011,80.39213483,1998,90.1,55.025,64.78,66.115,68.72,99.74137931,55.025,64.78,66.46842105,69.04137931
12,35,14,45,41,0,0,1402,2,TT,O,,2014,1,24.89345217,24.28390731,27.94117647,3658.44,4929.58,64.82284875,92.04974756,1366.4,56.16,56.5125,73.2,81.26,88.91666667,65.57407407,56.5125,73.2,78.50588235,88.03333333
18,32,11,39,50,0,0,1402,15,TT,O,,2014,1,23.93981961,24.07646774,23.25657895,5705.84,6746.66,74.41319241,86.75691403,1935.2,78.32,54.325,105.79,98.585,85.51666667,84.06153846,54.325,105.79,96.5125,82.23076923
30,16,44,44,12,2,0,1402,21,TT,O,,2014,1,22.09961734,21.22118015,26.49180328,5411.86,5634.84,73.81998464,89.69088788,1611,70.38,36.2,52.98,61.42,62.6,73.57777778,36.2,52.98,53.56470588,57.78518519
27,31,1,14,85,0,0,1402,33,TT,O,,2014,1,24.85511273,24.26547954,27.80327869,4968.26,4346.02,75.26408429,79.54182033,1558.4,62.12,62.65,108.74,93.035,88.86666667,94.25185185,61.97142857,108.74,89.48235294,86.16666667
2,35,22,38,40,0,1,1402,34,TT,O,,2014,1,22.6115553,22.69965584,22.17105263,2293.76,3119.12,63.57469525,85.31474225,795,37.22,82.7625,100.46,95.385,95.45333333,62.18076923,83.06666667,100.46,93.9375,94.57307692
17,27,18,30,52,0,1,1402,39,TT,O,,2014,1,25.27372242,25.26925638,25.29605263,5838.42,6151.06,76.12125947,93.04411811,1970.4,73.08,57.7375,89.84,89.62,85.8,74.39230769,57.7375,89.84,87.98125,84.20384615
24,14,5,28,67,0,0,1402,40,TT,O,,2014,1,19.94631694,21.46189612,12.36842105,5966.1,6532.46,76.72194096,84.33461454,1732.4,81,49.825,67.27,79.41,71.69333333,116.1090909,49.825,67.27,69.575,63.52272727
33,14,63,29,8,0,0,1402,42,TT,O,,2014,1,20.72378678,20.82894018,20.1980198,3201.84,3183.58,72.69003119,67.46626178,925.4,46.68,28.5125,76.23,68.805,58.31333333,68.808,25.2,76.23,60.72,51.364
29,25,34,40,26,1,0,1402,45,TT,O,,2014,1,25.05110099,24.68838389,26.86468647,3788.22,4299.28,67.72624306,81.56454238,1304.8,52.94,40.025,61.82,57.58,69.11333333,73.63333333,26.8,61.82,50.81176471,66.13333333
21,24,3,30,67,0,1,1402,49,TT,O,,2014,1,22.30180143,22.21610909,22.73026316,5707.7,5678.78,76.73130046,90.8971445,1561.2,69.42,54.0625,99.27,83.6,85.88333333,85.68846154,44.05,99.27,79.6375,83.79615385
19,48,58,39,3,0,0,1402,51,TT,O,,2014,1,19.83729087,19.64685431,20.78947368,4601.56,4069.22,71.5296213,76.69967459,1331.2,61.72,32.6125,42.69,61.095,68.81666667,58.08,32.6125,42.69,51.07333333,64.348
