AGE,MULT08B1,MULT10B1,MULT20B1,MULT30B1,GROUP,NUMBER,SLGROUP,YEAR,TAV08B1,TAV10B1,TAV20B1,TAV30B1,TAV08AB1,TAV10AB1,TAV20AB1,TAV30AB1,MULT08B2,MULT10B2,MULT20B2,MULT30B2,TAV08B2,TAV10B2,TAV20B2,TAV30B2,TAV08AB2,TAV10AB2,TAV20AB2,TAV30AB2,MULT08B3,MULT10B3,MULT20B3,MULT30B3,TAV08B3,TAV10B3,TAV20B3,TAV30B3,TAV08AB3,TAV10AB3,TAV20AB3,TAV30AB3,MULT08B4,MULT10B4,MULT20B4,MULT30B4,TAV08B4,TAV10B4,TAV20B4,TAV30B4,TAV08AB4,TAV10AB4,TAV20AB4,TAV30AB4,IDX08B1,IDX08B2,IDX08B3,IDX08B4,IDX10B1,IDX10B2,IDX10B3,IDX10B4,IDX20B1,IDX20B2,IDX20B3,IDX20B4,IDX30B1,IDX30B2,IDX30B3,IDX30B4,IDX08AB1,IDX08AB2,IDX08AB3,IDX08AB4,IDX10AB1,IDX10AB2,IDX10AB3,IDX10AB4,IDX20AB1,IDX20AB2,IDX20AB3,IDX20AB4,IDX30AB1,IDX30AB2,IDX30AB3,IDX30AB4,IDX08_4,IDX10_4,IDX20_4,IDX30_4,IDX08_3,IDX10_3,IDX20_3,IDX30_3,IDX08A_4,IDX10A_4,IDX20A_4,IDX30A_4,IDX08A_3,IDX10A_3,IDX20A_3,IDX30A_3
O,1.00,1.00,1.00,1.00,1412,2,,2014,29.525,33.62,69.14,76.493333333,29.525,33.62,53.773333333,68.744,1.22,1.23,1.34,1.26,16.1625,18.92,39.06,39.216666667,16.1625,18.92,21.066666667,28.452,1.47,1.42,1.57,1.43,14.8125,21.51,23.925,27.156666667,14.8125,21.51,19.833333333,24.757142857,1.52,1.42,1.57,1.43,22.2625,33.84,32.99,30.743333333,22.2625,33.84,31.05,29.335714286,29.525,19.690516511,21.844139128,33.908822783,33.62,23.218081629,30.64173416,48.206242862,69.14,52.431408548,37.676607706,51.951986968,76.493333333,49.393741347,38.789253132,43.912272203,29.525,19.690516511,21.844139128,33.908822783,33.62,23.218081629,30.64173416,48.206242862,53.773333333,28.278417991,31.233133521,48.896914076,68.744,35.835547696,35.361890798,41.90169807,104.96847842,135.68605865,211.20000322,208.58860002,75.443478422,102.06605865,142.06000322,132.09526668,104.96847842,135.68605865,162.18179892,181.84313656,75.443478422,102.06605865,108.40846559,113.09913656
O,1.00,1.00,1.00,1.00,1412,22,,2014,114.1125,121.31,118.065,120.54,119.3,120.62,120.62,123.86666667,1.22,1.23,1.34,1.26,92.2375,94.22,106.17,104.22,92.2375,94.22,94.22,97.27,1.47,1.42,1.57,1.43,45.175,59.56,58.15,58.496666667,45.175,59.56,57.4,58.062962963,1.52,1.42,1.57,1.43,46.5375,55.93,56.08,53.76,46.5375,55.93,55.793333333,53.124,114.1125,112.37147821,66.620015873,70.882957452,121.31,115.62408304,84.845266693,79.674206953,118.065,142.5151727,91.573447778,88.313653507,120.54,131.26601929,83.55377479,76.788152021,119.3,112.37147821,66.620015873,70.882957452,120.62,115.62408304,84.845266693,79.674206953,120.62,126.47432958,90.392362897,87.862216619,123.86666667,122.51243232,82.934293653,75.879720759,363.98695154,401.45355668,440.46727398,412.1479461,249.87445154,280.14355668,322.40227398,291.6079461,369.17445154,400.76355668,425.3489091,405.1931134,249.87445154,280.14355668,304.7289091,281.32644673
O,1.00,1.00,1.00,1.00,1412,43,,2014,49.425,82.27,80.61,78.143333333,49.425,82.27,82.69375,79.046153846,1.22,1.23,1.34,1.26,37.8,43.61,51.905,58.986666667,37.8,43.61,47.947058824,57.281481481,1.47,1.42,1.57,1.43,26.4125,68.87,49.6,57.54,26.4125,68.87,49.289473684,57.610344828,1.52,1.42,1.57,1.43,35.4125,40.44,42.415,45.826666667,35.4125,40.44,41.721052632,45.489655172,49.425,46.051138382,38.950772977,53.938065663,82.27,53.516941852,98.107681618,57.608169662,80.61,69.673636986,78.109080134,66.794286974,78.143333333,74.294232628,82.18731896,65.456567088,49.425,46.051138382,38.950772977,53.938065663,82.27,53.516941852,98.107681618,57.608169662,82.69375,64.360773934,77.620069552,65.701472647,79.046153846,72.146536683,82.287796068,64.975196369,188.36497702,291.50279313,295.18700409,300.08145201,138.93997702,209.23279313,214.57700409,221.93811868,188.36497702,291.50279313,290.37606613,298.45568297,138.93997702,209.23279313,207.68231613,219.40952912
O,1.00,1.00,1.00,1.00,1412,51,,2014,44.4875,71.01,76.345,68.816666667,44.4875,71.01,74.564705882,66.859259259,1.22,1.23,1.34,1.26,41.625,96.91,79.455,77.18,35.55,96.91,74.99375,74.084615385,1.47,1.42,1.57,1.43,53.975,108.61,84.69,77.396666667,54.383333333,108.61,88.238888889,79.157142857,1.52,1.42,1.57,1.43,50.25,70.14,63.07,82.893333333,50.066666667,70.14,62.455555556,83.914285714,44.4875,50.711075004,79.597462242,76.537601117,71.01,118.92517393,154.71867722,99.916840259,76.345,106.6548276,133.36810477,99.321364598,68.816666667,97.208898185,110.54960949,118.40077905,44.4875,43.309999193,80.199635416,76.258359454,71.01,118.92517393,154.71867722,99.916840259,74.564705882,100.66635803,138.95682345,98.353749873,66.859259259,93.310233661,113.06418749,119.85905744,251.33363836,444.57069141,415.68929697,394.97595338,206.84613836,373.56069141,339.34429697,326.15928672,244.25549406,444.57069141,412.54163724,393.09273785,199.76799406,373.56069141,337.97693136,326.23347859
O,1.00,1.00,1.00,1.00,1412,76,,2014,43.5375,52.93,77.21,80.903333333,43.5375,52.93,72.39375,78.507692308,1.22,1.23,1.34,1.26,20.9375,29.73,60.115,76.46,20.9375,29.73,45.86875,70.207692308,1.47,1.42,1.57,1.43,33.4625,47.39,50.425,54.71,33.4625,47.39,49.115789474,54,1.52,1.42,1.57,1.43,58.3125,117.84,90.78,90.556666667,58.583333333,117.84,94.477777778,92.917857143,43.5375,25.507823012,49.34747717,88.817887863,52.93,36.483803744,67.508683489,167.8671294,77.21,80.694166023,79.408273504,142.958514,80.903333333,96.302051765,78.145085511,129.3467092,43.5375,25.507823012,49.34747717,89.230403955,52.93,36.483803744,67.508683489,167.8671294,72.39375,61.570997717,77.346555159,148.78169991,78.507692308,88.427214477,77.130956271,132.71931808,207.21068805,324.78961663,380.27095353,384.69717981,163.67318805,271.85961663,303.06095353,303.79384647,207.62320414,324.78961663,360.09300278,376.78518113,164.08570414,271.85961663,287.69925278,298.27748882
O,1.00,1.00,1.00,1.00,1412,81,,2014,40.45,71.09,63.645,68.23,33.76,71.09,59.894117647,66.377777778,1.22,1.23,1.34,1.26,34.375,50.33,54.47,64.673333333,34.375,50.33,44.770588235,59.7,1.47,1.42,1.57,1.43,24.775,48.78,42.775,47.01,24.775,48.78,41.178947368,46.110344828,1.52,1.42,1.57,1.43,21.3375,43.07,39.42,34.36,21.3375,43.07,38.457894737,33.555172414,40.45,41.878515394,36.535935656,32.499921668,71.09,61.763533213,69.488786254,61.354695038,63.645,73.116713354,67.361207717,62.077821349,68.23,81.456640001,67.146782487,49.078141805,33.76,41.878515394,36.535935656,32.499921668,71.09,61.763533213,69.488786254,61.354695038,59.894117647,60.096902271,64.847776207,60.562717375,66.377777778,75.192682322,65.861759084,47.928565484,151.36437272,263.6970145,266.20074242,265.91156429,110.91437272,192.6070145,202.55574242,197.68156429,144.67437272,263.6970145,245.4015135,255.36078467,110.91437272,192.6070145,185.50739585,188.98300689
O,1.00,1.00,1.00,1.00,1412,82,,2014,46.1625,59.59,75.48,71.476666667,46.1625,59.59,63.753333333,63.64,1.22,1.23,1.34,1.26,33.625,47.97,55.665,61.15,30.475,47.97,42.14,54.132,1.47,1.42,1.57,1.43,26.6125,45.94,40.265,49.216666667,26.6125,45.94,39.210526316,48.834482759,1.52,1.42,1.57,1.43,14.8,36.44,32.595,40.563333333,14.8,36.44,29.772222222,39.317857143,46.1625,40.96480233,39.24571494,22.542417841,59.59,58.867408866,65.443108661,51.910032208,75.48,74.720797666,63.408510315,51.329948931,71.476666667,77.018970251,70.29867712,57.938679436,46.1625,37.127207465,39.24571494,22.542417841,59.59,58.867408866,65.443108661,51.910032208,63.753333333,56.565784849,61.747946414,46.88469539,63.64,68.179736674,69.752784337,56.159702222,148.91543511,235.81054973,264.93925691,276.73299347,102.75293511,176.22054973,189.45925691,205.25632681,145.07784025,235.81054973,228.95175999,257.73222323,98.915340247,176.22054973,165.19842665,194.09222323
O,1.00,1.00,1.00,1.00,1412,87,,2014,53.45,58.75,84.735,95.33,53.45,58.75,76.50625,91.896153846,1.22,1.23,1.34,1.26,44.675,66.63,66.62,69.243333333,42.45,66.63,58.28125,64.515384615,1.47,1.42,1.57,1.43,35.2625,44.05,51.165,56.523333333,35.2625,44.05,50.668421053,56.382758621,1.52,1.42,1.57,1.43,21.35,28.41,28.005,39.803333333,20.871428571,28.41,26.773684211,39.403448276,53.45,54.426841461,52.001954836,32.518960873,58.75,81.766425948,62.750738714,40.471021268,84.735,89.426022465,80.573610586,44.101709459,95.33,87.21259575,80.735162067,56.853132644,53.45,51.716159373,52.001954836,31.790031338,58.75,81.766425948,62.750738714,40.471021268,76.50625,78.232668444,79.79160807,42.162658175,91.896153846,81.257702182,80.53437203,56.281956406,192.39775717,243.73818593,298.83634251,320.13089046,138.94775717,184.98818593,214.10134251,224.80089046,188.95814555,243.73818593,276.69318469,309.97018446,135.50814555,184.98818593,200.18693469,218.07403062
O,1.00,1.00,1.00,1.00,1412,91,,2014,63.8625,63.36,78.955,84.17,63.8625,63.36,66.513333333,77.748,1.22,1.23,1.34,1.26,39.7,54.56,69.965,78.353333333,39.7,54.56,56.266666667,71.812,1.47,1.42,1.57,1.43,41.35,97.59,76.315,66.46,38.466666667,97.59,78.511111111,67.167857143,1.52,1.42,1.57,1.43,31.3125,54.61,45.055,44.113333333,30.971428571,54.61,44.322222222,43.575,63.8625,48.365878142,60.979250833,47.693206666,63.36,66.954467953,139.02030854,77.793821593,78.955,93.916116207,120.1793236,70.951705755,84.17,98.68672198,94.928210255,63.009325636,63.8625,48.365878142,56.727170867,47.173708378,63.36,66.954467953,139.02030854,77.793821593,66.513333333,75.528432863,123.63771511,69.797742082,77.748,90.44785432,95.939278743,62.240396658,220.90083564,347.12859809,364.00214556,340.79425787,157.03833564,283.76859809,285.04714556,256.62425787,216.12925739,347.12859809,335.47722338,326.37552972,152.26675739,283.76859809,268.96389005,248.62752972
O,1.00,1.00,1.00,1.00,1412,96,,2014,46.2375,71.55,65.605,61.743333333,29.5,71.55,61.09375,58.373076923,1.22,1.23,1.34,1.26,42.1875,84.01,74.57,66.446666667,42.1875,84.01,68.53125,61.480769231,1.47,1.42,1.57,1.43,37.2625,51.87,51.1,48.616666667,37.2625,51.87,50.410526316,48.079310345,1.52,1.42,1.57,1.43,27.8375,44.6,37.075,45.313333333,27.8375,44.6,36.626315789,45.303448276,46.2375,51.396359801,54.951374466,42.400307882,71.55,103.09466372,73.890597437,63.534232614,65.605,100.09754571,80.471249896,58.384962621,61.743333333,83.690169146,69.441666495,64.723346886,29.5,51.396359801,54.951374466,42.400307882,71.55,103.09466372,73.890597437,63.534232614,61.09375,91.991550616,79.385480637,57.678383771,58.373076923,77.435577047,68.674133033,64.709227554,194.98554215,312.06949378,304.55875823,279.59851586,148.74804215,240.51949378,238.95375823,217.85518253,178.24804215,312.06949378,290.14916502,269.19201456,148.74804215,240.51949378,229.05541502,210.81893763
