TMQUADB,TMQUADD,TIMEINN,TIMEMID,TIMEOUT,ANCROSB,ANCROSD,GROUP,NUMBER,COND,AGE,SLGROUP,YEAR,BLOCK,BSPEED,BSPEEDTT,BSPEEDFS,TTCUMDS,TTCUMDSO,TTAVDS,TTAVDSO,TTPATH,TTLAT,TAVDS08,TAVDS10,TAVDS20,TAVDS30,TAVDSO30,TAVDS08A,TAVDS10A,TAVDS20A,TAVDS30A
26,36,7,22,71,0,1,1502,2,TT,O,,2015,0,21.51387347,21.51387347,21.51387347,7551.7,6977.2,87.81046512,81.13023256,1906,90.1,41.6125,82.15,91.7,78.97333333,90.46153846,41.6125,82.15,93.13125,77.89615385
23,42,19,23,58,1,0,1502,6,TT,O,,2015,0,16.23207128,16.23207128,16.23207128,4162.3,4001.1,80.04423077,76.94423077,1165,58.2,69.375,100.93,103.755,95.67666667,51.68333333,69.375,100.93,99.52142857,91.1875
21,36,5,20,75,0,1,1502,9,TT,O,,2015,0,14.15382067,14.15382067,14.15382067,7580.8,6808,91.33493976,82.02409639,1810,90.1,47.9125,70.55,80.04,83.77333333,76.97391304,47.9125,70.55,69.08461539,78.7173913
17,41,3,24,73,1,0,1502,34,TT,O,,2015,0,21.86035974,21.86035974,21.86035974,5431.2,4540,93.64137931,78.27586207,1588,63,61.3125,101.89,107.67,94.76666667,71.41153846,61.3125,101.89,105.19375,91.25769231
16,38,7,22,71,0,2,1502,39,TT,O,,2015,0,15.8797934,15.8797934,15.8797934,7669,6491.8,91.29761905,77.28333333,1660,90.1,83.9375,94.43,107.065,102.5233333,71.30833333,83.9375,94.43,102.3714286,98.65
16,34,4,20,76,0,2,1502,46,TT,O,,2015,0,16.44730386,16.44730386,16.44730386,7854.3,6627.2,93.50357143,78.8952381,1644,90.1,49.4625,102.08,109.935,91.65333333,79.70833333,49.4625,102.08,105.9714286,84.77083333
24,31,16,31,53,1,1,1502,49,TT,O,,2015,0,22.26912891,22.26912891,22.26912891,6895.8,6808,80.18372093,79.1627907,2172,90.1,56.6875,72.63,76.29,83.82333333,83.28076923,56.6875,72.63,71.75,82.18846154
15,16,10,26,64,0,2,1502,57,TT,O,,2015,0,25.41283102,25.41283102,25.41283102,7115.2,7482.3,82.73488372,87.00348837,2242,90.1,64.925,94.07,91.095,85.04,83.75384615,64.925,94.07,86.89375,81.52307692
23,34,4,11,85,1,0,1502,62,TT,O,,2015,0,24.76710871,24.76710871,24.76710871,7755.4,7324.2,90.17906977,85.16511628,2404,90.1,56.3,86.18,85.94,76.49333333,99.21538462,56.3,86.18,83.7125,73.66923077
32,27,5,13,82,0,0,1502,74,TT,O,,2015,0,18.94181785,18.94181785,18.94181785,6741.9,8054.3,79.31647059,94.75647059,1908,90.1,63.825,99.99,108.975,101.7566667,76.14,63.825,99.99,106.1533333,98.62
22,40,10,23,67,0,1,1502,77,TT,O,,2015,0,18.29872015,18.29872015,18.29872015,7356,6671.5,86.54117647,78.48823529,1978,90.1,38.9125,115.63,117.16,93.08666667,67.896,38.9125,115.63,116.4733333,87.86
27,18,11,16,73,1,0,1502,82,TT,O,,2015,0,19.60860838,19.60860838,19.60860838,5606.3,6623.6,77.86527778,91.99444444,1585,77.8,60.875,107.11,96.035,87.12666667,99.6,59.4,107.11,91.45333333,82.596
15,45,12,25,63,0,1,1502,83,TT,O,,2015,0,23.03449825,23.03449825,23.03449825,7835.1,6119.3,91.10581395,71.15465116,2349,90.1,64.4375,99.44,90.93,88.00666667,76.54230769,59.73333333,99.44,84.55,83.63076923
18,53,9,21,70,0,1,1502,84,TT,O,,2015,0,22.75320926,22.75320926,22.75320926,8090.9,6093.9,94.08023256,70.85930233,1946,90.1,65.275,74.18,94.79,100.6333333,53.42307692,65.275,74.18,89.0125,97.97692308
19,38,8,22,70,0,3,1502,85,TT,O,,2015,0,22.51843216,22.51843216,22.51843216,7291,6485.5,90.01234568,80.06790124,2428,85.8,68.05,77.75,92.26,91.79333333,89.01153846,68.05,77.75,85.49375,87.55769231
17,39,18,17,65,0,0,1502,86,TT,O,,2015,0,21.06347657,21.06347657,21.06347657,7447.8,6416.5,86.60232558,74.61046512,1874,90.1,55.2625,80.28,83.065,95.99333333,55.55,55.2625,80.28,74.44375,92.67692308
41,28,14,26,60,2,0,1502,87,TT,O,,2015,0,16.22548239,16.22548239,16.22548239,1823.8,2393.8,72.952,95.752,757,31.4,46.0875,110.08,85.79,75.26666667,95.66666667,40.4,110.08,90.84285714,75.58333333
