AGE,MULT08B1,MULT10B1,MULT20B1,MULT30B1,GROUP,NUMBER,SLGROUP,YEAR,TAV08B1,TAV10B1,TAV20B1,TAV30B1,TAV08AB1,TAV10AB1,TAV20AB1,TAV30AB1,MULT08B2,MULT10B2,MULT20B2,MULT30B2,TAV08B2,TAV10B2,TAV20B2,TAV30B2,TAV08AB2,TAV10AB2,TAV20AB2,TAV30AB2,MULT08B3,MULT10B3,MULT20B3,MULT30B3,TAV08B3,TAV10B3,TAV20B3,TAV30B3,TAV08AB3,TAV10AB3,TAV20AB3,TAV30AB3,MULT08B4,MULT10B4,MULT20B4,MULT30B4,TAV08B4,TAV10B4,TAV20B4,TAV30B4,TAV08AB4,TAV10AB4,TAV20AB4,TAV30AB4,IDX08B1,IDX08B2,IDX08B3,IDX08B4,IDX10B1,IDX10B2,IDX10B3,IDX10B4,IDX20B1,IDX20B2,IDX20B3,IDX20B4,IDX30B1,IDX30B2,IDX30B3,IDX30B4,IDX08AB1,IDX08AB2,IDX08AB3,IDX08AB4,IDX10AB1,IDX10AB2,IDX10AB3,IDX10AB4,IDX20AB1,IDX20AB2,IDX20AB3,IDX20AB4,IDX30AB1,IDX30AB2,IDX30AB3,IDX30AB4,IDX08_4,IDX10_4,IDX20_4,IDX30_4,IDX08_3,IDX10_3,IDX20_3,IDX30_3,IDX08A_4,IDX10A_4,IDX20A_4,IDX30A_4,IDX08A_3,IDX10A_3,IDX20A_3,IDX30A_3
O,1.00,1.00,1.00,1.00,1505,1,,2015,85.9125,100.63,94.115,103.38333333,91.32,100.63,97.152941176,106.32592593,1.22,1.23,1.34,1.26,77.575,109.27,106.86,97.776666667,77.575,109.27,108.57272727,94.780952381,1.47,1.42,1.57,1.43,18.725,23.27,28.205,29.573333333,18.725,23.27,23.941176471,27.040740741,1.52,1.42,1.57,1.43,60.3,63.91,81.81,81.06,60.3,63.91,68.257142857,72.966666667,85.9125,94.50838783,27.613941278,91.84512134,100.63,134.09301161,33.14891464,91.041991174,94.115,143.44138037,44.416665427,128.83273883,103.38333333,123.1505835,42.241101484,115.78213547,91.32,94.50838783,27.613941278,91.84512134,100.63,134.09301161,33.14891464,91.041991174,97.152941176,145.74042552,37.702082086,107.4899726,106.32592593,119.37745465,38.623670215,104.22201437,299.87995045,358.91391742,410.80578463,384.55715379,213.96745045,258.28391742,316.69078463,281.17382046,305.28745045,358.91391742,388.08542139,368.54906516,213.96745045,258.28391742,290.93248021,262.22313923
O,1.00,1.00,1.00,1.00,1505,3,,2015,39.1375,46.7,52.12,56.863333333,39.1375,46.7,51.166666667,56.589285714,1.22,1.23,1.34,1.26,70.5625,77.14,96.52,93.096666667,70.5625,77.14,89.421428571,88.1,1.47,1.42,1.57,1.43,38.075,46.13,53.25,66.356666667,38.075,46.13,51.922222222,66.439285714,1.52,1.42,1.57,1.43,42.925,80.92,68.96,74.013333333,30.425,80.92,63.43125,71.388461538,39.1375,85.96517069,56.14957619,65.380627422,46.7,94.663996663,65.71377019,115.2733207,52.12,129.56168851,83.857026556,108.59681786,56.863333333,117.25608177,94.780613981,105.71702179,39.1375,85.96517069,56.14957619,46.341423164,46.7,94.663996663,65.71377019,115.2733207,51.166666667,120.03306335,81.766068877,99.890253816,56.589285714,110.96273555,94.898622984,101.96778343,246.6328743,322.35108755,374.13553293,374.61705088,207.4953743,275.65108755,322.01553293,317.75371755,227.59367004,322.35108755,352.85605271,364.41842768,188.45617004,275.65108755,301.68938604,307.82914197
O,1.00,1.00,1.00,1.00,1505,5,,2015,51.925,57.43,70.12,73.84,51.925,57.43,70.026315789,73.906896552,1.22,1.23,1.34,1.26,88.5,100.73,99.77,98.43,88.5,100.73,98.778571429,97.516666667,1.47,1.42,1.57,1.43,48.2375,60.04,59.035,60.846666667,46.642857143,60.04,59.015789474,60.896551724,1.52,1.42,1.57,1.43,79.8125,114.03,117.09,105.10333333,79.8125,114.03,114.03,97.58,51.925,107.81814145,71.136314681,121.56531919,57.43,123.61296842,85.529043187,162.43965348,70.12,133.9242609,92.967127938,184.39097163,73.84,123.97346266,86.910399739,150.12445569,51.925,107.81814145,68.784679208,121.56531919,57.43,123.61296842,85.529043187,162.43965348,70.026315789,132.59343662,92.936875589,179.57214532,73.906896552,122.82311119,86.981653113,139.37849468,352.44477532,429.01166508,481.40236047,434.84831809,300.51977532,371.58166508,411.28236047,361.00831809,350.09313985,429.01166508,475.12877331,423.09015553,298.16813985,371.58166508,405.10245752,349.18325898
O,1.00,1.00,1.00,1.00,1505,6,,2015,37.425,68.18,68.7,62.68,37.425,68.18,69.166666667,62.55,1.22,1.23,1.34,1.26,39.025,78.62,75.155,77.716666667,39.025,78.62,67.01875,73.103846154,1.47,1.42,1.57,1.43,45.4,72.25,62.825,65.256666667,41.433333333,72.25,63.438888889,65.825,1.52,1.42,1.57,1.43,28.5,61.94,61.215,53.283333333,28.5,61.94,50.375,45.392307692,37.425,47.543536385,66.951825582,43.409385708,68.18,96.480210236,102.92260777,88.235658478,68.7,100.88280874,98.935543537,96.400147992,62.68,97.884834637,93.209427835,76.107304691,37.425,47.543536385,61.102143317,43.409385708,68.18,96.480210236,102.92260777,88.235658478,69.166666667,89.961276539,99.902283384,79.329534511,62.55,92.07494607,94.021207344,64.836149994,195.32974767,355.81847648,364.91850027,329.88156716,157.90474767,287.63847648,296.21850027,267.20156716,189.48006541,355.81847648,338.3597611,313.48230341,152.05506541,287.63847648,269.19309443,250.93230341
O,1.00,1.00,1.00,1.00,1505,16,,2015,59.5,82.42,70.99,71.703333333,59.5,82.42,71.789473684,72.251724138,1.22,1.23,1.34,1.26,43.4875,75.37,71.005,64.896666667,40.925,75.37,67.975,62.092307692,1.47,1.42,1.57,1.43,31.1125,42.79,44.255,54.526666667,31.1125,42.79,43.768421053,54.562068966,1.52,1.42,1.57,1.43,26.825,54.88,50.165,54.04,21.25,54.88,42.76875,50.084615385,59.5,52.980129111,45.881909106,40.858132338,82.42,92.491903403,60.955825416,78.178445872,70.99,95.312139374,69.691881882,78.998830745,71.703333333,81.737930326,77.883221154,77.188090313,59.5,49.858276145,45.881909106,32.366647238,82.42,92.491903403,60.955825416,78.178445872,71.789473684,91.244879571,68.925627164,67.351365343,72.251724138,78.205815192,77.933788064,71.538412576,199.22017055,314.04617469,314.992852,308.51257513,139.72017055,231.62617469,244.002852,236.80924179,187.60683249,314.04617469,299.31134576,299.92973997,128.10683249,231.62617469,227.52187208,227.67801583
O,1.00,1.00,1.00,1.00,1505,20,,2015,76.1125,91.13,86.09,93.866666667,83.06,91.13,89.894117647,97.125925926,1.22,1.23,1.34,1.26,105.4875,116.33,114.84,118.36666667,85.6,116.33,113.53636364,119.1952381,1.47,1.42,1.57,1.43,45.0875,115,80.935,94.8,38.78,115,87.38125,100.9,1.52,1.42,1.57,1.43,33.325,67.18,69.18,70.923333333,32.671428571,67.18,57.826666667,64.46,76.1125,128.51374233,66.490978765,50.758518552,91.13,142.75684122,163.82145181,95.700218543,86.09,154.15317352,127.45480647,108.94326943,93.866666667,149.0838721,135.40767879,101.30341707,83.06,104.28511761,57.189246609,49.763040158,91.13,142.75684122,163.82145181,95.700218543,89.894117647,152.40326336,137.60623102,91.064268963,97.125925926,150.1274652,144.12062014,92.071508171,321.87573965,493.40851157,476.64124941,479.66163462,245.76323965,402.27851157,390.55124941,385.79496796,294.29740437,493.40851157,470.96788099,483.44551944,211.23740437,402.27851157,381.07376334,386.31959351
O,1.00,1.00,1.00,1.00,1505,33,,2015,36.1625,56.25,52.7,57.853333333,36.1625,56.25,51.661111111,57.553571429,1.22,1.23,1.34,1.26,53.5,72.04,72.575,84.803333333,33.533333333,72.04,62.078571429,81.7375,1.47,1.42,1.57,1.43,41.675,49.06,68.73,73.353333333,41.675,49.06,69.644444444,74.271428571,1.52,1.42,1.57,1.43,68.5125,98.66,92.36,89.403333333,52.233333333,98.66,87.946153846,86.008695652,36.1625,65.178198504,61.458531522,104.35387854,56.25,88.405422862,69.887655876,140.54456031,52.7,97.419597424,108.2346185,145.44666615,57.853333333,106.81055449,104.77431011,127.69934433,36.1625,40.853126289,61.458531522,79.558488192,56.25,88.405422862,69.887655876,140.54456031,51.661111111,83.329926796,109.67466718,138.49583021,57.553571429,102.94911007,106.0856724,122.85061006,267.15310856,355.08763905,403.80088208,397.13754226,230.99060856,298.83763905,351.10088208,339.28420893,218.032646,355.08763905,383.16153529,389.43896396,181.870146,298.83763905,331.50042418,331.88539253
O,1.00,1.00,1.00,1.00,1505,35,,2015,37.6875,72.19,60.095,53.556666667,37.6875,72.19,60.1,53.334482759,1.22,1.23,1.34,1.26,43.6625,50.45,78.965,82.606666667,43.6625,50.45,65.746666667,75.404,1.47,1.42,1.57,1.43,44.3,59.64,55.355,54.846666667,44.3,59.64,53.711111111,53.753571429,1.52,1.42,1.57,1.43,19.625,24.94,44.08,47.74,19.625,24.94,29.78125,39.503846154,37.6875,53.193328825,65.329644786,29.891550685,72.19,61.910793773,84.959229442,35.527887027,60.095,105.99708592,87.171938122,69.41629541,53.556666667,104.04383324,78.340293487,68.189478748,37.6875,53.193328825,65.329644786,29.891550685,72.19,61.910793773,84.959229442,35.527887027,60.1,88.253720959,84.583175038,46.898912152,53.334482759,94.972010349,76.778969765,56.425359819,186.1020243,254.58791024,322.68031945,304.13027214,148.4145243,182.39791024,262.58531945,250.57360547,186.1020243,254.58791024,279.83580815,281.51082269,148.4145243,182.39791024,219.73580815,228.17633993
O,1.00,1.00,1.00,1.00,1505,44,,2015,54.125,117.89,92.31,81.46,54.125,117.89,93.805263158,82.065517241,1.22,1.23,1.34,1.26,51.025,109.01,87.155,97.54,29.9,109.01,85.64,98.708,1.47,1.42,1.57,1.43,42.2375,66.62,87.57,86.016666667,42.2375,66.62,88.555555556,86.539285714,1.52,1.42,1.57,1.43,50.975,112.22,88.78,84.776666667,43.716666667,112.22,86.53125,82.776923077,54.125,62.162945395,62.288055793,77.641874964,117.89,133.77394706,94.9024793,159.86124628,92.31,116.99076836,137.90347071,139.80895432,81.46,122.85249973,122.86199547,121.09084018,54.125,36.426694117,62.288055793,66.586443691,117.89,133.77394706,94.9024793,159.86124628,93.805263158,114.95713845,139.45550373,136.26766815,82.065517241,124.32360614,123.60847893,118.23450434,256.21787615,506.42767264,487.01319339,448.26533537,202.09287615,388.53767264,394.70319339,366.80533537,219.4261936,506.42767264,484.4855735,448.23210665,165.3011936,388.53767264,390.68031034,366.16658941
O,1.00,1.00,1.00,1.00,1505,45,,2015,40.4,83.55,71.225,63.833333333,40.4,83.55,71.310526316,63.634482759,1.22,1.23,1.34,1.26,25.325,66.53,69.765,83.673333333,25.325,66.53,57.693333333,79.212,1.47,1.42,1.57,1.43,52.4875,57.7,74.94,76.543333333,52.4875,57.7,75.531578947,76.986206897,1.52,1.42,1.57,1.43,44.2,83.77,79.695,69.21,44.2,83.77,74.670588235,64.881481481,40.4,30.853044432,77.403831393,67.322626256,83.55,81.643708815,82.195632777,119.33324363,71.225,93.647650214,118.01400132,125.50207946,63.833333333,105.38730942,109.33074993,98.856175621,40.4,30.853044432,77.403831393,67.322626256,83.55,81.643708815,82.195632777,119.33324363,71.310526316,77.443490284,118.94560792,117.5897371,63.634482759,99.768220303,109.96332885,92.673531685,215.97950208,366.72258523,408.38873099,377.4075683,175.57950208,283.17258523,337.16373099,313.57423497,215.97950208,366.72258523,385.28936162,366.03956359,175.57950208,283.17258523,313.9788353,302.40508083
