AGE,MULT08B1,MULT10B1,MULT20B1,MULT30B1,GROUP,NUMBER,SLGROUP,YEAR,TAV08B1,TAV10B1,TAV20B1,TAV30B1,TAV08AB1,TAV10AB1,TAV20AB1,TAV30AB1,MULT08B2,MULT10B2,MULT20B2,MULT30B2,TAV08B2,TAV10B2,TAV20B2,TAV30B2,TAV08AB2,TAV10AB2,TAV20AB2,TAV30AB2,MULT08B3,MULT10B3,MULT20B3,MULT30B3,TAV08B3,TAV10B3,TAV20B3,TAV30B3,TAV08AB3,TAV10AB3,TAV20AB3,TAV30AB3,MULT08B4,MULT10B4,MULT20B4,MULT30B4,TAV08B4,TAV10B4,TAV20B4,TAV30B4,TAV08AB4,TAV10AB4,TAV20AB4,TAV30AB4,IDX08B1,IDX08B2,IDX08B3,IDX08B4,IDX10B1,IDX10B2,IDX10B3,IDX10B4,IDX20B1,IDX20B2,IDX20B3,IDX20B4,IDX30B1,IDX30B2,IDX30B3,IDX30B4,IDX08AB1,IDX08AB2,IDX08AB3,IDX08AB4,IDX10AB1,IDX10AB2,IDX10AB3,IDX10AB4,IDX20AB1,IDX20AB2,IDX20AB3,IDX20AB4,IDX30AB1,IDX30AB2,IDX30AB3,IDX30AB4,IDX08_4,IDX10_4,IDX20_4,IDX30_4,IDX08_3,IDX10_3,IDX20_3,IDX30_3,IDX08A_4,IDX10A_4,IDX20A_4,IDX30A_4,IDX08A_3,IDX10A_3,IDX20A_3,IDX30A_3
O,1.00,1.00,1.00,1.00,1508,18,,2015,51.4875,69.06,76.84,78.42,51.4875,69.06,66.806666667,72.716,1.22,1.23,1.34,1.26,21.3125,51.26,53.58,52.603333333,21.3125,51.26,52.555555556,51.875,1.47,1.42,1.57,1.43,22.8625,65.95,62.45,49.066666667,22.8625,65.95,57.05625,43.688461538,1.52,1.42,1.57,1.43,21.7,37.33,47.185,40.18,21.7,37.33,33.68125,30.792307692,51.4875,25.964679544,33.715553136,33.052058592,69.06,62.904802553,93.948041276,53.177867791,76.84,71.922039683,98.345001097,74.305986817,78.42,66.254367377,70.084424464,57.39114487,51.4875,25.964679544,33.715553136,33.052058592,69.06,62.904802553,93.948041276,53.177867791,66.806666667,70.546897204,89.851032327,53.040553534,72.716,65.33702505,62.402459565,43.98222478,144.21979127,279.09071162,321.4130276,272.14993671,92.732291272,210.03071162,244.5730276,193.72993671,144.21979127,279.09071162,280.24514973,244.43770939,92.732291272,210.03071162,213.43848306,171.72170939
O,1.00,1.00,1.00,1.00,1508,39,,2015,49.65,81.35,72.135,70.17,36.6,81.35,66.18125,66.203846154,1.22,1.23,1.34,1.26,30.625,36.29,48.395,47.123333333,30.625,36.29,48.2,46.951724138,1.47,1.42,1.57,1.43,28.125,32.52,64.64,57.813333333,28.125,32.52,57.0125,52.069230769,1.52,1.42,1.57,1.43,35.5125,41.38,45.88,52.346666667,28.75,41.38,38.24375,48.642307692,49.65,37.309950078,41.476213535,54.090379297,81.35,44.534047691,46.325857503,58.947231964,72.135,64.962058799,101.79376895,72.250899124,70.17,59.352258514,82.577734912,74.769415882,36.6,37.309950078,41.476213535,43.790169793,81.35,44.534047691,46.325857503,58.947231964,66.18125,64.700304455,89.782135709,60.22548656,66.203846154,59.136115202,74.373140029,69.478290881,182.52654291,231.15713716,311.14172687,286.86940931,132.87654291,149.80713716,239.00672687,216.69940931,159.17633341,231.15713716,280.88917672,269.19139227,122.57633341,149.80713716,214.70792672,202.98754611
O,1.00,1.00,1.00,1.00,1508,44,,2015,24.6625,29.29,59.235,58.026666667,24.6625,29.29,50.05,52.188461538,1.22,1.23,1.34,1.26,26.4875,35.16,35.035,37.823333333,26.4875,35.16,33.2,36.842857143,1.47,1.42,1.57,1.43,32.8625,67.31,63.715,60.17,32.8625,67.31,55.75625,54.726923077,1.52,1.42,1.57,1.43,14.3125,13.38,33.685,34.263333333,14.3125,13.38,18.953333333,25.54,24.6625,32.26929968,48.462651282,21.799888875,29.29,43.147344084,95.88540801,19.060269784,59.235,47.028530427,100.3370976,53.046458958,58.026666667,47.63882559,85.943882201,48.940067871,24.6625,32.26929968,48.462651282,21.799888875,29.29,43.147344084,95.88540801,19.060269784,50.05,44.565354936,87.803818533,29.847327261,52.188461538,46.403907085,78.169257606,36.480085614,127.19433984,187.38302188,259.64708698,240.54944233,102.53183984,158.09302188,200.41208698,182.52277566,127.19433984,187.38302188,212.26650073,213.24171184,102.53183984,158.09302188,162.21650073,161.05325031
O,1.00,1.00,1.00,1.00,1508,45,,2015,33.725,85.08,69,63.496666667,27.733333333,85.08,63.575,59.311538462,1.22,1.23,1.34,1.26,27.6,92.24,63.235,53.78,27.6,92.24,63.263157895,53.472413793,1.47,1.42,1.57,1.43,21.425,69.54,58.535,54.27,15.675,69.54,53.23125,50.35,1.52,1.42,1.57,1.43,22.325,36.3,44.875,47.19,22.325,36.3,31.8875,39.553846154,33.725,33.624640723,31.595657777,34.004018805,85.08,113.1942838,99.062119641,51.710597397,69,84.882235523,92.179738017,70.668245384,63.496666667,67.736389536,77.516611053,67.403885675,27.733333333,33.624640723,23.116076343,34.004018805,85.08,113.1942838,99.062119641,51.710597397,63.575,84.920032709,83.827499433,50.215792193,59.311538462,67.348981966,71.917474968,56.496777371,132.94931731,349.04700084,316.73021892,276.15355293,99.224317305,263.96700084,247.73021892,212.65688626,118.4780692,349.04700084,282.53832434,255.07477277,90.744735871,263.96700084,218.96332434,195.7632343
O,1.00,1.00,1.00,1.00,1508,52,,2015,45.6625,79.18,73.125,77.916666667,31.88,79.18,63.413333333,73.048,1.22,1.23,1.34,1.26,34.2125,53.94,61.47,55.283333333,34.2125,53.94,61.622222222,54.939285714,1.47,1.42,1.57,1.43,26.875,33,58.015,72.86,26.875,33,48.26,69.976,1.52,1.42,1.57,1.43,22.7375,48.27,57.035,59.023333333,22.7375,48.27,43.693333333,51.416,45.6625,41.68054423,39.632826267,34.632312545,79.18,66.193621727,47.009633997,68.762273728,73.125,82.51302313,91.3608525,89.817568255,77.916666667,69.629851274,104.06965692,84.306039673,31.88,41.68054423,39.632826267,34.632312545,79.18,66.193621727,47.009633997,68.762273728,63.413333333,82.71735558,75.998875147,68.807380538,73.048,69.19652023,99.950292519,73.440097179,161.60818304,261.14552945,336.81644388,335.92221454,115.94568304,181.96552945,263.69144388,258.00554787,147.82568304,261.14552945,290.9369446,315.63490993,115.94568304,181.96552945,227.52361126,242.58690993
O,1.00,1.00,1.00,1.00,1508,60,,2015,41.75,88.61,81.335,69.823333333,41.75,88.61,73.9,63.476923077,1.22,1.23,1.34,1.26,34.2,58.36,64.105,58.213333333,34.2,58.36,64.183333333,57.842857143,1.47,1.42,1.57,1.43,24.4125,44.18,52.895,67.023333333,24.4125,44.18,45.51875,64.657692308,1.52,1.42,1.57,1.43,47.8125,74.83,79.69,75.613333333,47.8125,74.83,72.44375,70.526923077,41.75,41.665315679,36.001353348,72.824956287,88.61,71.61771902,62.935928182,106.59790642,81.335,86.050062595,83.297979712,125.49420556,69.823333333,73.320212399,95.732848009,108.00238346,41.75,41.665315679,36.001353348,72.824956287,88.61,71.61771902,62.935928182,106.59790642,73.9,86.155211776,71.682009907,114.08295714,63.476923077,72.853594334,92.353882185,100.73720407,192.24162531,329.76155363,376.17724787,346.8787772,150.49162531,241.15155363,294.84224787,277.05544387,192.24162531,329.76155363,345.82017882,329.42160367,150.49162531,241.15155363,271.92017882,265.94468059
O,1.00,1.00,1.00,1.00,1508,61,,2015,55.5625,71.5,89.125,78.876666667,55.5625,71.5,77.791666667,68.968181818,1.22,1.23,1.34,1.26,36.7125,63.47,58.675,62.03,36.7125,63.47,58.922222222,62.428571429,1.47,1.42,1.57,1.43,75.2,87.02,93.96,89.283333333,75.2,87.02,89.476923077,85.326086957,1.52,1.42,1.57,1.43,15.7,45.53,54.66,42.516666667,15.7,45.53,40.9,31.832,55.5625,44.72625444,110.89817806,23.913240548,71.5,77.888564534,123.96298032,64.859049572,89.125,78.761210869,147.9663139,86.077466132,78.876666667,78.127338098,127.52794221,60.728725138,55.5625,44.72625444,110.89817806,23.913240548,71.5,77.888564534,123.96298032,64.859049572,77.791666667,79.093064667,140.90645473,64.408495514,68.968181818,78.629342366,121.87560522,45.467270371,235.10017304,338.21059442,401.9299909,345.26067211,179.53767304,266.71059442,312.8049909,266.38400544,235.10017304,338.21059442,362.19968158,314.94039977,179.53767304,266.71059442,284.40801491,245.97221796
O,1.00,1.00,1.00,1.00,1508,65,,2015,33.9,54.93,81.12,75.726666667,33.9,54.93,70.013333333,67.984,1.22,1.23,1.34,1.26,39.05,52.76,64.415,67.203333333,39.05,52.76,64.616666667,67.532142857,1.47,1.42,1.57,1.43,30.4125,33.14,51.72,65.78,30.4125,33.14,37.175,58.992307692,1.52,1.42,1.57,1.43,32.15,47.44,64.45,67.2,32.15,47.44,49.757142857,59.316666667,33.9,47.573993487,44.849612236,48.968833351,54.93,64.745559553,47.209068808,67.579910207,81.12,86.466184885,81.447613398,101.49456078,75.726666667,84.64319756,93.956931547,95.985190027,33.9,47.573993487,44.849612236,48.968833351,54.93,64.745559553,47.209068808,67.579910207,70.013333333,86.736888095,58.542440605,78.356545538,67.984,85.057336087,84.261724166,84.725022645,175.29243907,234.46453857,350.52835906,350.3119858,141.39243907,179.53453857,269.40835906,274.58531913,175.29243907,234.46453857,293.64920757,322.0280829,141.39243907,179.53453857,223.63587424,254.0440829
O,1.00,1.00,1.00,1.00,1508,84,,2015,74.2,100.52,99.285,91.14,74.2,100.52,100.52,87.685,1.22,1.23,1.34,1.26,69.3875,123.89,100.285,106.39,75.58,123.89,107.55882353,111.64814815,1.47,1.42,1.57,1.43,39.2375,66.21,72.28,67.323333333,39.2375,66.21,62.32,60.356,1.52,1.42,1.57,1.43,27.5625,29.08,54.435,50.653333333,27.5625,29.08,34.985714286,38.3625,74.2,84.533686891,57.863926349,41.981445389,100.52,152.0342565,94.318420211,41.425459292,99.285,134.61556084,113.82508694,85.723140668,91.14,133.99915364,96.161353322,72.350741451,74.2,92.077911082,57.863926349,41.981445389,100.52,152.0342565,94.318420211,41.425459292,100.52,144.37943214,98.140279717,55.094797595,87.685,140.62183812,86.209555495,54.795116851,258.57905863,388.298136,433.44878844,393.65124841,184.37905863,287.778136,334.16378844,302.51124841,266.12328282,388.298136,398.13450945,369.31151046,191.92328282,287.778136,297.61450945,281.62651046
O,1.00,1.00,1.00,1.00,1508,91,,2015,42.825,52.2,84.415,90.5,42.825,52.2,73.966666667,85.448,1.22,1.23,1.34,1.26,21.0375,30.41,44.57,38.866666667,21.0375,30.41,40.582352941,35.722222222,1.47,1.42,1.57,1.43,27.575,35.58,51.755,61.883333333,27.575,35.58,36.226666667,54.592,1.52,1.42,1.57,1.43,54.8375,67.66,75.545,74.84,53.233333333,67.66,63.64,67.556,42.825,25.629651421,40.665123137,83.52498908,52.2,37.31828025,50.684932655,96.383995038,84.415,59.827646671,81.502730693,118.96674312,90.5,48.952913226,88.391123653,106.89779199,42.825,25.629651421,40.665123137,81.081624533,52.2,37.31828025,50.684932655,96.383995038,73.966666667,54.474908523,57.049024388,100.21898911,85.448,44.99245741,77.976540088,96.493682998,192.64476364,236.58720794,344.71212048,334.74182887,149.81976364,184.38720794,260.29712048,244.24182887,190.20139909,236.58720794,285.70958869,304.9106805,147.37639909,184.38720794,211.74292202,219.4626805
