TMQUADB,TMQUADD,TIMEINN,TIMEMID,TIMEOUT,ANCROSB,ANCROSD,GROUP,NUMBER,COND,AGE,SLGROUP,YEAR,BLOCK,BSPEED,BSPEEDTT,BSPEEDFS,TTCUMDS,TTCUMDSO,TTAVDS,TTAVDSO,TTPATH,TTLAT,TAVDS08,TAVDS10,TAVDS20,TAVDS30,TAVDSO30,TAVDS08A,TAVDS10A,TAVDS20A,TAVDS30A
31,26,8,30,62,0,2,1509,10,TT,O,,2015,0,15.277283057,15.277283057,15.277283057,7217.6,6924.2,82.96091954,79.588505747,1995,90.1,40.975,70.17,61.27,67.523333333,85.603703704,40.975,70.17,62.288235294,68.859259259
28,18,7,24,69,0,0,1509,22,TT,O,,2015,0,21.670028415,21.670028415,21.670028415,6702.6,7969.4,76.165909091,90.561363636,2072,90.1,58.325,65.25,68.185,68.46,103.4,58.325,65.25,69.466666667,69.303571429
29,28,27,43,30,2,0,1509,23,TT,O,,2015,0,14.733600629,14.733600629,14.733600629,3330.8,2963.4,77.460465116,68.91627907,709,46.1,49.3875,80.11,65.895,76.53,58.414814815,49.3875,80.11,67.929411765,78.992592593
24,28,5,25,70,0,1,1509,29,TT,O,,2015,0,21.231266846,21.231266846,21.231266846,7513.9,7205.7,85.385227273,81.882954545,1750,90.1,57.8875,112.59,96.47,86.206666667,85.789285714,57.8875,112.59,101.87777778,88.95
23,24,3,20,77,0,0,1509,47,TT,O,,2015,0,23.840687808,23.840687808,23.840687808,7551,7754.8,84.842696629,87.13258427,2240,90.1,52.0375,111.67,83.715,79.39,95.451724138,51.085714286,111.67,85.031578947,80.103448276
25,24,0,16,84,0,0,1509,62,TT,O,,2015,0,27.63984834,27.63984834,27.63984834,7755,7753.7,87.134831461,87.120224719,2421,90.1,53.0375,62.66,77.245,86.876666667,84.003448276,53.0375,62.66,78.447368421,87.996551724
26,16,3,7,90,0,0,1509,79,TT,O,,2015,0,23.86681465,23.86681465,23.86681465,7406.5,8245.2,83.219101124,92.642696629,2492,90.1,59.4125,79.03,71.175,74.656666667,91.537931034,60.471428571,79.03,72.184210526,75.437931034
18,29,5,23,72,0,1,1509,86,TT,O,,2015,0,21.843643182,21.843643182,21.843643182,7809.4,7108.6,88.743181818,80.779545455,2261,90.1,57.75,117.33,93.61,86.683333333,73.960714286,56.65,117.33,97.227777778,88.514285714
28,22,5,23,72,0,0,1509,93,TT,O,,2015,0,21.023307436,21.023307436,21.023307436,6969.9,7769.8,79.203409091,88.293181818,2010,90.1,45.9875,68.15,64.345,63.933333333,95.678571429,45.9875,68.15,64.933333333,64.282142857
36,14,19,14,67,0,0,1509,10,TT,O,,2015,1,16.053509302,15.277283057,19.934640523,4754.46,4127.58,76.745291794,84.968602026,888,60.14,51.275,89.02,71.33,68.64,88.875,49.65,89.02,73.016666667,69.532142857
