TMQUADB,TMQUADD,TIMEINN,TIMEMID,TIMEOUT,ANCROSB,ANCROSD,GROUP,NUMBER,COND,AGE,SLGROUP,YEAR,BLOCK,BSPEED,BSPEEDTT,BSPEEDFS,TTCUMDS,TTCUMDSO,TTAVDS,TTAVDSO,TTPATH,TTLAT,TAVDS08,TAVDS10,TAVDS20,TAVDS30,TAVDSO30,TAVDS08A,TAVDS10A,TAVDS20A,TAVDS30A
26,36,5,27,68,0,0,1510,23,TT,O,,2015,0,26.08923362,26.08923362,26.08923362,7412.9,6997.5,85.20574713,80.43103448,2438,90.1,50.7,68.83,86.79,96.43333333,64.4,50.7,68.83,81.72941177,94.31851852
24,35,4,21,75,0,0,1510,35,TT,O,,2015,0,25.37094087,25.37094087,25.37094087,7680.6,6967.4,89.30930233,81.01627907,2339,90.1,65.6125,100.49,89.76,90.96333333,91.23076923,54.475,100.49,85.15625,88.31538462
16,32,3,27,70,0,1,1510,39,TT,O,,2015,0,22.9875241,22.9875241,22.9875241,7839.7,6795.5,91.15930233,79.01744186,2339,90.1,62.1625,68.95,91.835,87.77333333,83.44615385,62.1625,68.95,86.51875,83.87692308
21,21,6,39,55,0,1,1510,64,TT,O,,2015,0,23.31187569,23.31187569,23.31187569,7098.6,7111,82.54186047,82.68604651,2524,90.1,60.425,94.62,85.36,82.61666667,81.21923077,53.48,94.62,79.58125,78.63846154
12,26,17,38,45,0,2,1510,69,TT,O,,2015,0,18.77952892,18.77952892,18.77952892,6908.8,6325,81.28,74.41176471,1928,90.1,65.975,115.83,109.725,95.24666667,60.976,65.975,115.83,109.1666667,92.016
13,49,21,29,50,0,4,1510,72,TT,O,,2015,0,17.24164721,17.24164721,17.24164721,7349,5454.3,87.48809524,64.93214286,1469,90.1,99.85,104.87,109.595,109.1633333,29.1625,99.85,104.87,108.0214286,108.1375
22,29,13,25,62,0,4,1510,81,TT,O,,2015,0,21.47761746,21.47761746,21.47761746,7273.6,6576.6,84.57674419,76.47209302,2162,90.1,68.5625,80.48,93.16,97.15,56.38846154,68.5625,80.48,89.94375,95.78461539
16,34,21,33,46,1,1,1510,93,TT,O,,2015,0,18.98523175,18.98523175,18.98523175,6595.8,5695.3,81.42962963,70.31234568,1843,86.2,53.8625,73.08,80.16,80.92,73.288,53.8625,73.08,68.61333333,74.144
19,21,0,0,100,0,0,1510,4,TT,O,,2015,1,17.75823493,17.06805185,21.20915033,6252.92,5381.68,82.95741592,75.47149933,1298.4,76.02,54.8125,101.76,101.525,90.48333333,89.73571429,54.8125,101.76,104.8222222,91.81428571
29,20,23,31,46,0,0,1510,23,TT,O,,2015,1,25.66259664,26.08923362,23.52941177,6940.38,6860.52,81.18979383,80.45283637,2286,87.8,28.2375,82.77,88.64,69.32666667,80.11034483,28.2375,82.77,90.01578947,69.56206897
27,28,6,42,52,0,1,1510,35,TT,O,,2015,1,25.97415539,25.37094087,28.99022801,5694.62,6011.22,77.61701989,83.07747588,1885.6,76.22,57.15,74.67,74.62,81.79666667,78.27931035,57.15,74.67,75.79473684,82.8137931
8,23,14,30,56,0,0,1510,39,TT,O,,2015,1,22.32620472,22.9875241,19.01960784,6374.78,6338.96,82.9073009,80.48161615,1851,80.22,51.7125,107.29,99.055,85.56333333,73.11071429,51.7125,107.29,103.6333333,87.54285714
35,35,28,40,32,0,2,1510,64,TT,O,,2015,1,22.74900317,23.31187569,19.93464052,6794.02,7379.4,77.95706036,84.57736086,2100.4,90.1,33.575,49.74,68.855,70.43,67.775,33.575,49.74,69.95555556,71.25
42,16,11,39,50,0,1,1510,69,TT,O,,2015,1,18.7323961,18.77952892,18.49673203,5731.86,5390.8,74.9964795,84.16242246,1501,73.88,36.95,77,62.84,60.05333333,92.32857143,36.95,77,62.66111111,59.73928571
55,13,60,31,9,3,0,1510,72,TT,O,,2015,1,17.09679751,17.24164721,16.37254902,5227.46,4996.76,60.88969697,58.02358225,1143.6,73.24,20.325,32.78,33.695,38.42666667,73.01071429,20.325,32.78,31.48888889,37.34642857
42,17,0,38,62,0,0,1510,81,TT,O,,2015,1,20.82418176,21.47761746,17.55700326,6231.92,6037.44,82.37578048,81.21569278,1666,78.44,41.7375,100.37,85.165,71.92666667,90.66071429,41.7375,100.37,89.56666667,73.81071429
0,38,0,0,100,0,0,1510,82,TT,O,,2015,1,13.81312838,13.90474429,13.35504886,4472.48,5920.6,67.09036311,84.9253566,1040,74.6,69.35,116.09,94.79,100.47,73.51111111,72.48,116.09,100.2,104.5074074
24,26,0,21,79,0,0,1510,93,TT,O,,2015,1,18.73496981,18.98523175,17.48366013,4566.94,4421.44,75.53947214,85.81885009,1169.2,59.78,41.2375,119.78,84.44,86.22,79.80357143,36.56666667,119.78,87.68333333,88.43214286
18,30,11,39,50,0,0,1510,4,TT,O,,2015,2,13.40333638,12.46836848,18.0781759,7194.94,6633.5,84.89469863,77.92771236,1123.4,90.1,43.7875,105.47,110.25,90.22,72.56,43.7875,105.47,110.24,86.208
24,16,0,53,47,0,0,1510,23,TT,O,,2015,2,23.61340662,24.12040167,21.07843137,4660.08,4570.44,69.98125797,82.16739292,1524.4,60.58,39.5,87.32,72.995,80.63333333,85.47692308,36.15,87.32,68.13125,78.81538462
56,18,51,35,14,2,0,1510,35,TT,O,,2015,2,28.09404334,28.73245985,24.90196078,3874.84,4153.52,72.70831119,75.25621856,1616.4,56.72,22.275,60.61,52.29,46.85666667,83.86153846,21.1,60.61,45.85,42.05769231
48,5,64,33,3,1,0,1510,39,TT,O,,2015,2,20.77071856,21.08172502,19.21568628,2599.74,3430.36,57.31980399,79.78644036,940,44.54,25.3125,34.4,47.745,43.41666667,76.66,25.3125,34.4,37.54,36.428
21,12,48,45,7,1,0,1510,64,TT,O,,2015,2,22.25612473,22.49819935,21.04575163,5595.56,5976.34,70.07093007,78.76276653,1769.6,78.78,37.55,65.92,75.685,64.45666667,67.64230769,37.55,65.92,68.48125,58.29615385
39,14,27,41,32,0,0,1510,69,TT,O,,2015,2,16.56181993,16.4754911,16.99346405,4279.1,5581.26,65.71015018,91.07635353,1231,68.14,27.075,29.98,60.085,59.11666667,91.4625,27.075,29.98,37.58571429,45.75
33,30,87,9,4,0,1,1510,72,TT,O,,2015,2,15.56612357,16.31452744,11.82410424,4080.26,4205.84,57.90898268,83.67464286,984.2,59.78,29.9,41.45,51.445,56.71,41.43333333,25.4,41.45,40.63636364,53.30476191
33,32,58,39,3,2,0,1510,81,TT,O,,2015,2,25.05537922,25.92266422,20.71895425,2878.84,3058.12,62.38400575,74.78777556,1140.2,42.2,27.15,39.74,55.445,57.37666667,66.436,27.15,39.74,36.91333333,46.644
25,37,23,35,42,1,0,1510,82,TT,O,,2015,2,13.4656892,13.28586287,14.36482085,4597.44,4498.98,73.30591554,78.86386209,938.4,63.16,32.7125,40.26,65.735,82.86333333,66.17391304,32.7125,40.26,44.35384615,75.99130435
12,31,23,47,30,0,1,1510,93,TT,O,,2015,2,17.64778419,17.73943253,17.18954248,2641.44,3460.72,61.68286358,83.77115875,800.6,42.9,53.9125,65.54,87.965,87.10666667,67.19583333,53.9125,65.54,80.71428571,82.6625
0,45,0,60,40,0,0,1510,4,TT,O,,2015,3,14.47722695,14.71254162,13.3006536,6313.8,7182.18,73.69602548,84.20269492,1325.6,90.1,77.6625,114.7,112.725,102.4866667,70.12727273,77.6625,114.7,115.4333333,100.2409091
38,16,42,56,2,1,0,1510,23,TT,O,,2015,3,24.86091449,24.9703523,24.31372549,2798.44,3224.38,61.536159,74.63049139,1163,43.42,27.275,43.19,52.3,50.89666667,83.30769231,27.275,43.19,41.26875,43.89230769
27,10,49,41,10,0,0,1510,35,TT,O,,2015,3,27.05789715,26.93505035,27.67213115,1647.56,2032.96,51.60664131,82.22575223,822.4,28.94,39.55,65.93,60.485,54.32,78.34814815,37.04,65.93,55.23529412,50.32962963
40,19,23,61,16,0,1,1510,39,TT,O,,2015,3,19.85156918,20.08985688,18.66013072,1212.5,1862.1,47.17850265,87.19046724,517,25.34,38.075,67.49,69.465,61.96333333,90.376,38.075,67.49,60.16,54.88
25,37,43,52,5,3,1,1510,64,TT,O,,2015,3,22.27344494,21.94382021,23.92156863,1718.2,1440.64,57.00646853,69.52657949,626.2,28.34,47.5125,85.91,80.965,73.92,60.41153846,47.5125,85.91,74.36875,68.77692308
