AGE,MULT08B1,MULT10B1,MULT20B1,MULT30B1,GROUP,NUMBER,SLGROUP,YEAR,TAV08B1,TAV10B1,TAV20B1,TAV30B1,TAV08AB1,TAV10AB1,TAV20AB1,TAV30AB1,MULT08B2,MULT10B2,MULT20B2,MULT30B2,TAV08B2,TAV10B2,TAV20B2,TAV30B2,TAV08AB2,TAV10AB2,TAV20AB2,TAV30AB2,MULT08B3,MULT10B3,MULT20B3,MULT30B3,TAV08B3,TAV10B3,TAV20B3,TAV30B3,TAV08AB3,TAV10AB3,TAV20AB3,TAV30AB3,MULT08B4,MULT10B4,MULT20B4,MULT30B4,TAV08B4,TAV10B4,TAV20B4,TAV30B4,TAV08AB4,TAV10AB4,TAV20AB4,TAV30AB4,IDX08B1,IDX08B2,IDX08B3,IDX08B4,IDX10B1,IDX10B2,IDX10B3,IDX10B4,IDX20B1,IDX20B2,IDX20B3,IDX20B4,IDX30B1,IDX30B2,IDX30B3,IDX30B4,IDX08AB1,IDX08AB2,IDX08AB3,IDX08AB4,IDX10AB1,IDX10AB2,IDX10AB3,IDX10AB4,IDX20AB1,IDX20AB2,IDX20AB3,IDX20AB4,IDX30AB1,IDX30AB2,IDX30AB3,IDX30AB4,IDX08_4,IDX10_4,IDX20_4,IDX30_4,IDX08_3,IDX10_3,IDX20_3,IDX30_3,IDX08A_4,IDX10A_4,IDX20A_4,IDX30A_4,IDX08A_3,IDX10A_3,IDX20A_3,IDX30A_3
O,1,1,1,1,1510,4,,2015,54.8125,101.76,101.525,90.48333333,54.8125,101.76,104.8222222,91.81428571,1.22,1.23,1.34,1.26,43.7875,105.47,110.25,90.22,43.7875,105.47,110.24,86.208,1.47,1.42,1.57,1.43,77.6625,114.7,112.725,102.4866667,77.6625,114.7,115.4333333,100.2409091,1.52,1.42,1.57,1.43,71.825,108.62,93.055,93.24666667,76.41666667,108.62,96.94444444,95.76071429,54.8125,53.34561434,114.529651,109.3992677,101.76,129.4297605,163.3940915,154.7329226,101.525,147.991879,177.5170576,146.5411381,90.48333333,113.6328945,146.3869371,133.1889735,54.8125,53.34561434,114.529651,116.393002,101.76,129.4297605,163.3940915,154.7329226,104.8222222,147.9784557,181.7820864,152.6661569,91.81428571,108.5797447,143.179207,136.779916,332.087033,549.3167746,573.5750747,483.6921384,277.274533,447.5567746,472.0500747,393.2088051,339.0807673,549.3167746,587.2489211,480.3531534,284.2682673,447.5567746,482.4266989,388.5388677
O,1,1,1,1,1510,23,,2015,28.2375,82.77,88.64,69.32666667,28.2375,82.77,90.01578947,69.56206897,1.22,1.23,1.34,1.26,39.5,87.32,72.995,80.63333333,36.15,87.32,68.13125,78.81538462,1.47,1.42,1.57,1.43,27.275,43.19,52.3,50.89666667,27.275,43.19,41.26875,43.89230769,1.52,1.42,1.57,1.43,25.8125,28.88,39.945,42.54666667,25.8125,28.88,38.82105263,41.9,28.2375,48.12222133,40.22271019,39.31595679,82.77,107.1566008,61.52563916,41.14055242,88.64,97.98337601,82.36098571,62.90458077,69.32666667,101.5584023,72.69830687,60.77157567,28.2375,44.04096964,40.22271019,39.31595679,82.77,107.1566008,61.52563916,41.14055242,90.01578947,91.45461863,64.98919558,61.13461111,69.56206897,99.26867969,62.69362343,59.84790866,155.8983883,292.5927924,331.8889425,304.3549515,127.6608883,209.8227924,243.2489425,235.0282849,151.8171366,292.5927924,307.5942148,291.3722808,123.5796366,209.8227924,217.5784253,221.8102118
O,1,1,1,1,1510,35,,2015,57.15,74.67,74.62,81.79666667,57.15,74.67,75.79473684,82.8137931,1.22,1.23,1.34,1.26,22.275,60.61,52.29,46.85666667,21.1,60.61,45.85,42.05769231,1.47,1.42,1.57,1.43,39.55,65.93,60.485,54.32,37.04,65.93,55.23529412,50.32962963,1.52,1.42,1.57,1.43,24.1,47.19,44.995,50.14,24.1,47.19,44.65789474,50.09655172,57.15,27.13727798,58.32477317,36.70758581,74.67,74.37885452,93.91955059,67.22377662,74.62,70.19043402,95.25055871,70.85721897,81.79666667,59.01638947,77.58802861,71.61752125,57.15,25.70579418,54.62325153,36.70758581,74.67,74.37885452,93.91955059,67.22377662,75.79473684,61.54582903,86.98342771,70.32635239,82.8137931,52.97203847,71.88837893,71.55546186,179.319637,310.1921817,310.9182117,290.018606,122.169637,235.5221817,236.2982117,208.2219393,174.1866315,310.1921817,294.650346,279.2296724,117.0366315,235.5221817,218.8556091,196.4158793
O,1,1,1,1,1510,39,,2015,51.7125,107.29,99.055,85.56333333,51.7125,107.29,103.6333333,87.54285714,1.22,1.23,1.34,1.26,25.3125,34.4,47.745,43.41666667,25.3125,34.4,37.54,36.428,1.47,1.42,1.57,1.43,38.075,67.49,69.465,61.96333333,38.075,67.49,60.16,54.88,1.52,1.42,1.57,1.43,34.7625,46.94,60.095,60.62,34.7625,46.94,60.00526316,60.57931035,51.7125,30.83781588,56.14957619,52.94802704,107.29,42.21469387,96.1418242,66.86764303,99.055,64.08954432,109.3920817,94.63639457,85.56333333,54.6836788,88.50539174,86.58664017,51.7125,30.83781588,56.14957619,52.94802704,107.29,42.21469387,96.1418242,66.86764303,103.6333333,50.391067,94.73875526,94.4950788,87.54285714,45.88139082,78.38790519,86.52852106,191.6479191,312.5141611,367.1730206,315.339044,139.9354191,205.2241611,268.1180206,229.7757107,191.6479191,312.5141611,343.2582344,298.3406742,139.9354191,205.2241611,239.6249011,210.7978171
O,1,1,1,1,1510,64,,2015,33.575,49.74,68.855,70.43,33.575,49.74,69.95555556,71.25,1.22,1.23,1.34,1.26,37.55,65.92,75.685,64.45666667,37.55,65.92,68.48125,58.29615385,1.47,1.42,1.57,1.43,47.5125,85.91,80.965,73.92,47.5125,85.91,74.36875,68.77692308,1.52,1.42,1.57,1.43,33.25,39.73,50.24,47.81333333,33.25,39.73,49.39473684,47.17586207,33.575,45.74656736,70.06715007,50.64428333,49.74,80.8951343,122.3817472,56.59675026,68.855,101.5942436,127.5020499,79.11693923,70.43,81.1837464,105.583709,68.29422449,33.575,45.74656736,70.06715007,50.64428333,49.74,80.8951343,122.3817472,56.59675026,69.95555556,91.92443412,117.1144083,77.78583585,71.25,73.42452557,98.23758975,67.38369175,200.0330008,309.6136317,377.0682327,325.4916799,166.4580008,259.8736317,308.2132327,255.0616799,200.0330008,309.6136317,356.7802339,310.2958071,166.4580008,259.8736317,286.8246783,239.0458071
O,1,1,1,1,1510,69,,2015,36.95,77,62.84,60.05333333,36.95,77,62.66111111,59.73928571,1.22,1.23,1.34,1.26,27.075,29.98,60.085,59.11666667,27.075,29.98,37.58571429,45.75,1.47,1.42,1.57,1.43,28.9875,43.09,68.9,63.75333333,28.9875,43.09,53.75333333,53.636,1.52,1.42,1.57,1.43,30.125,54.66,50.83,45.91333333,30.125,54.66,49.75555556,44.87142857,36.95,32.98504158,42.74815075,45.88448226,77,36.79059658,61.38318573,77.86504831,62.84,80.65389612,108.5023311,80.04605934,60.05333333,74.45796879,91.0621401,65.58035751,36.95,32.98504158,42.74815075,45.88448226,77,36.79059658,61.38318573,77.86504831,62.66111111,50.45243065,84.64966574,78.35404589,59.73928571,57.62253294,76.61103649,64.09215176,158.5676746,253.0388306,332.0422865,291.1537997,121.6176746,176.0388306,269.2022865,231.1004664,158.5676746,253.0388306,276.1172534,258.0650069,121.6176746,176.0388306,213.4561423,198.3257212
O,1,1,1,1,1510,72,,2015,20.325,32.78,33.695,38.42666667,20.325,32.78,31.48888889,37.34642857,1.22,1.23,1.34,1.26,29.9,41.45,51.445,56.71,25.4,41.45,40.63636364,53.30476191,1.47,1.42,1.57,1.43,32.3875,42.45,47.095,43.44,21.83333333,42.45,38.14,37.336,1.52,1.42,1.57,1.43,22.175,27.27,29.68,31.60666667,22.175,27.27,27.74444444,30.5,20.325,36.42669412,47.76216412,33.77554835,32.78,50.86625177,60.47148373,38.84705209,33.695,69.0561652,74.16425663,46.73946569,38.42666667,71.42675066,62.04756927,45.14541527,20.325,30.94441574,32.19783095,33.77554835,32.78,50.86625177,60.47148373,38.84705209,31.48888889,54.5474087,60.06210315,43.69139182,37.34642857,67.13782292,53.32891451,43.56470678,138.2894066,182.9647876,223.6548875,217.0464019,117.9644066,150.1847876,189.9598875,178.6197352,117.242795,182.9647876,189.7897926,201.3778728,96.91779504,150.1847876,158.3009037,164.0314442
O,1,1,1,1,1510,81,,2015,41.7375,100.37,85.165,71.92666667,41.7375,100.37,89.56666667,73.81071429,1.22,1.23,1.34,1.26,27.15,39.74,55.445,57.37666667,27.15,39.74,36.91333333,46.644,1.47,1.42,1.57,1.43,24.8,46.07,45.94,53.82333333,24.8,46.07,37.75882353,49.54814815,1.52,1.42,1.57,1.43,39.8375,51.46,53.515,55.03333333,39.8375,51.46,53.47368421,55.05862069,41.7375,33.07641289,36.5728034,60.67794397,100.37,48.76778879,65.62829813,73.30653835,85.165,74.42548507,72.34538592,84.27434321,71.92666667,72.26642327,76.87861425,78.60691902,41.7375,33.07641289,36.5728034,60.67794397,100.37,48.76778879,65.62829813,73.30653835,89.56666667,49.54987355,59.46183413,84.20927994,73.81071429,58.74853391,70.77214904,78.64303824,172.0646603,288.0726253,316.2102142,299.6786232,130.3271603,187.7026253,231.0452142,227.7519565,172.0646603,288.0726253,282.7876543,281.9744355,130.3271603,187.7026253,193.2209876,208.1637212
O,1,1,1,1,1510,82,,2015,69.35,116.09,94.79,100.47,72.48,116.09,100.2,104.5074074,1.22,1.23,1.34,1.26,32.7125,40.26,65.735,82.86333333,32.7125,40.26,44.35384615,75.99130435,1.47,1.42,1.57,1.43,24.475,26.17,48.95,51.85,23.4,26.17,25.55384615,39.50869565,1.52,1.42,1.57,1.43,43.825,94.13,70.42,77.59666667,40.96,94.13,72.97647059,80.0037037,69.35,39.8531181,36.09352271,66.75145013,116.09,49.40591789,37.28006429,134.0914196,94.79,88.23806044,77.08547324,110.8959964,100.47,104.3671072,74.06000153,110.8352797,72.48,39.8531181,34.50820966,62.38766451,116.09,49.40591789,37.28006429,134.0914196,100.2,59.53749689,40.24168179,114.9218748,104.5074074,95.71172541,56.43228661,114.2733736,212.0480909,336.8674018,371.0095301,389.7323884,142.6980909,220.7774018,276.2195301,289.2623884,209.2289923,336.8674018,314.9010535,370.924793,136.7489923,220.7774018,214.7010535,266.4173856
O,1,1,1,1,1510,93,,2015,41.2375,119.78,84.44,86.22,36.56666667,119.78,87.68333333,88.43214286,1.22,1.23,1.34,1.26,53.9125,65.54,87.965,87.10666667,53.9125,65.54,80.71428571,82.6625,1.47,1.42,1.57,1.43,19,53.06,58.03,49.45333333,19,53.06,44.12666667,39.396,1.52,1.42,1.57,1.43,31.975,32.61,46.95,56.32666667,31.975,32.61,45.43888889,56.025,41.2375,65.68074069,28.01948648,48.70228449,119.78,80.4288092,75.58579333,46.4540656,84.44,118.0780556,91.3844742,73.93591356,86.22,109.7116234,70.6367202,80.45425303,36.56666667,65.68074069,28.01948648,48.70228449,119.78,80.4288092,75.58579333,46.4540656,87.68333333,108.3452046,69.48978514,71.55624624,88.43214286,104.1141558,56.27131765,80.02336713,183.6400117,322.2486681,367.8384434,347.0225966,142.4025117,202.4686681,283.3984434,260.8025966,178.9691783,322.2486681,337.0745693,328.8409835,142.4025117,202.4686681,249.3912359,240.4088406
