AGE,MULT08B1,MULT10B1,MULT20B1,MULT30B1,GROUP,NUMBER,SLGROUP,YEAR,TAV08B1,TAV10B1,TAV20B1,TAV30B1,TAV08AB1,TAV10AB1,TAV20AB1,TAV30AB1,MULT08B2,MULT10B2,MULT20B2,MULT30B2,TAV08B2,TAV10B2,TAV20B2,TAV30B2,TAV08AB2,TAV10AB2,TAV20AB2,TAV30AB2,MULT08B3,MULT10B3,MULT20B3,MULT30B3,TAV08B3,TAV10B3,TAV20B3,TAV30B3,TAV08AB3,TAV10AB3,TAV20AB3,TAV30AB3,MULT08B4,MULT10B4,MULT20B4,MULT30B4,TAV08B4,TAV10B4,TAV20B4,TAV30B4,TAV08AB4,TAV10AB4,TAV20AB4,TAV30AB4,IDX08B1,IDX08B2,IDX08B3,IDX08B4,IDX10B1,IDX10B2,IDX10B3,IDX10B4,IDX20B1,IDX20B2,IDX20B3,IDX20B4,IDX30B1,IDX30B2,IDX30B3,IDX30B4,IDX08AB1,IDX08AB2,IDX08AB3,IDX08AB4,IDX10AB1,IDX10AB2,IDX10AB3,IDX10AB4,IDX20AB1,IDX20AB2,IDX20AB3,IDX20AB4,IDX30AB1,IDX30AB2,IDX30AB3,IDX30AB4,IDX08_4,IDX10_4,IDX20_4,IDX30_4,IDX08_3,IDX10_3,IDX20_3,IDX30_3,IDX08A_4,IDX10A_4,IDX20A_4,IDX30A_4,IDX08A_3,IDX10A_3,IDX20A_3,IDX30A_3
O,1,1,1,1,1604,1,,2016,52.275,80.27,80.035,82.57,52.275,80.27,73.64375,79.02692308,1.22,1.23,1.34,1.26,26.4875,78.98,69.17,63.01666667,26.4875,78.98,61.61875,57.42307692,1.47,1.42,1.57,1.43,24.2375,36.39,49.535,52.76666667,24.2375,36.39,35.5625,44.66538462,1.52,1.42,1.57,1.43,23.4625,83.31,59.685,67.07,23.4625,83.31,59.24210526,67.03448276,52.275,32.26929968,35.74327913,35.73658639,80.27,96.92199192,51.83880549,118.6779578,80.035,92.84896388,78.00671945,93.99073484,82.57,79.37005356,75.36932332,95.79950439,52.275,32.26929968,35.74327913,35.73658639,80.27,96.92199192,51.83880549,118.6779578,73.64375,82.71269471,56.00310811,93.29327313,79.02692308,72.3248774,63.79784866,95.7487733,156.0241652,347.7087552,344.8814182,333.1088813,103.7491652,267.4387552,264.8464182,250.5388813,156.0241652,347.7087552,305.652826,310.8984224,103.7491652,267.4387552,232.009076,231.8714994
O,1,1,1,1,1604,3,,2016,27.3375,35.52,56.58,69.42333333,27.3375,35.52,36.59285714,60.975,1.22,1.23,1.34,1.26,37.025,65.38,63,59.53666667,28.175,65.38,53.9875,53.45769231,1.47,1.42,1.57,1.43,33.0375,39.25,61.79,54.04666667,33.0375,39.25,45.22857143,42.45,1.52,1.42,1.57,1.43,30.125,40.25,43.14,55.05,30.125,40.25,41.78333333,55.02857143,27.3375,45.10696822,48.7207255,45.88448226,35.52,80.23246178,55.91297377,57.33750813,56.58,84.56678798,97.3056464,67.93600236,69.42333333,74.98696253,77.19761265,78.63072487,27.3375,34.32515407,48.7207255,45.88448226,35.52,80.23246178,55.91297377,57.33750813,36.59285714,72.46903914,71.22504254,65.79955104,60.975,67.33044012,60.63350174,78.60011734,167.049676,229.0029437,306.3884367,300.2386334,139.712176,193.4829437,249.8084367,230.8153001,156.2678618,229.0029437,246.0864899,267.5390592,128.9303618,193.4829437,209.4936327,206.5640592
O,1,1,1,1,1604,5,,2016,40.9125,89.33,76.48,84.11,36.35,89.33,72.1,83.008,1.22,1.23,1.34,1.26,47.925,61.96,66.13,76.26666667,47.925,61.96,59.38125,73.67307692,1.47,1.42,1.57,1.43,28.3375,58.55,56.4,50.15,26.51428571,58.55,48.81333333,44.348,1.52,1.42,1.57,1.43,24.175,43.37,38.59,34.85333333,24.175,43.37,37.15,33.66071429,40.9125,58.38626473,41.78958937,36.82182104,89.33,76.03553582,83.40648699,61.78205535,76.48,88.76828078,88.81758306,60.77075408,84.11,96.05854671,71.63180476,49.78279499,36.35,58.38626473,39.10087737,36.82182104,89.33,76.03553582,83.40648699,61.78205535,72.1,79.70923141,76.87025333,58.50307111,83.008,92.7918973,63.34451201,48.07931633,177.9101751,310.5540782,314.8366179,301.5831465,136.9976751,221.2240782,238.3566179,217.4731465,170.6589631,310.5540782,287.1825558,287.2237256,134.3089631,221.2240782,215.0825558,204.2157256
O,1,1,1,1,1604,6,,2016,46.85,55.41,69.695,72.85333333,46.85,55.41,64.82941177,70.14074074,1.22,1.23,1.34,1.26,50.3875,70.02,75.95,87.32333333,50.3875,70.02,67.6,83.93461539,1.47,1.42,1.57,1.43,37.625,69.46,63.835,64.68666667,25.5,69.46,57.36,60.972,1.52,1.42,1.57,1.43,51.125,62.75,73.35,85.46,51.125,62.75,68.99444444,83.525,46.85,61.38628929,55.48595677,77.87034542,55.41,85.92653677,98.94815689,89.38953131,69.695,101.9499611,100.5260712,115.5101014,72.85333333,109.984517,92.39526774,122.0668801,46.85,61.38628929,37.60510027,77.87034542,55.41,85.92653677,98.94815689,89.38953131,64.82941177,90.74150583,90.3293717,108.6510603,70.14074074,105.7163965,87.08941974,119.3030208,241.5925915,329.674225,387.6811336,397.2999981,194.7425915,274.264225,317.9861336,324.4466648,223.711735,329.674225,354.5513496,382.2495778,176.861735,274.264225,289.7219378,312.108837
O,1,1,1,1,1604,24,,2016,42.3875,73.37,71.1,82.74,39.11666667,73.37,64.10714286,81.57083333,1.22,1.23,1.34,1.26,25.925,30.51,42.405,58.46,11.3,30.51,30,56.33478261,1.47,1.42,1.57,1.43,45.85,56.03,57.485,62.31,27.15,56.03,51.53571429,60.04583333,1.52,1.42,1.57,1.43,32.4875,36.07,38.795,44.53333333,32.4875,36.07,37.01666667,43.8,42.3875,31.58401488,67.615445,49.48289187,73.37,37.44099738,79.81666039,51.38295449,71.1,56.92150229,90.52621918,61.09358395,82.74,73.63089127,89.00055343,63.60923307,39.11666667,13.76661015,40.03837147,49.48289187,73.37,37.44099738,79.81666039,51.38295449,64.10714286,40.26989904,81.15740397,58.29310046,81.57083333,70.95416101,85.76652861,62.56177564,191.0698518,242.0106123,279.6413054,308.9806778,148.6823518,168.6406123,208.5413054,226.2406778,142.4045402,242.0106123,243.8275463,300.8532986,103.2878735,168.6406123,179.7204035,219.2824653
O,1,1,1,1,1604,27,,2016,16.15,68.04,64.78,50.54333333,16.15,68.04,60.14375,45.5,1.22,1.23,1.34,1.26,25.0625,69.54,56.645,56.98333333,19.45,69.54,52.25625,54.33461539,1.47,1.42,1.57,1.43,41.225,66.12,63.36,71.83333333,40.05714286,66.12,56.975,69.20769231,1.52,1.42,1.57,1.43,23.175,25.05,41.84,48.24,23.175,25.05,39.88333333,47.43928571,16.15,30.53324486,60.79491211,35.29868469,68.04,85.33749453,94.19021212,35.68458581,64.78,76.03628103,99.77805075,65.88878857,50.54333333,71.77101643,102.6032165,68.90365427,16.15,23.69562544,59.07266172,35.29868469,68.04,85.33749453,94.19021212,35.68458581,60.14375,70.14513039,89.72308147,62.80746934,45.5,68.43493256,98.85287943,67.75995319,142.7768417,283.2522925,306.4831204,293.8212206,126.6268417,215.2122925,241.7031204,243.2778872,134.2169719,283.2522925,282.8194312,280.5477652,118.0669719,215.2122925,222.6756812,235.0477652
O,1,1,1,1,1604,28,,2016,33.6375,47.32,56.69,72.07,20.23333333,47.32,40.60714286,66.53333333,1.22,1.23,1.34,1.26,50.0375,61.19,67.91,64.97666667,44.72,61.19,55.7,57.064,1.47,1.42,1.57,1.43,31.9125,42.97,56.565,57.33666667,28.15,42.97,39.49285714,47.57083333,1.52,1.42,1.57,1.43,23.775,30.62,49.135,43.18666667,23.775,30.62,47.83888889,41.92857143,33.6375,60.95988986,47.06167696,36.2125665,47.32,75.09061389,61.2122416,43.61924221,56.69,91.15762812,89.07742173,77.37680751,72.07,81.83869104,81.89688758,61.68572034,20.23333333,54.48166424,41.51308128,36.2125665,47.32,75.09061389,61.2122416,43.61924221,40.60714286,74.76777922,62.19255531,75.33571786,66.53333333,71.87261682,67.94784936,59.88871869,177.8716333,227.2420977,314.3018574,297.491299,144.2341333,179.9220977,257.6118574,225.421299,152.4406454,227.2420977,252.9031952,266.2425182,132.207312,179.9220977,212.2960524,199.7091849
O,1,1,1,1,1604,42,,2016,30.325,39.05,51.595,53.22,30.325,39.05,39.3125,45.91153846,1.22,1.23,1.34,1.26,38.4375,49.76,63.77,76.54333333,38.4375,49.76,51.23333333,71.576,1.47,1.42,1.57,1.43,15.75,24.06,42.325,43.76,15.75,24.06,25.6,34.012,1.52,1.42,1.57,1.43,18.85,53.48,40.29,43.02,18.85,53.48,38.9,42.32142857,30.325,46.82779449,23.22667958,28.71112002,39.05,61.06404555,34.27429679,76.18409776,51.595,85.60038206,66.65255679,63.44787981,53.22,96.40701084,62.5046416,61.44766183,30.325,46.82779449,23.22667958,28.71112002,39.05,61.06404555,34.27429679,76.18409776,39.3125,68.77203869,40.31436394,61.25893583,45.91153846,90.15061022,48.58107564,60.4498566,129.0905941,210.5724401,267.2958187,273.5793143,98.76559409,171.5224401,215.7008187,220.3593143,129.0905941,210.5724401,209.6578385,245.0930809,98.76559409,171.5224401,170.3453385,199.1815425
O,1,1,1,1,1604,45,,2016,54.725,80.36,83.195,94.93,54.725,80.36,75.58666667,92.712,1.22,1.23,1.34,1.26,47.5125,69.32,76.055,72.30333333,47.5125,69.32,66.8125,66.03846154,1.47,1.42,1.57,1.43,36.8,44.33,56.44,51.86666667,36.8,44.33,41.88,42.216,1.52,1.42,1.57,1.43,14.8125,14.73,26.04,32.55333333,14.8125,14.73,22.59444444,30.80357143,54.725,57.88372255,54.26932118,22.56145705,80.36,85.06751684,63.14960834,20.98339118,83.195,102.0909057,88.88057425,41.00726707,94.93,91.06669304,74.08380738,46.49758759,54.725,57.88372255,54.26932118,22.56145705,80.36,85.06751684,63.14960834,20.98339118,75.58666667,89.68442098,65.95177976,35.58127564,92.712,83.17603115,60.29926759,43.99831335,189.4395008,249.5605164,315.173747,306.578088,134.7145008,169.2005164,231.978747,211.648088,189.4395008,249.5605164,266.8041431,280.1856121,134.7145008,169.2005164,191.2174764,187.4736121
O,1,1,1,1,1604,49,,2016,42.375,93.05,73.955,67.80333333,34.32,93.05,70.01176471,64.63703704,1.22,1.23,1.34,1.26,41.4375,48.75,56.365,63.36666667,31.3,48.75,45.96875,58.04615385,1.47,1.42,1.57,1.43,31.75,38.69,54.485,54.40666667,31.75,38.69,47.2125,49.91923077,1.52,1.42,1.57,1.43,40.7625,55.28,52.75,50.48,40.7625,55.28,52.48947368,50.23103448,42.375,50.48264674,46.82203661,62.08684509,93.05,59.82460251,55.11523453,78.74825962,73.955,75.66042864,85.80187966,83.06963664,67.80333333,79.81088168,77.71181903,72.1031606,34.32,38.13229184,46.82203661,62.08684509,93.05,59.82460251,55.11523453,78.74825962,70.01176471,61.70523071,74.34929326,82.65936505,64.63703704,73.10964835,71.30218529,71.74755045,201.7665284,286.7380967,318.4869449,297.4291947,159.3915284,193.6880967,244.5319449,229.6258613,181.3611735,286.7380967,288.7256537,280.7964211,147.0411735,193.6880967,218.713889,216.1593841
