TMQUADB,TMQUADD,TIMEINN,TIMEMID,TIMEOUT,ANCROSB,ANCROSD,GROUP,NUMBER,COND,AGE,SLGROUP,YEAR,BLOCK,BSPEED,BSPEEDTT,BSPEEDFS,TTCUMDS,TTCUMDSO,TTAVDS,TTAVDSO,TTPATH,TTLAT,TAVDS08,TAVDS10,TAVDS20,TAVDS30,TAVDSO30,TAVDS08A,TAVDS10A,TAVDS20A,TAVDS30A
15,26,17,34,49,0,2,1608,3,TT,O,,2016,0,17.015522206,17.015522206,17.015522206,7049.4,6666.2,80.106818182,75.752272727,1824,90.1,55.6125,96.06,80.445,74.193333333,82.392857143,55.6125,96.06,82.961111111,75.364285714
23,30,19,24,57,0,4,1608,8,TT,O,,2016,0,21.649113956,21.649113956,21.649113956,7060,6724.1,80.227272727,76.410227273,2082,90.1,55.975,70.38,75.02,72.393333333,74.660714286,55.975,70.38,77.405555556,73.739285714
28,25,15,26,59,0,2,1608,12,TT,O,,2016,0,20.286348502,20.286348502,20.286348502,6844.2,7204.2,77.775,81.865909091,1790,90.1,44.85,61.37,62.87,71.15,75.578571429,44.85,61.37,63.611111111,72.217857143
27,19,12,30,58,0,0,1608,21,TT,O,,2016,0,18.505578863,18.505578863,18.505578863,6499.4,7668.3,73.856818182,87.139772727,1766,90.1,48.0375,88.55,89.935,80.67,82.503571429,48.0375,88.55,92.783333333,81.839285714
24,23,2,28,70,0,0,1608,72,TT,O,,2016,0,20.637900505,20.637900505,20.637900505,7226.2,7588.2,82.115909091,86.229545455,2132,90.1,37.5875,65.79,57.98,67.44,90.578571429,37.5875,65.79,57.8,68
52,6,57,30,13,1,0,1608,3,TT,O,,2016,1,16.875680269,17.015522206,16.176470588,5250.54,5476.6,69.235811688,80.127337662,1263,73.46,31.25,42.26,45.97,48.143333333,78.520833333,24.6,42.26,39.585714286,44.9625
24,19,14,43,43,0,0,1608,8,TT,O,,2016,1,21.940710432,21.649113956,23.39869281,6207.6,6192.48,78.702921547,81.376405634,1724.8,80.44,50.25,78.3,73.93,76.61,79.142307692,44.68,78.3,66.9,72.696153846
23,12,24,45,31,1,1,1608,12,TT,O,,2016,1,20.67031774,20.286348502,22.590163934,7209.22,7109.84,83.030949198,81.966259358,1827.8,90.1,49.8,88.62,77.04,69.953333333,82.238461538,36,88.62,73.975,66.976923077
22,17,25,53,22,0,0,1608,21,TT,O,,2016,1,18.808937869,18.505578863,20.325732899,6243.62,6936.5,76.035806595,84.754083779,1575.4,85.26,41.225,103.16,87,74.65,73.068,41.225,103.16,90.833333333,74.48
26,19,37,42,21,1,3,1608,48,TT,O,,2016,1,24.276463295,23.778814777,26.764705882,3054.12,2953.48,67.068679123,85.481714322,970.8,40.2,44.5875,50.8,67.39,68.646666667,70.085185185,44.5875,50.8,62.782352941,65.885185185
