AGE,MULT08B1,MULT10B1,MULT20B1,MULT30B1,GROUP,NUMBER,SLGROUP,YEAR,TAV08B1,TAV10B1,TAV20B1,TAV30B1,TAV08AB1,TAV10AB1,TAV20AB1,TAV30AB1,MULT08B2,MULT10B2,MULT20B2,MULT30B2,TAV08B2,TAV10B2,TAV20B2,TAV30B2,TAV08AB2,TAV10AB2,TAV20AB2,TAV30AB2,MULT08B3,MULT10B3,MULT20B3,MULT30B3,TAV08B3,TAV10B3,TAV20B3,TAV30B3,TAV08AB3,TAV10AB3,TAV20AB3,TAV30AB3,MULT08B4,MULT10B4,MULT20B4,MULT30B4,TAV08B4,TAV10B4,TAV20B4,TAV30B4,TAV08AB4,TAV10AB4,TAV20AB4,TAV30AB4,IDX08B1,IDX08B2,IDX08B3,IDX08B4,IDX10B1,IDX10B2,IDX10B3,IDX10B4,IDX20B1,IDX20B2,IDX20B3,IDX20B4,IDX30B1,IDX30B2,IDX30B3,IDX30B4,IDX08AB1,IDX08AB2,IDX08AB3,IDX08AB4,IDX10AB1,IDX10AB2,IDX10AB3,IDX10AB4,IDX20AB1,IDX20AB2,IDX20AB3,IDX20AB4,IDX30AB1,IDX30AB2,IDX30AB3,IDX30AB4,IDX08_4,IDX10_4,IDX20_4,IDX30_4,IDX08_3,IDX10_3,IDX20_3,IDX30_3,IDX08A_4,IDX10A_4,IDX20A_4,IDX30A_4,IDX08A_3,IDX10A_3,IDX20A_3,IDX30A_3
O,1,1,1,1,1703,1,,2017,28.6375,67.17,54.37,58.05666667,28.6375,67.17,53.71111111,57.89642857,1.22,1.23,1.34,1.26,32.125,34.63,40.52,56.52,32.125,34.63,39.12222222,56.76428571,1.47,1.42,1.57,1.43,19.45,29.78,38.43,42.96,17.325,29.78,27.21875,36.75769231,1.52,1.42,1.57,1.43,25.1,55.39,43.745,45.99333333,21.03333333,55.39,43.64444444,46.08928571,28.6375,39.1373762,28.68310589,38.23072215,67.17,42.49694328,42.42263335,78.9049584,54.37,54.3912103,60.51878931,68.88874416,58.05666667,71.18744397,61.36196077,65.69462559,28.6375,39.1373762,25.54934754,32.03663436,67.17,42.49694328,42.42263335,78.9049584,53.71111111,52.5149313,42.86353881,68.7303913,57.89642857,71.495124,52.50288811,65.83167928,134.6887042,230.994535,238.1687438,256.300697,106.0512042,163.824535,183.7987438,198.2440303,125.3608581,230.994535,217.8199725,247.72612,96.72335811,163.824535,164.1088614,189.8296914
O,1,1,1,1,1703,9,,2017,38.175,77.22,63.96,55.96,38.175,77.22,64.89473684,56.29655172,1.22,1.23,1.34,1.26,26.2625,44.14,44.975,52.37,26.2625,44.14,44.22631579,52.13448276,1.47,1.42,1.57,1.43,25.7125,55.62,57.625,52.78333333,25.7125,55.62,51.3875,48.2,1.52,1.42,1.57,1.43,19.6625,69.95,47.54,54.56666667,19.6625,69.95,47.43684211,54.74137931,38.175,31.99518576,37.91847611,29.9486683,77.22,54.16734266,79.2326013,99.64617873,63.96,60.37129031,90.74668836,74.86503366,55.96,65.96048196,75.39312917,77.9403552,38.175,31.99518576,37.91847611,29.9486683,77.22,54.16734266,79.2326013,99.64617873,64.89473684,59.36630906,80.9239991,74.70258269,56.29655172,65.6638459,68.84652023,78.18990618,138.0373302,310.2661227,289.9430123,275.2539663,99.86233017,233.0461227,225.9830123,219.2939663,138.0373302,310.2661227,279.8876277,268.996824,99.86233017,233.0461227,214.9928908,212.7002723
O,1,1,1,1,1703,17,,2017,29.525,54.91,58.86,50.3,29.525,54.91,58.92631579,50.04827586,1.22,1.23,1.34,1.26,24.575,41.41,58.79,49.29333333,24.575,41.41,60.10555556,49.46071429,1.47,1.42,1.57,1.43,29.7625,59.6,53.92,48.37333333,24.01666667,59.6,46.25625,42.80384615,1.52,1.42,1.57,1.43,22.5625,31.91,32.62,37.7,22.5625,31.91,31.24736842,36.97586207,29.525,29.93933137,43.89105086,34.36576369,54.91,50.81716492,84.90224807,45.45689154,58.86,78.91557882,84.91212905,51.36931843,50.3,62.08539286,69.09410107,53.84883429,29.525,29.93933137,35.41761405,34.36576369,54.91,50.81716492,84.90224807,45.45689154,58.92631579,80.68148846,72.84341004,49.20772589,50.04827586,62.29621067,61.13891826,52.81451112,137.7211459,236.0863045,274.0570263,235.3283282,108.1961459,181.1763045,215.1970263,185.0283282,129.2477091,236.0863045,261.6589402,226.2979159,99.7227091,181.1763045,202.7326244,176.24964
O,1,1,1,1,1703,22,,2017,45.8875,70.92,66.41,65.49,45.8875,70.92,67.82222222,66.33214286,1.22,1.23,1.34,1.26,46.425,97.95,81.96,73.6,46.425,97.95,83.30526316,74.19310345,1.47,1.42,1.57,1.43,29.6375,72.06,60.935,69.14333333,24.275,72.06,56.0125,67.37692308,1.52,1.42,1.57,1.43,42.175,80.97,62.55,56.88,38.95,80.97,63.72777778,57.23214286,45.8875,56.55883861,43.70671213,64.23827517,70.92,120.2014321,102.6519462,115.3445474,66.41,110.0173642,95.95920964,98.50247908,65.49,92.69985626,98.76095222,81.24460727,45.8875,56.55883861,35.79858075,59.32616047,70.92,120.2014321,102.6519462,115.3445474,67.82222222,111.8231512,88.20735587,100.3572198,66.33214286,93.44687534,96.23789829,81.74759089,210.3913259,409.1179258,370.8890529,338.1954158,164.5038259,338.1979258,304.4790529,272.7054158,197.5710798,409.1179258,368.2099491,337.7645074,151.6835798,338.1979258,300.3877269,271.4323645
O,1,1,1,1,1703,27,,2017,35.225,57.4,54.625,65.43333333,35.225,57.4,54.5,66.55555556,1.22,1.23,1.34,1.26,48.1,78,85.675,77.69,48.1,78,87.72777778,78.43928571,1.47,1.42,1.57,1.43,41.1625,77.03,73.99,75.84333333,38.86666667,77.03,64.32666667,70.416,1.52,1.42,1.57,1.43,28.275,47.69,40.455,36.55333333,28.275,47.69,40.31111111,36.18214286,35.225,58.59946445,60.70274274,43.06668003,57.4,95.71936401,109.731882,67.9360438,54.625,115.00412,116.5179605,63.70771848,65.43333333,97.85124773,108.3309042,52.21099176,35.225,58.59946445,57.31705479,43.06668003,57.4,95.71936401,109.731882,67.9360438,54.5,117.7596251,101.3003379,63.48112516,66.55555556,98.79497977,100.578767,51.68080145,197.5938872,330.7872898,349.854799,323.826477,162.3688872,273.3872898,295.229799,258.3931437,194.2081993,330.7872898,337.0410882,317.6101038,158.9831993,273.3872898,282.5410882,251.0545482
O,1,1,1,1,1703,47,,2017,43.7875,48.97,51.705,49.20666667,43.7875,48.66666667,48.66666667,46.32105263,1.22,1.23,1.34,1.26,34.3625,55.71,58.305,50.64333333,34.3625,55.71,57.7875,49.14615385,1.47,1.42,1.57,1.43,45.1125,94.48,80.41,73.37333333,37.24,94.48,75.4,68.96,1.52,1.42,1.57,1.43,68.225,95.58,86.19,86.83333333,73.83333333,95.58,90.05555556,89.36428571,43.7875,41.86328684,66.52784651,103.9159768,48.97,68.36571499,134.5900067,136.1569945,51.705,78.26454878,126.628047,135.7302745,49.20666667,63.7857299,104.8028771,124.0284822,43.7875,41.86328684,54.91819349,112.4582332,48.66666667,68.36571499,134.5900067,136.1569945,48.66666667,77.56989302,118.7384,141.8176735,46.32105263,61.90001899,98.49908786,127.6435706,256.0946102,388.0827161,392.3278704,341.8237558,212.3071102,339.1127161,340.6228704,292.6170892,253.0272135,387.7793828,386.7926332,334.3637301,209.2397135,339.1127161,338.1259666,288.0426775
O,1,1,1,1,1703,59,,2017,47.125,62.93,59.935,74.61,47.125,62.93,60.77777778,76.2,1.22,1.23,1.34,1.26,45.875,57.26,61.005,72.49333333,45.875,57.26,61.47894737,73.2,1.47,1.42,1.57,1.43,37.5,83.48,72.265,71.31,21.3,83.48,65.38,66.988,1.52,1.42,1.57,1.43,43.1625,67.09,59.78,70.63,41.72857143,67.09,60.12631579,71.23103448,47.125,55.88878236,55.30161805,65.7423723,62.93,70.26783055,118.9201287,95.57201045,59.935,81.88883969,113.8014652,94.14033892,74.61,91.30599973,101.8557128,100.8844341,47.125,55.88878236,31.41131905,63.55830359,62.93,70.26783055,118.9201287,95.57201045,60.77777778,82.52503345,102.959106,94.68571004,76.2,92.1960527,95.68237961,101.7429223,224.0577727,347.6899697,349.7656439,368.6561466,176.9327727,284.7599697,289.8306439,294.0461466,197.983405,347.6899697,340.9476273,365.8213546,150.858405,284.7599697,280.1698495,289.6213546
O,1,1,1,1,1703,79,,2017,46.9625,54.04,56.97,67.50333333,46.9625,54.04,57.55263158,68.24827586,1.22,1.23,1.34,1.26,41.7625,52.24,61.6,61.84,41.7625,52.24,61.52631579,61.8,1.47,1.42,1.57,1.43,42.4375,81.16,68.145,73.67333333,33.46666667,81.16,68.14666667,74.78,1.52,1.42,1.57,1.43,43.175,50.36,50.05,50.8,43.175,50.36,50.00555556,50.825,46.9625,50.87858907,62.58299776,65.76141151,54.04,64.10743046,115.6152089,71.73955055,56.97,82.68752603,107.3133723,78.81773106,67.50333333,77.8880314,105.2313824,72.56023294,46.9625,50.87858907,49.35362179,65.76141151,54.04,64.10743046,115.6152089,71.73955055,57.55263158,82.5886175,107.3159969,78.74774085,68.24827586,77.83765105,106.8120909,72.59594171,226.1854983,305.50219,325.7886294,323.1829801,179.2229983,251.46219,268.8186294,255.6796468,212.9561224,305.50219,326.2049869,325.4939595,165.9936224,251.46219,268.6523553,257.2456837
O,1,1,1,1,1703,89,,2017,17.0125,37.46,30.295,39.63333333,17.5,37.46,30.90666667,41.868,1.22,1.23,1.34,1.26,21.025,26.71,42.285,48.02333333,21.025,26.71,39.87647059,47.14444444,1.47,1.42,1.57,1.43,22.5125,50.75,49.05,45.19666667,15.6,50.75,43.36153846,40.80869565,1.52,1.42,1.57,1.43,27.2,38.29,41.98,37.92333333,27.2,38.29,42.14444444,37.73928571,17.0125,25.61442287,33.1994047,41.42930847,37.46,32.77774632,72.29511895,54.54542078,30.295,56.76042269,77.24295122,66.10925774,39.63333333,60.48581654,64.55670593,54.16783269,17.5,25.61442287,23.00547311,41.42930847,37.46,32.77774632,72.29511895,54.54542078,30.90666667,53.52738149,68.28487666,66.36822154,41.868,59.37884815,58.28914296,53.90494808,117.255636,197.078286,230.4076317,218.8436885,100.243136,159.618286,200.1126317,179.2103552,107.5492044,197.078286,219.0871464,213.4409392,90.04920444,159.618286,188.1804797,171.5729392
O,1,1,1,1,1703,90,,2017,47.2375,51.46,52.075,59.49666667,47.6375,51.46,53.87222222,61.18214286,1.22,1.23,1.34,1.26,29.7,38.82,42.665,46.94,29.7,38.82,41.22631579,46.14482759,1.47,1.42,1.57,1.43,40.9,45.4,56.475,71.64333333,40.9,45.4,47.275,68.31538462,1.52,1.42,1.57,1.43,44.425,49.51,50.705,66.35333333,44.425,49.51,50.76842105,66.93448276,47.2375,36.1830373,60.31563142,67.66533193,51.46,47.63879116,64.67386011,70.52869634,52.075,57.27050808,88.93569154,79.84921186,59.49666667,59.12134855,102.3318298,94.77585281,47.6375,36.1830373,60.31563142,67.66533193,51.46,47.63879116,64.67386011,70.52869634,53.87222222,55.33931915,74.447717,79.94908605,61.18214286,58.1198218,97.5783508,95.6059382,211.4015006,234.3013476,278.1304115,315.7256978,164.1640006,182.8413476,226.0554115,256.2290312,211.8015006,234.3013476,263.6083444,312.4862537,164.1640006,182.8413476,209.7361222,251.3041108
