TMQUADB,TMQUADD,TIMEINN,TIMEMID,TIMEOUT,ANCROSB,ANCROSD,GROUP,NUMBER,COND,AGE,SLGROUP,YEAR,BLOCK,BSPEED,BSPEEDTT,BSPEEDFS,TTCUMDS,TTCUMDSO,TTAVDS,TTAVDSO,TTPATH,TTLAT,TAVDS08,TAVDS10,TAVDS20,TAVDS30,TAVDSO30,TAVDS08A,TAVDS10A,TAVDS20A,TAVDS30A
32,20,10,34,56,0,2,1705,2,TT,O,,2017,0,18.32500023,18.32500023,18.32500023,6551.2,7514.5,74.44545455,85.39204545,1713,90.1,78.6625,98.16,95.52,92.68,69.09642857,78.6625,98.16,99.03888889,94.73928571
25,31,3,41,56,0,0,1705,11,TT,O,,2017,0,18.03700997,18.03700997,18.03700997,7394.3,6927.6,84.02613636,78.72272727,1652,90.1,64.45,100.87,95.195,92.22666667,64.91071429,64.45,100.87,99.17222222,94.57142857
33,20,29,34,37,0,0,1705,15,TT,O,,2017,0,17.02842564,17.02842564,17.02842564,2656.8,2737.2,71.80540541,73.97837838,838,39.7,46.95,56.17,56.4,69.71666667,77.57142857,46.95,56.17,56.53333333,70.75357143
40,8,13,28,59,1,0,1705,21,TT,O,,2017,0,18.5249466,18.5249466,18.5249466,5935.9,8112.7,67.45340909,92.18977273,1757,90.1,38.6125,65.98,54.115,53.85666667,94.06071429,34.43333333,65.98,53.81666667,53.64642857
35,11,18,32,50,0,0,1705,27,TT,O,,2017,0,18.04661487,18.04661487,18.04661487,6229.8,7486.9,70.79318182,85.07840909,1896,90.1,41.4875,79.14,63.875,61.04333333,98.63928571,41.4875,79.14,65.22777778,61.71071429
45,26,9,35,56,0,1,1705,28,TT,O,,2017,0,17.06873252,17.06873252,17.06873252,6349.6,7667,72.15454545,87.125,1797,90.1,41.6875,109.26,79.875,70.21,93.56071429,41.6875,109.26,83.12222222,71.60714286
52,12,18,37,45,3,1,1705,36,TT,O,,2017,0,16.08862918,16.08862918,16.08862918,3153.9,4885.7,58.40555556,90.47592593,1081,57,21.6375,33.81,53.285,54.85333333,94.30714286,21.6375,33.81,53.79444444,55.29285714
28,23,1,30,69,0,0,1705,37,TT,O,,2017,0,23.1538388,23.1538388,23.1538388,7515.7,7667.7,84.44606742,86.15393258,2455,90.1,69.4125,77.49,83.51,84.88333333,85.6,69.4125,77.49,85.37368421,86.15172414
22,30,23,42,35,0,3,1705,43,TT,O,,2017,0,16.12645603,16.12645603,16.12645603,7423.5,5767.5,84.35795455,65.53977273,1690,90.1,47.95,111.08,84.855,76.16,58.53571429,47.95,111.08,88.47222222,77.86428571
31,22,5,28,67,0,0,1705,81,TT,O,,2017,0,16.33461986,16.33461986,16.33461986,6058.5,6458,80.78,86.10666667,1700,77.8,33.45,56.48,52.97,68.30333333,88.9,33.45,56.48,52.65555556,69.19642857
30,26,17,34,49,0,2,1705,84,TT,O,,2017,0,19.44609208,19.44609208,19.44609208,6686.5,7021.4,75.98295455,79.78863636,2073,90.1,48.2375,76.92,65.84,74.02333333,87.38214286,48.2375,76.92,66.66666667,75.13928571
23,23,0,25,75,0,0,1705,89,TT,O,,2017,0,19.63191548,19.63191548,19.63191548,7527.6,7727.2,85.54090909,87.80909091,2033,90.1,58.8625,104.99,84.77,80.97333333,91.06071429,59.3625,104.99,87.99444444,82.775
36,26,14,24,62,0,0,1705,91,TT,O,,2017,0,24.55107884,24.55107884,24.55107884,6926.4,7263.2,77.8247191,81.60898876,2042,90.1,50.1375,73.08,67.125,75.72666667,82.31724138,49.68571429,73.08,67.85263158,76.5
29,23,7,28,65,1,0,1705,98,TT,O,,2017,0,23.44608357,23.44608357,23.44608357,4235.2,4574.4,79.90943396,86.30943396,1448,54.9,57.9875,91.78,75.81,80.65333333,78.52413793,58.1,91.78,77.15263158,81.7
50,15,24,27,49,0,1,1705,2,TT,O,,2017,1,18.23924311,18.32500023,17.81045752,6158.66,6228.18,79.29049465,80.05108289,1507.6,81.92,42.575,74.04,59.685,58.23333333,88.32142857,41.58571429,74.04,60.05555556,58.36785714
34,12,27,25,48,0,1,1705,11,TT,O,,2017,1,18.93776805,18.03700997,23.44155844,7340.44,7095.46,85.36694843,82.56099631,1623.6,90,37.7875,55.71,65.675,57.59666667,89.42068966,37.7875,55.71,65.64736842,57.3
23,14,46,29,25,1,1,1705,15,TT,O,,2017,1,17.50197251,17.02842564,19.86970684,5263.32,4744.06,80.3214274,81.37444191,1081.8,65.76,38.2,68.65,58.865,69.02,64.28928571,32.05,68.65,59.11111111,69.90357143
29,12,44,45,11,2,0,1705,21,TT,O,,2017,1,18.42446849,18.5249466,17.92207792,5477.22,6317.34,70.41022981,83.80790987,1504.8,80.16,36.7125,45.36,53.64,58.44333333,70.17857143,36.7125,45.36,53.89444444,58.95
17,26,63,32,5,1,0,1705,27,TT,O,,2017,1,18.1924405,18.04661487,18.92156863,5920.18,6487.88,68.65178877,75.24382888,1626,90.1,43.7,52.87,63.29,62.26333333,54.28928571,43.7,52.87,63.53333333,62.34642857
49,3,25,55,20,0,0,1705,28,TT,O,,2017,1,16.4932163,17.06873252,13.61563518,5027.26,5367.16,66.91000433,76.80433333,1248.6,74.58,33.325,40.08,43.015,42.12666667,93.81851852,33.325,40.08,39.31176471,39.6962963
38,28,13,48,39,2,0,1705,36,TT,O,,2017,1,16.23020944,16.08862918,16.93811075,5899.46,6158,74.15704505,79.50952261,1317.2,83.04,41.35,108.76,81.61,72.99333333,73.09285714,36.2,108.76,84.36666667,74.15
20,25,4,60,36,0,0,1705,37,TT,O,,2017,1,22.70395658,23.1538388,20.45454545,5135.9,5758.42,71.74154794,81.598755,1689,73.62,48.9125,90.02,90.81,80,79.67142857,48.9125,90.02,94.08333333,81.33214286
56,3,8,25,67,0,0,1705,43,TT,O,,2017,1,16.0307047,16.12645603,15.55194805,6033.56,5473.16,75.82810606,70.13844156,1314.2,82.22,44.675,46.45,50.14,55.01666667,106.1037037,44.675,46.45,50.88823529,56.02962963
31,11,72,19,9,1,0,1705,45,TT,O,,2017,1,17.86147777,17.8168902,18.08441558,4432.58,4361.28,81.33786816,66.80466457,1093.2,62.2,36.025,52.06,45.72,47.21,68.90357143,32.5,52.06,44.93333333,46.81071429
