"TMQUADB","TMQUADD","TIMEINN","TIMEMID","TIMEOUT","ANCROSB","ANCROSD","GROUP","NUMBER","COND","AGE","SLGROUP","YEAR","BLOCK","BSPEED","BSPEEDTT","BSPEEDFS","TTCUMDS","TTCUMDSO","TTAVDS","TTAVDSO","TTPATH","TTLAT","TAVDS08","TAVDS10","TAVDS20","TAVDS30","TAVDSO30","TAVDS08A","TAVDS10A","TAVDS20A","TAVDS30A"
19,21,12,16,72,1,1,"1708",10,"TT","O","",2017,0,22.7100917087967,22.7100917087967,22.7100917087967,5163.3,4758.1,86.055,79.3016666666667,1551,61.4,48.375,95.04,79.635,89.99,72.6241379310345,48.375,95.04,80.2368421052632,90.7413793103448
17,30,10,36,54,0,2,"1708",17,"TT","O","",2017,0,23.0261596935394,23.0261596935394,23.0261596935394,7613.6,6622.2,85.5460674157303,74.4067415730337,2237,90.1,51.4375,105.29,86.205,77.1133333333333,72.9724137931034,51.4375,105.29,87.3315789473684,77.5379310344828
21,32,17,28,55,0,0,"1708",20,"TT","O","",2017,0,16.3205973972367,16.3205973972367,16.3205973972367,6956.8,6782.2,79.0545454545455,77.0704545454545,1731,90.1,45.5875,59.18,60.49,71.1733333333333,76.4892857142857,45.5875,59.18,60.2666666666667,71.7928571428571
22,28,2,23,75,0,1,"1708",42,"TT","O","",2017,0,19.5301026070806,19.5301026070806,19.5301026070806,7608.3,7467.2,86.4579545454545,84.8545454545455,1803,90.1,58.725,112.63,99.215,89.39,75.075,58.725,112.63,103.25,91.2821428571429
39,24,21,56,23,2,0,"1708",10,"TT","O","",2017,1,22.7902080029446,22.7100917087967,23.1907894736842,3903.1,3827.92,68.7074377861007,78.8293224756933,1145,51.34,28.6875,66.2,64.855,65.0533333333333,74.9769230769231,28.6875,66.2,55.4625,59.3038461538462
44,19,62,35,3,2,0,"1708",17,"TT","O","",2017,1,23.0011025768602,23.0261596935394,22.8758169934641,3177.84,3143.52,56.8033258426966,82.4250486891386,1020.4,42.74,18.225,24.68,52.2,49.44,75.1384615384615,18.225,24.68,37.725,40.1076923076923
28,21,0,14,86,0,0,"1708",20,"TT","O","",2017,1,17.5841043884076,16.3205973972367,23.9016393442623,4255.82,5056.28,53.9368348115299,72.3941814486327,1013.8,62.14,54.225,111.14,89.4,83.56,92.1307692307692,47.06,111.14,87.3,81.3692307692308
53,16,66,33,1,1,0,"1708",42,"TT","O","",2017,1,20.1220800414196,19.5301026070806,23.0819672131148,5222.68,5560.6,66.8677356369121,85.6039795008913,1489.2,71.84,22.5625,33.94,44.68,44.5333333333333,79.0153846153846,22.5625,33.94,36.01875,39.1807692307692
49,21,28,39,33,1,0,"1708",44,"TT","O","",2017,1,22.4039832843918,22.1616529054396,23.6156351791531,4494.96,4501.6,73.7280404521661,82.293235768891,1308,60.66,33.3125,39.77,52.095,57.1733333333333,92.8038461538462,33.3125,39.77,41.38125,51.3615384615385
24,37,13,55,32,1,0,"1708",48,"TT","O","",2017,1,20.2935392381536,20.3261032949347,20.1307189542484,4076.22,4492.3,69.7185080213904,81.2114652406417,1307.6,59.48,37.1125,76,70.64,81.7733333333333,78.036,26.9333333333333,76,61.0133333333333,78.224
16,42,7,44,49,0,0,"1708",69,"TT","O","",2017,1,21.0019551809293,21.1631305308406,20.1960784313725,4833.9,4830.62,73.5856151406733,83.7185879817857,1316.4,61.12,50.4375,57.86,78.175,89.2466666666667,81.156,50.4375,57.86,69.2733333333333,86.12
42,24,37,38,25,1,2,"1708",73,"TT","O","",2017,1,22.6344430913117,22.5404166768944,23.1045751633987,3983.32,5021.2,67.782462195524,84.2289227345688,1373.6,61.64,31.9875,56.05,66.315,63.4033333333333,81.7384615384615,31.9875,56.05,57.175,57.3307692307692
20,34,15,56,29,1,1,"1708",82,"TT","O","",2017,1,22.1859952706385,21.806200860714,24.0849673202614,4571.42,4674.42,67.8429175475687,87.8613689217759,1317.4,59.2,49.7875,64.11,74.86,80.3933333333333,78.5807692307692,49.7875,64.11,65.98125,75.7807692307692
25,32,53,42,5,0,4,"1708",86,"TT","O","",2017,1,23.0335717994849,23.0128351789897,23.1372549019608,2152.96,2496.8,68.473275665035,79.8039369591287,784.6,34.22,28.9875,43.49,56.53,60.0866666666667,69.0038461538462,28.9875,43.49,46.3875,54.3923076923077
50,11,68,22,10,3,0,"1708",10,"TT","O","",2017,2,23.006246602228,23.0211767044325,22.9315960912052,568.48,734.32,42.4748095238095,82.1151666666667,329.8,13.72,20.3875,74.58,57.2,45.7166666666667,71.6413793103448,20.3875,74.58,56.7789473684211,45.0448275862069
25,26,64,27,9,2,1,"1708",17,"TT","O","",2017,2,17.0217659707359,16.367487243059,20.2931596091205,2655.58,2594.34,56.0156576322229,64.6297784051697,810.2,47.16,36.8,49.84,54.285,55.7733333333333,62.8892857142857,36.8,49.84,53.9611111111111,55.6714285714286
23,31,0,49,51,0,0,"1708",20,"TT","O","",2017,2,16.0831163176119,16.2378503303199,15.3094462540717,5188.42,4990.36,79.4167465867466,85.266476023976,1174.8,64.24,42.3125,113,81.95,90.0366666666667,70.3777777777778,40,113,88.2647058823529,94.9111111111111
44,13,47,41,12,1,1,"1708",42,"TT","O","",2017,2,20.701440641992,20.2814681840711,22.8013029315961,885.98,1325.02,39.547723335488,77.9532764490412,468.8,22.34,23.575,36.67,36.95,53.7666666666667,74.2758620689655,23.575,36.67,35.9210526315789,53.6724137931034
