TMQUADB,TMQUADD,TIMEINN,TIMEMID,TIMEOUT,ANCROSB,ANCROSD,GROUP,NUMBER,COND,AGE,SLGROUP,YEAR,BLOCK,BSPEED,BSPEEDTT,BSPEEDFS,TTCUMDS,TTCUMDSO,TTAVDS,TTAVDSO,TTPATH,TTLAT,TAVDS08,TAVDS10,TAVDS20,TAVDS30,TAVDSO30,TAVDS08A,TAVDS10A,TAVDS20A,TAVDS30A
22,26,13,37,50,0,2,1711,11,TT,O,,2017,0,17.00881525,17.00881525,17.00881525,6864.8,6274.6,81.72380952,74.69761905,1879,90.1,79.2375,81.88,94.135,96.86666667,62.8,79.2375,81.88,84.77857143,92.09166667
25,35,11,31,58,0,1,1711,24,TT,O,,2017,0,25.03935129,25.03935129,25.03935129,7109.5,6762,82.66860465,78.62790698,1930,90.1,53.35,57.93,78.945,77.53,81.23461538,53.35,57.93,72.95,73.62307692
17,36,6,27,67,0,0,1711,34,TT,O,,2017,0,20.12197376,20.12197376,20.12197376,7755.7,6220,91.24352941,73.17647059,1913,90.1,72.3,80.51,97.125,100.6566667,78.448,72.3,80.51,89.56,96.824
26,15,8,23,69,0,1,1711,39,TT,O,,2017,0,18.36375493,18.36375493,18.36375493,6440,7687.5,75.76470588,90.44117647,1790,90.1,99.475,109.42,110.62,109.1833333,50.188,98.75714286,109.42,108.8266667,107.82
27,28,20,38,42,1,2,1711,49,TT,O,,2017,0,20.9323542,20.9323542,20.9323542,6390.8,6653.4,74.31162791,77.36511628,1930,90.1,42.8,51.1,74.325,88.35666667,61.75769231,42.8,51.1,62.4,83.17692308
19,30,12,53,35,0,1,1711,52,TT,O,,2017,0,22.78681428,22.78681428,22.78681428,7063,6206.5,82.12790698,72.16860465,2316,90.1,56.2875,103.5,91.715,82.23,85.21153846,56.2875,103.5,86.24375,77.40384615
24,35,13,34,53,0,1,1711,54,TT,O,,2017,0,17.01940844,17.01940844,17.01940844,6875.6,6287.9,81.85238095,74.85595238,1786,90.1,35.5125,40.3,67.965,80.96,68.97083333,35.5125,40.3,54.55,76.38333333
20,41,5,33,62,0,0,1711,60,TT,O,,2017,0,22.87901164,22.87901164,22.87901164,7744.2,6398,90.04883721,74.39534884,2371,90.1,62.0125,82.81,96.14,88.91,83.25769231,62.0125,82.81,90.5875,84.38076923
33,24,19,30,51,1,0,1711,66,TT,O,,2017,0,20.11929574,20.11929574,20.11929574,4713.9,5003.2,73.6546875,78.175,1636,69.7,34.9375,72.64,77.72,74.31333333,80.876,34.9375,72.64,64.91333333,65.948
23,25,0,34,66,0,0,1711,86,TT,O,,2017,0,15.64346602,15.64346602,15.64346602,6928.4,7139.2,82.48095238,84.99047619,1904,90.1,52.725,78.28,97.05,94.93666667,79.95416667,52.725,78.28,90.86428571,90.8
29,16,11,39,50,0,0,1711,90,TT,O,,2017,0,15.97732661,15.97732661,15.97732661,6077.3,7364.1,72.34880952,87.66785714,1599,90.1,90.7875,95.05,99.035,100.84,67.19166667,80,95.05,93.14285714,97.85416667
