AGE,MULT08B1,MULT10B1,MULT20B1,MULT30B1,GROUP,NUMBER,SLGROUP,YEAR,TAV08B1,TAV10B1,TAV20B1,TAV30B1,TAV08AB1,TAV10AB1,TAV20AB1,TAV30AB1,MULT08B2,MULT10B2,MULT20B2,MULT30B2,TAV08B2,TAV10B2,TAV20B2,TAV30B2,TAV08AB2,TAV10AB2,TAV20AB2,TAV30AB2,MULT08B3,MULT10B3,MULT20B3,MULT30B3,TAV08B3,TAV10B3,TAV20B3,TAV30B3,TAV08AB3,TAV10AB3,TAV20AB3,TAV30AB3,MULT08B4,MULT10B4,MULT20B4,MULT30B4,TAV08B4,TAV10B4,TAV20B4,TAV30B4,TAV08AB4,TAV10AB4,TAV20AB4,TAV30AB4,IDX08B1,IDX08B2,IDX08B3,IDX08B4,IDX10B1,IDX10B2,IDX10B3,IDX10B4,IDX20B1,IDX20B2,IDX20B3,IDX20B4,IDX30B1,IDX30B2,IDX30B3,IDX30B4,IDX08AB1,IDX08AB2,IDX08AB3,IDX08AB4,IDX10AB1,IDX10AB2,IDX10AB3,IDX10AB4,IDX20AB1,IDX20AB2,IDX20AB3,IDX20AB4,IDX30AB1,IDX30AB2,IDX30AB3,IDX30AB4,IDX08_4,IDX10_4,IDX20_4,IDX30_4,IDX08_3,IDX10_3,IDX20_3,IDX30_3,IDX08A_4,IDX10A_4,IDX20A_4,IDX30A_4,IDX08A_3,IDX10A_3,IDX20A_3,IDX30A_3
O,1,1,1,1,1712,2,,2017,51.225,69.3,94.12,94.66666667,51.225,69.3,86.40666667,90.148,1.22,1.23,1.34,1.26,47.2625,77.02,72.4,65.4,47.2625,77.02,74.61176471,66.01481481,1.47,1.42,1.57,1.43,19.225,56.47,41.915,49.77333333,19.225,56.47,40.71111111,49.56071429,1.52,1.42,1.57,1.43,36.2,84.63,75.15,64.07333333,24.4,84.63,70.39333333,59.004,51.225,57.57915153,28.35129619,55.13753553,69.3,94.5167361,80.44345551,120.5583432,94.12,97.18468968,66.00689705,118.3447051,94.66666667,82.37188315,71.09379253,91.51921244,51.225,57.57915153,28.35129619,37.16452671,69.3,94.5167361,80.44345551,120.5583432,86.40666667,100.1536077,64.1110371,110.8540023,90.148,83.14624789,70.7900979,84.27842489,192.2929832,364.8185348,375.6562918,339.6515548,141.0679832,295.5185348,281.5362918,244.9848881,174.3199744,364.8185348,361.5253138,328.3627707,123.0949744,295.5185348,275.1186471,238.2147707
O,1,1,1,1,1712,42,,2017,22.125,34.6,50.245,47.36666667,22.125,34.6,41.49375,41.53846154,1.22,1.23,1.34,1.26,52.3125,103.81,84.705,80.83333333,54.21666667,103.81,88.93888889,83.27857143,1.47,1.42,1.57,1.43,39.1375,45.43,59.1,70.59333333,39.1375,45.43,60.13333333,72.07857143,1.52,1.42,1.57,1.43,25.85,34.77,42.36,39.34333333,25.2,34.77,32.90625,33.06153846,22.125,63.73148615,57.71645537,39.37307441,34.6,127.3926561,64.71659614,49.53105982,50.245,113.7020599,93.06948863,66.70767408,47.36666667,101.8103041,100.8320612,56.19609116,22.125,66.0513021,57.71645537,38.38303578,34.6,127.3926561,64.71659614,49.53105982,41.49375,119.3853359,94.69676113,51.82009916,41.53846154,104.8901033,102.9535026,47.22348291,182.9460159,276.2403121,323.7242226,306.2051232,160.8210159,241.6403121,273.4792226,258.8384565,184.2757932,276.2403121,307.3959462,296.6055503,162.1507932,241.6403121,265.9021962,255.0670888
O,1,1,1,1,1712,46,,2017,34.0375,89.4,74.485,70,23.72,89.4,67.50666667,64.916,1.22,1.23,1.34,1.26,18.6,23.56,30.925,45.12666667,18.6,23.56,28.19411765,44.98518519,1.47,1.42,1.57,1.43,43.9125,63.19,65.26,60.88,43.9125,63.19,65.66666667,60.82857143,1.52,1.42,1.57,1.43,54.425,58.82,73.66,71.17333333,54.425,58.82,66.19285714,66.19583333,34.0375,22.66008397,64.75819473,82.89669534,89.4,28.91215662,90.01632643,83.79111126,74.485,41.51155426,102.7701325,115.9982831,70,56.83743904,86.95801144,101.6605048,23.72,22.66008397,64.75819473,82.89669534,89.4,28.91215662,90.01632643,83.79111126,67.50666667,37.84580904,103.4105429,104.2391771,64.916,56.65924186,86.88455339,94.55088752,204.352474,292.1195943,334.7649698,315.4559553,170.314974,202.7195943,260.2799698,245.4559553,194.034974,292.1195943,313.0021957,303.0106828,170.314974,202.7195943,245.495529,238.0946828
O,1,1,1,1,1712,57,,2017,44.075,64.84,67.615,84.01666667,44.075,64.84,59.61333333,82.496,1.22,1.23,1.34,1.26,40.7375,83.04,74.955,67.87333333,40.7375,83.04,78.48333333,69.63571429,1.47,1.42,1.57,1.43,27.7125,39.27,43.125,50.09,27.7125,39.27,40.95555556,49.19285714,1.52,1.42,1.57,1.43,25.7,65.12,62.225,50.69,25.7,65.12,59.55333333,46.78,44.075,49.62984788,40.86789574,39.14460395,64.84,101.9043075,55.94146446,92.76567775,67.615,100.6143427,67.91238066,97.99067563,84.01666667,85.48706853,71.5461037,72.40311432,44.075,49.62984788,40.86789574,39.14460395,64.84,101.9043075,55.94146446,92.76567775,59.61333333,105.3505303,64.49598328,93.78338882,82.496,87.70680306,70.26466876,66.81826175,173.7173476,315.4514497,334.132399,313.4529532,129.6423476,250.6114497,266.517399,229.4362866,173.7173476,315.4514497,323.2432358,307.2857336,129.6423476,250.6114497,263.6299024,224.7897336
O,1,1,1,1,1712,69,,2017,41.3375,68.02,83,68.60666667,41.3375,68.02,66.43076923,54.86086957,1.22,1.23,1.34,1.26,43.2,69.81,60.71,55.68333333,43.2,69.81,61.31052632,55.90344828,1.47,1.42,1.57,1.43,41.375,65.41,59.335,65.45,41.375,65.41,60.08888889,66.37142857,1.52,1.42,1.57,1.43,32.875,62.64,71.73,63.72333333,32.875,62.64,63.97142857,57.19583333,41.3375,52.62987244,61.01611858,50.0731072,68.02,85.66883079,93.17879272,89.23283253,83,81.49285235,93.43956189,112.958958,68.60666667,70.13365484,93.4855757,91.01928957,41.3375,52.62987244,61.01611858,50.0731072,68.02,85.66883079,93.17879272,89.23283253,66.43076923,82.29895682,94.62677092,100.7409161,54.86086957,70.41089157,94.80169916,81.69572814,205.0565982,336.100456,370.8913723,323.2451868,163.7190982,268.080456,287.8913723,254.6385201,205.0565982,336.100456,344.0974131,301.7691884,163.7190982,268.080456,277.6666439,246.9083189
O,1,1,1,1,1712,77,,2017,45.7125,81.36,92.315,84.87666667,45.7125,81.36,91.68,83.008,1.22,1.23,1.34,1.26,29.9625,74.51,54.855,74.01,24.96666667,74.51,55.19444444,75.59642857,1.47,1.42,1.57,1.43,28.225,31.4,39.915,57.74,28.225,31.4,35.26470588,56.79259259,1.52,1.42,1.57,1.43,74.2375,82.03,87.205,85.46,74.2375,82.03,83.39230769,82.77391304,45.7125,36.50283687,41.62368452,113.0738341,81.36,91.43653606,44.73037902,116.8545538,92.315,73.63351039,62.85733737,137.3286761,84.87666667,93.21625492,82.47298917,122.0668801,45.7125,30.41649263,41.62368452,113.0738341,81.36,91.43653606,44.73037902,116.8545538,91.68,74.08915684,55.53414794,131.3245251,83.008,95.21437585,81.11975881,118.230205,236.9128555,334.3814689,366.1345238,382.6327908,191.2003555,253.0214689,273.8195238,297.7561241,230.8265112,334.3814689,352.6278299,377.5723396,185.1140112,253.0214689,260.9478299,294.5643396
O,1,1,1,1,1712,96,,2017,29.4,69.23,67.82,66.33333333,29.4,69.23,63.69375,63.56538462,1.22,1.23,1.34,1.26,48.05,57.94,59.645,77.24,48.05,57.94,59.76315789,77.92413793,1.47,1.42,1.57,1.43,27.575,39.82,45.65,46.88,27.575,39.82,45.55263158,46.85862069,1.52,1.42,1.57,1.43,22.625,77.99,75.015,59.67666667,22.625,77.99,69.67058824,54.60740741,29.4,58.53855024,40.66512314,34.46095971,69.23,71.10230706,56.72495836,111.099435,67.82,80.06327094,71.88869976,118.1321098,66.33333333,97.28446872,66.96109685,85.23922902,29.4,58.53855024,40.66512314,34.46095971,69.23,71.10230706,56.72495836,111.099435,63.69375,80.22187782,71.73536593,109.7158379,63.56538462,98.14614654,66.93055969,77.99854727,163.0646331,308.1567004,337.9040805,315.8181279,133.6646331,238.9267004,270.0840805,249.4847946,163.0646331,308.1567004,325.3668316,306.6406381,133.6646331,238.9267004,261.6730816,243.0752535
O,1,1,1,1,1712,97,,2017,47.2375,50.18,73.705,65.25666667,47.2375,50.18,56.73076923,53.09130435,1.22,1.23,1.34,1.26,58.2375,86.91,91.095,83.81666667,58.2375,86.91,92.75789474,84.65517241,1.47,1.42,1.57,1.43,53.55,91.94,83.215,75.59,53.55,91.94,86.28888889,77.02142857,1.52,1.42,1.57,1.43,38.1,53.85,62.295,63.59666667,30.44,53.85,47.36428571,55.2125,47.2375,70.94981935,78.97071057,58.03149458,50.18,106.6534606,130.9716894,76.71117548,73.705,122.2795484,131.0453045,98.10091022,65.25666667,105.567839,107.9690553,90.83836511,47.2375,70.94981935,78.97071057,46.36427021,50.18,106.6534606,130.9716894,76.71117548,56.73076923,124.5117019,135.8860028,74.58832235,53.09130435,106.6239445,110.0136378,78.86283191,255.1895245,364.5163255,425.1307632,369.6319261,207.9520245,314.3363255,351.4257632,304.3752594,243.5223001,364.5163255,391.7167962,348.5917185,196.2848001,314.3363255,334.986027,295.5004142
Y,1,1,1,1,1712,1,,2017,33.9125,46.5,50.385,57.52666667,32.86666667,46.5,42.38,54.152,1.22,1.23,1.34,1.26,28.1125,35.99,36.135,53.00333333,28.1125,35.99,35.37777778,53.72142857,1.47,1.42,1.57,1.43,29.4,54.49,68.205,56.31666667,29.4,54.49,68.27894737,55.95517241,1.52,1.42,1.57,1.43,23.475,51.86,48.22,40.12,23.475,51.86,42.71875,35.48846154,33.9125,34.24901132,43.35646855,35.7556256,46.5,44.16589629,77.62287747,73.87635209,50.385,48.50509339,107.4078591,75.93588395,57.52666667,66.75817094,80.43996952,57.30544381,32.86666667,34.24901132,43.35646855,35.7556256,46.5,44.16589629,77.62287747,73.87635209,42.38,47.48865131,107.5243099,67.27262635,54.152,67.6626183,79.92362883,50.68998102,147.2736055,242.1651259,282.2338364,262.0302509,113.3611055,195.6651259,231.8488364,204.5035843,146.2277721,242.1651259,264.6655876,252.4282281,113.3611055,195.6651259,222.2855876,198.2762281
Y,1,1,1,1,1712,8,,2017,43.3625,59.17,66.84,67.4,43.3625,59.17,62.97058824,65.02592593,1.22,1.23,1.34,1.26,35.05,37.82,51.045,53.06,35.05,37.82,49.85789474,52.35172414,1.47,1.42,1.57,1.43,9.85,68.07,41.955,51.34333333,9.85,68.07,41.49473684,51.36551724,1.52,1.42,1.57,1.43,17.7375,28.87,42.015,47.77666667,17.7375,28.87,30.91176471,41.42592593,43.3625,42.70085715,14.52589167,27.01663084,59.17,46.41161983,96.96805413,41.12630708,66.84,68.51923321,66.06988825,66.16437504,67.4,66.82954312,73.33630367,68.24185162,43.3625,42.70085715,14.52589167,27.01663084,59.17,46.41161983,96.96805413,41.12630708,62.97058824,66.92574624,65.3450751,48.67922392,65.02592593,65.93746335,73.36799008,59.17076446,127.6058797,243.675981,267.5934965,275.8076984,84.24337967,184.505981,200.7534965,208.4076984,127.6058797,243.675981,243.9206335,263.5021438,84.24337967,184.505981,180.9500453,198.4762179
