"TMQUADB","TMQUADD","TIMEINN","TIMEMID","TIMEOUT","ANCROSB","ANCROSD","GROUP","NUMBER","COND","AGE","SLGROUP","YEAR","BLOCK","BSPEED","BSPEEDTT","BSPEEDFS","TTCUMDS","TTCUMDSO","TTAVDS","TTAVDSO","TTPATH","TTLAT","TAVDS08","TAVDS10","TAVDS20","TAVDS30","TAVDSO30","TAVDS08A","TAVDS10A","TAVDS20A","TAVDS30A"
35,23,12,32,56,2,0,"1801",5,"TT","O","",2018,0,14.6173613565393,14.6173613565393,14.6173613565393,4183.4,5161,69.7233333333333,86.0166666666667,1078,63.4,51.925,77.26,65.05,68.72,91.8259259259259,51.25,77.26,66.6352941176471,70.1259259259259
29,17,0,13,87,0,0,"1801",15,"TT","O","",2018,0,24.9226064834537,24.9226064834537,24.9226064834537,7061.4,8509.5,79.3415730337079,95.6123595505618,2020,90.1,49.4875,63.14,64.51,73.4533333333333,101.548275862069,49.4875,63.14,64.4894736842105,73.748275862069
13,38,15,32,53,0,0,"1801",18,"TT","O","",2018,0,20.9227674814483,20.9227674814483,20.9227674814483,7730.7,6220.6,87.8488636363637,70.6886363636364,1845,90.1,52.825,65.49,75.045,85.9733333333333,77.6785714285714,52.825,65.49,76.5888888888889,87.7464285714286
24,26,21,34,45,0,2,"1801",23,"TT","O","",2018,0,24.5089143525036,24.5089143525036,24.5089143525036,6715.7,6870.8,75.4573033707865,77.2,2179,90.1,51.2375,84.68,73.225,70.7266666666667,83.4103448275862,50.0285714285714,84.68,73.9368421052632,71.1068965517241
26,28,16,41,43,1,1,"1801",26,"TT","O","",2018,0,23.2203438421228,23.2203438421228,23.2203438421228,6768.8,6636.5,77.8022988505748,76.2816091954023,2260,88.4,33.2,44.63,66.245,68.8033333333333,64.9413793103448,33.2,44.63,66.5105263157895,69.0655172413793
21,32,9,49,42,0,0,"1801",28,"TT","O","",2018,0,15.8111602570054,15.8111602570054,15.8111602570054,6998.1,6839.2,79.5238636363636,77.7181818181818,1774,90.1,48.025,113.1,85.495,88.8333333333333,63.3607142857143,49.2,113.1,90.05,92
53,23,11,48,41,0,1,"1801",29,"TT","O","",2018,0,13.6303366629671,13.6303366629671,13.6303366629671,5543.1,7759.2,63.7137931034483,89.1862068965518,1442,90.1,36.4375,37.19,41.39,39.97,114.225925925926,36.4375,37.19,39.2470588235294,38.462962962963
26,24,9,13,78,0,1,"1801",43,"TT","O","",2018,0,24.2086570477247,24.2086570477247,24.2086570477247,7145,7669.2,80.2808988764045,86.1707865168539,2105,90.1,44.6625,89.87,71.215,65.73,94.8827586206897,44.6625,89.87,72.2052631578947,66.1896551724138
33,22,7,21,72,1,1,"1801",49,"TT","O","",2018,0,22.7483148765759,22.7483148765759,22.7483148765759,6875.7,7875.2,77.2550561797753,88.485393258427,2247,90.1,51.9875,60.03,62.635,68.92,84.4275862068965,51.9875,60.03,62.9210526315789,69.3241379310345
44,11,18,18,64,2,0,"1801",50,"TT","O","",2018,0,15.2075471698113,15.2075471698113,15.2075471698113,4860.7,8790.7,55.8701149425287,101.042528735632,1474,90.1,18.1,49.66,53.76,44.3666666666667,110.537037037037,18.1,49.66,52.6352941176471,42.6148148148148
