"TMQUADB","TMQUADD","TIMEINN","TIMEMID","TIMEOUT","ANCROSB","ANCROSD","GROUP","NUMBER","COND","AGE","SLGROUP","YEAR","BLOCK","BSPEED","BSPEEDTT","BSPEEDFS","TTCUMDS","TTCUMDSO","TTAVDS","TTAVDSO","TTPATH","TTLAT","TAVDS08","TAVDS10","TAVDS20","TAVDS30","TAVDSO30","TAVDS08A","TAVDS10A","TAVDS20A","TAVDS30A"
35,23,6,29,65,0,0,"1804",4,"TT","O","",2018,0,18.1076022912647,18.1076022912647,18.1076022912647,6673.5,7158.9,78.5117647058824,84.2223529411764,1668,90.1,34.1375,58.56,87.1,89.2033333333333,78.068,34.1375,58.56,77.3466666666667,83.772
16,39,18,36,46,0,3,"1804",13,"TT","O","",2018,0,14.4439209646123,14.4439209646123,14.4439209646123,6916.9,5718,83.3361445783132,68.8915662650602,1882,90.1,56.7,70.38,92.085,93.9133333333333,76.5521739130435,56.7,70.38,76.6384615384615,85.7391304347826
17,46,14,27,59,0,2,"1804",52,"TT","O","",2018,0,14.3329633740289,14.3329633740289,14.3329633740289,7387.2,5902.3,89.0024096385543,71.1120481927711,1703,90.1,91.9,104.2,100.195,104.61,52.904347826087,87.45,104.2,100.669230769231,106.221739130435
18,31,10,26,64,0,0,"1804",59,"TT","O","",2018,0,16.8187939326674,16.8187939326674,16.8187939326674,7399.8,6362.4,88.0928571428571,75.7428571428571,1780,90.1,37.5125,69.89,75.685,86.3266666666667,83.4791666666667,37.5125,69.89,62.65,81.3833333333333
22,30,5,32,63,1,0,"1804",68,"TT","O","",2018,0,22.786492205808,22.786492205808,22.786492205808,7220,7000.6,83.953488372093,81.4023255813954,2148,90.1,58.2125,66.25,91.325,97.9233333333333,70.1307692307692,58.2125,66.25,86.875,96.2
29,23,18,36,46,0,1,"1804",79,"TT","O","",2018,0,17.9841648421713,17.9841648421713,17.9841648421713,6082.6,7181.4,71.56,84.4870588235294,1802,90.1,35.9625,48.22,79.765,66.5133333333333,80.796,35.9625,48.22,67.2,56.324
15,23,4,17,79,0,0,"1804",86,"TT","O","",2018,0,21.4760424782914,21.4760424782914,21.4760424782914,7491.7,7345.1,87.1127906976744,85.4081395348837,1839,90.1,63.05,78.73,89.675,88.45,83.7653846153846,63.05,78.73,83.50625,84.4653846153846
18,33,12,31,57,0,3,"1804",99,"TT","O","",2018,0,20.2099189637085,20.2099189637085,20.2099189637085,7035.6,6586.4,82.7717647058824,77.4870588235294,2082,90.1,47.25,63.9,78.16,82.58,77.64,47.25,63.9,63.9,74.908
21,24,29,39,32,1,1,"1804",4,"TT","O","",2018,1,18.8138813882146,18.1076022912647,22.3452768729642,6799.22,6541.72,85.289389483066,81.3583268599306,1501,84,55.875,64.48,67.34,70.6433333333333,74.9620689655172,55.875,64.48,67.8052631578947,71.0620689655172
0,68,0,20,80,0,0,"1804",13,"TT","O","",2018,1,13.8009873402171,14.4439209646123,10.586319218241,6753.92,6679.26,80.3514713772074,79.3274885493442,1295.4,89.72,102.85,124.82,116.51,116.413333333333,48.3961538461538,115.225,124.82,124.5875,121.369230769231
30,38,23,22,55,0,0,"1804",52,"TT","O","",2018,1,14.4631372308004,14.3329633740289,15.114006514658,6806.26,7286.28,80.7864146240133,85.8524027143055,1291.4,90.1,46.3,103.01,97.16,80.26,72.5740740740741,46.3,103.01,104.941176470588,83.2814814814815
55,16,39,39,22,3,0,"1804",54,"TT","O","",2018,1,23.7781332818469,23.9651324872359,22.843137254902,2194.36,2388.82,69.539054564173,73.5070893960192,820.2,34.34,18.6875,83.54,64.215,49.7933333333333,83.9034482758621,18.6875,83.54,65.1473684210526,49.9068965517241
40,27,42,45,13,0,0,"1804",59,"TT","O","",2018,1,17.1093435277675,16.8187939326674,18.562091503268,5971.18,6359.22,74.504696969697,78.953658008658,1414.2,84.68,25.9375,84.29,73.37,62.7266666666667,64.8928571428571,25.9375,84.29,76.9166666666667,64.2464285714286
29,12,38,44,18,1,0,"1804",68,"TT","O","",2018,1,22.89397226301,22.786492205808,23.4313725490196,5827.6,6366.8,76.8766948309413,84.0926380912347,1751.2,78.36,41.0875,58.82,72.54,63.98,76.3,41.0875,58.82,73.9578947368421,64.6137931034483
16,58,12,77,11,0,0,"1804",79,"TT","O","",2018,1,18.0378355226563,17.9841648421713,18.3061889250814,6280.84,6258.44,77.2362254901961,77.2718137254902,1534.4,85.24,46.2,110.2,83.615,89.4133333333333,50.6107142857143,47.9166666666667,110.2,88.3444444444444,92.8678571428571
