"AGE","MULT08B1","MULT10B1","MULT20B1","MULT30B1","GROUP","NUMBER","SLGROUP","YEAR","TAV08B1","TAV10B1","TAV20B1","TAV30B1","TAV08AB1","TAV10AB1","TAV20AB1","TAV30AB1","MULT08B2","MULT10B2","MULT20B2","MULT30B2","TAV08B2","TAV10B2","TAV20B2","TAV30B2","TAV08AB2","TAV10AB2","TAV20AB2","TAV30AB2","MULT08B3","MULT10B3","MULT20B3","MULT30B3","TAV08B3","TAV10B3","TAV20B3","TAV30B3","TAV08AB3","TAV10AB3","TAV20AB3","TAV30AB3","MULT08B4","MULT10B4","MULT20B4","MULT30B4","TAV08B4","TAV10B4","TAV20B4","TAV30B4","TAV08AB4","TAV10AB4","TAV20AB4","TAV30AB4","IDX08B1","IDX08B2","IDX08B3","IDX08B4","IDX10B1","IDX10B2","IDX10B3","IDX10B4","IDX20B1","IDX20B2","IDX20B3","IDX20B4","IDX30B1","IDX30B2","IDX30B3","IDX30B4","IDX08AB1","IDX08AB2","IDX08AB3","IDX08AB4","IDX10AB1","IDX10AB2","IDX10AB3","IDX10AB4","IDX20AB1","IDX20AB2","IDX20AB3","IDX20AB4","IDX30AB1","IDX30AB2","IDX30AB3","IDX30AB4","IDX08_4","IDX10_4","IDX20_4","IDX30_4","IDX08_3","IDX10_3","IDX20_3","IDX30_3","IDX08A_4","IDX10A_4","IDX20A_4","IDX30A_4","IDX08A_3","IDX10A_3","IDX20A_3","IDX30A_3"
"O","1.00","1.00","1.00","1.00","1804",4,"",2018,55.875,64.48,67.34,70.6433333333333,55.875,64.48,67.8052631578947,71.0620689655172,"1.22","1.23","1.34","1.26",37.45,89.33,74.495,64.89,34.9166666666667,89.33,68.925,59.9846153846154,"1.47","1.42","1.57","1.43",19.375,21.11,42.285,40.3633333333333,19.375,21.11,31.55625,33.4653846153846,"1.52","1.42","1.57","1.43",17.1125,36.2,31.615,30.29,17.1125,36.2,29.3722222222222,28.7535714285714,55.875,45.6247389524786,28.5725026574172,26.0646706290987,64.48,109.623215217625,30.0719204144945,51.5681439604312,67.34,99.9968709620923,66.5895655943703,49.7866646864377,70.6433333333333,81.7295335994348,57.6530092277674,43.2647530640616,55.875,42.5384192725601,28.5725026574172,26.0646706290987,64.48,109.623215217625,30.0719204144945,51.5681439604312,67.8052631578947,92.5200930406365,49.6941463707543,46.2547834532124,71.0620689655172,75.5511579369101,47.8003169883943,41.0701937130076,156.136912238994,255.743279592551,283.7131012429,253.290629224597,100.261912238994,191.263279592551,216.3731012429,182.647295891264,153.050592559076,255.743279592551,256.274286022498,235.483737603829,97.175592559076,191.263279592551,188.469022864603,164.421668638312
"O","1.00","1.00","1.00","1.00","1804",13,"",2018,102.85,124.82,116.51,116.413333333333,115.225,124.82,124.5875,121.369230769231,"1.22","1.23","1.34","1.26",42.6625,65.72,86.845,74.1066666666667,42.6625,65.72,79.4571428571429,66.6125,"1.47","1.42","1.57","1.43",37.5625,41.06,66.405,58.27,37.5625,41.06,49.6,46.4333333333333,"1.52","1.42","1.57","1.43",52.1875,80.39,68.2,69.28,52.1875,80.39,68.4388888888889,69.5107142857143,102.85,51.9750447412581,55.3937874100249,79.4886777768351,124.82,80.6497000347291,58.4913809672736,114.518317485609,116.51,116.574646066218,104.573255369378,107.399985184724,116.413333333333,93.3380074476105,83.2300152209597,98.9561601940637,115.225,51.9750447412581,55.3937874100249,79.4886777768351,124.82,80.6497000347291,58.4913809672736,114.518317485609,124.5875,106.657704024461,78.1090801343447,107.776182591285,121.369230769231,83.8990377083117,66.3231000530844,99.2857011844823,289.707509928118,378.479398487612,445.05788662032,391.937516195967,186.857509928118,253.659398487612,328.54788662032,275.524182862634,302.082509928118,378.479398487612,417.130466750091,370.877069715109,186.857509928118,253.659398487612,292.542966750091,249.507838945878
"O","1.00","1.00","1.00","1.00","1804",52,"",2018,46.3,103.01,97.16,80.26,46.3,103.01,104.941176470588,83.2814814814815,"1.22","1.23","1.34","1.26",90.425,100.72,100.13,99.2466666666667,90.425,100.72,101.35,99.7375,"1.47","1.42","1.57","1.43",76.8875,98.1,92.135,91.0366666666667,80.3,98.1,94.2461538461538,91.895652173913,"1.52","1.42","1.57","1.43",36.4125,77.13,61.535,73.0866666666667,35.05,77.13,63.8722222222222,75.4142857142857,46.3,110.163338311826,113.386750868241,55.4612020033343,103.01,123.600696705689,139.746821064041,109.874335460444,97.16,134.407499690373,145.09234068907,96.9040775416714,80.26,125.002061611423,130.032317699195,104.39341649418,46.3,110.163338311826,118.419198110482,53.3859287392205,103.01,123.600696705689,139.746821064041,109.874335460444,104.941176470588,136.045142251266,148.416943208125,100.584687982142,83.2814814814815,125.62027057133,131.259250543587,107.71807358637,325.311291183401,476.231853230174,473.563917921114,439.687795804798,279.011291183401,373.221853230174,376.403917921114,359.427795804798,328.268465161529,476.231853230174,489.987949912121,447.879076182769,281.968465161529,373.221853230174,385.046773441533,364.597594701288
"O","1.00","1.00","1.00","1.00","1804",54,"",2018,18.6875,83.54,64.215,49.7933333333333,18.6875,83.54,65.1473684210526,49.9068965517241,"1.22","1.23","1.34","1.26",37.0875,44.76,58.945,58.61,37.0875,44.76,53.0764705882353,54.8777777777778,"1.47","1.42","1.57","1.43",29.375,38.1,58.225,52.6133333333333,29.375,38.1,51.0294117647059,47.4592592592593,"1.52","1.42","1.57","1.43",20.95,40.59,37.295,46.59,20.95,40.59,35.9894736842105,46.0551724137931,18.6875,45.1831109719639,43.3196008031809,31.9097063362816,83.54,54.9281888854911,54.274759251172,57.8218498164061,64.215,79.1236399605414,91.691556266577,58.7314141856933,49.7933333333333,73.8198176030647,75.1503094930283,66.5468750496742,18.6875,45.1831109719639,43.3196008031809,31.9097063362816,83.54,54.9281888854911,54.274759251172,57.8218498164061,65.1473684210526,71.2461370633607,80.3600889664896,56.675497661147,49.9068965517241,69.1190504353707,67.7884824184593,65.782953509592,139.099918111426,250.564797953069,293.761610412812,265.310335479101,120.412418111426,167.024797953069,229.546610412812,215.517002145767,139.099918111426,250.564797953069,273.42909211205,252.597382915146,120.412418111426,167.024797953069,208.281723690997,202.690486363422
"O","1.00","1.00","1.00","1.00","1804",59,"",2018,25.9375,84.29,73.37,62.7266666666667,25.9375,84.29,76.9166666666667,64.2464285714286,"1.22","1.23","1.34","1.26",47.0625,59.36,75.36,77.82,47.0625,59.36,68.1333333333333,73.976,"1.47","1.42","1.57","1.43",26.2875,47.07,55.425,59.2166666666667,26.2875,47.07,42.52,52.232,"1.52","1.42","1.57","1.43",17.4625,32.8,36.195,42.04,17.4625,32.8,33.2833333333333,40.5857142857143,25.9375,57.3354947116428,38.7664342506763,26.5977683483206,84.29,72.8448903539488,67.052832492196,46.7247271243686,73.37,101.157986384365,87.2821727106059,56.9991563601332,62.7266666666667,98.014983891324,84.5821875407785,60.0478778082915,25.9375,57.3354947116428,38.7664342506763,26.5977683483206,84.29,72.8448903539488,67.052832492196,46.7247271243686,76.9166666666667,91.4574151493464,66.9596388571036,52.4139223885371,64.2464285714286,93.1734316158389,74.6056316289887,57.9706472928355,148.63719731064,270.912449970513,318.809315455104,305.371715907061,122.69969731064,186.622449970513,245.439315455104,242.645049240394,148.63719731064,270.912449970513,287.747643061654,289.996139109092,122.69969731064,186.622449970513,210.830976394987,225.749710537663
"O","1.00","1.00","1.00","1.00","1804",68,"",2018,41.0875,58.82,72.54,63.98,41.0875,58.82,73.9578947368421,64.6137931034483,"1.22","1.23","1.34","1.26",35.475,72.76,65.12,71.4833333333333,35.475,72.76,59.3882352941176,68.5814814814815,"1.47","1.42","1.57","1.43",36.2375,55.75,58.145,55.05,36.2375,55.75,50.1882352941176,49.6962962962963,"1.52","1.42","1.57","1.43",13.7,28.29,22.49,35.5233333333333,13.7,28.29,21.8421052631579,35.548275862069,41.0875,43.2186278862264,53.4397969057112,20.8669678666853,58.82,89.2889862222594,79.4177907677911,40.3000771447679,72.54,87.4125275126042,91.5655738792636,35.4167986334962,63.98,90.0338957230122,78.6307248655197,50.7397901841867,41.0875,43.2186278862264,53.4397969057112,20.8669678666853,58.82,89.2889862222594,79.4177907677911,40.3000771447679,73.9578947368421,79.7186079786866,79.0354212175319,34.3965070625563,64.6137931034483,86.3789874408962,70.9837566014427,50.7754168710979,158.612892658623,267.826854134818,286.934900025364,283.384410772719,117.525392658623,209.006854134818,214.394900025364,219.404410772719,158.612892658623,267.826854134818,267.108430995617,272.751954016885,117.525392658623,209.006854134818,193.150536258775,208.138160913437
"O","1.00","1.00","1.00","1.00","1804",79,"",2018,46.2,110.2,83.615,89.4133333333333,47.9166666666667,110.2,88.3444444444444,92.8678571428571,"1.22","1.23","1.34","1.26",29.4125,96.85,98.925,78.19,29.4125,96.85,95.9071428571429,71.2458333333333,"1.47","1.42","1.57","1.43",42.475,44.61,68.705,64.9133333333333,42.475,44.61,52.1357142857143,54.3,"1.52","1.42","1.57","1.43",30.525,46.92,43.325,63.4466666666667,27.8,46.92,43.8388888888889,65.2142857142857,46.2,35.8327806258952,62.6382993741313,46.4937367978518,110.2,118.851543645215,63.5484779578684,66.8391523376638,83.615,132.789992078998,108.19524900464,68.2273366294453,89.4133333333333,98.4810021904732,92.7190273103924,90.6241124487013,47.9166666666667,35.8327806258952,62.6382993741313,42.3431902696243,110.2,118.851543645215,63.5484779578684,66.8391523376638,88.3444444444444,128.739031997163,82.1022718750838,69.0365984923963,92.8678571428571,89.7347623553151,77.5594615839731,93.1488929573368,191.164816797878,359.439173940747,392.827577713084,371.2374752829,144.964816797878,249.239173940747,309.212577713084,281.824141949567,188.730936936317,359.439173940747,368.222346809088,353.310974039482,140.814270269651,249.239173940747,279.877902364643,260.443116896625
"O","1.00","1.00","1.00","1.00","1804",86,"",2018,38.675,92.66,72.78,70.3066666666667,37.0571428571429,92.66,73.978947368421,71.0068965517241,"1.22","1.23","1.34","1.26",46.05,89.17,78.265,75.9633333333333,27,89.17,69.3866666666667,70.176,"1.47","1.42","1.57","1.43",16.775,19.86,40.69,40.2833333333333,16.775,19.86,27.49375,32.1,"1.52","1.42","1.57","1.43",24.5875,61.53,50.14,44.01,24.5875,61.53,49.6421052631579,43.4724137931034,38.675,56.1019820764122,24.7382571395186,37.4501147753376,92.66,109.426867804273,28.2912524600597,87.6515993890975,72.78,105.057454941246,64.0777917473082,78.9594612487106,70.3066666666667,95.6764956694673,57.5387411444024,62.8617293611539,37.0571428571429,32.893670272815,24.7382571395186,37.4501147753376,92.66,109.426867804273,28.2912524600597,87.6515993890975,73.978947368421,93.1398020425046,43.2966032649927,78.1753866539834,71.0068965517241,88.3872977326851,45.8500684501941,62.093867542335,156.965353991268,318.02971965343,320.874707937265,286.38363284169,118.290353991268,225.36971965343,248.094707937265,216.076966175024,132.139185044814,318.02971965343,288.590739329902,267.338130276938,95.0820421876712,225.36971965343,214.611791961481,196.331233725214
"O","1.00","1.00","1.00","1.00","1804",89,"",2018,30.8375,80.56,74.735,65.42,30.8375,80.56,76,65.9275862068965,"1.22","1.23","1.34","1.26",20.1,78,73.645,56.5866666666667,20.1,78,66.8125,49.7576923076923,"1.47","1.42","1.57","1.43",36.0875,58.83,59.945,56.01,36.0875,58.83,50.43125,49.55,"1.52","1.42","1.57","1.43",23.825,32.21,37.5,33.0033333333333,23.825,32.21,37.2473684210526,32.6827586206897,30.8375,24.4875100919845,53.2185904335247,36.2887233156042,80.56,95.7193640095689,83.8053566075184,45.8842518498754,74.735,98.8558904893387,94.4001775938164,59.054244053184,65.42,71.2714112284381,80.0019418658993,47.1403455581902,30.8375,24.4875100919845,53.2185904335247,36.2887233156042,80.56,95.7193640095689,83.8053566075184,45.8842518498754,76,89.6844209833518,79.4181158775236,58.656404935352,65.9275862068965,62.6702571319445,70.7747941341781,46.6824523333268,144.832323841113,305.968972466963,327.045312136339,263.833698652528,113.994823841113,225.408972466963,252.310312136339,198.413698652528,144.832323841113,305.968972466963,303.758941796227,246.055089806346,113.994823841113,225.408972466963,227.758941796227,180.127503599449
"O","1.00","1.00","1.00","1.00","1804",90,"",2018,55.475,64.27,84.79,92.6,55.475,64.27,85.6631578947368,93.4413793103448,"1.22","1.23","1.34","1.26",53.45,71.12,75.47,76.1233333333333,53.45,71.12,70.4294117647059,73.0222222222222,"1.47","1.42","1.57","1.43",47.825,57.78,73.01,68.6,47.825,57.78,65.925,63.5615384615385,"1.52","1.42","1.57","1.43",22.15,25.64,31.685,42.8466666666667,22.15,25.64,28.8277777777778,41.8071428571429,55.475,65.1172842993319,70.5279968821149,33.7374699450423,64.27,87.2764252353915,82.3095955257932,36.5250610813662,84.79,101.305642680839,114.974676221946,49.8968992753369,92.6,95.8780170961264,97.9848814854614,61.2000809822216,55.475,65.1172842993319,70.5279968821149,33.7374699450423,64.27,87.2764252353915,82.3095955257932,36.5250610813662,85.6631578947368,94.5395100365308,103.817361045497,45.3974033173292,93.4413793103448,91.9721400002543,90.78818969661,59.7152760656399,224.857751126489,270.381081842551,350.967218178122,347.662979563809,169.382751126489,206.111081842551,266.177218178122,255.062979563809,224.857751126489,270.381081842551,329.417432294094,335.916985072849,169.382751126489,206.111081842551,243.754274399357,242.475605762504
