TMQUADB,TMQUADD,TIMEINN,TIMEMID,TIMEOUT,ANCROSB,ANCROSD,GROUP,NUMBER,COND,AGE,SLGROUP,YEAR,BLOCK,BSPEED,BSPEEDTT,BSPEEDFS,TTCUMDS,TTCUMDSO,TTAVDS,TTAVDSO,TTPATH,TTLAT,TAVDS08,TAVDS10,TAVDS20,TAVDS30,TAVDSO30,TAVDS08A,TAVDS10A,TAVDS20A,TAVDS30A
11,34,11,32,57,0,2,1807,1,TT,O,,2018,0,18.84610214,18.84610214,18.84610214,7712.1,6094.7,90.73058824,71.70235294,2010,90.1,58.1125,94.28,98.84,94.22,68.26,58.1125,94.28,96.15333333,91.684
26,16,6,26,68,0,0,1807,9,TT,O,,2018,0,24.07083565,24.07083565,24.07083565,6334.5,8014.5,73.65697674,93.19186047,2016,90.1,65.275,76.35,95.59,96.29333333,82.05384615,65.275,76.35,92.125,94.26923077
21,54,23,38,39,1,0,1807,12,TT,O,,2018,0,16.83368259,16.83368259,16.83368259,2113.6,1766.4,81.29230769,67.93846154,513,32.2,55.45,105.33,103.845,91.28333333,65.175,55.45,105.33,101.6571429,86.86666667
21,43,9,31,60,1,1,1807,23,TT,O,,2018,0,16.50610433,16.50610433,16.50610433,7158.8,6276.7,85.22380952,74.72261905,1855,90.1,48.3625,74.62,98.095,95.56666667,69.0875,48.3625,74.62,88.44285714,89.30416667
27,23,19,35,46,2,1,1807,27,TT,O,,2018,0,13.05482628,13.05482628,13.05482628,4814.9,6120.5,68.78428571,87.43571429,1417,78.8,51.1625,103.7,101.27,86.54333333,81.95454545,51.1625,103.7,104.175,82.77272727
13,31,4,18,78,0,0,1807,30,TT,O,,2018,0,10.52386238,10.52386238,10.52386238,7655.1,5846,95.68875,73.075,1814,90.1,104.4625,110.68,113.725,112.3866667,62.68,104.4625,110.68,110.68,110.195
25,31,20,36,44,0,2,1807,31,TT,O,,2018,0,26.21185869,26.21185869,26.21185869,6602.9,6726.3,75.8954023,77.3137931,2390,90.1,61.475,96.23,86.115,82.67666667,84.86296296,48.76,96.23,81.81764706,79.58888889
0,55,13,53,34,0,1,1807,57,TT,O,,2018,0,12.83940622,12.83940622,12.83940622,8601.2,3970.5,104.8926829,48.42073171,941,90.1,83.925,105.82,100.41,102.8966667,36.65454545,71.86666667,105.82,100.775,104
21,28,3,29,68,0,0,1807,62,TT,O,,2018,0,21.46651868,21.46651868,21.46651868,7400.9,6950.4,86.05697674,80.81860465,2183,90.1,43.825,54.8,80.965,86.40666667,71.76923077,43.825,54.8,73.8375,82.85769231
29,36,10,29,61,0,2,1807,74,TT,O,,2018,0,18.17589297,18.17589297,18.17589297,5104.9,5380.3,77.3469697,81.51969697,1392,71.1,51.8625,61.05,89,96.43666667,58.488,51.8625,61.05,78.4,91.564
22,23,22,34,44,1,2,1807,96,TT,O,,2018,0,19.63322323,19.63322323,19.63322323,6357.4,6592.9,74.79294118,77.56352941,1978,90.1,45.3875,61.81,83.375,81.90333333,73.336,45.3875,61.81,76.06666667,77.224
30,17,5,39,56,1,0,1807,98,TT,O,,2018,0,20.65139314,20.65139314,20.65139314,4886.3,5778.4,75.17384615,88.89846154,1467,70.2,52.7,90.41,99.41,95.07333333,73.884,52.7,90.41,98.14666667,93.448
28,40,13,19,68,0,0,1807,99,TT,O,,2018,0,19.69028565,19.69028565,19.69028565,6833.7,6758.2,80.39647059,79.50823529,1763,90.1,52.8875,62.59,71.485,81.17333333,91.784,44.125,62.59,57.04666667,74.448
13,28,41,48,11,0,1,1807,1,TT,O,,2018,1,18.94582586,18.84610214,19.44444444,4904.8,3827.54,68.949,70.13287255,1283.8,63.64,53.3,84.53,71.155,78.95666667,57.61428571,57.93333333,84.53,74.68333333,81.78214286
30,31,0,58,42,0,0,1807,9,TT,O,,2018,1,24.32918221,24.07083565,25.62091503,5616.56,5835.96,77.85594356,77.22202038,1764.8,75.92,45.3375,97.48,84.38,79.85,80.39655172,45.3375,97.48,86.21052632,80.89310345
37,23,33,40,27,0,1,1807,12,TT,O,,2018,1,17.02260434,16.83368259,17.96721311,6223.3,5502.04,87.29994535,75.98882641,1275.8,75.28,37.925,100.28,74.47,66.21333333,74.84642857,34.05,100.28,77.23888889,67.40357143
20,39,0,61,39,0,0,1807,23,TT,O,,2018,1,16.3120902,16.50610433,15.34201954,6857.78,5435.9,80.11835498,63.47142857,1487.2,90.1,38.45,115.16,81.065,90.93666667,65.52222222,31.38,115.16,86.50588235,95.45925926
1,20,31,39,30,0,0,1807,27,TT,O,,2018,1,13.00470496,13.05482628,12.75409836,6209.72,6941.1,75.87373127,85.25581401,1135.6,87.84,64.075,75.24,77.23,73.72,73.38518519,64.075,75.24,81.72352941,76.15925926
6,69,0,11,89,0,0,1807,30,TT,O,,2018,1,10.9594278,10.52386238,13.1372549,7882.64,5270.94,95.60880233,64.16119186,948.2,90.1,89.2625,118.88,108.03,112.7066667,55.14444444,108.42,118.88,116.9764706,118.8592593
13,64,23,63,14,0,1,1807,31,TT,O,,2018,1,26.14288984,26.21185869,25.7980456,6623.46,6664.38,81.28688472,82.12018149,2185,83.7,54.6625,107.94,87.755,89.30333333,45.63448276,55.14285714,107.94,89.67368421,90.6137931
27,21,24,66,10,0,0,1807,43,TT,O,,2018,1,21.61166244,21.19132392,23.71335505,3848.34,3107.46,80.80835236,61.91829669,1050.8,48,47.6125,80.9,71.04,68.17333333,78.6862069,47.6125,80.9,72.13684211,68.79310345
19,59,0,69,31,0,0,1807,57,TT,O,,2018,1,12.83458143,12.83940622,12.81045752,7306.02,5401.08,89.76678429,66.28468158,1118.8,87.74,45.2,111.92,82.78,91.65666667,57.4,48.24,111.92,90.30588235,97.38148148
42,17,27,59,14,1,0,1807,62,TT,O,,2018,1,21.91156687,21.46651868,24.13680782,5535.94,5812.74,71.15433404,88.20668605,1646.8,72.86,33.6875,80.62,66.505,59.11666667,80.30344828,33.6875,80.62,67.38947368,59.44137931
17,17,62,28,10,0,0,1807,74,TT,O,,2018,1,18.16503567,18.17589297,18.11074919,4886.12,4654.36,75.75738146,70.28437968,1291.2,69.38,48.5375,71.46,65.05,68.74666667,58.86785714,49.21666667,71.46,67.11111111,70.33571429
39,17,38,49,13,1,1,1807,81,TT,O,,2018,1,19.7804159,19.24138507,22.47557003,4556.1,5180.1,69.69664169,77.22218727,1318.4,70.02,35.6625,84.94,65.67,58.36666667,77.20689655,35.6625,84.94,66.12631579,58.4137931
63,9,41,47,12,3,0,1807,96,TT,O,,2018,1,19.60145652,19.63322323,19.44262295,4078.74,4703.86,62.0820868,78.46314915,1254.8,62.68,22.85,24.84,38.44,41.75666667,87.88571429,22.85,24.84,37.47777778,41.375
38,32,41,50,9,1,1,1807,97,TT,O,,2018,1,20.76929351,20.53227273,21.95439739,4746.68,4716.64,80.36503345,68.42472051,1457.2,66.32,29.225,56.2,58.325,64.71666667,64.64642857,29.225,56.2,59.46111111,65.90357143
45,21,7,37,56,0,0,1807,98,TT,O,,2018,1,20.94867177,20.65139314,22.43506494,4945.28,4964.04,72.1121448,88.21469683,1380.6,64.42,35.0625,101.66,69.805,69.41666667,92.27586207,35.0625,101.66,70.98947368,70.17931034
20,14,52,47,1,0,0,1807,99,TT,O,,2018,1,19.94342976,19.69028565,21.20915033,5420.5,5154.98,69.78391176,81.27520053,1483.4,72.84,31.425,48.48,48.92,57.73666667,68.15714286,31.425,48.48,47.60555556,57.52142857
0,4,12,71,17,0,0,1807,1,TT,O,,2018,2,16.31772753,17.1106848,12.35294118,5080.62,4605.16,69.6373796,67.78164827,1251.4,73.98,77,92.07,94.375,89.42333333,77.78636364,77,92.07,91.63333333,86.12727273
14,23,54,28,18,0,1,1807,9,TT,O,,2018,2,25.74139485,26.15351747,23.68078176,2789.52,3044.76,65.96491553,74.43350931,1141.4,43.26,48.575,89.22,81.57,70.98,59.99615385,48.575,89.22,80.2125,68.51538462
26,25,7,46,47,0,0,1807,12,TT,O,,2018,2,17.38485484,17.49581273,16.83006536,5777.08,6588.58,77.24198701,85.02148052,1382.2,79.56,43.0625,66.15,66.09,81.05333333,77.2375,34.65,66.15,57.15,79.57916667
16,30,46,49,5,1,1,1807,23,TT,O,,2018,2,17.99802298,17.70873869,19.44444444,3835.68,4149.12,66.83455339,75.01298882,1063.8,59.98,50.1625,66.02,79.91,73.82,60.848,50.1625,66.02,68.71333333,65.884
16,41,73,26,1,0,4,1807,27,TT,O,,2018,2,14.21273702,14.40168966,13.26797386,3131.3,3736.38,57.82548022,92.13728989,781.2,50.56,46.1625,59.6,80.435,70.46333333,54.55909091,46.1625,59.6,66.325,59.14090909
16,27,0,4,96,0,0,1807,30,TT,O,,2018,2,8.505858492,7.633740289,12.86644951,8011.28,5423.48,99.42067669,66.74531328,687.8,90.1,51.65,92.95,106.56,89.69333333,98.70454545,51.65,92.95,95.875,77.73181818
22,20,0,9,91,0,0,1807,31,TT,O,,2018,2,24.64222908,25.21773372,21.76470588,6740.52,6705.32,79.94035357,79.75126529,2190.6,86.68,55.9375,96.35,85.86,88.07,88.74615385,55.11666667,96.35,80.8875,85.35
32,24,14,57,29,0,0,1807,43,TT,O,,2018,2,21.44240967,21.56095696,20.8496732,4177.24,4292.34,68.36036632,77.31496219,1348.6,58.72,39.975,49.64,66.12,77.32333333,78.988,39.975,49.64,52.06,71.128
17,33,1,62,37,0,0,1807,57,TT,O,,2018,2,11.84349066,11.09818228,15.57003257,6070.22,3538.28,95.77878681,56.02992133,686.8,69.64,47.1125,73.95,77.005,88.19333333,75.65,44.2,73.95,66.51428571,84.87083333
30,13,32,44,24,1,0,1807,62,TT,O,,2018,2,24.71809708,24.61937122,25.21172638,2215.74,3110.58,39.65432166,68.04148823,1088.6,41.98,34.1875,59.74,62.525,60.96,87.38846154,34.1875,59.74,54.35,55.68846154
25,14,73,25,2,0,0,1807,74,TT,O,,2018,2,19.19048575,19.57581417,17.26384365,1749.28,1877.86,56.09191089,61.81565895,651.6,34.2,26.4625,61.17,64.405,53.43666667,68.625,26.4625,61.17,60.53571429,48.4375
35,37,64,30,6,2,1,1807,81,TT,O,,2018,2,19.5493997,19.25081058,21.04234528,957.52,1718.6,30.61975758,67.34060606,445.2,25.44,22.625,24.45,48.23,62.68333333,64.10769231,22.625,24.45,34.775,56.62692308
22,29,18,67,15,0,2,1807,96,TT,O,,2018,2,20.2496266,19.98582643,21.56862745,2000.46,2633.82,50.89957278,76.73399946,804.2,38.62,44.1875,68.59,74.57,76.84333333,69,44.1875,68.59,66.95625,72.50769231
24,7,58,31,11,2,0,1807,97,TT,O,,2018,2,19.37602863,19.56393794,18.43648208,1865.48,2527.48,45.10898908,76.91911759,774,37.86,42.6875,65.68,64.385,60.51333333,70.62,31.9,65.68,57.56666667,55.648
16,49,10,33,57,0,1,1807,98,TT,O,,2018,2,20.45637662,20.25449234,21.46579805,4356.14,4591.6,61.48351604,66.35690374,1178.8,58.02,52.775,74.53,76.445,89.44666667,73.85769231,52.775,74.53,73.425,89.58846154
42,3,62,33,5,1,0,1807,99,TT,O,,2018,2,19.20706205,19.14619433,19.51140065,1358.8,1744.04,44.75810606,74.77205628,587.2,27,21.0125,35.5,53.54,43.99333333,82.668,21.0125,35.5,42.72666667,35.596
42,19,57,37,6,0,1,1807,1,TT,O,,2018,3,18.31042665,17.8807087,20.45901639,5174.68,3915.1,69.48086087,68.31938429,1220.6,67.48,28.0625,63.56,54.245,51.09,71.97142857,28.0625,63.56,53.15,50.16071429
20,7,84,13,3,2,0,1807,9,TT,O,,2018,3,26.70872368,26.60602397,27.22222222,619.86,887.2,30.17294833,66.18553191,385,14.16,35.6875,45.05,44.375,46.15666667,68.4,35.6875,45.05,43.45263158,45.6137931
38,25,28,56,16,4,0,1807,12,TT,O,,2018,3,18.3767714,18.28088385,18.85620915,4837.48,4735.68,73.70794989,73.28737624,1251,68.64,21.5625,55.92,76.14,62.81666667,74.66785714,21.5625,55.92,76.80555556,62.29285714
1,38,39,25,36,0,0,1807,23,TT,O,,2018,3,16.59739826,16.95922319,14.78827362,4739,3305.12,78.80410839,63.72596737,1060.4,61.26,58,94.18,80.57,76.09,62.07407407,58,94.18,84.47058824,78.04814815
21,2,59,34,7,1,0,1807,27,TT,O,,2018,3,15.15323216,15.20667989,14.88599349,2489.7,2164.92,45.20430522,49.42436145,666.4,42.16,38.65,52.32,47.82,56.91,66.6,34.98,52.32,48.35882353,58.25925926
42,1,0,18,82,0,0,1807,30,TT,O,,2018,3,5.091561915,4.259711432,9.250814332,5863.32,5143.4,82.73834135,75.13514423,383.8,90.1,32.8625,60.56,49,59.65333333,113.808,29.94,60.56,50.35333333,62.596
29,22,13,58,29,0,0,1807,31,TT,O,,2018,3,24.47806047,24.06648302,26.53594771,5274.5,4704.42,83.11184044,73.15572252,1638.8,67.28,50.3375,55.91,60.11,72.67333333,78.41034483,50.3375,55.91,60.56842105,73.40689655
63,2,42,47,11,3,0,1807,43,TT,O,,2018,3,21.94471059,21.77990678,22.76872964,988.2,1029.68,47.95219608,69.06257516,444.8,19.9,23.3125,30.89,37.77,34.80333333,93.01034483,23.3125,30.89,36.81578947,34.07586207
0,51,11,59,30,0,3,1807,57,TT,O,,2018,3,14.31045051,13.99990217,15.86319218,4119.8,3571.74,48.75564603,42.44144855,588.2,56.12,91.7375,96.44,97.105,100.9933333,48.98214286,91.8375,96.44,100.3666667,103.3678571
64,7,50,35,15,4,0,1807,62,TT,O,,2018,3,23.60333186,23.42203745,24.50980392,331.32,470,41.33321429,56.34214286,236,9.82,16.5375,33.48,39.44,38.00333333,88.40689655,16.5375,33.48,38.78421053,37.52413793
21,24,63,35,2,1,1,1807,74,TT,O,,2018,3,18.10244472,17.91185875,19.05537459,582.96,989.34,19.60883485,67.61732523,320,18.46,34.4,40.43,59.525,58.41,59.03928571,34.4,40.43,59.91666667,58.58214286
67,9,63,31,6,3,0,1807,81,TT,O,,2018,3,21.38928126,21.63477505,20.1618123,538.12,836,39.691422,75.64926765,325.2,15.06,27.8375,37.28,35.835,36.42,77.87857143,24.26666667,37.28,34.42222222,35.55357143
61,13,63,27,10,3,1,1807,96,TT,O,,2018,3,19.06456628,18.90362333,19.86928105,262.38,524.2,26.27695513,59.16205128,222.6,11.72,11.0625,29.04,28.26,42.72666667,78.99642857,11.0625,29.04,25.58888889,42.04285714
