AGE,MULT08B1,MULT10B1,MULT20B1,MULT30B1,GROUP,NUMBER,SLGROUP,YEAR,TAV08B1,TAV10B1,TAV20B1,TAV30B1,TAV08AB1,TAV10AB1,TAV20AB1,TAV30AB1,MULT08B2,MULT10B2,MULT20B2,MULT30B2,TAV08B2,TAV10B2,TAV20B2,TAV30B2,TAV08AB2,TAV10AB2,TAV20AB2,TAV30AB2,MULT08B3,MULT10B3,MULT20B3,MULT30B3,TAV08B3,TAV10B3,TAV20B3,TAV30B3,TAV08AB3,TAV10AB3,TAV20AB3,TAV30AB3,MULT08B4,MULT10B4,MULT20B4,MULT30B4,TAV08B4,TAV10B4,TAV20B4,TAV30B4,TAV08AB4,TAV10AB4,TAV20AB4,TAV30AB4,IDX08B1,IDX08B2,IDX08B3,IDX08B4,IDX10B1,IDX10B2,IDX10B3,IDX10B4,IDX20B1,IDX20B2,IDX20B3,IDX20B4,IDX30B1,IDX30B2,IDX30B3,IDX30B4,IDX08AB1,IDX08AB2,IDX08AB3,IDX08AB4,IDX10AB1,IDX10AB2,IDX10AB3,IDX10AB4,IDX20AB1,IDX20AB2,IDX20AB3,IDX20AB4,IDX30AB1,IDX30AB2,IDX30AB3,IDX30AB4,IDX08_4,IDX10_4,IDX20_4,IDX30_4,IDX08_3,IDX10_3,IDX20_3,IDX30_3,IDX08A_4,IDX10A_4,IDX20A_4,IDX30A_4,IDX08A_3,IDX10A_3,IDX20A_3,IDX30A_3
O,1,1,1,1,1807,1,,2018,53.3,84.53,71.155,78.95666667,57.93333333,84.53,74.68333333,81.78214286,1.22,1.23,1.34,1.26,77,92.07,94.375,89.42333333,77,92.07,91.63333333,86.12727273,1.47,1.42,1.57,1.43,28.0625,63.56,54.245,51.09,28.0625,63.56,53.15,50.16071429,1.52,1.42,1.57,1.43,36.325,45.46,53.65,48.43333333,36.325,45.46,52.42222222,47.27142857,53.3,93.80787448,41.38404417,55.32792757,84.53,112.9856647,90.54340415,64.75933217,71.155,126.6823907,85.4239325,84.48693849,78.95666667,112.6294857,72.97445474,69.17980214,57.93333333,93.80787448,41.38404417,55.32792757,84.53,112.9856647,90.54340415,64.75933217,74.68333333,123.0021694,83.69954857,82.5534588,81.78214286,108.478068,71.64710852,67.52019426,243.8198462,352.818401,367.7482617,333.7404092,190.5198462,268.288401,296.5932617,254.7837426,248.4531796,352.818401,363.9385101,329.4275136,190.5198462,268.288401,289.2551768,247.6453707
O,1,1,1,1,1807,9,,2018,45.3375,97.48,84.38,79.85,45.3375,97.48,86.21052632,80.89310345,1.22,1.23,1.34,1.26,48.575,89.22,81.57,70.98,48.575,89.22,80.2125,68.51538462,1.47,1.42,1.57,1.43,35.6875,45.05,44.375,46.15666667,35.6875,45.05,43.45263158,45.6137931,1.52,1.42,1.57,1.43,37.5375,56.09,49.875,47.1,34.28571429,56.09,49.11578947,46.50689655,45.3375,59.17814939,52.62870651,57.17473039,97.48,109.4882264,64.17527308,79.90213245,84.38,109.4938555,69.88085546,78.54214459,79.85,89.3999429,65.92792293,67.27533408,45.3375,59.17814939,52.62870651,52.22181739,97.48,109.4882264,64.17527308,79.90213245,86.21052632,107.6716426,68.42832827,77.34655516,80.89310345,86.29573785,65.15250891,66.42817415,214.3190863,351.0456319,342.2968555,302.4531999,168.9815863,253.5656319,257.9168555,222.6031999,209.3661733,351.0456319,339.6570523,298.7695244,164.0286733,253.5656319,253.446526,217.8764209
O,1,1,1,1,1807,12,,2018,37.925,100.28,74.47,66.21333333,34.05,100.28,77.23888889,67.40357143,1.22,1.23,1.34,1.26,43.0625,66.15,66.09,81.05333333,34.65,66.15,57.15,79.57916667,1.47,1.42,1.57,1.43,21.5625,55.92,76.14,62.81666667,21.5625,55.92,76.80555556,62.29285714,1.52,1.42,1.57,1.43,37.225,49.78,50.9,62.06666667,37.225,49.78,49.93333333,62.24285714,37.925,52.46235837,31.79843038,56.69875028,100.28,81.17738371,79.65996161,70.91332062,74.47,88.71458758,119.9037371,80.15629393,66.21333333,102.0873961,89.72425129,88.65298801,34.05,42.21354352,31.79843038,56.69875028,100.28,81.17738371,79.65996161,70.91332062,77.23888889,76.71415767,120.9518406,78.63400675,67.40357143,100.23067,88.97606741,88.90464986,178.884539,332.0306659,363.2446186,346.6779687,140.959539,231.7506659,288.7746186,280.4646354,164.7607242,332.0306659,353.5388939,345.5149587,130.7107242,231.7506659,276.300005,278.1113873
O,1,1,1,1,1807,23,,2018,38.45,115.16,81.065,90.93666667,31.38,115.16,86.50588235,95.45925926,1.22,1.23,1.34,1.26,50.1625,66.02,79.91,73.82,50.1625,66.02,68.71333333,65.884,1.47,1.42,1.57,1.43,58,94.18,80.57,76.09,58,94.18,84.47058824,78.04814815,1.52,1.42,1.57,1.43,50.1375,87.44,72.27,74.12666667,46.6,87.44,75.13529412,76.13703704,38.45,61.11217537,85.53316925,76.36624828,115.16,81.01785143,134.1626464,124.5612847,81.065,107.2655877,126.8800118,113.8093391,90.93666667,92.97694822,108.6832308,105.8789016,31.38,61.11217537,85.53316925,70.97815347,115.16,81.01785143,134.1626464,124.5612847,86.50588235,92.23596653,133.0225795,118.3215466,95.45925926,82.98148546,111.4801537,108.7504162,261.4615929,454.9017825,429.0199387,398.4757473,223.0115929,339.7417825,347.9549387,307.5390806,249.0034981,454.9017825,430.085975,398.6713147,217.6234981,339.7417825,343.5800926,303.2120554
O,1,1,1,1,1807,27,,2018,64.075,75.24,77.23,73.72,64.075,75.24,81.72352941,76.15925926,1.22,1.23,1.34,1.26,46.1625,59.6,80.435,70.46333333,46.1625,59.6,66.325,59.14090909,1.47,1.42,1.57,1.43,38.65,52.32,47.82,56.91,34.98,52.32,48.35882353,58.25925926,1.52,1.42,1.57,1.43,29.3,33.49,38.49,37.54666667,29.3,33.49,37.52222222,36.85714286,64.075,56.23903904,56.99753433,44.62789478,75.24,73.13941147,74.5316379,47.70765584,77.23,107.970311,75.30597202,60.6132761,73.72,88.74919663,81.2874578,53.62982046,64.075,56.23903904,51.58534931,44.62789478,75.24,73.13941147,74.5316379,47.70765584,81.72352941,89.03003512,76.15450045,59.08923916,76.15925926,74.48850234,83.21467367,52.64493841,221.9394681,270.6187052,321.1195591,297.3864749,157.8644681,195.3787052,243.8895591,223.6664749,216.5272831,270.6187052,305.9973041,286.5073737,152.4522831,195.3787052,224.2737747,210.3481144
O,1,1,1,1,1807,30,,2018,89.2625,118.88,108.03,112.7066667,108.42,118.88,116.9764706,118.8592593,1.22,1.23,1.34,1.26,51.65,92.95,106.56,89.69333333,51.65,92.95,95.875,77.73181818,1.47,1.42,1.57,1.43,32.8625,60.56,49,59.65333333,29.94,60.56,50.35333333,62.596,1.52,1.42,1.57,1.43,32.3,49.6,50.345,49.51,32.3,49.6,48.21666667,48.08214286,89.2625,62.92437295,48.46265128,49.1973038,118.88,114.0655754,86.26980106,70.65690443,108.03,143.0386814,77.16421223,79.28229112,112.7066667,112.9695531,85.20590083,70.71766009,108.42,62.92437295,44.15281185,49.1973038,118.88,114.0655754,86.26980106,70.65690443,116.9764706,128.6958857,79.29541428,75.93063469,118.8592593,97.90391811,89.40906183,68.67817885,249.846828,389.8722809,407.5151847,381.5997807,160.584328,270.9922809,299.4851847,268.893114,264.6944886,389.8722809,400.8984052,374.850418,156.2744886,270.9922809,283.9219346,255.9911588
O,1,1,1,1,1807,31,,2018,54.6625,107.94,87.755,89.30333333,55.14285714,107.94,89.67368421,90.6137931,1.22,1.23,1.34,1.26,55.9375,96.35,85.86,88.07,55.11666667,96.35,80.8875,85.35,1.47,1.42,1.57,1.43,50.3375,55.91,60.11,72.67333333,50.3375,55.91,60.56842105,73.40689655,1.52,1.42,1.57,1.43,46.9375,59.06,57.27,57.73333333,46.9375,59.06,57.06315789,57.6137931,54.6625,68.14776596,74.23320529,71.49221199,107.94,118.237958,79.64571627,84.13299951,87.755,115.252451,94.66001627,90.18764152,89.30333333,110.9249503,103.8030314,82.46346683,55.14285714,67.14775777,74.23320529,71.49221199,107.94,118.237958,79.64571627,84.13299951,89.67368421,108.5777153,95.3819285,89.86191074,90.6137931,107.499086,104.8508172,82.29272142,268.5356832,389.9566738,387.8551088,386.4947818,213.8731832,282.0166738,300.1001088,297.1914485,268.0160322,389.9566738,383.4952387,385.2564177,212.8731751,282.0166738,293.8215545,294.6426246
O,1,1,1,1,1807,43,,2018,47.6125,80.9,71.04,68.17333333,47.6125,80.9,72.13684211,68.79310345,1.22,1.23,1.34,1.26,39.975,49.64,66.12,77.32333333,39.975,49.64,52.06,71.128,1.47,1.42,1.57,1.43,23.3125,30.89,37.77,34.80333333,23.3125,30.89,36.81578947,34.07586207,1.52,1.42,1.57,1.43,15.825,27.48,25.8,36.17333333,15.825,27.48,24.43684211,35.63793103,47.6125,48.70090627,34.37917255,24.10363259,80.9,60.91678499,44.00386649,39.14620431,71.04,88.75485748,59.47943461,40.62931991,68.17333333,97.3894278,49.71137743,51.66821836,47.6125,48.70090627,34.37917255,24.10363259,80.9,60.91678499,44.00386649,39.14620431,72.13684211,69.88169813,57.97676311,38.48264634,68.79310345,89.58635022,48.6722931,50.90347593,154.7962114,224.9668558,259.903612,266.9423569,107.1837114,144.0668558,188.863612,198.7690236,154.7962114,224.9668558,238.4779497,257.9552227,107.1837114,144.0668558,166.3411076,189.1621192
O,1,1,1,1,1807,57,,2018,45.2,111.92,82.78,91.65666667,48.24,111.92,90.30588235,97.38148148,1.22,1.23,1.34,1.26,47.1125,73.95,77.005,88.19333333,44.2,73.95,66.51428571,84.87083333,1.47,1.42,1.57,1.43,91.7375,96.44,97.105,100.9933333,91.8375,96.44,100.3666667,103.3678571,1.52,1.42,1.57,1.43,74.7125,95.27,86.19,92.39333333,83.4375,95.27,91.01176471,96.11851852,45.2,57.39640892,135.2861916,113.7973238,111.92,90.74932011,137.382094,135.7153888,82.78,103.3661192,152.9189965,135.7302745,91.65666667,111.0802897,144.2539329,131.9701139,48.24,53.84815652,135.4336626,127.0866884,111.92,90.74932011,137.382094,135.7153888,90.30588235,89.28411901,158.0554034,143.3234924,97.38148148,106.8955713,147.6455865,137.2909861,351.6799244,475.7668029,474.7953902,478.9610032,306.4799244,363.8468029,392.0153902,387.3043366,364.6085075,475.7668029,480.9688972,489.2136254,316.3685075,363.8468029,390.6630148,391.8321439
O,1,1,1,1,1807,62,,2018,33.6875,80.62,66.505,59.11666667,33.6875,80.62,67.38947368,59.44137931,1.22,1.23,1.34,1.26,34.1875,59.74,62.525,60.96,34.1875,59.74,54.35,55.68846154,1.47,1.42,1.57,1.43,16.5375,33.48,39.44,38.00333333,16.5375,33.48,38.78421053,37.52413793,1.52,1.42,1.57,1.43,16.85,32.57,28.325,37.42,16.85,32.57,27.08947368,36.92413793,33.6875,41.65008713,24.38801356,25.66484734,80.62,73.31121546,47.69341049,46.39708422,66.505,83.92918125,62.10931695,44.60563901,59.11666667,76.77966356,54.28210077,53.44889599,33.6875,41.65008713,24.38801356,25.66484734,80.62,73.31121546,47.69341049,46.39708422,67.38947368,72.95563376,61.0765929,42.65995707,59.44137931,70.14011386,53.59764152,52.74063089,125.390448,248.0217102,257.1491372,243.627327,91.70294803,167.4017102,190.6441372,184.5106603,125.390448,248.0217102,244.0816574,235.9197656,91.70294803,167.4017102,176.6921837,176.4783863
O,1,1,1,1,1807,74,,2018,48.5375,71.46,65.05,68.74666667,49.21666667,71.46,67.11111111,70.33571429,1.22,1.23,1.34,1.26,26.4625,61.17,64.405,53.43666667,26.4625,61.17,60.53571429,48.4375,1.47,1.42,1.57,1.43,34.4,40.43,59.525,58.41,34.4,40.43,59.91666667,58.58214286,1.52,1.42,1.57,1.43,22.075,68.74,50.545,46.90666667,22.075,68.74,50.00555556,46.3,48.5375,32.23884258,50.73001762,33.62323472,71.46,75.06607047,57.59392432,97.92249215,65.05,86.45276159,93.73877006,79.59724708,68.74666667,67.30395814,83.42998437,66.99918621,49.21666667,32.23884258,50.73001762,33.62323472,71.46,75.06607047,57.59392432,97.92249215,67.11111111,81.25890342,94.35555883,78.74774085,70.33571429,61.00746315,83.6758648,66.13265325,165.1295949,302.0424869,324.8387787,286.4797954,116.5920949,230.5824869,259.7887787,217.7331287,165.8087616,302.0424869,321.4733142,281.1516955,116.5920949,230.5824869,254.3622031,210.8159812
O,1,1,1,1,1807,81,,2018,35.6625,84.94,65.67,58.36666667,35.6625,84.94,66.12631579,58.4137931,1.22,1.23,1.34,1.26,22.625,24.45,48.23,62.68333333,22.625,24.45,34.775,56.62692308,1.47,1.42,1.57,1.43,27.8375,37.28,35.835,36.42,24.26666667,37.28,34.42222222,35.55357143,1.52,1.42,1.57,1.43,19.1625,25.69,32.535,29.44666667,19.1625,25.69,31.71666667,28.7,35.6625,27.5636774,41.05223446,29.18710013,84.94,30.0043391,53.10664107,36.5962878,65.67,64.74057435,56.43223562,51.23546214,58.36666667,78.95021726,52.02054495,42.06017702,35.6625,27.5636774,35.7862915,29.18710013,84.94,30.0043391,53.10664107,36.5962878,66.12631579,46.67952464,54.20742165,49.9467673,58.4137931,71.32211454,50.7829808,40.99367491,133.465512,204.647268,238.0782721,231.3976059,97.803012,119.707268,172.4082721,173.0309392,128.199569,204.647268,216.9600294,221.5125633,92.53706903,119.707268,150.8337136,163.0987702
