"AGE","MULT08B1","MULT10B1","MULT20B1","MULT30B1","GROUP","NUMBER","SLGROUP","YEAR","TAV08B1","TAV10B1","TAV20B1","TAV30B1","TAV08AB1","TAV10AB1","TAV20AB1","TAV30AB1","MULT08B2","MULT10B2","MULT20B2","MULT30B2","TAV08B2","TAV10B2","TAV20B2","TAV30B2","TAV08AB2","TAV10AB2","TAV20AB2","TAV30AB2","MULT08B3","MULT10B3","MULT20B3","MULT30B3","TAV08B3","TAV10B3","TAV20B3","TAV30B3","TAV08AB3","TAV10AB3","TAV20AB3","TAV30AB3","MULT08B4","MULT10B4","MULT20B4","MULT30B4","TAV08B4","TAV10B4","TAV20B4","TAV30B4","TAV08AB4","TAV10AB4","TAV20AB4","TAV30AB4","IDX08B1","IDX08B2","IDX08B3","IDX08B4","IDX10B1","IDX10B2","IDX10B3","IDX10B4","IDX20B1","IDX20B2","IDX20B3","IDX20B4","IDX30B1","IDX30B2","IDX30B3","IDX30B4","IDX08AB1","IDX08AB2","IDX08AB3","IDX08AB4","IDX10AB1","IDX10AB2","IDX10AB3","IDX10AB4","IDX20AB1","IDX20AB2","IDX20AB3","IDX20AB4","IDX30AB1","IDX30AB2","IDX30AB3","IDX30AB4","IDX08_4","IDX10_4","IDX20_4","IDX30_4","IDX08_3","IDX10_3","IDX20_3","IDX30_3","IDX08A_4","IDX10A_4","IDX20A_4","IDX30A_4","IDX08A_3","IDX10A_3","IDX20A_3","IDX30A_3"
"O","1.00","1.00","1.00","1.00","1904",1,"",2019,32.95,49.41,58.675,63.2966666666667,32.95,49.41,59.0368421052632,63.6931034482759,"1.22","1.23","1.34","1.26",31.65,50.16,60.265,53.4233333333333,31.65,50.16,62.1888888888889,54.1714285714286,"1.47","1.42","1.57","1.43",33.525,47.74,47.475,56.84,13.65,47.74,39.0125,53.0730769230769,"1.52","1.42","1.57","1.43",29.2375,32.01,33.11,36.1266666666667,29.2375,32.01,31.9368421052632,35.4620689655172,32.95,38.5586912642442,49.4396465336728,44.5326987592856,49.41,61.5549140861535,68.007270515773,45.5993449771658,58.675,80.8955155182293,74.762672971331,52.1409605493579,63.2966666666667,67.2871646888653,81.1874732308109,51.6015619795642,32.95,38.5586912642442,20.1297889689674,44.5326987592856,49.41,61.5549140861535,68.007270515773,45.5993449771658,59.0368421052632,83.4780092287821,61.4360985633291,50.2934951459257,63.6931034482759,68.2293973117268,75.80698472852,50.6522831605753,165.481036557203,224.571529579092,266.474149038918,263.372866565907,132.531036557203,175.161529579092,207.799149038918,200.07619989924,136.171178992497,224.571529579092,254.2444450433,258.381768649098,103.221178992497,175.161529579092,195.207602938037,194.688665200822
"O","1.00","1.00","1.00","1.00","1904",3,"",2019,29.5125,40.16,44.05,49.35,29.5125,40.16,43.5473684210526,49.2034482758621,"1.22","1.23","1.34","1.26",21.4125,39.11,45.615,37.26,21.4125,39.11,45.2842105263158,36.7551724137931,"1.47","1.42","1.57","1.43",48.7125,59.31,59.385,61.0233333333333,36,59.31,53.9823529411765,57.8037037037037,"1.52","1.42","1.57","1.43",32.5375,44.44,42.64,51.1866666666667,32.5375,44.44,41.7684210526316,50.9103448275862,29.5125,26.0865079524685,71.8368018425514,49.5590486833777,40.16,47.9946708514646,84.4891331020213,63.3063071160652,44.05,61.2303814878293,93.5183008826222,67.1486124380738,49.35,46.9293022332399,87.1627417567708,73.1125286730197,29.5125,26.0865079524685,53.0895533247493,49.5590486833777,40.16,47.9946708514646,84.4891331020213,63.3063071160652,43.5473684210526,60.7863528642221,85.0103212040894,65.7760674815534,49.2034482758621,46.2934673870569,82.5639804202352,72.7178440862246,176.994858478398,235.950111069551,265.947294808525,256.55457266303,147.482358478398,195.790111069551,221.897294808525,207.20457266303,158.247609960596,235.950111069551,255.120109970917,250.778740169379,128.735109960596,195.790111069551,211.572741549865,201.575291893517
"O","1.00","1.00","1.00","1.00","1904",5,"",2019,43.2375,54.31,68.865,79.3333333333333,43.2375,54.31,69.4473684210526,80.0758620689655,"1.22","1.23","1.34","1.26",26.8875,39.62,35.595,42.1,26.7714285714286,39.62,34.5157894736842,41.6172413793103,"1.47","1.42","1.57","1.43",31.825,49.16,51.4,49.4433333333333,31.825,49.16,43.8352941176471,44.462962962963,"1.52","1.42","1.57","1.43",22.025,34.8,38.11,36.3766666666667,22.025,34.8,36.8105263157895,35.4655172413793,43.2375,32.7566133133449,46.932639848893,33.5470779024631,54.31,48.6205282315272,70.030109312011,49.5737958514642,68.865,47.7802352090164,80.9436838488975,60.0148597564491,79.3333333333333,53.025325389678,70.6224366896914,51.9586497400797,43.2375,32.6152053392885,46.932639848893,33.5470779024631,54.31,48.6205282315272,70.030109312011,49.5737958514642,69.4473684210526,46.3315785778206,69.0309375191102,57.9684747941009,80.0758620689655,52.4172866023445,63.5087194813176,50.6572085089962,156.473831064701,222.534433395002,257.603778814363,254.939745152782,113.236331064701,168.224433395002,188.738778814363,175.606411819449,156.332423090645,222.534433395002,242.778359312084,246.659076661624,113.094923090645,168.224433395002,173.330990891032,166.583214592658
"O","1.00","1.00","1.00","1.00","1904",8,"",2019,40.9625,49.01,63.67,60.8433333333333,40.9625,49.01,63.8684210526316,60.8758620689655,"1.22","1.23","1.34","1.26",38.2375,58.13,70.82,78.15,38.2375,58.13,72.4666666666667,79.7321428571429,"1.47","1.42","1.57","1.43",44.1875,66.63,64.51,80.26,44.3571428571429,66.63,61.12,81.376,"1.52","1.42","1.57","1.43",36.625,87.01,62.955,64.8666666666667,38.2666666666667,87.01,66.2722222222222,67.1357142857143,40.9625,46.584137668769,65.1637399315933,55.784868475719,49.01,71.3354696137979,94.9167246431914,123.948734972296,63.67,95.063808329893,101.589047569891,99.1402649164853,60.8433333333333,98.4306218338084,114.639454635906,92.6523709284295,40.9625,46.584137668769,65.4139139179947,58.2853506349264,49.01,71.3354696137979,94.9167246431914,123.948734972296,63.8684210526316,97.2741783437764,96.2505439074828,104.364159601545,60.8758620689655,100.423344869746,116.233494398847,95.8933674595848,208.495246076081,339.210929229285,359.463120816269,366.565780731477,167.532746076081,290.200929229285,295.793120816269,305.722447398144,211.24590222169,339.210929229285,361.757302905436,373.426068797143,170.28340222169,290.200929229285,297.888881852805,312.550206728177
"O","1.00","1.00","1.00","1.00","1904",9,"",2019,44.15,74.74,69.925,63.0833333333333,44.15,74.74,71.7473684210526,64.0413793103448,"1.22","1.23","1.34","1.26",52.3125,81.08,68.985,67.9033333333333,52.3125,81.08,69.3789473684211,68.1241379310345,"1.47","1.42","1.57","1.43",35.8875,41.7,58.19,59.89,35.8875,41.7,50.4176470588235,55.1851851851852,"1.52","1.42","1.57","1.43",26.1125,47.59,43.87,57.1366666666667,26.1125,47.59,43.4315789473684,57.3068965517241,44.15,63.731486153579,52.9236484706095,39.7728976948044,74.74,99.4990517166134,59.4030829599442,67.7935903612409,69.925,92.6006328387132,91.6364389721274,69.0855916430182,63.0833333333333,85.5248538015147,85.5439439091004,81.6112173732893,44.15,63.731486153579,52.9236484706095,39.7728976948044,74.74,99.4990517166134,59.4030829599442,67.7935903612409,71.7473684210526,93.129440197138,79.3966942399749,68.3951750072806,64.0413793103448,85.8029591611498,78.8238167656503,81.8543654070013,200.578032318993,301.435725037798,323.247663453859,315.763348417238,156.428032318993,226.695725037798,253.322663453859,252.680015083904,200.578032318993,301.435725037798,312.668677865446,310.522520644146,156.428032318993,226.695725037798,240.921309444394,246.481141333801
"O","1.00","1.00","1.00","1.00","1904",11,"",2019,26.5,64.66,46.875,48.9766666666667,25.2,64.66,48.4722222222222,50.1535714285714,"1.22","1.23","1.34","1.26",39.125,39.04,45.01,51.0666666666667,39.125,39.04,44.4473684210526,50.9068965517241,"1.47","1.42","1.57","1.43",31.125,40.9,44.64,41.8866666666667,31.125,40.9,41.33125,39.4269230769231,"1.52","1.42","1.57","1.43",31.125,39.74,38.43,41.14,31.125,39.74,37.7277777777778,40.8821428571429,26.5,47.6653647934773,45.9003429786895,47.4076186022322,64.66,47.9087688581227,58.2634554691059,56.6109956073905,46.875,60.4182718572223,70.2981721209102,60.518789305703,48.9766666666667,64.3189220086988,59.828863981842,58.7623618704356,25.2,47.6653647934773,45.9003429786895,47.4076186022322,64.66,47.9087688581227,58.2634554691059,56.6109956073905,48.4722222222222,59.6630346278888,65.0876193206176,59.4129439059515,50.1535714285714,64.1176901243194,56.3154866622261,58.3940513517325,167.473326374399,227.443219934619,238.110233283835,231.886814527643,140.973326374399,162.783219934619,191.235233283835,182.910147860976,166.173326374399,227.443219934619,232.63582007668,228.980799566849,140.973326374399,162.783219934619,184.163597854458,178.827228138278
"O","1.00","1.00","1.00","1.00","1904",12,"",2019,50.5125,64.69,78.48,85.18,50.5125,64.69,79.3947368421053,86.0103448275862,"1.22","1.23","1.34","1.26",44.75,83.2,71.71,68.1966666666667,44.75,83.2,72.2894736842105,68.4551724137931,"1.47","1.42","1.57","1.43",19,27.41,52.7,50.51,19,27.41,38.6333333333333,41.632,"1.52","1.42","1.57","1.43",33.65,51.26,70.795,59.2733333333333,33.65,51.26,71.7222222222222,59.0464285714286,50.5125,54.5182127669804,28.019486476951,51.253537862333,64.69,102.10065494354,39.0464869048458,73.0216314754614,78.48,96.2584820013644,82.9908976427412,111.486538873204,85.18,85.8943097503897,72.1460111345577,84.6631274331621,50.5125,54.5182127669804,28.019486476951,51.253537862333,64.69,102.10065494354,39.0464869048458,73.0216314754614,79.3947368421053,97.0363268933159,60.8389945401247,112.946709737275,86.0103448275862,86.2199000438928,59.4651105831302,84.3390277800466,184.303737106264,278.858773323847,369.21591851731,327.883448318109,133.791237106264,214.168773323847,290.73591851731,242.703448318109,184.303737106264,278.858773323847,350.216768012821,316.034383234656,133.791237106264,214.168773323847,270.822031170715,230.02403840707
"O","1.00","1.00","1.00","1.00","1904",13,"",2019,51.6,60.91,79.52,81.48,51.6,60.91,80.8684210526316,82.4310344827586,"1.22","1.23","1.34","1.26",42.35,47.01,64.74,61.8766666666667,42.35,47.01,64.7368421052632,61.7758620689655,"1.47","1.42","1.57","1.43",34.3,45.12,51.2,54.8133333333333,24.6666666666667,45.12,41.4533333333333,49.688,"1.52","1.42","1.57","1.43",23.9875,43.86,39.595,37.87,23.9875,43.86,37.9222222222222,36.6714285714286,51.6,51.5943309649524,50.5825466399695,36.5362329709573,60.91,57.6893243857671,64.2749904832777,62.4800771852075,79.52,86.902442124785,80.6287278806139,62.3534078209552,81.48,77.9342133973549,78.292681785565,54.0916539628925,51.6,51.5943309649524,36.3761754262171,36.5362329709573,60.91,57.6893243857671,64.2749904832777,62.4800771852075,80.8684210526316,86.8982031880441,65.2798736929241,59.7191510973384,82.4310344827586,77.8072491077141,70.9719065779826,52.3796732139066,190.313110575879,245.354392054252,309.404577826354,291.798549145812,138.713110575879,184.444392054252,229.884577826354,210.318549145812,176.106739362127,245.354392054252,292.765649030938,283.589863382362,124.506739362127,184.444392054252,211.897227978307,201.158828899603
"O","1.00","1.00","1.00","1.00","1904",14,"",2019,44.2375,52.52,74.955,67,44.2375,52.52,75.7789473684211,67.2655172413793,"1.22","1.23","1.34","1.26",25.3125,57.58,43.22,42.4466666666667,23.4714285714286,57.58,43.0421052631579,42.3034482758621,"1.47","1.42","1.57","1.43",29.15,43.04,58.2,54.82,29.15,43.04,49.35,48.8538461538462,"1.52","1.42","1.57","1.43",20.4375,43.4,37.315,45.3733333333333,20.4375,43.4,36.1368421052632,44.8793103448276,44.2375,30.837815880764,42.9877910949012,31.1290989617067,52.52,70.6605253803971,61.3119590070983,61.8247913779755,74.955,58.0155012146001,91.6521867705416,58.7629097825216,67,53.4619551474394,78.3022041258454,64.8090479484986,44.2375,28.5948678615,42.9877910949012,31.1290989617067,52.52,70.6605253803971,61.3119590070983,61.8247913779755,75.7789473684211,57.7767077781971,77.7153851739902,56.9075704798823,67.2655172413793,53.2815703071971,69.7804420625887,64.1034096980638,149.192205937372,246.317275765471,283.385597767663,263.573207221783,104.954705937372,193.797275765471,208.430597767663,196.573207221783,146.949257918108,246.317275765471,268.178610800491,254.430939309229,102.711757918108,193.797275765471,192.39966343207,187.16542206785
"O","1.00","1.00","1.00","1.00","1904",17,"",2019,49.9875,59.47,76.44,79.5666666666667,49.9875,59.47,77.0789473684211,80.0931034482759,"1.22","1.23","1.34","1.26",35.325,42.48,49.06,47.6466666666667,35.325,42.48,48.8315789473684,47.448275862069,"1.47","1.42","1.57","1.43",34.9875,40.88,50.99,47.5266666666667,34.9875,40.88,40.4625,40.5153846153846,"1.52","1.42","1.57","1.43",26.2,40,36.48,40.2666666666667,21.25,40,35.0555555555556,39.6214285714286,49.9875,43.0358852735996,51.5964096374907,39.9061721246099,59.47,52.1302382452114,58.234964781835,56.9813745419129,76.44,65.8547082274012,80.2980241139161,57.4479686149374,79.5666666666667,60.0114015138604,67.8847638590724,57.5149352937014,49.9875,43.0358852735996,51.5964096374907,32.3666472384718,59.47,52.1302382452114,58.234964781835,56.9813745419129,77.0789473684211,65.5480918031442,63.7195293333855,55.2047822186061,80.0931034482759,59.7615265264943,57.8701918349322,56.5933087879899,184.5259670357,226.816577568959,280.040700956255,264.977767333301,134.5384670357,167.346577568959,203.600700956255,185.411100666634,176.986442149562,226.816577568959,261.551350723557,254.318130597692,126.998942149562,167.346577568959,184.472403355136,174.225027149416
