"TMQUADB","TMQUADD","TIMEINN","TIMEMID","TIMEOUT","ANCROSB","ANCROSD","GROUP","NUMBER","COND","AGE","SLGROUP","YEAR","BLOCK","BSPEED","BSPEEDTT","BSPEEDFS","TTCUMDS","TTCUMDSO","TTAVDS","TTAVDSO","TTPATH","TTLAT","TAVDS08","TAVDS10","TAVDS20","TAVDS30","TAVDSO30","TAVDS08A","TAVDS10A","TAVDS20A","TAVDS30A"
28,13,3,32,65,0,0,"1906",1,"TT","O","",2019,0,17.4113956511239,17.4113956511239,17.4113956511239,6636.6,8127.5,75.4159090909091,92.3579545454545,1617,90.1,35.8,72.18,68.635,58.0333333333333,103.7,35.8,72.18,70.1888888888889,58.275
32,24,3,20,77,0,0,"1906",2,"TT","O","",2019,0,17.1476137624861,17.1476137624861,17.1476137624861,7064,7782.6,80.2727272727272,88.4386363636364,2191,90.1,53.85,88.62,72.87,71.4366666666667,91.5571428571429,53.85,88.62,74.9888888888889,72.6964285714286
26,32,6,38,56,0,1,"1906",7,"TT","O","",2019,0,16.2574916759157,16.2574916759157,16.2574916759157,7664.3,6679.6,87.0943181818182,75.9045454545455,1680,90.1,54.025,61.96,58.125,66.9966666666667,90.5178571428571,54.025,61.96,58.6055555555556,67.9392857142857
24,21,10,24,66,0,1,"1906",8,"TT","O","",2019,0,19.688079613256,19.688079613256,19.688079613256,7172.8,7370.7,81.5090909090909,83.7579545454545,1733,90.1,39.3375,94.96,95.26,78.12,82.5178571428571,39.3375,94.96,99.0611111111111,79.3392857142857
20,31,3,24,73,0,0,"1906",9,"TT","O","",2019,0,20.9283269420945,20.9283269420945,20.9283269420945,7996.5,6776.7,90.8693181818182,77.0079545454546,2192,90.1,57.3375,96.26,79.665,83.4733333333333,81.6535714285714,58.2333333333333,96.26,82.4444444444444,85.5321428571429
32,21,7,14,79,0,0,"1906",11,"TT","O","",2019,0,14.5451851579124,14.5451851579124,14.5451851579124,6859.9,7701.7,78.8494252873563,88.5252873563218,2076,90.1,45.9625,60.05,53.535,64.75,88.2222222222222,44.7666666666667,60.05,53.9235294117647,66.2407407407407
29,21,17,29,54,0,1,"1906",12,"TT","O","",2019,0,18.8846226724762,18.8846226724762,18.8846226724762,6669.1,7207,75.7852272727273,81.8977272727273,2157,90.1,41.025,94.19,70.445,73.4566666666667,75.4785714285714,38.9833333333333,94.19,73.0333333333333,75.3357142857143
37,2,29,33,38,1,0,"1906",13,"TT","O","",2019,0,17.9979003337785,17.9979003337785,17.9979003337785,2136.5,3076.5,61.0428571428571,87.9,788,38,41.825,59.71,53.66,66.37,91.2071428571429,40.0833333333333,59.71,54.3944444444444,67.75
19,28,4,23,73,0,0,"1906",17,"TT","O","",2019,0,23.1609322974473,23.1609322974473,23.1609322974473,7907.5,7146.9,88.8483146067416,80.3022471910112,2589,90.1,62.35,72.84,88.665,90.2966666666667,78.5068965517241,62.35,72.84,89.7578947368421,91.0689655172414
22,34,9,39,52,1,0,"1906",18,"TT","O","",2019,0,18.1178448588477,18.1178448588477,18.1178448588477,7578.4,6574.5,86.1181818181818,74.7102272727273,2094,90.1,44.175,110.78,83.675,76.9066666666667,78.7642857142857,42.0166666666667,110.78,87.3444444444444,78.7821428571429
31,26,20,45,35,1,0,"1906",25,"TT","O","",2019,0,9.58791818614238,9.58791818614238,9.58791818614238,6155.6,6621.6,72.4188235294118,77.9011764705883,1771,90.1,41.4875,60.76,56.275,54.2966666666667,94.14,41.4875,60.76,58.5333333333333,55.256
28,25,9,32,59,0,0,"1906",27,"TT","O","",2019,0,17.4478621637334,17.4478621637334,17.4478621637334,6976.4,7186.6,79.2772727272727,81.6659090909091,1801,90.1,43.5125,108.6,77.48,80.42,73.7214285714286,43.2285714285714,108.6,79.6722222222222,82.0392857142857
19,34,11,20,69,1,4,"1906",29,"TT","O","",2019,0,19.319244832307,19.319244832307,19.319244832307,7717.7,6731.1,87.7011363636363,76.4897727272727,2251,90.1,65.2125,72.52,78.865,87.9833333333333,83.8678571428571,65.2125,72.52,81.7444444444444,90.4857142857143
21,38,14,28,58,0,1,"1906",34,"TT","O","",2019,0,14.7487611167966,14.7487611167966,14.7487611167966,7639.8,6260.8,87.8137931034483,71.9632183908046,1927,90.1,56.1375,110.39,83.79,76.94,86.3518518518518,56.1375,110.39,88.5235294117647,79.1592592592593
36,22,38,27,35,1,0,"1906",44,"TT","O","",2019,0,24.5444873639183,24.5444873639183,24.5444873639183,2447.5,3115.4,61.1875,77.885,1082,41.1,37.3625,106.28,78.05,64.5433333333333,90.5034482758621,37.3625,106.28,79.521052631579,65.0413793103448
39,17,6,49,45,1,0,"1906",47,"TT","O","",2019,0,13.135247031372,13.135247031372,13.135247031372,2042.6,3098.9,63.83125,96.840625,703,35.7,41.2,61.05,58.56,66.76,92.4222222222222,41.2,61.05,58.9176470588235,67.8962962962963
41,18,20,32,48,0,0,"1906",49,"TT","O","",2019,0,21.9505123262352,21.9505123262352,21.9505123262352,5759,7664.5,65.4431818181818,87.0965909090909,1843,90.1,44.8125,93.06,70.055,82.24,63.0714285714286,43.3571428571429,93.06,71.6166666666667,84.1142857142857
27,31,15,34,51,0,0,"1906",1,"TT","O","",2019,1,17.3325148341342,17.4113956511239,16.9381107491857,7196.24,6812.12,85.9223138254151,81.2670972382048,1543.4,88.44,44.4875,68.89,81.8,80.81,75.8107142857143,44.4875,68.89,84.55,82.5071428571429
15,33,7,53,40,0,0,"1906",2,"TT","O","",2019,1,17.7312365769636,17.1476137624861,20.6493506493506,7030.44,7037.48,82.2455194805195,82.0229437229437,1545,90.1,48.55,78.58,86.305,86.0433333333333,71.0071428571429,48.55,78.58,89.7833333333333,88.2607142857143
34,18,11,66,23,1,0,"1906",7,"TT","O","",2019,1,16.3817859514281,16.2574916759157,17.0032573289902,7340.8,6168.34,85.8273268398268,71.9100108225108,1464.8,90.1,27.2375,53.76,44.64,63.6733333333333,81.6607142857143,27.2375,53.76,43.4722222222222,64.2821428571429
9,31,41,42,17,1,0,"1906",8,"TT","O","",2019,1,20.1376698302188,19.688079613256,22.3856209150327,5912.7,6331.3,78.5062825311943,82.7663484848485,1507.2,78.04,42.975,55.08,61.24,74.16,61.2206896551724,42.975,55.08,61.4736842105263,74.7586206896552
