TMQUADB,TMQUADD,TIMEINN,TIMEMID,TIMEOUT,ANCROSB,ANCROSD,GROUP,NUMBER,COND,AGE,SLGROUP,YEAR,BLOCK,BSPEED,BSPEEDTT,BSPEEDFS,TTCUMDS,TTCUMDSO,TTAVDS,TTAVDSO,TTPATH,TTLAT,TAVDS08,TAVDS10,TAVDS20,TAVDS30,TAVDSO30,TAVDS08A,TAVDS10A,TAVDS20A,TAVDS30A
21,26,17,20,63,0,3,1907,2,TT,O,,2019,0,16.36904321,16.36904321,16.36904321,6666.7,6745.8,79.36547619,80.30714286,2056,90.1,42.1875,65.45,85.535,81.11333333,89.1125,42.1875,65.45,71.52857143,71.8375
14,21,16,45,39,0,2,1907,3,TT,O,,2019,0,19.5565361,19.5565361,19.5565361,7058,6413.7,83.03529412,75.45529412,1742,90.1,56.825,91.45,83.12,91.57,63.144,41.16666667,91.45,76.19333333,89.104
7,43,11,33,56,0,0,1907,5,TT,O,,2019,0,19.76026637,19.76026637,19.76026637,8195.9,5547.3,96.42235294,65.26235294,1749,90.1,64.6625,89.88,99.44,100.5166667,57.936,64.6625,89.88,95.44666667,98.336
19,35,6,11,83,1,0,1907,13,TT,O,,2019,0,21.86041968,21.86041968,21.86041968,3875.6,3282.2,90.13023256,76.33023256,1376,47.2,63.125,101.64,93.44,87.64666667,88.66538462,62.62857143,101.64,88.10625,83.47307692
15,29,13,31,56,0,0,1907,17,TT,O,,2019,0,19.36958935,19.36958935,19.36958935,7227.2,6365,85.02588235,74.88235294,1947,90.1,78.3125,96.11,98.09,101.1533333,67.42,78.3125,96.11,94.08,99.36
29,22,3,40,57,0,0,1907,22,TT,O,,2019,0,21.6418741,21.6418741,21.6418741,6577.4,7515.2,76.48139535,87.38604651,2062,90.1,37.3125,82.68,80.75,74.86,87.96153846,37.3125,82.68,72.54375,68.90384615
18,33,2,32,66,1,0,1907,24,TT,O,,2019,0,19.74916759,19.74916759,19.74916759,7518.6,6662.2,88.45411765,78.37882353,2275,90.1,55.4625,66.82,91.415,96.22,72.736,55.4625,66.82,84.51333333,93.04
26,23,15,29,56,0,2,1907,28,TT,O,,2019,0,16.82855822,16.82855822,16.82855822,6785.8,6722.4,80.78333333,80.02857143,1771,90.1,65.9375,74.36,87.985,91.4,77.35833333,65.9375,74.36,81.02142857,88.19166667
10,33,23,44,33,1,1,1907,31,TT,O,,2019,0,24.68522202,24.68522202,24.68522202,3138.4,2310.9,84.82162162,62.45675676,915,41.2,78.4875,90.45,93.115,95.05,49.53846154,78.4875,90.45,90.15,93.52307692
5,30,9,38,53,0,2,1907,37,TT,O,,2019,0,16.51720311,16.51720311,16.51720311,7988.8,5884.8,95.1047619,70.05714286,1750,90.1,85.8,92.28,92.285,99.70333333,69.34166667,60.5,92.28,88.02857143,99.075
