AGE,MULT08B1,MULT10B1,MULT20B1,MULT30B1,GROUP,NUMBER,SLGROUP,YEAR,TAV08B1,TAV10B1,TAV20B1,TAV30B1,TAV08AB1,TAV10AB1,TAV20AB1,TAV30AB1,MULT08B2,MULT10B2,MULT20B2,MULT30B2,TAV08B2,TAV10B2,TAV20B2,TAV30B2,TAV08AB2,TAV10AB2,TAV20AB2,TAV30AB2,MULT08B3,MULT10B3,MULT20B3,MULT30B3,TAV08B3,TAV10B3,TAV20B3,TAV30B3,TAV08AB3,TAV10AB3,TAV20AB3,TAV30AB3,MULT08B4,MULT10B4,MULT20B4,MULT30B4,TAV08B4,TAV10B4,TAV20B4,TAV30B4,TAV08AB4,TAV10AB4,TAV20AB4,TAV30AB4,IDX08B1,IDX08B2,IDX08B3,IDX08B4,IDX10B1,IDX10B2,IDX10B3,IDX10B4,IDX20B1,IDX20B2,IDX20B3,IDX20B4,IDX30B1,IDX30B2,IDX30B3,IDX30B4,IDX08AB1,IDX08AB2,IDX08AB3,IDX08AB4,IDX10AB1,IDX10AB2,IDX10AB3,IDX10AB4,IDX20AB1,IDX20AB2,IDX20AB3,IDX20AB4,IDX30AB1,IDX30AB2,IDX30AB3,IDX30AB4,IDX08_4,IDX10_4,IDX20_4,IDX30_4,IDX08_3,IDX10_3,IDX20_3,IDX30_3,IDX08A_4,IDX10A_4,IDX20A_4,IDX30A_4,IDX08A_3,IDX10A_3,IDX20A_3,IDX30A_3
O,1,1,1,1,1909,1,,2019,59.4,81.59,77.055,80.45333333,40.675,81.59,73.2375,78.62692308,1.22,1.23,1.34,1.26,39.825,84,67.335,81.45666667,33,84,68.11666667,82.96785714,1.47,1.42,1.57,1.43,47.3375,95.93,95.765,82.78,47.3375,95.93,92.1625,78.56538462,1.52,1.42,1.57,1.43,54.3,65.48,87.935,81.94666667,54.3,65.48,81.91875,77.32307692,59.4,48.51816365,69.80907585,82.7063033,81.59,103.082392,136.6555815,93.27851013,77.055,90.38578839,150.8087915,138.4782654,80.45333333,102.595398,118.2388993,117.0486067,40.675,40.20337478,69.80907585,82.7063033,81.59,103.082392,136.6555815,93.27851013,73.2375,91.43504298,145.1356471,129.0039961,78.62692308,104.4987559,112.218949,110.4444975,260.4335428,414.6064836,456.7278453,418.3362373,201.0335428,333.0164836,379.6728453,337.882904,233.3937539,414.6064836,438.8121863,405.7891254,192.7187539,333.0164836,365.5746863,327.1622023
O,1,1,1,1,1909,2,,2019,38.8625,46.58,80.245,85.36,38.8625,46.58,67.98,79.024,1.22,1.23,1.34,1.26,41.9375,50.86,74.57,84.47666667,41.9375,50.86,74.88888889,85.38928571,1.47,1.42,1.57,1.43,46.85,53.74,57.66,56.03666667,30.925,53.74,50.58125,51.43076923,1.52,1.42,1.57,1.43,18.2375,43.13,50.985,40.42,18.2375,43.13,37.98,30.504,38.8625,51.09178878,69.09015481,27.77819901,46.58,62.41393402,76.5544767,61.4401671,80.245,100.0975457,90.80180566,80.29015021,85.36,106.3991149,80.04003123,57.73394912,38.8625,51.09178878,45.60540102,27.77819901,46.58,62.41393402,76.5544767,61.4401671,67.98,100.5255998,79.65433285,59.81013838,79.024,107.5485667,73.46119282,43.57042019,186.8226426,246.9885778,351.4345016,329.5330953,147.9601426,200.4085778,271.1895016,244.1730953,163.3378888,246.9885778,307.9700711,303.6041798,124.4753888,200.4085778,239.9900711,224.5801798
O,1,1,1,1,1909,8,,2019,51.075,71.34,75.54,74.50333333,51.075,71.34,67.9125,69.65,1.22,1.23,1.34,1.26,15.6625,20.76,23.485,34.09666667,15.6625,20.76,20.12777778,32.69642857,1.47,1.42,1.57,1.43,16.975,17.8,31.11,33.64,16.975,17.8,18.1,26.34,1.52,1.42,1.57,1.43,14.4625,37.81,42.34,45.57333333,14.4625,37.81,30.875,39.01538462,51.075,19.08137447,25.0331991,22.02835933,71.34,25.47607688,25.35671167,53.86164429,75.54,31.5246193,48.99140087,66.67617849,74.50333333,42.94505569,48.04972905,65.09471816,51.075,19.08137447,25.0331991,22.02835933,71.34,25.47607688,25.35671167,53.86164429,67.9125,27.0181193,28.50351513,48.6213276,69.65,41.18144333,37.62276645,55.72766527,117.2179329,176.0344328,222.7321986,230.5928362,66.1429329,104.6944328,147.1921986,156.0895029,117.2179329,176.0344328,172.055462,204.181875,66.1429329,104.6944328,104.142962,134.531875
O,1,1,1,1,1909,14,,2019,27.7375,77.77,70.2,70.84,26.43333333,77.77,61.89333333,65.984,1.22,1.23,1.34,1.26,29.9875,31.27,39.975,43.00666667,29.9875,31.27,37.31111111,41.51071429,1.47,1.42,1.57,1.43,20.2,40.18,47.885,45.85666667,19.14285714,40.18,34.06,37.156,1.52,1.42,1.57,1.43,22.6,36.64,58.525,55.03333333,22.6,36.64,35.06923077,40.71304348,27.7375,36.53329397,29.78913825,34.4228813,77.77,38.3736476,57.23779073,52.19493908,70.2,53.65964047,75.40833271,92.16399022,70.84,54.16728014,65.49941762,78.60691901,26.43333333,36.53329397,28.23015931,34.4228813,77.77,38.3736476,57.23779073,52.19493908,61.89333333,50.08382258,53.6370014,55.22631767,65.984,52.28311478,53.07181132,58.15251808,128.4828135,225.5763774,291.4319634,269.1136168,100.7453135,147.8063774,221.2319634,198.2736168,125.6196679,225.5763774,220.840475,229.4914442,99.18633458,147.8063774,158.9471416,163.5074442
O,1,1,1,1,1909,17,,2019,35.25,37.99,62.65,77.23333333,35.25,37.99,48.7,70.89230769,1.22,1.23,1.34,1.26,27.4,73.23,58.46,51.40333333,27.4,73.23,57.90526316,50.79655172,1.47,1.42,1.57,1.43,25.8125,56.57,70.025,56.31,25.8125,56.57,63.65,50.27692308,1.52,1.42,1.57,1.43,24.3,64.02,65.13,54.13666667,24.3,64.02,53.3,45.16538462,35.25,33.38098391,38.06594709,37.01221308,37.99,89.86575675,80.58590895,91.19868995,62.65,78.47260993,110.2739584,102.5654111,77.23333333,64.74295668,80.43044718,77.32616425,35.25,33.38098391,38.06594709,37.01221308,37.99,89.86575675,80.58590895,91.19868995,48.7,77.72797004,100.2347369,83.93576555,70.89230769,63.97870983,71.81309547,64.51202418,143.7091441,299.6403556,353.9619794,299.7329014,108.4591441,261.6503556,291.3119794,222.4995681,143.7091441,299.6403556,310.5984725,271.1961372,108.4591441,261.6503556,261.8984725,200.3038295
O,1,1,1,1,1909,18,,2019,64.0875,82.02,89.645,82.62666667,64.0875,82.02,84,78.07307692,1.22,1.23,1.34,1.26,34.675,51.15,50.295,52.77,34.675,51.15,49.79473684,52.52758621,1.47,1.42,1.57,1.43,19.6125,35.48,53.405,45.46666667,19.6125,35.48,42.9,37.97037037,1.52,1.42,1.57,1.43,31.5125,43.35,53.395,57.41,31.5125,43.35,45.30588235,52.76296296,64.0875,42.24400062,28.92274624,47.99783393,82.02,62.76981371,50.54247922,61.75356466,89.645,67.51248574,84.10111743,84.08536963,82.62666667,66.46428553,64.94236071,82.00163332,64.0875,42.24400062,28.92274624,47.99783393,82.02,62.76981371,50.54247922,61.75356466,84,66.84096751,67.5580552,71.34679023,78.07307692,66.1589632,54.23501809,75.36403313,183.2520808,257.0858576,325.3439728,296.0349462,119.1645808,175.0658576,235.6989728,213.4082796,183.2520808,257.0858576,289.7458129,273.8310913,119.1645808,175.0658576,205.7458129,195.7580144
O,1,1,1,1,1909,21,,2019,57.8375,74.92,97.975,96.01333333,57.8375,74.92,89.17857143,90.39166667,1.22,1.23,1.34,1.26,48.25,54.09,66.1,74.34666667,48.25,54.09,65.72777778,74.69642857,1.47,1.42,1.57,1.43,37.5,86.18,70.355,67.71666667,27.76,86.18,64.575,63.75384615,1.52,1.42,1.57,1.43,42.4625,85.91,78.895,70.03666667,42.4625,85.91,73.3,65.52962963,57.8375,58.78220706,55.30161805,64.67617686,74.92,66.37769743,122.7663715,122.3817472,97.975,88.72801088,110.7936357,124.2422556,96.01333333,93.64028959,96.7231714,100.0369458,57.8375,58.78220706,40.93794445,64.67617686,74.92,66.37769743,122.7663715,122.3817472,89.17857143,88.22836584,101.6914083,115.4313624,90.39166667,94.08081783,91.06287259,93.59931477,236.597502,386.445816,421.7389022,386.4137401,178.760002,311.525816,323.7639022,290.4004068,222.2338284,386.445816,394.5297079,369.1346718,164.3963284,311.525816,305.3511365,278.7430052
O,1,1,1,1,1909,28,,2019,39.825,59.29,65.545,66.45666667,39.825,59.29,53.74375,59.33461538,1.22,1.23,1.34,1.26,48.0375,73.53,64.59,71.80666667,46.04285714,73.53,64.72631579,72.14482759,1.47,1.42,1.57,1.43,18.0625,25.1,42.775,39.98333333,18.0625,25.1,28.37333333,30.784,1.52,1.42,1.57,1.43,21,52.36,51.42,42.28,21,52.36,40.68125,34.26538462,39.825,58.52332169,26.63694603,31.98586315,59.29,90.23390815,35.75581253,74.58861928,65.545,86.70109263,67.36120772,80.97517945,66.45666667,90.44113694,57.11023583,60.39068206,39.825,56.09328005,26.63694603,31.98586315,59.29,90.23390815,35.75581253,74.58861928,53.74375,86.8840734,44.68175337,64.06401242,59.33461538,90.86705363,43.97035848,48.94299782,156.9711309,259.8683399,300.5824798,274.3987215,117.1461309,200.5783399,235.0374798,207.9420548,154.5410892,259.8683399,249.3735892,243.1150253,114.7160892,200.5783399,195.6298392,183.7804099
O,1,1,1,1,1909,32,,2019,56.2875,98.92,95.61,89.01666667,56.2875,98.92,94.925,87.58076923,1.22,1.23,1.34,1.26,39.475,66.22,70.865,73.94666667,39.475,66.22,72.71666667,75.35714286,1.47,1.42,1.57,1.43,43.4125,86.28,76.415,68.18,39.11666667,86.28,68.59375,62.1,1.52,1.42,1.57,1.43,35.0375,41.99,54.83,58.00666667,35.0375,41.99,45.275,52.61538462,56.2875,48.09176422,64.02083983,53.36688953,98.92,81.2632857,122.9088249,59.81619793,95.61,95.12421318,120.3368016,86.3451787,89.01666667,93.13648602,97.38497405,82.85388278,56.2875,48.09176422,57.68573225,53.36688953,98.92,81.2632857,122.9088249,59.81619793,94.925,97.60976084,108.0200547,71.29815732,87.58076923,94.91299336,88.70059971,75.15323944,221.7669936,362.9083085,397.4161935,362.3920095,165.4794936,263.9883085,301.8061935,273.3753428,215.431886,362.9083085,371.8529729,346.3476017,159.144386,263.9883085,276.9279729,258.7668325
O,1,1,1,1,1909,33,,2019,60.1375,67.33,89.85,98.09666667,60.1375,67.33,85.575,96.73461538,1.22,1.23,1.34,1.26,48.2875,69.98,65.295,66.75666667,48.2875,69.98,65.47894737,66.92758621,1.47,1.42,1.57,1.43,37.5375,61.21,78.785,67.73666667,37.5375,61.21,70.7875,61.11538462,1.52,1.42,1.57,1.43,43.2875,103.93,80.345,71.35,34.95,103.93,76.84117647,68.14444444,60.1375,58.82789271,55.35691966,65.93276435,67.33,85.87744992,87.19574839,148.0518564,89.85,87.64743526,124.0690298,126.5256864,98.09666667,84.08061691,96.75173842,101.9128469,60.1375,58.82789271,55.35691966,53.23361511,67.33,85.87744992,87.19574839,148.0518564,85.575,87.89435332,111.474728,121.0079357,96.73461538,84.2958916,87.2942233,97.33418823,240.2550767,388.4550547,428.0921514,380.8418688,180.1175767,321.1250547,338.2421514,282.7452022,227.5559275,388.4550547,405.952017,365.6589185,167.4184275,321.1250547,320.377017,268.9243031
