"TMQUADB","TMQUADD","TIMEINN","TIMEMID","TIMEOUT","ANCROSB","ANCROSD","GROUP","NUMBER","COND","AGE","SLGROUP","YEAR","BLOCK","BSPEED","BSPEEDTT","BSPEEDFS","TTCUMDS","TTCUMDSO","TTAVDS","TTAVDSO","TTPATH","TTLAT","TAVDS08","TAVDS10","TAVDS20","TAVDS30","TAVDSO30","TAVDS08A","TAVDS10A","TAVDS20A","TAVDS30A"
25,45,6,25,69,2,0,"2007",3,"TT","O","",2020,0,25.9359458815293,25.9359458815293,25.9359458815293,2766.4,2457.8,89.2387096774194,79.283870967742,879,34.2,62.05,76.76,98.76,99.27,73.7111111111111,62.05,76.76,95.8117647058824,97.4703703703704
24,13,20,35,45,0,1,"2007",13,"TT","O","",2020,0,20.2476621446276,20.2476621446276,20.2476621446276,6691,6921.8,78.7176470588235,81.4329411764706,2075,90.1,61.6875,90.81,100.415,90.4933333333333,67.288,61.6875,90.81,97.12,86.532
11,31,21,23,56,0,3,"2007",22,"TT","O","",2020,0,17.216835509796,17.216835509796,17.216835509796,7652.8,5769.7,91.1047619047619,68.6869047619047,1904,90.1,63.3625,73.63,90.165,90.2566666666667,78.875,63.3625,73.63,78.0357142857143,83.2041666666667
18,16,7,8,85,0,0,"2007",24,"TT","O","",2020,0,25.979890921676,25.979890921676,25.979890921676,7847.2,7514,90.1977011494253,86.367816091954,2042,90.1,76.0375,110.14,96.425,94.7333333333333,76.537037037037,67.86,110.14,96.0823529411765,94.3296296296296
26,25,12,34,54,1,0,"2007",29,"TT","O","",2020,0,20.6106342564416,20.6106342564416,20.6106342564416,2287.8,2333.6,78.8896551724138,80.4689655172414,743,34.2,65.1375,111.07,94.375,89.1266666666667,73.74,51.88,111.07,91.34,86.256
22,27,5,25,70,0,1,"2007",30,"TT","O","",2020,0,10.3235485490468,10.3235485490468,10.3235485490468,6790.6,6638.3,84.8825,82.97875,1659,90.1,68.3125,117.47,116.515,104.283333333333,62.36,68.3125,117.47,117.47,98.645
25,29,17,14,69,1,2,"2007",33,"TT","O","",2020,0,20.5548447852554,20.5548447852554,20.5548447852554,6774.6,7205.7,79.7011764705882,84.7729411764706,2133,90.1,53.875,75.38,97.025,89.35,60.2,53.875,75.38,88.7333333333333,82.84
25,20,9,22,69,0,1,"2007",44,"TT","O","",2020,0,25.4468895525138,25.4468895525138,25.4468895525138,6848.3,7711.3,79.6313953488372,89.6662790697675,2516,90.1,67.8375,77.28,86.19,83.82,97.1115384615385,67.8375,77.28,79.375,79.2615384615385
19,28,5,30,65,0,0,"2007",56,"TT","O","",2020,0,22.3352841919096,22.3352841919096,22.3352841919096,7695.4,7094.4,89.4813953488372,82.493023255814,2402,90.1,60.9625,87.88,88.16,83.2566666666667,96.1769230769231,60.9625,87.88,82.2125,78.8423076923077
19,39,12,19,69,0,2,"2007",77,"TT","O","",2020,0,25.9997021543095,25.9997021543095,25.9997021543095,7891.6,6869.5,90.7080459770115,78.9597701149425,2416,90.1,46.975,98.49,85.765,82.0533333333333,84.9666666666667,46.975,98.49,80.1058823529412,78.0777777777778
17,39,12,23,65,0,1,"2007",80,"TT","O","",2020,0,18.897539791225,18.897539791225,18.897539791225,7742.2,6199.5,91.0847058823529,72.935294117647,2191,90.1,57.1,102.17,101.38,90.0366666666667,70.72,57.1,102.17,95.28,84.108
12,36,16,33,51,0,0,"2007",85,"TT","O","",2020,0,12.492375205486,12.492375205486,12.492375205486,7668.7,5628.4,93.5207317073171,68.6390243902439,1447,90.1,104.9375,118.06,114.875,114.536666666667,42.9,104.9375,118.06,117.825,116.022727272727
21,32,5,27,68,0,1,"2007",90,"TT","O","",2020,0,21.9884536836691,21.9884536836691,21.9884536836691,7421.9,7263.6,86.3011627906977,84.460465116279,2333,90.1,57.9875,73.08,91.05,91.18,91.6653846153846,57.9875,73.08,82.45625,85.9115384615385
24,12,16,25,59,0,1,"2007",95,"TT","O","",2020,0,21.4077372776123,21.4077372776123,21.4077372776123,6768,7479.2,78.6976744186047,86.9674418604651,2039,90.1,39.6,65.08,76.44,75.8433333333333,79.8423076923077,39.6,65.08,68.05,70.5884615384615
26,44,33,38,29,3,0,"2007",99,"TT","O","",2020,0,17.9106600238505,17.9106600238505,17.9106600238505,2921.5,2298,76.8815789473684,60.4736842105263,859,43.9,30.2,75.51,86.01,77.2866666666667,62.572,30.2,75.51,80.46,72.212
35,21,31,36,33,0,1,"2007",3,"TT","O","",2020,1,26.2128553341748,25.9359458815293,27.5974025974026,3165.44,3031,74.2698227759917,84.1430373872835,1119.4,39.44,39.825,75.72,59.08,65.74,83.0172413793103,39.825,75.72,58.9631578947368,65.8931034482759
19,27,35,35,30,1,0,"2007",7,"TT","O","",2020,1,19.2384649962547,19.4043398136874,18.4090909090909,5483.32,5119.1,82.2922144032438,75.1643065757771,1282.4,69.46,42.1125,81.67,91.62,76.1866666666667,65.5642857142857,42.1125,81.67,94.2166666666667,76.7535714285714
21,14,15,31,54,0,0,"2007",13,"TT","O","",2020,1,21.7489956922598,20.2476621446276,29.2556634304207,3698.1,3671.08,65.285679144385,91.8730909090909,1184.2,50.94,52.5125,74.61,68.565,70.6733333333333,91.5137931034483,52.5125,74.61,69.0473684210526,71.0620689655172
33,16,22,18,60,2,0,"2007",21,"TT","O","",2020,1,25.8036435970328,25.3226785053644,28.2084690553746,3155.32,3297.04,64.792992248062,95.8030542635659,1127.2,39.96,39.5,77.37,72.88,70.59,85.7620689655172,39.5,77.37,72.8684210526316,70.5034482758621
28,12,24,35,41,1,1,"2007",22,"TT","O","",2020,1,18.268931552281,17.216835509796,23.5294117647059,6624.36,4762.9,89.9047186147186,68.8859090909091,1180.4,74.9,50.9,63.74,61.16,70.6333333333333,83.0724137931035,50.6142857142857,63.74,61.5947368421053,71.2448275862069
36,14,15,49,36,1,0,"2007",24,"TT","O","",2020,1,26.444281395769,25.979890921676,28.7662337662338,3938.78,3829.54,68.6835168764824,85.2771647509579,1196.2,50.26,41.5875,79.01,67.29,63.05,92.9275862068965,41.5875,79.01,67.6578947368421,63.1448275862069
