AGE,MULT08B1,MULT10B1,MULT20B1,MULT30B1,GROUP,NUMBER,SLGROUP,YEAR,TAV08B1,TAV10B1,TAV20B1,TAV30B1,TAV08AB1,TAV10AB1,TAV20AB1,TAV30AB1,MULT08B2,MULT10B2,MULT20B2,MULT30B2,TAV08B2,TAV10B2,TAV20B2,TAV30B2,TAV08AB2,TAV10AB2,TAV20AB2,TAV30AB2,MULT08B3,MULT10B3,MULT20B3,MULT30B3,TAV08B3,TAV10B3,TAV20B3,TAV30B3,TAV08AB3,TAV10AB3,TAV20AB3,TAV30AB3,MULT08B4,MULT10B4,MULT20B4,MULT30B4,TAV08B4,TAV10B4,TAV20B4,TAV30B4,TAV08AB4,TAV10AB4,TAV20AB4,TAV30AB4,IDX08B1,IDX08B2,IDX08B3,IDX08B4,IDX10B1,IDX10B2,IDX10B3,IDX10B4,IDX20B1,IDX20B2,IDX20B3,IDX20B4,IDX30B1,IDX30B2,IDX30B3,IDX30B4,IDX08AB1,IDX08AB2,IDX08AB3,IDX08AB4,IDX10AB1,IDX10AB2,IDX10AB3,IDX10AB4,IDX20AB1,IDX20AB2,IDX20AB3,IDX20AB4,IDX30AB1,IDX30AB2,IDX30AB3,IDX30AB4,IDX08_4,IDX10_4,IDX20_4,IDX30_4,IDX08_3,IDX10_3,IDX20_3,IDX30_3,IDX08A_4,IDX10A_4,IDX20A_4,IDX30A_4,IDX08A_3,IDX10A_3,IDX20A_3,IDX30A_3
O,1,1,1,1,2008,1,,2020,33.5125,69.38,67.9,82.21333333,33.5125,69.38,58.96,79.712,1.22,1.23,1.34,1.26,17.2,52.21,38.385,37.36666667,17.2,52.21,37.16111111,36.50714286,1.47,1.42,1.57,1.43,21.4,37.12,43.455,45.92,20.275,37.12,32.64375,39.64615385,1.52,1.42,1.57,1.43,36.3375,37.64,51.1,59.02,36.3375,37.64,39.125,52.86923077,33.5125,20.95448625,31.55879003,55.34696678,69.38,64.07061532,52.87871557,53.61947344,67.9,51.52533582,68.43205801,80.4712499,82.21333333,47.06364985,65.58987985,84.3012785,33.5125,20.95448625,29.89974149,55.34696678,69.38,64.07061532,52.87871557,53.61947344,58.96,49.88247309,51.40671945,61.6132613,79.712,45.98107195,56.62862516,75.51582086,141.3727431,239.9488043,268.3286437,279.1681415,107.8602431,170.5688043,200.4286437,196.9548082,139.7136945,239.9488043,221.8624538,257.837518,106.2011945,170.5688043,162.9024538,178.125518
O,1,1,1,1,2008,2,,2020,90.4,99.13,104.705,101.65,90.4,97.15,97.15,96.14375,1.22,1.23,1.34,1.26,31.8375,32.24,37.43,35.85666667,31.8375,32.24,33.45384615,33.13043478,1.47,1.42,1.57,1.43,26.5,29.06,61.1,76.70333333,26.5,29.06,39.22142857,67.84166667,1.52,1.42,1.57,1.43,32.375,53.55,72.025,81.72333333,32.375,53.55,55.34285714,74.41666667,90.4,38.78711953,39.07981009,49.31153903,99.13,39.56400379,41.3969686,76.28381517,104.705,50.2434107,96.21904831,113.4235181,101.65,45.16179139,109.5592861,116.7296083,90.4,38.78711953,39.07981009,49.31153903,97.15,39.56400379,41.3969686,76.28381517,97.15,44.90610024,61.76511507,87.1528158,96.14375,41.72807802,96.90171528,106.2931234,217.5784686,256.3747876,364.5909771,373.1006858,127.1784686,157.2447876,259.8859771,271.4506858,217.5784686,254.3947876,290.9740311,341.0666667,127.1784686,157.2447876,193.8240311,244.9229167
O,1,1,1,1,2008,5,,2020,61.9125,89.6,89.415,85.96333333,61.9125,89.6,86.9,84.1,1.22,1.23,1.34,1.26,46.7,86.19,83.07,74.66666667,46.7,86.19,83.92105263,74.93448276,1.47,1.42,1.57,1.43,44.4375,89.5,72.68,74.77666667,41.84,89.5,70.97058824,73.93333333,1.52,1.42,1.57,1.43,40.125,53.75,56.73,59.56666667,40.125,53.75,54.58823529,58.53333333,61.9125,56.89386673,65.53241739,61.11584567,89.6,105.7698972,127.4958255,76.56872204,89.415,111.5073504,114.4549989,89.3372604,85.96333333,94.04333244,106.8073298,85.08211041,61.9125,56.89386673,61.70185864,61.11584567,89.6,105.7698972,127.4958255,76.56872204,86.9,112.6497439,111.7630517,85.96445252,84.1,94.3806492,105.6027537,83.60614766,245.4546298,399.4344448,404.7146097,371.8961059,183.5421298,309.8344448,315.2996097,285.9327726,241.624071,399.4344448,397.2772481,367.6895506,179.711571,309.8344448,310.3772481,283.5895506
O,1,1,1,1,2008,8,,2020,43,55.37,64.175,67.56333333,43,55.37,55.41333333,62.984,1.22,1.23,1.34,1.26,35.775,42.03,53.845,66.62333333,35.775,42.03,55.25555556,68.44285714,1.47,1.42,1.57,1.43,24.225,77.85,61.945,61.84666667,11.53333333,77.85,59.04285714,60.12916667,1.52,1.42,1.57,1.43,23.15,26.54,35.395,37.30333333,24.9,26.54,26.6,32.408,43,43.58411311,35.72484526,35.26060629,55.37,51.57801115,110.9000002,37.80714201,64.175,72.27775712,97.54973728,55.73933249,67.56333333,83.91268239,88.33875078,53.28225504,43,43.58411311,17.00831986,37.92609488,55.37,51.57801115,110.9000002,37.80714201,55.41333333,74.17118812,92.97950121,41.88914378,62.984,86.20438885,85.88555787,46.29000057,157.5695647,255.6551534,289.7418269,293.0970215,114.5695647,200.2851534,225.5668269,225.5336882,141.5185279,255.6551534,264.4531664,281.3639473,98.51852785,200.2851534,209.0398331,218.3799473
O,1,1,1,1,2008,12,,2020,57.05,62.68,90.685,89.75666667,57.05,62.68,75.72857143,80.8,1.22,1.23,1.34,1.26,40.525,111.47,80.575,75.56333333,37.51666667,111.47,84.02222222,77.42142857,1.47,1.42,1.57,1.43,50.2875,66.23,71.355,71.80333333,47.63333333,66.23,60.27333333,65.244,1.52,1.42,1.57,1.43,38,68.15,71.225,65.55666667,38,68.15,62.0625,59.04615385,57.05,49.37096251,74.1594698,57.87918094,62.68,136.7927885,94.3469109,97.08201688,90.685,108.1582372,112.3684156,112.1636942,89.75666667,95.1726921,102.560366,93.63793315,57.05,45.70595789,70.24534417,57.87918094,62.68,136.7927885,94.3469109,97.08201688,75.72857143,112.7855469,94.91723031,97.73477391,80.8,97.51297962,93.19133539,84.33863538,238.4596133,390.9017163,423.375347,381.1276579,181.4096133,328.2217163,332.690347,291.3709912,230.880483,390.9017163,381.1661225,355.8429504,173.830483,328.2217163,305.4375511,275.0429504
O,1,1,1,1,2008,20,,2020,43.9375,59.55,68.015,70.8,23.4,59.55,51.96923077,62.57826087,1.22,1.23,1.34,1.26,36.3125,70.73,57.365,69.04666667,36.3125,70.73,57.61666667,70.04285714,1.47,1.42,1.57,1.43,32.625,64.25,62.96,53.62,32.625,64.25,54.37333333,46.6,1.52,1.42,1.57,1.43,34.5625,44.09,59.635,67.25333333,34.5625,44.09,46.82666667,61.092,43.9375,44.23894081,48.1124077,52.64339977,59.55,86.79782842,91.52633286,62.80772009,68.015,77.00275861,99.14813882,93.91199584,70.8,86.96489233,76.58818288,96.06136875,23.4,44.23894081,48.1124077,52.64339977,59.55,86.79782842,91.52633286,62.80772009,51.96923077,77.34057832,85.62602924,73.74169071,62.57826087,88.21960312,66.56115856,87.26082186,188.9322483,300.6818814,338.0778933,330.414444,144.9947483,241.1318814,270.0628933,259.614444,168.3947483,300.6818814,288.677529,304.6198444,144.9947483,241.1318814,236.7082983,242.0415835
O,1,1,1,1,2008,27,,2020,40.45,61.49,66.7,63.66333333,37.78,61.49,53.58666667,55.188,1.22,1.23,1.34,1.26,34.2625,48.57,42.84,48.56666667,34.2625,48.57,42.74444444,48.91428571,1.47,1.42,1.57,1.43,51.375,68.91,75.81,73.75666667,51.375,68.91,65.6,67.22,1.52,1.42,1.57,1.43,25.8875,37.16,46.745,54.12,25.28571429,37.16,34.43333333,48.208,40.45,41.74145843,75.76321672,39.43019202,61.49,59.60371167,98.16466299,52.93569695,66.7,57.50541583,119.3840598,73.61308369,63.66333333,61.17014972,105.3504117,77.3023584,37.78,41.74145843,75.76321672,38.51359033,61.49,59.60371167,98.16466299,52.93569695,53.58666667,57.37714874,103.3055576,54.22491921,55.188,61.60797901,96.01375705,68.85794704,197.3848672,272.1940716,317.2025593,307.4862531,156.9348672,210.7040716,250.5025593,243.8229198,193.7982655,272.1940716,268.4942922,281.6676831,156.0182655,210.7040716,214.9076255,226.4796831
O,1,1,1,1,2008,33,,2020,64.15,82.48,89.12,84.39333333,64.15,82.48,83.95333333,80.348,1.22,1.23,1.34,1.26,61.6375,102.82,98.495,90.02666667,61.6375,102.82,102.8666667,92.23214286,1.47,1.42,1.57,1.43,61.875,102.6,94.505,84.68666667,61.875,102.6,95.47142857,82.79583333,1.52,1.42,1.57,1.43,69.65,92.42,100.86,103.15,69.65,92.42,93.31333333,99.08,64.15,75.09198524,91.24766978,106.0864461,82.48,126.1777565,146.1572257,131.6554659,89.12,132.2127902,148.8245689,158.8322948,84.39333333,113.3893894,120.9622886,147.33441,64.15,75.09198524,91.24766978,106.0864461,82.48,126.1777565,146.1572257,131.6554659,83.95333333,138.0810094,150.3464811,146.9479563,80.348,116.1672063,118.2615148,141.5210212,336.5761011,486.4704481,528.9896539,466.0794213,272.4261011,403.9904481,439.8696539,381.686088,336.5761011,486.4704481,519.3287801,456.2977424,272.4261011,403.9904481,435.3754468,375.9497424
O,1,1,1,1,2008,36,,2020,24.8625,31.66,63.04,75.36666667,24.8625,31.66,45.62666667,67.384,1.22,1.23,1.34,1.26,28.425,59.89,47.495,42.33333333,28.425,59.89,47.73157895,42.31034483,1.47,1.42,1.57,1.43,22.5375,40.23,46.95,52.43333333,22.5375,40.23,36.5625,46.88461538,1.52,1.42,1.57,1.43,38.2,55.85,53.055,50.61333333,26,55.85,48.64375,47.52307692,24.8625,34.62972509,33.23627245,58.18380821,31.66,73.49529116,57.30901745,79.5602442,63.04,63.75396183,73.93591355,83.54994449,75.36666667,53.3192108,74.89320631,72.29360741,24.8625,34.62972509,33.23627245,39.60154486,31.66,73.49529116,57.30901745,79.5602442,45.62666667,64.07152884,57.57788795,76.60319691,67.384,53.29025658,66.96768924,67.87963645,150.9123058,242.0245528,284.2798199,275.8726912,126.0498058,210.3645528,221.2398199,200.5060245,132.3300424,242.0245528,243.8792804,255.5215823,107.4675424,210.3645528,198.2526137,188.1375823
O,1,1,1,1,2008,37,,2020,50.0125,57.5,77.025,83.52,50.0125,57.5,72.13125,81.50769231,1.22,1.23,1.34,1.26,36.8125,57.96,49.595,54.8,34.71666667,57.96,48.82222222,54.675,1.47,1.42,1.57,1.43,33.85,34.19,57.735,52.94,33.85,34.19,46.93125,45.55384615,1.52,1.42,1.57,1.43,15.575,18.61,43.26,37.92,15.575,18.61,30.5375,29.26923077,50.0125,44.84808285,49.91892722,23.72284851,57.5,71.12685049,48.70482989,26.51058451,77.025,66.57285476,90.91991414,68.12497594,83.52,69.02108863,75.61690417,54.16307151,50.0125,42.29476246,49.91892722,23.72284851,57.5,71.12685049,48.70482989,26.51058451,72.13125,65.53553199,73.90638643,48.08983941,81.50769231,68.86365002,65.06688362,41.80673627,168.5023586,203.8422649,302.6427448,282.3210643,118.4898586,146.3422649,225.6177448,198.8010643,165.9490382,203.8422649,259.6630078,257.2449622,115.9365382,146.3422649,187.5317578,175.7372699
