TMQUADB,TMQUADD,TIMEINN,TIMEMID,TIMEOUT,ANCROSB,ANCROSD,GROUP,NUMBER,COND,AGE,SLGROUP,YEAR,BLOCK,BSPEED,BSPEEDTT,BSPEEDFS,TTCUMDS,TTCUMDSO,TTAVDS,TTAVDSO,TTPATH,TTLAT,TAVDS08,TAVDS10,TAVDS20,TAVDS30,TAVDSO30,TAVDS08A,TAVDS10A,TAVDS20A,TAVDS30A
30,22,18,30,52,1,0,2010,4,TT,O,,2020,0,14.83665771,14.83665771,14.83665771,4593.6,4995.4,76.56,83.25666667,1290,63.8,47.45,87.83,74.57,70.75,75.59259259,47.45,87.83,78.10588235,72.55185185
22,30,7,23,70,0,0,2010,20,TT,O,,2020,0,20.87541783,20.87541783,20.87541783,7719.6,7372.2,87.72272727,83.775,2497,90.1,51.375,54.83,74.775,87.09,77.21785714,51.375,54.83,76.97777778,89.38571429
32,33,26,35,39,0,3,2010,33,TT,O,,2020,0,19.17858819,19.17858819,19.17858819,6641.8,6565.4,75.475,74.60681818,1995,90.1,29.1875,65.49,50.8,71.08,78.18928571,29.1875,65.49,51.18888889,72.77857143
23,22,10,22,68,0,1,2010,34,TT,O,,2020,0,17.90830435,17.90830435,17.90830435,7482.3,7510.7,85.02613636,85.34886364,2003,90.1,63.8,78.61,80.625,78.34666667,93.03214286,63.8,78.61,83.79444444,80.22142857
25,23,12,30,58,1,5,2010,39,TT,O,,2020,0,25.64335631,25.64335631,25.64335631,6989.2,7728.1,78.53033708,86.83258427,2615,90.1,43.8875,105.39,76.36,67.18333333,88.2862069,43.8875,105.39,77.55263158,67.64827586
29,20,10,19,71,0,2,2010,44,TT,O,,2020,0,22.8286418,22.8286418,22.8286418,7052.1,8076.9,79.23707865,90.75168539,2007,90.1,44.55,70.88,61.005,71.19333333,101.5413793,43.52857143,70.88,61.49473684,71.86551724
33,16,4,27,69,0,1,2010,45,TT,O,,2020,0,14.59267481,14.59267481,14.59267481,6644.1,8401.1,76.36896552,96.56436782,1939,90.1,38,102.04,70.785,71.87666667,89.94814815,37.58571429,102.04,75.5,74.96666667
32,23,8,15,77,0,2,2010,46,TT,O,,2020,0,25.92311927,25.92311927,25.92311927,7169.8,8184.1,80.55955056,91.95617978,2664,90.1,40.3375,75.65,62.18,78.06,81.88965517,38.44285714,75.65,62.63157895,78.90344828
17,27,5,21,74,0,0,2010,47,TT,O,,2020,0,21.52442963,21.52442963,21.52442963,8016.3,7430.9,91.09431818,84.44204545,2179,90.1,54.425,115.34,89.155,83.95666667,91.91428571,55.9,115.34,93.50555556,86.38214286
18,30,12,28,60,1,1,2010,49,TT,O,,2020,0,13.80176984,13.80176984,13.80176984,7924.1,6522.7,91.0816092,74.97356322,1914,90.1,37.3875,110.1,74.62,77.71666667,80.51481481,37.12857143,110.1,80.05294118,81.48148148
26,32,14,24,62,2,0,2010,57,TT,O,,2020,0,25.82121208,25.82121208,25.82121208,7239.2,7262.2,81.33932584,81.59775281,2531,90.1,57.7125,74.53,73.325,78.69,85.36551724,57.7125,74.53,74.51578947,79.65517241
27,33,18,19,63,0,1,2010,59,TT,O,,2020,0,19.17425083,19.17425083,19.17425083,7133.9,6898.1,81.06704545,78.3875,1924,90.1,65.15,116.1,93.48,87.45,74.00357143,65.15,116.1,97.67777778,89.71785714
29,33,8,29,63,0,1,2010,60,TT,O,,2020,0,21.17760222,21.17760222,21.17760222,7524.1,7094.9,85.50113636,80.62386364,2236,90.1,38.3375,98.52,76.005,77.68333333,74.04285714,32.68333333,98.52,78.30555556,79.28214286
26,32,17,20,63,0,5,2010,61,TT,O,,2020,0,19.95338513,19.95338513,19.95338513,7208.7,6988.2,81.91704545,79.41136364,1977,90.1,49.7125,88.07,69.05,74.35,81.94285714,49.68571429,88.07,71.12222222,76.06071429
12,30,4,14,82,0,1,2010,72,TT,O,,2020,0,23.72662989,23.72662989,23.72662989,8759.7,7029.9,98.42359551,78.98764045,2235,90.1,63.175,99.13,88.1,89.67,89.07241379,63.175,99.13,89.94736842,90.93448276
7,34,22,37,41,1,0,2010,79,TT,O,,2020,0,19.22224,19.22224,19.22224,3849.8,3098.6,85.55111111,68.85777778,1094,48,68.35,85.39,80.91,80.72333333,65.04642857,68.35,85.39,83.03333333,82.075
34,30,11,14,75,2,1,2010,98,TT,O,,2020,0,19.80429013,19.80429013,19.80429013,7462.3,7440.4,84.79886364,84.55,2182,90.1,44.1625,82.66,63.755,72.82,84.66071429,44.1625,82.66,65.55,74.62142857
43,19,23,45,32,1,0,2010,4,TT,O,,2020,1,15.09656541,14.83665771,16.3961039,4405.46,5566.96,63.48620397,88.89072652,1019.4,68.98,43.3625,47,50.3,58.14,88.64285714,43.3625,47,49.92222222,58.45714286
16,35,8,61,31,1,1,2010,20,TT,O,,2020,1,20.85397373,20.87541783,20.74675325,5802.74,6228.42,81.44548103,89.2806704,1616.6,75,39,80.97,90.665,86.62666667,65.66071429,39,80.97,93.55,88.19285714
25,25,10,18,72,0,0,2010,29,TT,O,,2020,1,27.36764045,27.34116854,27.5,6162.38,6614.5,82.21884489,88.46654062,2015.4,74.32,60.725,67.81,71.85,85.24,81.75862069,60.725,67.81,73.36842105,86.69655172
63,3,56,27,17,3,0,2010,33,TT,O,,2020,1,19.82037615,19.17858819,23.02931596,5164.64,5520.74,75.87594934,78.62806286,1345.6,72.22,26.7625,40.56,38.035,37.93666667,88.50689655,26.7625,40.56,37.02631579,37.27241379
41,27,21,50,29,1,1,2010,34,TT,O,,2020,1,17.61506485,17.90830435,16.14886731,7282.74,6660.74,84.71273644,77.53773033,1613.2,90.08,35.5375,102.74,90.51,73.12666667,72.5,35.5375,102.74,96.07777778,75.46428571
18,26,30,46,24,0,1,2010,39,TT,O,,2020,1,25.74310193,25.64335631,26.24183007,5783.48,6339.24,77.16869641,83.88837671,1997.2,76.84,37.5,98.32,83.695,75.04666667,69.2137931,37.5,98.32,85.08421053,75.65862069
45,15,39,42,19,1,1,2010,44,TT,O,,2020,1,22.77114486,22.8286418,22.48366013,4911.8,5412.42,70.77069766,79.27004234,1620,70.62,34.0125,50.83,47.205,59.85666667,76.71034483,32.35714286,50.83,47.10526316,60.22758621
27,25,22,40,38,0,0,2010,45,TT,O,,2020,1,14.83585899,14.59267481,16.05177994,6528.28,7052.28,77.11007894,83.1842958,1314.8,90.1,50.7,101.48,78.915,71.69666667,82.06785714,50.7,101.48,81.63333333,72.92857143
41,13,26,49,25,1,0,2010,46,TT,O,,2020,1,25.39889569,25.92311927,22.77777778,5984.94,6103.9,79.06677441,79.16891392,2054.8,78.52,42.8875,67.52,57.39,57.04333333,86.17586207,42.8875,67.52,57.87368421,57.34827586
