TMQUADB,TMQUADD,TIMEINN,TIMEMID,TIMEOUT,ANCROSB,ANCROSD,GROUP,NUMBER,COND,AGE,SLGROUP,YEAR,BLOCK,BSPEED,BSPEEDTT,BSPEEDFS,TTCUMDS,TTCUMDSO,TTAVDS,TTAVDSO,TTPATH,TTLAT,TAVDS08,TAVDS10,TAVDS20,TAVDS30,TAVDSO30,TAVDS08A,TAVDS10A,TAVDS20A,TAVDS30A
32,18,4,25,71,1,0,2010,1,TT,O,,2020,0,15.14886437,15.14886437,15.14886437,7008.4,8129.8,80.55632184,93.44597701,1360,90.1,37.825,40.38,46.41,53.53666667,118.4,37.825,40.38,43.97647059,52.7962963
19,30,16,23,61,0,1,2010,2,TT,O,,2020,0,24.70514375,24.70514375,24.70514375,7762.5,6782,87.21910112,76.20224719,2171,90.1,57.2,105.1,85.59,75.85666667,93.73448276,56.21428571,105.1,86.72105263,76.26206897
15,33,3,28,69,0,2,2010,9,TT,O,,2020,0,24.98332903,24.98332903,24.98332903,8380.1,7007.5,94.15842697,78.73595506,2289,90.1,56.925,115.99,89.485,80.81333333,83.79310345,55.8,115.99,90.56842105,81.22413793
26,22,5,21,74,0,0,2010,13,TT,O,,2020,0,25.81851508,25.81851508,25.81851508,7531.9,7971.9,84.62808989,89.57191011,2441,90.1,47.8375,75.74,71.415,72.01,97.07241379,47.8375,75.74,72,72.4137931
29,21,1,17,82,0,1,2010,14,TT,O,,2020,0,23.28583056,23.28583056,23.28583056,7570.2,8361.9,85.05842697,93.95393258,2150,90.1,57.0125,109.16,85.445,83.42666667,96.75517241,56.24285714,109.16,86.65789474,84.15172414
31,28,7,11,82,0,1,2010,21,TT,O,,2020,0,30.27551333,30.27551333,30.27551333,7461.4,8188.1,83.83595506,92.0011236,1999,90.1,55.9125,67.03,64.995,85.06,97.44827586,55.9125,67.03,64.98947368,85.74827586
23,23,6,30,64,1,0,2010,22,TT,O,,2020,0,27.95280559,27.95280559,27.95280559,7382.3,7788.8,82.94719101,87.51460674,2746,90.1,40,97.91,70.98,71.50333333,93.64482759,40,97.91,71.36315789,71.77241379
21,31,12,16,72,0,1,2010,24,TT,O,,2020,0,25.06275353,25.06275353,25.06275353,7947.7,7262.7,89.3,81.60337079,2352,90.1,51.05,84.93,81.755,84.46333333,74.15172414,51.05,84.93,82.99473684,85.36896552
30,23,10,32,58,1,0,2010,26,TT,O,,2020,0,23.33459926,23.33459926,23.33459926,2808.8,3303.6,75.91351351,89.28648649,1206,38.5,61.175,95.87,79.605,82.35333333,85.12758621,60.95714286,95.87,80.17368421,82.82068966
32,23,6,25,69,1,0,2010,27,TT,O,,2020,0,26.41015845,26.41015845,26.41015845,6248.4,7222.6,80.10769231,92.5974359,1967,79.1,60.9375,66.41,83.245,93.26,82.45862069,60.9375,66.41,84.12105263,94.17931034
32,26,8,12,80,1,0,2010,31,TT,O,,2020,0,24.92409655,24.92409655,24.92409655,5424.8,6021.7,82.19393939,91.23787879,1722,67.2,56.6375,83.47,76.18,85.04,86.76551724,55.65714286,83.47,76.84736842,85.78275862
3,31,47,28,25,0,1,2010,1,TT,O,,2020,1,15.05028315,15.14886437,14.55737705,4805.36,4938.64,67.67863005,90.41647479,939,63.64,57.475,104.96,101.545,88.56666667,42.86956522,57.475,104.96,97.07692308,82.09130435
19,32,39,33,28,1,2,2010,2,TT,O,,2020,1,24.94827553,24.70514375,26.16393443,5812.22,5732.4,84.24704412,72.74351029,1929.8,75.04,48.7,62.06,71.37,76.45333333,63.32592593,48.7,62.06,66.05882353,73.67407407
20,34,24,58,18,2,1,2010,3,TT,O,,2020,1,30.55286206,30.40199657,31.30718954,5478.7,5480.52,87.81208434,81.37720866,2008,65.7,51.4125,81.25,74.275,77.21,72.34814815,48.6,81.25,68.20588235,73.71481481
19,27,51,43,6,0,0,2010,5,TT,O,,2020,1,26.01650245,25.94767179,26.36065574,3362.18,3769.34,78.75412007,76.25920119,1199.6,45.84,41.375,48.34,70.57,67.02,64.30740741,41.375,48.34,65.08235294,63.17037037
34,22,40,29,31,1,2,2010,9,TT,O,,2020,1,25.05987801,24.98332903,25.44262295,6259.94,6358.22,80.85653309,83.64111128,1963.6,77.92,46.675,77.29,70.135,65.17,78.80769231,24.225,77.29,60.325,58.36923077
26,28,53,36,11,2,3,2010,12,TT,O,,2020,1,24.05734128,23.68192429,25.93442623,5238.2,5733.54,69.28282491,90.11453103,1792.4,69.84,41.35,63.47,62.205,60.56333333,71.89259259,34.92,63.47,55.02352941,55.85925926
28,17,9,57,34,0,1,2010,13,TT,O,,2020,1,25.75040191,25.81851508,25.40983607,5745.34,6082.08,82.36015765,86.26313589,1819.4,71.48,48.6875,92.63,83.685,74.39666667,86.62307692,48.6875,92.63,77.3375,69.06153846
35,20,22,55,23,1,1,2010,14,TT,O,,2020,1,25.01889389,23.28583056,33.68421053,5559.14,6478.28,73.31747496,94.50465029,1723.6,73.58,54.0875,69.27,74.405,67.26666667,82.30714286,54.0875,69.27,70.17222222,64.03571429
19,47,23,55,22,0,0,2010,19,TT,O,,2020,1,26.2015187,25.25103297,30.95394737,3676.26,3530.24,59.87141305,72.5248661,1275,45.18,55.9,93.72,81.545,82.53333333,67.8,41,93.72,78.42352941,80.67777778
45,17,55,27,18,2,0,2010,21,TT,O,,2020,1,30.99506676,30.27551333,34.59283388,3650.72,4193.78,66.49540151,87.82110144,1357.4,49.3,25.575,59.08,62.05,51.8,79.29642857,25.575,59.08,57.57222222,48.18928571
11,25,36,46,18,0,1,2010,22,TT,O,,2020,1,27.80606606,27.95280559,27.07236842,4705.34,5730.7,65.33501085,86.79024381,1944,68.28,50.775,52.16,77.66,77.52666667,63.05185185,50.775,52.16,73.57058824,74.93703704
14,13,0,16,84,0,0,2010,24,TT,O,,2020,1,24.60273321,25.06275353,22.30263158,7321.32,6789.26,89.17513059,82.2581771,2108.4,84.54,63.475,104.7,89.9,93.45333333,89.90769231,54.36,104.7,86.70625,92.03461538
20,23,21,25,54,0,2,2010,26,TT,O,,2020,1,24.05752124,23.33459926,27.67213115,3574.72,4674.48,67.16818298,91.19204085,1299.4,54.06,54.95,100.53,84.09,81.6,81.72222222,45.34,100.53,79.6,78.4962963
14,21,50,39,11,1,0,2010,27,TT,O,,2020,1,25.98114297,26.41015845,23.83606557,4119.9,5076.26,62.33949951,86.85040538,1659.6,59.02,32.3375,70.47,72.195,62.57666667,70.80769231,32.3375,70.47,69.04375,59.15769231
45,6,21,27,52,1,0,2010,31,TT,O,,2020,1,25.29310677,24.92409655,27.13815789,4963.24,5535.04,71.06473573,95.24701903,1619.8,63.68,41.45,46.12,59.22,62.38333333,98.95185185,41.45,46.12,49.91764706,56.87777778
23,2,39,26,35,1,0,2010,1,TT,O,,2020,2,17.56697668,17.91971627,15.80327869,1297.66,1544.22,52.43324262,77.73718776,496.2,25.52,28.725,68.49,78.895,66.59666667,82.49642857,28.725,68.49,74.53333333,62.91428571
33,31,47,35,18,1,1,2010,2,TT,O,,2020,2,27.80484581,27.4377104,29.64052288,2230.92,2271.72,60.80705536,70.02920043,1008.4,35.92,44.75,76.07,60.945,63.68666667,68.36896552,44.75,76.07,61.27894737,64
28,22,52,33,15,1,0,2010,3,TT,O,,2020,2,32.29156507,33.41654475,26.66666667,4046.1,4003.62,76.09013085,78.0151573,1761.4,53.62,47.825,63.02,59.115,62.15,69.67241379,46.82857143,63.02,59.34210526,62.40344828
42,10,55,40,5,3,0,2010,5,TT,O,,2020,2,26.59444759,26.07123184,29.21052632,359.98,718.16,37.25785425,86.20353576,274.6,11.02,21.2625,35.9,42.175,44.36,82.0137931,21.2625,35.9,40.95789474,43.63793103
32,10,47,25,28,1,0,2010,9,TT,O,,2020,2,22.62020672,22.90162511,21.21311475,5259.06,5285.54,70.50363888,77.52010473,1633.6,71.42,23.9,66.64,67.885,56.5,80.81785714,23.9,66.64,69.01666667,56.41428571
42,22,35,44,21,2,2,2010,12,TT,O,,2020,2,22.69069221,22.74358475,22.42622951,1389.52,1623.14,55.94448276,71.19316092,589.6,25.26,14.2625,51.08,36.005,59.22,78.73793103,14.2625,51.08,34.95263158,59.33103448
30,11,18,38,44,0,1,2010,13,TT,O,,2020,2,27.33228705,27.25927078,27.69736842,3407.3,3518.26,65.97009993,80.68888748,1303.2,48.16,55.3875,70.78,70.19,66.86,89.47241379,55.3875,70.78,70.32105263,66.83103448
26,29,32,59,9,0,1,2010,14,TT,O,,2020,2,32.90885283,32.61193488,34.39344262,221.76,335.68,42.20155556,67.62666667,237.4,7.1,48.8875,58.31,65.83,69.70666667,67.29655172,48.8875,58.31,66.98421053,70.59655172
30,15,54,32,14,1,0,2010,19,TT,O,,2020,2,28.22569464,28.06037605,29.05228758,1073.54,1241.9,57.33670684,67.12847572,560.8,19.9,48.5625,49.98,51.165,58.00666667,73.9,48.5625,49.98,51.01052632,58.14137931
56,11,52,18,30,3,0,2010,21,TT,O,,2020,2,29.49325262,29.58206708,29.04918033,2689.24,3001.58,59.50941812,71.04838245,1250,41.72,27.0875,35.35,36.245,44.42666667,87.46206897,27.0875,35.35,35.36842105,44.13448276
49,7,52,19,29,0,0,2010,22,TT,O,,2020,2,26.81787359,27.10250094,25.39473684,1089.66,1230.98,54.73315519,71.41905757,578.6,20.28,27.225,28.85,33.79,45.55666667,84.50344828,27.225,28.85,32.54736842,45.14827586
65,19,38,32,30,4,1,2010,24,TT,O,,2020,2,28.46603885,28.75793084,27.00657895,1953.9,2326.46,67.17246634,81.30949754,811.8,28.6,31.4,45.57,44.49,51.26666667,84.7,31.4,45.57,43.95789474,51.15172414
70,4,39,39,22,1,0,2010,26,TT,O,,2020,2,28.61155197,28.98517815,26.74342105,1727.1,2054.9,47.43361842,68.67809211,734,25.94,24.025,36.26,36.62,38.05333333,95.6862069,24.025,36.26,35.21578947,37.18275862
51,5,65,31,4,3,0,2010,27,TT,O,,2020,2,28.35123912,28.3767501,28.22368421,394.56,481.56,35.27695652,63.55326087,296.2,9.44,25.0375,28.93,36.965,40.36666667,80.55862069,25.0375,28.93,36.14210526,39.94482759
44,7,26,39,35,0,0,2010,31,TT,O,,2020,2,25.8182466,25.31632215,28.32786885,1962.78,2173.66,61.27523392,84.33622807,791.6,29.24,37.2625,55,52.67,53.39333333,94.20344828,37.2625,55,51.93684211,52.93793103
56,2,38,31,31,1,0,2010,1,TT,O,,2020,3,17.22916675,17.37236853,16.51315789,2980.26,3371.42,69.19235307,77.27131895,756.2,46.14,32.725,48.54,43.125,42.76666667,94.37142857,32.725,48.54,41.61111111,41.76785714
20,12,63,31,6,1,0,2010,2,TT,O,,2020,3,27.47395369,27.32518007,28.21782178,792.18,1070.5,52.2237332,65.88633516,484.6,17.84,31.975,54.43,60.01,56.33666667,68.44482759,31.975,54.43,59.96842105,56.18275862
31,20,40,43,17,1,1,2010,3,TT,O,,2020,3,29.6935843,29.25072221,31.90789474,1023.58,1084.1,63.06698535,74.63310623,544,17.98,49.5875,82.96,66.605,63.31333333,72.78965517,49.5875,82.96,67.06842105,63.50344828
45,2,22,50,28,2,0,2010,5,TT,O,,2020,3,24.05205975,24.36905065,22.46710526,402.54,834.2,37.9173366,90.26544118,320.8,12.82,26.0875,36.73,42.94,51.92,100.6655172,26.0875,36.73,42.08421053,51.66896552
30,24,29,46,25,1,1,2010,9,TT,O,,2020,3,23.07451886,23.42712755,21.31147541,1569.5,1811.3,58.13738304,66.18491066,572.2,26.08,34.5625,105.68,72.07,72.43666667,68.875,34.54285714,105.68,75.15555556,74.44642857
47,13,67,27,6,1,0,2010,12,TT,O,,2020,3,20.53760926,20.0464469,22.99342105,1227.94,1736.4,49.63840659,68.45623626,578.2,27.8,27.3625,48.8,41.61,41.78666667,73.70689655,24.11428571,48.8,40.74736842,41.22758621
47,3,58,22,20,1,0,2010,13,TT,O,,2020,3,27.53016289,28.22698494,24.04605263,1198.58,1674.8,56.21712169,80.74655026,673.8,23.78,30.675,44.33,39.49,46.59666667,85.94482759,30.675,44.33,38.52631579,46.21034483
36,14,58,29,13,2,1,2010,14,TT,O,,2020,3,32.12093888,31.86538809,33.39869281,485.32,658.54,39.79325,58.403,400.8,12.2,29.6875,39.86,45.19,52.59333333,76.63103448,29.6875,39.86,44.73684211,52.55172414
47,16,70,25,5,2,1,2010,19,TT,O,,2020,3,24.79507083,24.2393309,27.57377049,1865.24,2271.36,51.38922435,74.14025767,900.2,33.54,30.1375,34.83,37.17,45.13666667,72.91724138,30.1375,34.83,35.96315789,44.62068966
56,10,32,46,22,4,1,2010,21,TT,O,,2020,3,28.37229233,27.99429178,30.26229508,1384.2,2126.06,41.2038825,83.56629204,812.6,28.2,25.425,44.43,37.49,51.45,91.04827586,25.425,44.43,36.31578947,51.16206897
61,4,39,43,18,2,0,2010,22,TT,O,,2020,3,26.24066178,26.21247835,26.38157895,1101.84,1820.34,41.68305618,79.90658052,647.4,23.86,27.0625,43.56,44.22,40.57666667,93.06896552,27.0625,43.56,43.35789474,39.8862069
39,10,26,22,52,1,1,2010,24,TT,O,,2020,3,25.70558711,26.03624701,24.05228758,2985.58,3489.76,72.35234707,73.06895851,1165.4,45.56,34.4125,95.32,68.56,69.88,88.86896552,30.87142857,95.32,69.05263158,70.24827586
44,2,43,34,23,2,0,2010,26,TT,O,,2020,3,26.38356438,25.95632989,28.51973684,895.6,1320.26,40.24865828,64.13156184,491.8,18.48,36.2,40.89,48.33,48.17,90.8,36.2,40.89,47.43684211,47.57931034
