AGE,MULT08B1,MULT10B1,MULT20B1,MULT30B1,GROUP,NUMBER,SLGROUP,YEAR,TAV08B1,TAV10B1,TAV20B1,TAV30B1,TAV08AB1,TAV10AB1,TAV20AB1,TAV30AB1,MULT08B2,MULT10B2,MULT20B2,MULT30B2,TAV08B2,TAV10B2,TAV20B2,TAV30B2,TAV08AB2,TAV10AB2,TAV20AB2,TAV30AB2,MULT08B3,MULT10B3,MULT20B3,MULT30B3,TAV08B3,TAV10B3,TAV20B3,TAV30B3,TAV08AB3,TAV10AB3,TAV20AB3,TAV30AB3,MULT08B4,MULT10B4,MULT20B4,MULT30B4,TAV08B4,TAV10B4,TAV20B4,TAV30B4,TAV08AB4,TAV10AB4,TAV20AB4,TAV30AB4,IDX08B1,IDX08B2,IDX08B3,IDX08B4,IDX10B1,IDX10B2,IDX10B3,IDX10B4,IDX20B1,IDX20B2,IDX20B3,IDX20B4,IDX30B1,IDX30B2,IDX30B3,IDX30B4,IDX08AB1,IDX08AB2,IDX08AB3,IDX08AB4,IDX10AB1,IDX10AB2,IDX10AB3,IDX10AB4,IDX20AB1,IDX20AB2,IDX20AB3,IDX20AB4,IDX30AB1,IDX30AB2,IDX30AB3,IDX30AB4,IDX08_4,IDX10_4,IDX20_4,IDX30_4,IDX08_3,IDX10_3,IDX20_3,IDX30_3,IDX08A_4,IDX10A_4,IDX20A_4,IDX30A_4,IDX08A_3,IDX10A_3,IDX20A_3,IDX30A_3
O,1,1,1,1,2010,1,,2020,57.475,104.96,101.545,88.56666667,57.475,104.96,97.07692308,82.09130435,1.22,1.23,1.34,1.26,28.725,68.49,78.895,66.59666667,28.725,68.49,74.53333333,62.91428571,1.47,1.42,1.57,1.43,32.725,48.54,43.125,42.76666667,32.725,48.54,41.61111111,41.76785714,1.52,1.42,1.57,1.43,37.2375,53.56,47.68,51.29333333,31.76666667,53.56,46.70555556,50.925,57.475,34.99521032,48.25987868,56.71778948,104.96,84.04896463,69.14689801,76.29806051,101.545,105.9031228,67.91238066,75.08550284,88.56666667,83.87909548,61.0858129,73.26488612,57.475,34.99521032,48.25987868,48.38496442,104.96,84.04896463,69.14689801,76.29806051,97.07692308,100.0483269,65.52833896,73.55096737,82.09130435,79.24110384,59.65916227,72.73877682,197.4478785,334.4539231,350.4460063,306.7964612,139.9728785,229.4939231,248.9010063,218.2297945,189.1150534,334.4539231,336.2045563,293.7303473,131.6400534,229.4939231,239.1276333,211.6390429
O,1,1,1,1,2010,2,,2020,48.7,62.06,71.37,76.45333333,48.7,62.06,66.05882353,73.67407407,1.22,1.23,1.34,1.26,44.75,76.07,60.945,63.68666667,44.75,76.07,61.27894737,64,1.47,1.42,1.57,1.43,31.975,54.43,60.01,56.33666667,31.975,54.43,59.96842105,56.18275862,1.52,1.42,1.57,1.43,28.1875,33.09,38.765,38.04333333,28.1875,33.09,38.42105263,37.79310345,48.7,54.51821277,47.15384632,42.9334056,62.06,93.35092334,77.53740541,47.13784209,71.37,81.8082999,94.50253828,61.04634055,76.45333333,80.21392454,80.46853654,54.33923481,48.7,54.51821277,47.15384632,42.9334056,62.06,93.35092334,77.53740541,47.13784209,66.05882353,82.25656746,94.4370606,60.50469917,73.67407407,80.60857066,80.24870182,53.98181869,193.3054647,280.0861708,308.7271787,291.4750292,144.6054647,218.0261708,237.3571787,215.0216959,193.3054647,280.0861708,303.2571508,288.5131653,144.6054647,218.0261708,237.1983272,214.8390912
O,1,1,1,1,2010,3,,2020,51.4125,81.25,74.275,77.21,48.6,81.25,68.20588235,73.71481481,1.22,1.23,1.34,1.26,47.825,63.02,59.115,62.15,46.82857143,63.02,59.34210526,62.40344828,1.47,1.42,1.57,1.43,49.5875,82.96,66.605,63.31333333,49.5875,82.96,67.06842105,63.50344828,1.52,1.42,1.57,1.43,38.875,45.41,53.74,57.77666667,38.875,45.41,53.59473684,57.82068966,51.4125,58.26443633,73.12717293,59.21192524,81.25,77.33633743,118.1793708,64.68810545,74.275,79.35183606,104.8882113,84.62866868,77.21,78.27847917,90.43366564,82.52536204,48.6,57.05050326,73.12717293,59.21192524,81.25,77.33633743,118.1793708,64.68810545,68.20588235,79.65668626,105.6179975,84.39991119,73.71481481,78.59769953,90.70521652,82.58824232,242.0160345,341.4538137,343.1437161,328.4475069,190.6035345,260.2038137,268.8687161,251.2375069,237.9896014,341.4538137,337.8804773,325.6059732,189.3896014,260.2038137,269.6745949,251.8911584
O,1,1,1,1,2010,5,,2020,41.375,48.34,70.57,67.02,41.375,48.34,65.08235294,63.17037037,1.22,1.23,1.34,1.26,21.2625,35.9,42.175,44.36,21.2625,35.9,40.95789474,43.63793103,1.47,1.42,1.57,1.43,26.0875,36.73,42.94,51.92,26.0875,36.73,42.08421053,51.66896552,1.52,1.42,1.57,1.43,61.5375,85.75,79.19,76.53666667,62.25714286,85.75,80.38421053,77.22758621,41.375,25.90376534,38.47149229,93.73000256,48.34,44.05545087,52.32314717,122.1538217,70.57,56.6127664,67.62104639,124.7068156,67.02,55.87181554,74.1599861,109.3212276,41.375,25.90376534,38.47149229,94.82611675,48.34,44.05545087,52.32314717,122.1538217,65.08235294,54.97900953,66.27336638,126.5874343,63.17037037,54.96236324,73.80142074,110.3081032,199.4802602,266.8724197,319.5106284,306.3730292,158.1052602,218.5324197,248.9406284,239.3530292,200.5763744,266.8724197,312.9221632,302.2422576,159.2013744,218.5324197,247.8398102,239.0718872
O,1,1,1,1,2010,9,,2020,46.675,77.29,70.135,65.17,24.225,77.29,60.325,58.36923077,1.22,1.23,1.34,1.26,23.9,66.64,67.885,56.5,23.9,66.64,69.01666667,56.41428571,1.47,1.42,1.57,1.43,34.5625,105.68,72.07,72.43666667,34.54285714,105.68,75.15555556,74.44642857,1.52,1.42,1.57,1.43,24.05,30.16,31.215,52.41666667,23.46666667,30.16,30.34444444,53.37142857,46.675,29.11698961,50.96965797,36.63142899,77.29,81.77869766,150.5447915,42.9639564,70.135,91.12406987,113.4943832,49.15675275,65.17,71.16225379,103.4649883,74.86940045,24.225,29.11698961,50.94069045,35.74293279,77.29,81.77869766,150.5447915,42.9639564,60.325,92.64313995,118.3534539,47.78581941,58.36923077,71.05429588,106.3356338,76.23313562,163.3930766,352.5774456,323.9102058,314.6666426,116.7180766,275.2874456,253.7752058,249.4966426,140.0256129,352.5774456,319.1074132,311.9922961,115.8006129,275.2874456,258.7824132,253.6230653
O,1,1,1,1,2010,12,,2020,41.35,63.47,62.205,60.56333333,34.92,63.47,55.02352941,55.85925926,1.22,1.23,1.34,1.26,14.2625,51.08,36.005,59.22,14.2625,51.08,34.95263158,59.33103448,1.47,1.42,1.57,1.43,27.3625,48.8,41.61,41.78666667,24.11428571,48.8,40.74736842,41.22758621,1.52,1.42,1.57,1.43,22.275,24.42,46.405,49.27666667,22.275,24.42,45.41578947,48.72758621,41.35,17.37577675,40.3517473,33.92786199,63.47,62.68391171,69.51727694,34.78712916,62.205,48.3305905,65.5265892,73.07765854,60.56333333,74.58811804,59.68602888,70.38437818,34.92,17.37577675,35.56157381,33.92786199,63.47,62.68391171,69.51727694,34.78712916,55.02352941,46.91796483,64.16813438,71.51986975,55.85925926,74.72796696,58.88746572,69.60009854,133.005386,230.4583178,249.1398382,265.2218584,91.65538604,166.9883178,186.9348382,204.6585251,121.7852126,230.4583178,237.6294984,259.0747905,86.86521255,166.9883178,182.605969,203.2155312
O,1,1,1,1,2010,13,,2020,48.6875,92.63,83.685,74.39666667,48.6875,92.63,77.3375,69.06153846,1.22,1.23,1.34,1.26,55.3875,70.78,70.19,66.86,55.3875,70.78,70.32105263,66.83103448,1.47,1.42,1.57,1.43,30.675,44.33,39.49,46.59666667,30.675,44.33,38.52631579,46.21034483,1.52,1.42,1.57,1.43,28.175,67.77,51.005,46.53666667,25.21428571,67.77,51.11578947,46.45517241,48.6875,67.47770971,45.23672356,42.9143664,92.63,86.85918698,63.14960834,96.54069382,83.685,94.21814045,62.18805594,80.32164581,74.39666667,84.21076617,66.55639739,66.47069633,48.6875,67.47770971,45.23672356,38.40479487,92.63,86.85918698,63.14960834,96.54069382,77.3375,94.39405632,60.67046547,80.49611484,69.06153846,84.17428384,66.00459419,66.35429393,204.3162997,339.1794891,320.4128422,291.6345265,155.6287997,246.5494891,236.7278422,217.2378599,199.8067281,339.1794891,312.8981366,285.5947104,151.1192281,246.5494891,235.5606366,216.533172
O,1,1,1,1,2010,14,,2020,54.0875,69.27,74.405,67.26666667,54.0875,69.27,70.17222222,64.03571429,1.22,1.23,1.34,1.26,48.8875,58.31,65.83,69.70666667,48.8875,58.31,66.98421053,70.59655172,1.47,1.42,1.57,1.43,29.6875,39.86,45.19,52.59333333,29.6875,39.86,44.73684211,52.55172414,1.52,1.42,1.57,1.43,18,18.23,26.13,28.03,18,18.23,24.46315789,27.00344828,54.0875,59.55886317,43.78044762,27.41645413,69.27,71.55636045,56.78193973,25.96926145,74.405,88.36558179,71.16430103,41.14899726,67.26666667,87.79616821,75.12174247,40.03667971,54.0875,59.55886317,43.78044762,27.41645413,69.27,71.55636045,56.78193973,25.96926145,70.17222222,89.91491317,70.45067712,38.52408791,64.03571429,88.91698638,75.06230993,38.57040348,184.8432649,223.5775616,275.0838801,270.2212571,130.7557649,154.3075616,200.6788801,202.9545904,184.8432649,223.5775616,269.0619004,266.5854141,130.7557649,154.3075616,198.8896782,202.5496998
O,1,1,1,1,2010,19,,2020,55.9,93.72,81.545,82.53333333,41,93.72,78.42352941,80.67777778,1.22,1.23,1.34,1.26,48.5625,49.98,51.165,58.00666667,48.5625,49.98,51.01052632,58.14137931,1.47,1.42,1.57,1.43,30.1375,34.83,37.17,45.13666667,30.1375,34.83,35.96315789,44.62068966,1.52,1.42,1.57,1.43,24.4625,30.34,35.51,45.63,24.4625,30.34,34.12631579,45.07241379,55.9,59.16292084,44.44406704,37.25972273,93.72,61.33402325,49.61653188,43.22037259,81.545,68.68031281,58.53456671,55.92043217,82.53333333,73.05991389,64.47100487,65.17565805,41,59.16292084,44.44406704,37.25972273,93.72,61.33402325,49.61653188,43.22037259,78.42352941,68.47295815,56.63405609,53.74143417,80.67777778,73.22958567,63.73400857,64.37922921,196.7667106,247.8909277,264.6803117,285.2399101,140.8667106,154.1709277,183.1353117,202.7065768,181.8667106,247.8909277,257.2719778,282.0206012,140.8667106,154.1709277,178.8484484,201.3428234
O,1,1,1,1,2010,21,,2020,25.575,59.08,62.05,51.8,25.575,59.08,57.57222222,48.18928571,1.22,1.23,1.34,1.26,27.0875,35.35,36.245,44.42666667,27.0875,35.35,35.36842105,44.13448276,1.47,1.42,1.57,1.43,25.425,44.43,37.49,51.45,25.425,44.43,36.31578947,51.16206897,1.52,1.42,1.57,1.43,29.7375,33.87,38.18,54.42666667,29.7375,33.87,37.07894737,54.26551724,25.575,33.00027013,37.49449704,45.29426693,59.08,43.38050664,63.29206177,48.24897889,62.05,48.65274969,59.03849625,60.12509435,51.8,55.9557828,73.48866111,77.74038605,25.575,33.00027013,37.49449704,45.29426693,59.08,43.38050664,63.29206177,48.24897889,57.57222222,47.4760915,57.18937319,58.39117886,48.18928571,55.58777456,73.07739452,77.5102081,141.3640341,214.0015473,229.8663403,258.98483,115.7890341,154.9215473,167.8163403,207.18483,141.3640341,214.0015473,220.6288658,254.3646629,115.7890341,154.9215473,163.0566435,206.1753772
