"AGE","MULT08B1","MULT10B1","MULT20B1","MULT30B1","GROUP","NUMBER","SLGROUP","YEAR","TAV08B1","TAV10B1","TAV20B1","TAV30B1","TAV08AB1","TAV10AB1","TAV20AB1","TAV30AB1","MULT08B2","MULT10B2","MULT20B2","MULT30B2","TAV08B2","TAV10B2","TAV20B2","TAV30B2","TAV08AB2","TAV10AB2","TAV20AB2","TAV30AB2","MULT08B3","MULT10B3","MULT20B3","MULT30B3","TAV08B3","TAV10B3","TAV20B3","TAV30B3","TAV08AB3","TAV10AB3","TAV20AB3","TAV30AB3","MULT08B4","MULT10B4","MULT20B4","MULT30B4","TAV08B4","TAV10B4","TAV20B4","TAV30B4","TAV08AB4","TAV10AB4","TAV20AB4","TAV30AB4","IDX08B1","IDX08B2","IDX08B3","IDX08B4","IDX10B1","IDX10B2","IDX10B3","IDX10B4","IDX20B1","IDX20B2","IDX20B3","IDX20B4","IDX30B1","IDX30B2","IDX30B3","IDX30B4","IDX08AB1","IDX08AB2","IDX08AB3","IDX08AB4","IDX10AB1","IDX10AB2","IDX10AB3","IDX10AB4","IDX20AB1","IDX20AB2","IDX20AB3","IDX20AB4","IDX30AB1","IDX30AB2","IDX30AB3","IDX30AB4","IDX08_4","IDX10_4","IDX20_4","IDX30_4","IDX08_3","IDX10_3","IDX20_3","IDX30_3","IDX08A_4","IDX10A_4","IDX20A_4","IDX30A_4","IDX08A_3","IDX10A_3","IDX20A_3","IDX30A_3"
"O","1.00","1.00","1.00","1.00","2101",5,"",2021,42.4625,49.62,64.15,64.9033333333333,42.4625,49.62,64.2526315789474,64.9965517241379,"1.22","1.23","1.34","1.26",54.4125,71.53,80,77.15,54.4125,71.53,81.0789473684211,77.7586206896552,"1.47","1.42","1.57","1.43",34.65,58.49,57.925,61.8866666666667,34.65,58.49,52.2705882352941,58.7666666666667,"1.52","1.42","1.57","1.43",50.7625,53.32,68.555,63.25,50.32,53.32,53.9214285714286,53.3875,42.4625,66.2898827303535,51.0986950750712,77.3182084914317,49.62,87.7795654821085,83.3210149239121,75.9561722643699,64.15,107.386397435632,91.2191223141515,107.959032028427,64.9033333333333,97.171112917189,88.3958848230844,90.3432034104291,42.4625,66.2898827303535,51.0986950750712,76.6442206607012,49.62,87.7795654821085,83.3210149239121,75.9561722643699,64.2526315789474,108.834700822099,82.3146686520146,84.9143787347593,64.9965517241379,97.9376761026487,83.9394295718506,76.2560912580914,237.169286296856,296.676752670391,370.714551778211,340.813534484036,194.706786296856,247.05675267039,306.564551778211,275.910201150703,236.495298466126,296.676752670391,340.31637978782,323.129748656729,194.032798466126,247.05675267039,276.063748208873,258.133196932591
"O","1.00","1.00","1.00","1.00","2101",7,"",2021,77.8125,123.05,108.47,101.013333333333,77.8125,123.05,112.777777777778,103.25,"1.22","1.23","1.34","1.26",59.625,81.32,82.97,78.1333333333333,59.625,81.32,86.3333333333333,79.95,"1.47","1.42","1.57","1.43",46.4,117.3,99.74,86.3833333333333,46.4,117.3,99.6266666666667,83.644,"1.52","1.42","1.57","1.43",37.4125,84.9,76.94,66.9233333333333,37.4125,84.9,69.98125,61.1,77.8125,72.6401885191331,68.4265353963436,56.9843383439683,123.05,99.7935728366428,167.09788084416,120.94296746521,108.47,111.37311744043,157.068541383055,121.163560998719,101.013333333333,98.4096300185314,123.385724183466,95.5900129049373,77.8125,72.6401885191331,68.4265353963436,56.9843383439683,123.05,99.7935728366428,167.09788084416,120.94296746521,112.777777777778,115.887820565953,156.890066334361,110.20506177725,103.25,100.697737883723,119.472994562244,87.2722486699955,275.863562259445,510.884421146012,498.075219822204,418.398700440268,198.051062259445,387.834421146012,389.605219822204,317.385367106935,275.863562259445,510.884421146012,495.760726455342,410.692981115963,198.051062259445,387.834421146012,382.982948677564,307.442981115963
"O","1.00","1.00","1.00","1.00","2101",8,"",2021,61.4,62.64,62.15,62.5266666666667,62.8142857142857,62.82,62.82,63.1266666666667,"1.22","1.23","1.34","1.26",38.525,89.28,88.925,77.0933333333333,38.525,89.28,91.8944444444444,78.1571428571429,"1.47","1.42","1.57","1.43",42.8375,62.79,76.76,79.5933333333333,42.8375,62.79,68.16,75,"1.52","1.42","1.57","1.43",30.0875,33.04,63.62,55.7466666666667,30.0875,33.04,44.0133333333333,42.408,61.4,46.9343943429703,63.1728816819152,45.8273646488244,62.64,109.561856650953,89.4465126871678,47.06661537162,62.15,119.366692399544,120.880100627264,100.187493511028,62.5266666666667,97.0997407452472,113.687220607864,79.625809424823,62.8142857142857,46.9343943429703,63.1728816819152,45.8273646488244,62.82,109.561856650953,89.4465126871678,47.06661537162,62.82,123.352666665471,107.336993991067,69.3113100869548,63.1266666666667,98.43961832607,107.126328154659,60.5735109917704,217.33464067371,308.714984709741,402.584286537837,352.939437444601,155.93464067371,246.07498470974,340.434286537837,290.412770777935,218.748926387996,308.89498470974,362.820970743493,329.266124139166,155.93464067371,246.07498470974,300.000970743493,266.139457472499
"O","1.00","1.00","1.00","1.00","2101",9,"",2021,52.35,82.48,83.025,79.6366666666667,52.35,82.48,85.2611111111111,80.8321428571429,"1.22","1.23","1.34","1.26",37.6625,39.05,50.875,61.25,37.6625,39.05,50.6578947368421,61.4655172413793,"1.47","1.42","1.57","1.43",32.525,43.04,48.425,45.3066666666667,32.525,43.04,41.0764705882353,40.3333333333333,"1.52","1.42","1.57","1.43",20.875,57.99,62.145,50.5666666666667,20.875,57.99,53.825,43.6653846153846,52.35,45.8836243203665,47.9649367190964,31.795471110734,82.48,47.9210405714572,61.3119590070983,82.6087477421382,83.025,68.2910371192221,76.2587138206783,97.8646932449365,79.6366666666667,77.14492114294,64.7138245456945,72.2269510269412,52.35,45.8836243203665,47.9649367190964,31.795471110734,82.48,47.9210405714572,61.3119590070983,82.6087477421382,85.2611111111111,67.9996102182865,64.6863978389622,84.7625249643368,80.8321428571429,77.4163670301425,57.6101586965055,62.3694976174279,177.994032150197,274.321747320694,325.439444184837,293.722363382242,125.644032150197,191.841747320694,242.414444184837,214.085696715576,177.994032150197,274.321747320694,302.709644132697,278.228166201219,125.644032150197,191.841747320694,217.448533021585,197.396023344076
"O","1.00","1.00","1.00","1.00","2101",10,"",2021,47.175,66.09,83.735,81.43,47.175,66.09,84.6631578947368,81.9586206896552,"1.22","1.23","1.34","1.26",53.2875,60.94,61.43,69.53,53.2875,60.94,62.4894736842105,70.5034482758621,"1.47","1.42","1.57","1.43",55.875,107.85,88.145,87.3066666666667,52.0333333333333,107.85,86.91875,86.4230769230769,"1.52","1.42","1.57","1.43",29.925,54.73,62.33,59.5166666666667,29.925,54.73,51.65,52.5115384615385,47.175,64.9193131356529,82.3994108894547,45.5798549934714,66.09,74.7838210608093,153.636031108633,77.9647657169723,83.735,82.4593299308857,138.808969121811,98.1560275155989,81.43,87.5736549725489,124.704568312304,85.0106928533972,47.175,64.9193131356529,76.7340673517904,45.5798549934714,66.09,74.7838210608093,153.636031108633,77.9647657169723,84.6631578947368,83.881493207451,136.877895341272,81.3373788092521,81.9586206896552,88.799721755865,123.442491981292,75.0049106818236,240.073579018579,372.474617886414,403.159326568295,378.71891613825,192.898579018579,306.384617886414,319.424326568295,297.28891613825,234.408235480915,372.474617886414,386.759925252712,369.205745108635,187.233235480915,306.384617886414,302.096767357975,287.24712441898
"O","1.00","1.00","1.00","1.00","2101",14,"",2021,50.0875,91.23,78.335,73.9266666666667,50.0875,91.23,79.2578947368421,74.3793103448276,"1.22","1.23","1.34","1.26",26.8125,69.29,52.245,50.0933333333333,26.8125,69.29,52.2894736842105,50.048275862069,"1.47","1.42","1.57","1.43",26.775,28.53,47.02,59.64,26.775,28.53,36.11875,54.8730769230769,"1.52","1.42","1.57","1.43",24.1125,47.06,57.255,46.25,24.1125,47.06,49.0117647058824,39.837037037037,50.0875,32.6652420070315,39.4853552852823,36.7266250135365,91.23,85.030701695167,40.6419653920194,67.0385871485605,78.335,70.1300291753073,74.0461481434856,90.1640198204013,73.9266666666667,63.0929999965226,85.1868561485849,66.0612356953731,50.0875,32.6652420070315,39.4853552852823,36.7266250135365,91.23,85.030701695167,40.6419653920194,67.0385871485605,79.2578947368421,70.189727534408,56.8790793972251,77.1827390511575,74.3793103448276,63.0362497097048,78.3780166042318,56.9012733645191,158.96472230585,283.941254235747,312.675197139194,288.267758507147,108.87722230585,192.711254235747,234.340197139194,214.341091840481,158.96472230585,283.941254235747,283.509440719633,272.694850023283,108.87722230585,192.711254235747,204.251545982791,198.315539678456
"O","1.00","1.00","1.00","1.00","2101",15,"",2021,43.225,48.71,66.005,60.8966666666667,43.225,48.71,65.9210526315789,60.6655172413793,"1.22","1.23","1.34","1.26",22.825,48.18,39.76,41.0933333333333,19.5,48.18,39.4263157894737,40.9206896551724,"1.47","1.42","1.57","1.43",22.9875,42.82,56.175,50.16,22.9875,42.82,43.43125,41.3923076923077,"1.52","1.42","1.57","1.43",24.15,40.27,44.8,42.8533333333333,21.7428571428571,40.27,33.5625,35.6384615384615,43.225,27.8073342213704,33.8998918625743,36.7837426263103,48.71,59.1251148459106,60.9985614471178,57.3659988200708,66.005,53.371039525509,88.4632575916696,70.5501368955372,60.8966666666667,51.7574197469477,71.646088269836,61.2096033225021,43.225,23.7565396414775,33.8998918625743,33.1173358634985,48.71,59.1251148459106,60.9985614471178,57.3659988200708,65.9210526315789,52.9231252098893,68.3946569875959,52.8535484275997,60.6655172413793,51.5399734949061,59.1227458256636,50.9042336759523,141.715968710255,226.199675113099,278.389434012716,245.509778005952,98.490968710255,177.489675113099,212.384434012716,184.613111339286,133.99876736755,226.199675113099,240.092383256664,222.232470237901,90.7737673675503,177.489675113099,174.171330625085,161.566952996522
"O","1.00","1.00","1.00","1.00","2101",19,"",2021,69.775,112.11,93.25,103.286666666667,79.1,112.11,102.94,111.108,"1.22","1.23","1.34","1.26",55.25,65.7,81.955,90.5,55.25,65.7,84.5388888888889,92.7714285714286,"1.47","1.42","1.57","1.43",65.8,94.72,85.315,84.4033333333333,67.7666666666667,94.72,88.5,85.9260869565217,"1.52","1.42","1.57","1.43",40.2375,107.31,88.725,75.6566666666667,40.2375,107.31,88.8,73.6923076923077,69.775,67.3101956508529,97.0359057991251,61.2871985062592,112.11,80.6251566080599,134.93189491525,152.866782552317,93.25,110.010652522965,134.352342170597,139.722341429833,103.286666666667,113.985556954058,120.557589120183,108.06427867228,79.1,67.3101956508529,99.9361684344587,61.2871985062592,112.11,80.6251566080599,134.93189491525,152.866782552317,102.94,113.479084012362,139.368015965514,139.84044991794,111.108,116.846441493237,122.732615844668,105.25848448427,295.408299956237,480.533834075626,477.335336123395,445.894091413188,225.633299956237,368.423834075626,384.085336123395,342.607424746521,307.633562591571,480.533834075626,495.627549895816,455.945541822175,228.533562591571,368.423834075626,392.687549895816,344.837541822175
"O","1.00","1.00","1.00","1.00","2101",20,"",2021,35.6125,48.68,49.91,46.9966666666667,35.6125,48.68,48.7555555555556,46.0464285714286,"1.22","1.23","1.34","1.26",23.3125,28.31,41.535,45.0166666666667,23.3125,28.31,39.9722222222222,44.2607142857143,"1.47","1.42","1.57","1.43",8.525,9.63,31.425,30.0033333333333,8.525,9.63,13.7533333333333,19.116,"1.52","1.42","1.57","1.43",17.2,30.27,49,39.2033333333333,17.2,30.27,35.7533333333333,29.296,35.6125,28.4012477124074,12.5719011692636,26.1979450589042,48.68,34.7412204501397,13.7182659209655,43.1206551845926,49.91,55.7536752186121,49.4874565165682,77.1642122294938,46.9966666666667,56.6988930631513,42.8552924320038,55.9961220189753,35.6125,28.4012477124074,12.5719011692636,26.1979450589042,48.68,34.7412204501397,13.7182659209655,43.1206551845926,48.7555555555556,53.6559117742618,21.6584720856389,56.3036285968401,46.0464285714286,55.7467642988021,27.3043585200595,41.8449721282519,102.783593940575,140.260141555698,232.315343964674,202.546974180797,67.1710939405751,91.5801415556978,182.405343964674,155.55030751413,102.783593940575,140.260141555698,180.373568012296,170.942523518542,67.1710939405751,91.5801415556978,131.618012456741,124.896094947113
"O","1.00","1.00","1.00","1.00","2101",21,"",2021,53.35,66.6,71.475,82.1133333333333,53.35,66.6,71.6473684210526,82.5931034482759,"1.22","1.23","1.34","1.26",48.0375,56.22,52.39,55.7433333333333,48.0375,56.22,52.8315789473684,56.148275862069,"1.47","1.42","1.57","1.43",35.075,64.64,71.05,71.0733333333333,35.075,64.64,65.8235294117647,67.7851851851852,"1.52","1.42","1.57","1.43",21.4625,22.67,42.265,48.3033333333333,21.4625,22.67,33.3,43.3296296296296,53.35,58.5233216937167,51.7254467462662,32.6903137108565,66.6,68.9915723668969,92.0819012597312,32.2941940216291,71.475,70.3246670206593,111.888107732766,66.5580699975419,82.1133333333333,70.2092253754224,101.517669729495,68.9941165017406,53.35,58.5233216937167,51.7254467462662,32.6903137108565,66.6,68.9915723668969,92.0819012597312,32.2941940216291,71.6473684210526,70.9174116749258,103.657567208648,52.4401687192274,82.5931034482759,70.7192541010833,96.821039895633,61.8899216336472,196.289082150839,259.967667648257,320.245844750967,322.834344939991,142.939082150839,193.367667648257,248.770844750967,240.721011606658,196.289082150839,259.967667648257,298.662516023853,312.023319078639,142.939082150839,193.367667648257,227.015147602801,229.430215630364
