"TMQUADB","TMQUADD","TIMEINN","TIMEMID","TIMEOUT","ANCROSB","ANCROSD","GROUP","NUMBER","COND","AGE","SLGROUP","YEAR","BLOCK","BSPEED","BSPEEDTT","BSPEEDFS","TTCUMDS","TTCUMDSO","TTAVDS","TTAVDSO","TTPATH","TTLAT","TAVDS08","TAVDS10","TAVDS20","TAVDS30","TAVDSO30","TAVDS08A","TAVDS10A","TAVDS20A","TAVDS30A"
26,24,18,27,55,0,0,"2101",7,"TT","O","",2021,0,20.4589027632029,20.4589027632029,20.4589027632029,5471.3,6107.3,77.0605633802817,86.0183098591549,1502,73.4,49.05,68.15,64.715,64.2833333333333,100.65,49.05,68.15,64.15,63.8892857142857
26,19,26,25,49,1,1,"2101",9,"TT","O","",2021,0,22.1370611370152,22.1370611370152,22.1370611370152,3853.3,4022.5,77.066,80.45,1321,51.7,48.05,48.45,67.72,76.6266666666667,81.8275862068966,48.05,48.45,67.8736842105263,77.0344827586207
32,25,20,16,64,1,0,"2101",10,"TT","O","",2021,0,25.0155283502128,25.0155283502128,25.0155283502128,3490.4,3722.3,79.3272727272727,84.5977272727273,1271,45.4,51.8125,60.74,66.025,64.3233333333333,94.6344827586207,51.8125,60.74,66.4421052631579,64.5379310344828
23,30,13,18,69,0,0,"2101",14,"TT","O","",2021,0,24.581079145499,24.581079145499,24.581079145499,4859.7,4493.2,86.7803571428571,80.2357142857143,1487,57.3,47.825,57.32,66.795,77.4433333333333,82.651724137931,47.825,57.32,66.8684210526316,77.8586206896552
30,27,15,27,58,1,1,"2101",15,"TT","O","",2021,0,20.2503397080654,20.2503397080654,20.2503397080654,6993.2,7387.8,79.4681818181818,83.9522727272727,1897,90.1,34.2625,52.18,49.27,64.2166666666667,92.1821428571429,34.2625,52.18,47.3722222222222,64.0642857142857
38,21,6,25,69,0,1,"2101",19,"TT","O","",2021,0,18.7293818519433,18.7293818519433,18.7293818519433,6921.5,8135.1,78.6534090909091,92.4443181818182,2276,90.1,44.525,92.46,71.715,72.3666666666667,96.8714285714286,41.75,92.46,73.8111111111111,73.7607142857143
49,20,20,18,62,1,0,"2101",20,"TT","O","",2021,0,14.9115680759025,14.9115680759025,14.9115680759025,4691.1,6590.6,67.0157142857143,94.1514285714286,1479,73.8,38.0625,40.86,49.405,53.85,115.144444444444,38.0625,40.86,46.3941176470588,52.4481481481482
22,18,17,37,46,1,0,"2101",21,"TT","O","",2021,0,19.9801123501116,19.9801123501116,19.9801123501116,2864.8,3203.1,75.3894736842105,84.2921052631579,986,40.2,42.8875,80.48,64.365,73.0266666666667,87.0142857142857,42.8875,80.48,64.4666666666667,73.7107142857143
28,12,25,27,48,0,0,"2101",29,"TT","O","",2021,0,21.0243172227164,21.0243172227164,21.0243172227164,5340,8303.9,60.6818181818182,94.3625,1798,90.1,41.525,54.7,57.67,53.6233333333333,105.953571428571,41.525,54.7,56.8277777777778,52.7928571428571
23,26,9,14,77,0,1,"2101",33,"TT","O","",2021,0,23.8912319644839,23.8912319644839,23.8912319644839,7832.5,7656.3,88.0056179775281,86.0258426966292,2113,90.1,48.4625,95.38,73.165,74.33,88.9310344827586,48.4625,95.38,73.9105263157895,74.8586206896552
