AGE,MULT08B1,MULT10B1,MULT20B1,MULT30B1,GROUP,NUMBER,SLGROUP,YEAR,TAV08B1,TAV10B1,TAV20B1,TAV30B1,TAV08AB1,TAV10AB1,TAV20AB1,TAV30AB1,MULT08B2,MULT10B2,MULT20B2,MULT30B2,TAV08B2,TAV10B2,TAV20B2,TAV30B2,TAV08AB2,TAV10AB2,TAV20AB2,TAV30AB2,MULT08B3,MULT10B3,MULT20B3,MULT30B3,TAV08B3,TAV10B3,TAV20B3,TAV30B3,TAV08AB3,TAV10AB3,TAV20AB3,TAV30AB3,MULT08B4,MULT10B4,MULT20B4,MULT30B4,TAV08B4,TAV10B4,TAV20B4,TAV30B4,TAV08AB4,TAV10AB4,TAV20AB4,TAV30AB4,IDX08B1,IDX08B2,IDX08B3,IDX08B4,IDX10B1,IDX10B2,IDX10B3,IDX10B4,IDX20B1,IDX20B2,IDX20B3,IDX20B4,IDX30B1,IDX30B2,IDX30B3,IDX30B4,IDX08AB1,IDX08AB2,IDX08AB3,IDX08AB4,IDX10AB1,IDX10AB2,IDX10AB3,IDX10AB4,IDX20AB1,IDX20AB2,IDX20AB3,IDX20AB4,IDX30AB1,IDX30AB2,IDX30AB3,IDX30AB4,IDX08_4,IDX10_4,IDX20_4,IDX30_4,IDX08_3,IDX10_3,IDX20_3,IDX30_3,IDX08A_4,IDX10A_4,IDX20A_4,IDX30A_4,IDX08A_3,IDX10A_3,IDX20A_3,IDX30A_3
O,1,1,1,1,2102,2,,2021,41.925,62.78,68.08,84.75666667,41.925,62.78,56.70666667,81.268,1.22,1.23,1.34,1.26,23.8,47.99,51.77,43.05,23.8,47.99,51.16666667,40.944,1.47,1.42,1.57,1.43,38.0375,60.98,52.2,58.08666667,36.81666667,60.98,51.3,58.17407407,1.52,1.42,1.57,1.43,115.7875,126.31,127.15,123.6166667,115.7875,124.0166667,124.0166667,119.35,41.925,28.9951612,56.09427457,176.360149,62.78,58.89195229,86.86810549,179.9329355,68.08,69.49242244,82.20350772,200.2332568,84.75666667,54.22185886,82.96815086,176.5679946,41.925,28.9951612,54.29389967,176.360149,62.78,58.89195229,86.86810549,176.6660033,56.70666667,68.68255003,80.78620586,195.2989467,81.268,51.56933308,83.09299932,170.4736969,303.3745848,388.4729932,420.009187,398.514671,261.4495848,325.6929932,351.929187,313.7580044,301.5742099,385.2060611,401.4743692,386.4040293,259.6492099,322.4260611,344.7677026,305.1360293
O,1,1,1,1,2102,4,,2021,48.4,52.08,76.34,79.82666667,48.4,52.08,61.70714286,72.1625,1.22,1.23,1.34,1.26,28.7375,31.18,49.89,48.83333333,28.7375,31.18,51.62222222,49.87142857,1.47,1.42,1.57,1.43,32.4625,54.17,46.32,43.01,32.4625,54.17,45.64210526,42.45172414,1.52,1.42,1.57,1.43,23.175,37.71,42.5,42.18333333,13.275,37.71,32.875,36.21153846,48.4,35.01043887,47.87276736,35.29868469,52.08,38.26320218,77.16702647,53.71919085,76.34,66.9688421,72.94380225,66.92814326,79.82666667,61.50601876,61.43337832,60.25260812,48.4,35.01043887,47.87276736,20.21963492,52.08,38.26320218,77.16702647,53.71919085,61.70714286,69.2940559,71.87626729,51.77088729,72.1625,62.81350897,60.63596441,51.7227887,166.5818909,221.2294195,283.1807876,263.0186719,118.1818909,169.1494195,206.8407876,183.1920052,151.5028411,221.2294195,254.6483533,247.3347621,103.1028411,169.1494195,192.9412105,175.1722621
O,1,1,1,1,2102,5,,2021,44.15,68,85.405,78.52333333,44.15,68,78.93333333,73.264,1.22,1.23,1.34,1.26,28.4,31.18,41.035,43.89,28.4,31.18,40.16842105,43.42068966,1.47,1.42,1.57,1.43,21.425,31.75,42.275,52.35,21.425,31.75,41.27894737,52.04482759,1.52,1.42,1.57,1.43,39.1,41.77,61.305,69.38,39.1,41.77,51.08235294,63.84074074,44.15,34.59926799,31.59565778,59.55463092,68,38.26320218,45.22896604,59.50280037,85.405,55.08251023,66.5738178,96.54187818,78.52333333,55.27984635,74.77417705,99.0989953,44.15,34.59926799,31.59565778,59.55463092,68,38.26320218,45.22896604,59.50280037,78.93333333,53.91927534,65.00525419,80.44345966,73.264,54.68874579,74.33828372,91.18698856,169.8995567,210.9949686,303.6032062,307.676352,125.7495567,142.9949686,218.1982062,229.1530187,169.8995567,210.9949686,278.3013225,293.4780181,125.7495567,142.9949686,199.3679892,220.2140181
O,1,1,1,1,2102,7,,2021,68.2625,80.27,84.545,80.64333333,68.2625,80.27,84.15714286,79.44166667,1.22,1.23,1.34,1.26,31.0625,97.12,67.325,62.72,26.48,97.12,72.37647059,65.38888889,1.47,1.42,1.57,1.43,43.975,57.87,65.045,78.39333333,43.975,57.87,59.62777778,75.86428571,1.52,1.42,1.57,1.43,22.9875,65.73,75.495,60.41,22.9875,65.73,71.04285714,54.04166667,68.2625,37.84294936,64.8503641,35.01309663,80.27,119.1828799,82.43780362,93.63464372,84.545,90.37236509,102.4315548,118.8880041,80.64333333,78.99639925,111.9731994,86.28668645,68.2625,32.26016255,64.8503641,35.01309663,80.27,119.1828799,82.43780362,93.63464372,84.15714286,97.15310544,93.90062243,111.8768593,79.44166667,82.3578886,108.3608316,77.1904709,205.9689101,375.5253272,396.236924,357.8996184,137.7064101,295.2553272,311.691924,277.2562851,200.3861233,375.5253272,387.08773,347.3508577,132.1236233,295.2553272,302.9305872,267.9091911
O,1,1,1,1,2102,8,,2021,36.3625,67.63,60.08,54.26333333,29.64,67.63,54.3125,49.81923077,1.22,1.23,1.34,1.26,35.875,76.23,58.95,52.70666667,35.38333333,76.23,58.79444444,52.16071429,1.47,1.42,1.57,1.43,39.175,48.71,54.945,70.93666667,39.175,48.71,54.38421053,71.12068966,1.52,1.42,1.57,1.43,25.5125,28.88,46.465,48.93,25.5125,28.88,35.85,42.77692308,36.3625,43.70594152,57.77175699,38.85901589,67.63,93.54727075,69.38906885,41.14055242,60.08,79.13035161,86.52627839,73.17214533,54.26333333,66.38451663,101.3224618,69.88921649,29.64,43.10695185,57.77175699,38.85901589,67.63,93.54727075,69.38906885,41.14055242,54.3125,78.92154473,85.64315843,56.45585731,49.81923077,65.69688474,101.5853112,61.10046265,176.6992144,271.706892,298.9087753,291.8595282,140.3367144,204.076892,238.8287753,237.5961949,169.3777247,271.706892,275.3330605,278.2018893,139.7377247,204.076892,221.0205605,228.3826586
O,1,1,1,1,2102,10,,2021,42.3,45.57,76.205,86.13333333,42.3,45.57,61.76666667,79.456,1.22,1.23,1.34,1.26,36.8875,94.8,71.225,62.38333333,36.8875,94.8,71.61052632,62.33103448,1.47,1.42,1.57,1.43,46.1125,62.42,60.035,60.93666667,46.1125,62.42,61.11111111,61.69285714,1.52,1.42,1.57,1.43,23.0875,23.26,52.115,48.64,23.0875,23.26,40.39375,40.89230769,42.3,44.93945416,68.00255632,35.16541026,45.57,116.3358424,88.91943497,33.1346693,76.205,95.60745197,94.54190778,82.06965144,86.13333333,78.57236458,87.03895133,69.47499469,42.3,44.93945416,68.00255632,35.16541026,45.57,116.3358424,88.91943497,33.1346693,61.76666667,96.12495549,96.23654586,63.61126322,79.456,78.50649371,88.11905679,58.4085703,190.4074207,283.9599467,348.4240112,321.2196439,148.1074207,238.3899467,272.2190112,235.0863106,190.4074207,283.9599467,317.7394312,304.4901208,148.1074207,238.3899467,255.9727646,225.0341208
O,1,1,1,1,2102,11,,2021,24.2375,43.31,45.23,47.46666667,24.2375,43.31,39.06470588,43.83333333,1.22,1.23,1.34,1.26,30.025,81.17,57.7,50.03333333,30.025,81.17,59.06315789,50.66206897,1.47,1.42,1.57,1.43,21.8625,63.92,50.185,52.96,21.8625,63.92,49.57894737,52.65862069,1.52,1.42,1.57,1.43,21.4875,39.8,39.94,41.95666667,21.4875,39.8,34.26470588,38.60740741,24.2375,36.57897963,32.24084332,32.72839212,43.31,99.60949714,91.05623652,56.69646767,45.23,77.45243915,79.03032634,62.89670687,47.46666667,63.01742946,75.64547119,59.92884855,24.2375,36.57897963,32.24084332,32.72839212,43.31,99.60949714,91.05623652,56.69646767,39.06470588,79.28224684,78.07592687,53.9593681,43.83333333,63.8093276,75.21499574,55.1449306,125.7857151,290.6722013,264.6094724,246.0584159,101.5482151,247.3622013,219.3794724,198.5917492,125.7857151,290.6722013,250.3822477,238.0025873,101.5482151,247.3622013,211.3175418,194.1692539
O,1,1,1,1,2102,12,,2021,51.7,105.44,105.305,89.79333333,51.7,105.44,103.2416667,83.02727273,1.22,1.23,1.34,1.26,27.5,49.29,43.875,46.17666667,27.5,49.29,42.66666667,45.56428571,1.47,1.42,1.57,1.43,46.025,77.54,63.76,64.28,46.025,77.54,64.33684211,64.67586207,1.52,1.42,1.57,1.43,47.5,54.75,75.38,87.78333333,47.5,54.75,67.625,84.91923077,51.7,33.50281231,67.87351922,72.34897618,105.44,60.48727503,110.4583945,77.9932564,105.305,58.89472734,100.4079627,118.7069044,89.79333333,58.15992341,91.81440498,125.3854156,51.7,33.50281231,67.87351922,72.34897618,105.44,60.48727503,110.4583945,77.9932564,103.2416667,57.2727453,101.316362,106.4944868,83.02727273,57.38862414,92.37983498,121.2944718,225.4253077,354.378926,383.3145945,365.1530774,173.7253077,248.938926,278.0095945,275.359744,225.4253077,354.378926,368.3252607,354.0902036,173.7253077,248.938926,265.0835941,271.0629309
O,1,1,1,1,2102,18,,2021,94.9,97.03,107.41,109.09,94.9,97.03,102.18,106.288,1.22,1.23,1.34,1.26,38.55,66.2,58.205,60.40333333,36.81428571,66.2,58.6,60.73793103,1.47,1.42,1.57,1.43,28.425,33.81,36.41,43.27,28.425,33.81,33.78333333,42.07142857,1.52,1.42,1.57,1.43,46.775,59.78,82.85,80.82,46.775,59.78,75.11875,75.75,94.9,46.96485145,41.91862648,71.24470233,97.03,81.23874227,48.16350683,85.15866425,107.41,78.13031578,57.33773403,130.4705099,109.09,76.07853693,61.80474959,115.4393312,94.9,44.85025836,41.91862648,71.24470233,97.03,81.23874227,48.16350683,85.15866425,102.18,78.66053612,53.20131231,118.2954932,106.288,76.49996571,60.09276884,108.1975914,255.0281803,311.5909134,373.3485597,362.4126177,160.1281803,214.5609134,265.9385597,253.3226177,252.9135872,311.5909134,352.3373416,351.078326,158.0135872,214.5609134,250.1573416,244.790326
O,1,1,1,1,2102,20,,2021,77.5625,102.7,109.595,99.47666667,77.5625,102.7,106.4166667,94.06363636,1.22,1.23,1.34,1.26,37.5,72.97,72.62,65.07,37.5,72.97,76.26111111,66.87142857,1.47,1.42,1.57,1.43,38.775,45.55,65.755,59.78333333,38.775,45.55,66.5,59.83571429,1.52,1.42,1.57,1.43,48.2,55.79,72.815,66.59,48.2,55.79,61.06666667,58.296,77.5625,45.68565316,57.18187306,73.41517162,102.7,89.5466922,64.88754026,79.47477214,109.595,97.48000227,103.5496485,114.6675942,99.47666667,81.9562452,85.39158646,95.11389589,77.5625,45.68565316,57.18187306,73.41517162,102.7,89.5466922,64.88754026,79.47477214,106.4166667,102.3675748,104.7228595,96.16655565,94.06363636,84.22516055,85.46640485,83.26715235,253.8451978,336.6090046,425.2922449,361.9383942,176.2826978,233.9090046,315.6972449,262.4617276,253.8451978,336.6090046,409.6736566,347.0223541,176.2826978,233.9090046,303.2569899,252.9587178
O,1,1,1,1,2102,21,,2021,55.4375,88.03,79.87,92.90666667,49.38,88.03,75.14666667,92.68,1.22,1.23,1.34,1.26,54.1375,74.03,73.535,82.26,54.1375,74.03,75.1,83.5862069,1.47,1.42,1.57,1.43,43.1125,56.91,62.815,67.58666667,43.1125,56.91,62.53684211,67.56896552,1.52,1.42,1.57,1.43,46.5125,58.82,62.965,66.95,36.75,58.82,53.98125,62.03461538,55.4375,65.95485461,63.57842688,70.84487904,88.03,90.84749382,81.07025063,83.79111126,79.87,98.70823419,98.91979574,99.15601271,92.90666667,103.6072035,96.53748576,95.62810227,49.38,65.95485461,63.57842688,55.97526052,88.03,90.84749382,81.07025063,83.79111126,75.14666667,100.8089806,98.48175829,85.00858431,92.68,105.2775729,96.51220231,88.60720753,255.8156605,343.7388557,376.6540426,388.6794582,200.3781605,255.7088557,296.7840426,295.7727915,234.888542,343.7388557,359.4459899,383.0769827,185.508542,255.7088557,284.2993232,290.3969827
O,1,1,1,1,2102,23,,2021,56.5375,63.91,87.25,95.18333333,56.5375,63.91,81.86875,93.09230769,1.22,1.23,1.34,1.26,43.9625,68.25,67.19,68.28,43.9625,68.25,68.31052632,69.05172414,1.47,1.42,1.57,1.43,36.0625,50.75,59.345,56.89666667,36.0625,50.75,58.96842105,56.56551724,1.52,1.42,1.57,1.43,25.1125,33.64,53.305,49.63333333,25.1125,33.64,43.4,42.97307692,56.5375,53.55881405,53.18172269,38.24976135,63.91,83.75444351,72.29511895,47.92133599,87.25,90.19115055,93.45530969,83.94363945,95.18333333,85.99926883,81.26841312,70.89382339,56.5375,53.55881405,53.18172269,38.24976135,63.91,83.75444351,72.29511895,47.92133599,81.86875,91.6952666,92.86228075,68.34544512,93.09230769,86.97126226,80.7954155,61.3806392,201.5277981,267.8808984,354.8400997,333.3448387,144.9902981,203.9708984,267.5900997,238.1615053,201.5277981,267.8808984,334.7717425,322.2396247,144.9902981,203.9708984,252.9029925,229.147317
O,1,1,1,1,2102,29,,2021,53.725,63.59,84.375,75.66333333,53.725,63.59,81.59375,72.61153846,1.22,1.23,1.34,1.26,38.5625,67.85,66.025,59.75333333,38.5625,67.85,67.41578947,60.44827586,1.47,1.42,1.57,1.43,40.2875,46.28,61.495,59.64333333,40.2875,46.28,61.66315789,59.68965517,1.52,1.42,1.57,1.43,43.4375,56.85,60.16,61.24333333,43.4375,56.85,56.92352941,59.32592593,53.725,46.98008,59.41237165,66.1612348,63.59,83.26357497,65.92745034,80.98477857,84.375,88.62733613,96.84108635,94.73875526,75.66333333,75.25985613,85.19161732,87.47697899,53.725,46.98008,59.41237165,66.1612348,63.59,83.26357497,65.92745034,80.98477857,81.59375,90.49423452,97.10589801,89.64202662,72.61153846,76.13514244,85.25778117,84.73824812,226.2786864,293.7658039,364.5821777,323.5917858,172.5536864,230.1758039,280.2071777,247.9284524,226.2786864,293.7658039,358.8359092,318.7427102,172.5536864,230.1758039,277.2421592,246.1311717
O,1,1,1,1,2102,37,,2021,39.025,43.94,63.155,63.88666667,39.025,43.94,52.27857143,57.725,1.22,1.23,1.34,1.26,30.2375,41.67,40.06,56.21333333,30.2375,41.67,38.29444444,56.23214286,1.47,1.42,1.57,1.43,32.8625,41.9,39.835,51.02,31.98571429,41.9,38.94210526,50.82068966,1.52,1.42,1.57,1.43,52.3,73.97,69.125,67.45,26.33333333,73.97,64.22666667,64.176,39.025,36.837865,48.46265128,79.66003062,43.94,51.13622947,59.68798983,105.3728069,63.155,53.77373852,62.73135498,108.8566565,63.88666667,70.80119457,72.87447017,96.34227779,39.025,36.837865,47.16964678,40.10925697,43.94,51.13622947,59.68798983,105.3728069,52.27857143,51.40378038,61.32524235,101.1428599,57.725,70.82488533,72.58978503,91.66585648,203.9855469,260.1370262,288.51675,303.9046092,164.9605469,216.1970262,225.36175,240.0179425,163.1417687,260.1370262,266.1504541,292.8055268,124.1167687,216.1970262,213.8718827,235.0805268
O,1,1,1,1,2102,38,,2021,46,68.56,63.63,72.83,33.15,68.56,57.94375,70.74615385,1.22,1.23,1.34,1.26,32.925,36.05,48.855,53.28666667,32.925,36.05,48.07894737,52.93103448,1.47,1.42,1.57,1.43,22.65,49.66,38.165,36.87666667,21.84285714,49.66,37.28421053,36.25517241,1.52,1.42,1.57,1.43,23.65,25.56,37.025,40.51333333,21.26,25.56,27.22941176,34.73333333,46,40.11200347,33.4021773,36.02217446,68.56,44.23952657,70.74237649,36.41109833,63.63,65.57953058,60.10147265,58.30622363,72.83,67.1150318,52.67282526,57.86726188,33.15,40.11200347,32.21187581,32.3818786,68.56,44.23952657,70.74237649,36.41109833,57.94375,64.53781188,58.71442314,42.88032874,70.74615385,66.6671099,51.7851133,49.61139286,155.5363552,219.9530014,247.6172269,250.4851189,109.5363552,151.3930014,183.9872269,177.6551189,137.8557579,219.9530014,224.0763138,238.8097699,104.7057579,151.3930014,166.1325638,168.0636161
O,1,1,1,1,2102,42,,2021,53.9875,81.06,75.66,76.46,53.9875,81.06,71.78235294,74.10740741,1.22,1.23,1.34,1.26,43.6875,84.96,70.105,69.49333333,43.6875,84.96,70.6,69.79655172,1.47,1.42,1.57,1.43,41.5,55.07,58.725,53.99,41.5,55.07,58.78421053,53.86551724,1.52,1.42,1.57,1.43,25.0125,33.6,44.775,45.98,25.0125,33.6,34.43529412,39.6037037,53.9875,53.22378593,61.2004573,38.09744772,81.06,104.2604765,78.4491074,47.86435462,75.66,94.1040424,92.47894619,70.5107674,76.46,87.52747298,77.11667276,65.67558091,53.9875,53.22378593,61.2004573,38.09744772,81.06,104.2604765,78.4491074,47.86435462,71.78235294,94.76849574,92.57218973,54.22800701,74.10740741,87.90937925,76.93886768,56.56799145,206.509191,311.6339385,332.753756,306.7797267,152.521691,230.5739385,257.093756,230.3197267,206.509191,311.6339385,313.3510454,295.5236458,152.521691,230.5739385,241.5686925,221.4162384
O,1,1,1,1,2102,46,,2021,59.2875,117.85,105.905,93.07333333,59.2875,117.85,111.475,94.52692308,1.22,1.23,1.34,1.26,35.8,41.99,49.8,55.41666667,35.8,41.99,50.33684211,55.96206897,1.47,1.42,1.57,1.43,29.9125,52.22,50.955,45.27,29.9125,52.22,50.29473684,44.64137931,1.52,1.42,1.57,1.43,28.25,47.81,55.71,47.37,28.25,47.81,49.04375,41.98461538,59.2875,43.61457021,44.11225733,43.02860162,117.85,51.52892429,74.38918446,68.10698792,105.905,66.8480324,80.24290682,87.73098497,93.07333333,69.7977858,64.66145167,67.66098886,59.2875,43.61457021,44.11225733,43.02860162,117.85,51.52892429,74.38918446,68.10698792,111.475,67.56865165,79.20313771,77.23310885,94.52692308,70.48472485,63.76356066,59.96876914,190.0429292,311.8750967,340.7269242,295.1935597,130.7554292,194.0250967,234.8219242,202.1202263,190.0429292,311.8750967,335.4798982,288.7439777,130.7554292,194.0250967,224.0048982,194.2170546
O,1,1,1,1,2102,49,,2021,44.325,106.75,98.525,81.40666667,44.325,106.75,93.34,74.872,1.22,1.23,1.34,1.26,43.575,83.12,65.44,69.51,43.575,83.12,66.82222222,70.68928571,1.47,1.42,1.57,1.43,47.775,61.89,60.04,68.77,47.775,61.89,60.00555556,69.37142857,1.52,1.42,1.57,1.43,33.9875,50.02,63.535,62.94666667,33.9875,50.02,47.44666667,53.176,44.325,53.08672897,70.45426139,51.76759638,106.75,102.0024812,88.16443176,71.25520886,98.525,87.8420731,94.54978168,100.0536372,81.40666667,87.54846479,98.22770116,89.90993693,44.325,53.08672897,70.45426139,51.76759638,106.75,102.0024812,88.16443176,71.25520886,93.34,89.69747141,94.49553926,74.71805421,74.872,89.03378567,99.08675229,75.95399501,219.6335867,368.1721219,380.970492,357.0927696,175.3085867,261.4221219,282.445492,275.6861029,219.6335867,368.1721219,352.2510649,338.946533,175.3085867,261.4221219,258.9110649,264.074533
O,1,1,1,1,2102,51,,2021,38.0375,79.57,75.91,75.37666667,38.0375,79.57,69.83125,71.55384615,1.22,1.23,1.34,1.26,24.2875,33.25,57.395,55.97,24.2875,33.25,57.21578947,55.80344828,1.47,1.42,1.57,1.43,20.7625,34.51,38.97,33.62666667,20.7625,34.51,36.62222222,31.73571429,1.52,1.42,1.57,1.43,26.5125,51.23,63.59,52.91666667,26.5125,51.23,54.30625,45.56153846,38.0375,29.58907469,30.61866253,40.38215223,79.57,40.80344684,49.16068089,72.97889544,75.91,77.04302851,61.36917042,100.1402501,75.37666667,70.49471406,48.03068437,75.58357598,38.0375,29.58907469,30.61866253,40.38215223,79.57,40.80344684,49.16068089,72.97889544,69.83125,76.80246885,57.6719373,85.52038776,71.55384615,70.28494068,45.32974057,65.07787094,138.6273895,242.5130232,314.462449,269.4856411,100.5898895,162.9430232,238.552449,194.1089744,138.6273895,242.5130232,289.8260439,252.2463983,100.5898895,162.9430232,219.9947939,180.6925522
O,1,1,1,1,2102,52,,2021,55.225,62.48,78.78,89.18,55.225,62.48,74.8375,88.35384615,1.22,1.23,1.34,1.26,30.05,45.68,41.065,48.36666667,30.05,45.68,39.91578947,47.86551724,1.47,1.42,1.57,1.43,19.125,28.31,34.61,41.23333333,19.125,28.31,33.43684211,40.69310345,1.52,1.42,1.57,1.43,30.325,32.24,48.04,51.13,30.325,32.24,38.02941176,45.17037037,55.225,36.60943673,28.2038252,46.18910953,62.48,56.05718651,40.32856783,45.92698788,78.78,55.12278013,54.50313031,75.65242358,89.18,60.91824793,58.89567463,73.03158878,55.225,36.60943673,28.2038252,46.18910953,62.48,56.05718651,40.32856783,45.92698788,74.8375,53.5801604,52.65566491,59.88795103,88.35384615,60.28704576,58.12403672,64.51914559,166.2273715,204.7927422,264.058334,282.0255113,111.0023715,142.3127422,185.278334,192.8455113,166.2273715,204.7927422,240.9612763,271.2840742,111.0023715,142.3127422,166.1237763,182.9302281
