"TMQUADB","TMQUADD","TIMEINN","TIMEMID","TIMEOUT","ANCROSB","ANCROSD","GROUP","NUMBER","COND","AGE","SLGROUP","YEAR","BLOCK","BSPEED","BSPEEDTT","BSPEEDFS","TTCUMDS","TTCUMDSO","TTAVDS","TTAVDSO","TTPATH","TTLAT","TAVDS08","TAVDS10","TAVDS20","TAVDS30","TAVDSO30","TAVDS08A","TAVDS10A","TAVDS20A","TAVDS30A"
13,35,16,31,53,1,1,"2103",10,"TT","O","",2021,0,17.2682891714192,17.2682891714192,17.2682891714192,4741.3,3990.9,89.4584905660378,75.3,1297,59.7,75.775,87.07,102.05,106.073333333333,57.1375,75.775,87.07,94.9285714285714,102.925
17,14,6,29,65,0,0,"2103",11,"TT","O","",2021,0,23.2654849628512,23.2654849628512,23.2654849628512,7791.8,7218.1,90.6023255813953,83.9313953488372,2102,90.1,61.6875,100.17,102.445,91.3233333333333,78.15,61.6875,100.17,100.45,88.3846153846154
8,24,18,28,54,0,1,"2103",12,"TT","O","",2021,0,18.5974003965555,18.5974003965555,18.5974003965555,7396.3,6670.2,87.015294117647,78.4729411764706,1904,90.1,74.25,79.68,95.085,96.61,63.24,74.25,79.68,90.7733333333333,94.328
20,33,17,28,55,0,1,"2103",13,"TT","O","",2021,0,19.4282904820593,19.4282904820593,19.4282904820593,7195.2,6814.5,84.6494117647059,80.1705882352941,1875,90.1,69.5125,87.17,94.13,101.38,76.672,69.5125,87.17,87.8466666666667,99.06
47,11,5,18,77,0,1,"2103",16,"TT","O","",2021,0,18.9433962264151,18.9433962264151,18.9433962264151,5994.7,8912.5,70.5258823529412,104.852941176471,1453,90.1,61.9,93.77,101.96,90.4633333333333,88.612,61.9,93.77,98.22,85.92
22,34,13,18,69,1,0,"2103",17,"TT","O","",2021,0,15.8956714761376,15.8956714761376,15.8956714761376,7321.1,6641.4,87.1559523809524,79.0642857142857,1688,90.1,57.5625,76.88,86,94.93,88.7916666666667,57.5625,76.88,75.7642857142857,91.1916666666667
14,35,16,34,50,0,0,"2103",30,"TT","O","",2021,0,20.7323593700468,20.7323593700468,20.7323593700468,7743.5,5749.6,91.1,67.6423529411765,1880,90.1,88.725,100.76,103.315,109.886666666667,54.6,88.725,100.76,99.18,108.72
8,35,19,30,51,1,1,"2103",32,"TT","O","",2021,0,16.3875050538969,16.3875050538969,16.3875050538969,4696.3,3292.5,92.0843137254902,64.5588235294117,1133,57.9,85.025,90.63,102.24,99.5,57.1333333333333,85.025,90.63,96.3142857142857,95.3583333333333
21,27,5,38,57,0,0,"2103",33,"TT","O","",2021,0,18.9559291798009,18.9559291798009,18.9559291798009,7538.50000000001,6974.6,88.6882352941177,82.0541176470588,1607,90.1,103.275,113.17,115.415,111.783333333333,64.488,103.275,113.17,114.133333333333,110.288
13,17,42,21,37,0,0,"2103",41,"TT","O","",2021,0,14.9078801331853,14.9078801331853,14.9078801331853,6230.4,6481.4,75.0650602409638,78.089156626506,1536,90.1,62.275,77.48,89.205,80.61,57.6521739130435,62.275,77.48,80.3923076923077,73.0130434782609
