TMQUADB,TMQUADD,TIMEINN,TIMEMID,TIMEOUT,ANCROSB,ANCROSD,GROUP,NUMBER,COND,AGE,SLGROUP,YEAR,BLOCK,BSPEED,BSPEEDTT,BSPEEDFS,TTCUMDS,TTCUMDSO,TTAVDS,TTAVDSO,TTPATH,TTLAT,TAVDS08,TAVDS10,TAVDS20,TAVDS30,TAVDSO30,TAVDS08A,TAVDS10A,TAVDS20A,TAVDS30A
33,22,0,3,97,0,0,2110,1,TT,O,,2021,0,24.33444321,24.33444321,24.33444321,7507.9,8320.3,84.35842697,93.48651685,2214,90.1,52.6375,96.47,74.645,73.52666667,102.1724138,52.6375,96.47,75.70526316,74.18275862
28,27,16,33,51,1,2,2110,8,TT,O,,2021,0,23.22825168,23.22825168,23.22825168,6920.5,6946.9,77.75842697,78.05505618,2198,90.1,40.3125,102.11,77.63,70.36,86.63448276,40.3125,102.11,79.18947368,71.13103448
22,28,5,39,56,0,1,2110,14,TT,O,,2021,0,22.97815811,22.97815811,22.97815811,7506.9,6922.4,84.34719101,77.77977528,1995,90.1,51.05,63.6,72.175,77.63,80.63793103,51.05,63.6,73.18947368,78.48275862
35,9,11,36,53,3,1,2110,15,TT,O,,2021,0,23.5947284,23.5947284,23.5947284,5819.2,7822.1,67.66511628,90.95465116,1697,87.5,48.9125,93.26,74.31,77.01666667,86.55517241,49.11428571,93.26,75.72105263,78.03448276
21,23,1,23,76,0,0,2110,18,TT,O,,2021,0,28.21967825,28.21967825,28.21967825,7595.6,7586.2,85.34382022,85.23820225,2419,90.1,62.625,81.58,82.11,89.47,78.7,62.625,81.58,83.62631579,90.71724138
11,31,23,32,45,1,3,2110,24,TT,O,,2021,0,23.57685041,23.57685041,23.57685041,7311.2,6223,82.14831461,69.92134831,1979,90.1,41.9875,55.93,66.83,74.58333333,62.64137931,41.9875,55.93,67.55789474,75.32758621
19,32,16,44,40,1,1,2110,27,TT,O,,2021,0,18.30782093,18.30782093,18.30782093,3729.2,3224.6,81.06956522,70.1,897,48.1,52.6125,91.01,74.49,83.42,66.17142857,54.08333333,91.01,77.41111111,85.93571429
21,33,21,22,57,0,0,2110,31,TT,O,,2021,0,20.68146504,20.68146504,20.68146504,7203.3,6368.4,81.85568182,72.36818182,1660,90.1,33.375,52.88,44.795,63.59,70.26428571,33.375,52.88,44.21111111,64.55714286
18,22,7,26,67,0,1,2110,32,TT,O,,2021,0,23.42266574,23.42266574,23.42266574,7604.4,7103.8,85.44269663,79.81797753,1863,90.1,67.025,75.54,75.48,81.71333333,82.24482759,67.075,75.54,76.43684211,82.55517241
31,26,12,17,71,1,2,2110,35,TT,O,,2021,0,23.79299161,23.79299161,23.79299161,6940.3,7455.5,77.98089888,83.76966292,2003,90.1,41.1,97.72,71.335,71.47333333,94.96551724,41.1,97.72,72.03684211,71.93793103
27,12,23,33,44,1,2,2110,39,TT,O,,2021,0,20.80799112,20.80799112,20.80799112,5919.4,7431.4,67.26590909,84.44772727,1922,90.1,47.2,83.23,70.96,66.54,75.60357143,47.2,83.23,71.55,66.60357143
26,20,1,15,84,0,0,2110,42,TT,O,,2021,0,27.05290418,27.05290418,27.05290418,7647.1,7881.2,85.92247191,88.55280899,2480,90.1,67.125,80.06,83.425,81.21333333,88.19310345,67.125,80.06,84.87894737,82.08965517
63,3,0,96,4,0,0,2110,44,TT,O,,2021,0,13.4472808,13.4472808,13.4472808,3904.2,8515.7,44.87586207,97.8816092,359,90.1,39.5875,43.76,47.115,44.87,103.7555556,39.5875,43.76,45.66470588,43.70740741
