"TMQUADB","TMQUADD","TIMEINN","TIMEMID","TIMEOUT","ANCROSB","ANCROSD","GROUP","NUMBER","COND","AGE","SLGROUP","YEAR","BLOCK","BSPEED","BSPEEDTT","BSPEEDFS","TTCUMDS","TTCUMDSO","TTAVDS","TTAVDSO","TTPATH","TTLAT","TAVDS08","TAVDS10","TAVDS20","TAVDS30","TAVDSO30","TAVDS08A","TAVDS10A","TAVDS20A","TAVDS30A"
29,37,18,35,47,2,2,"2111",1,"TT","O","",2021,0,25.2723779107702,25.2723779107702,25.2723779107702,6709.7,6203.9,78.0197674418604,72.1383720930233,2410,90.1,51.7125,103.05,83.73,78.86,78.3076923076923,36.175,103.05,86.04375,79.5346153846154
30,33,21,33,46,1,2,"2111",2,"TT","O","",2021,0,21.3304745568897,21.3304745568897,21.3304745568897,6587.7,6345.9,76.6011627906977,73.7895348837209,1887,90.1,41,95.11,73.84,68.09,83.1884615384615,30.225,95.11,75.45625,68.2
30,31,27,45,28,2,0,"2111",7,"TT","O","",2021,0,18.4611326677461,18.4611326677461,18.4611326677461,1954.2,2050.3,67.3862068965517,70.7,673,34.1,32.6125,110.53,99.5,78.9733333333333,67.796,32.6125,110.53,103.6,77.328
19,37,2,20,78,0,0,"2111",12,"TT","O","",2021,0,25.3890693446696,25.3890693446696,25.3890693446696,7800.3,6874.4,90.7011627906977,79.9348837209302,2402,90.1,53.1375,65.23,85.395,92.8266666666667,72.8269230769231,53.1375,65.23,84.81875,93.6153846153846
21,49,2,29,69,0,1,"2111",14,"TT","O","",2021,0,24.8465540658773,24.8465540658773,24.8465540658773,7792.7,6451.2,90.6127906976744,75.0139534883721,1956,90.1,101.8125,105.53,111.225,111.99,49.6653846153846,101.8125,105.53,110.61875,111.734615384615
49,10,32,26,42,0,0,"2111",15,"TT","O","",2021,0,15.3251942286349,15.3251942286349,15.3251942286349,4258.2,7539.8,51.3036144578313,90.8409638554217,1622,90.1,46.8875,86.55,86.275,73.52,92.0347826086957,46.8875,86.55,93.1230769230769,73.5086956521739
10,43,16,32,52,1,1,"2111",17,"TT","O","",2021,0,32.8111039495489,32.8111039495489,32.8111039495489,5993.7,4771.4,88.1426470588235,70.1676470588235,2051,71.3,70.275,104.24,92.735,94.74,75.5222222222222,64.6166666666667,104.24,88.9,92.5481481481481
24,40,19,25,56,1,2,"2111",22,"TT","O","",2021,0,24.6632021431276,24.6632021431276,24.6632021431276,5162.2,4542.9,81.9396825396825,72.1095238095238,1516,67.8,69.3,86.01,98.76,97.4533333333333,51.8961538461538,69.3,86.01,96.3875,95.7923076923077
47,7,26,30,44,5,2,"2111",23,"TT","O","",2021,0,18.4792294276201,18.4792294276201,18.4792294276201,3037.6,5192.2,54.2428571428572,92.7178571428571,1185,61.2,40.375,51.39,56.915,67.59,83.128,40.375,51.39,50.04,65.6
4,41,7,20,73,0,2,"2111",29,"TT","O","",2021,0,21.2213073162743,21.2213073162743,21.2213073162743,8419.1,6031.1,97.896511627907,70.1290697674419,2102,90.1,86.1375,119.3,105.17,108.146666666667,69.4076923076923,76.775,119.3,105.2625,108.661538461538
25,31,1,5,94,0,1,"2111",31,"TT","O","",2021,0,27.4181963060986,27.4181963060986,27.4181963060986,7737.6,7796.1,88.9379310344827,89.6103448275862,2497,90.1,62.65,111.88,93.515,85.17,97.6555555555556,62.65,111.88,92.3941176470588,83.537037037037
20,19,24,30,46,3,1,"2111",36,"TT","O","",2021,0,19.4575531338912,19.4575531338912,19.4575531338912,3807.4,4120.1,73.2192307692308,79.2326923076923,1166,57.3,56.5875,79.15,84.62,88.23,77.4,56.5875,79.15,76.8866666666667,84.312
18,46,6,21,73,0,1,"2111",38,"TT","O","",2021,0,22.7797922500134,22.7797922500134,22.7797922500134,7771.2,6387.1,90.3627906976744,74.2686046511628,1723,90.1,41.6625,110.99,114.965,91.1733333333333,69.3384615384615,41.6625,110.99,114.68125,87.3384615384615
22,19,8,23,69,0,0,"2111",41,"TT","O","",2021,0,22.6700588444528,22.6700588444528,22.6700588444528,7105.2,7245.7,82.6186046511628,84.2523255813954,2162,90.1,61.85,100.92,96.63,88.4266666666667,79.5153846153846,61.85,100.92,94.65,85.9461538461538
